Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,0.294,0.312,0.288,0.309,1823250
2009-12-22,0.317,0.33,0.317,0.325,1204760
2009-12-23,0.339,0.339,0.311,0.317,478510
2009-12-28,0.325,0.325,0.3,0.325,587810
2009-12-29,0.32,0.32,0.3,0.317,359160
2009-12-30,0.313,0.333,0.312,0.33,784140
2009-12-31,0.33,0.332,0.328,0.329,232840
2010-01-04,0.338,0.341,0.322,0.334,817900
2010-01-05,0.34,0.344,0.333,0.342,609800
2010-01-06,0.333,0.335,0.319,0.335,609580
2010-01-07,0.327,0.327,0.319,0.325,96440
2010-01-08,0.329,0.329,0.319,0.325,195930
2010-01-11,0.329,0.33,0.31,0.315,1180380
2010-01-12,0.319,0.32,0.309,0.317,567350
2010-01-13,0.32,0.32,0.31,0.32,170060
2010-01-14,0.32,0.32,0.306,0.315,263210
2010-01-15,0.315,0.315,0.297,0.298,717820
2010-01-18,0.291,0.291,0.28,0.286,495320
2010-01-19,0.284,0.288,0.278,0.28,445820
2010-01-20,0.279,0.295,0.275,0.295,1170890
2010-01-21,0.294,0.306,0.29,0.295,103260
2010-01-22,0.3,0.3,0.282,0.283,99620
2010-01-25,0.288,0.289,0.282,0.282,26650
2010-01-26,0.282,0.285,0.278,0.284,55620
2010-01-27,0.286,0.286,0.27,0.279,142100
2010-01-28,0.277,0.291,0.265,0.278,362340
2010-01-29,0.285,0.285,0.284,0.285,30000
2010-02-01,0.28,0.287,0.272,0.279,73480
2010-02-02,0.277,0.28,0.275,0.28,99960
2010-02-03,0.28,0.28,0.275,0.28,33210
2010-02-04,0.28,0.28,0.272,0.272,113860
2010-02-05,0.272,0.272,0.25,0.265,313250
2010-02-08,0.264,0.265,0.252,0.259,157730
2010-02-09,0.259,0.26,0.255,0.26,136920
2010-02-10,0.26,0.26,0.256,0.256,447220
2010-02-11,0.257,0.257,0.248,0.251,232800
2010-02-12,0.252,0.26,0.252,0.26,55750
2010-02-15,0.26,0.265,0.252,0.256,99730
2010-02-16,0.26,0.265,0.251,0.255,132270
2010-02-17,0.256,0.275,0.256,0.275,1156100
2010-02-18,0.278,0.278,0.266,0.274,153540
2010-02-19,0.274,0.274,0.268,0.271,396980
2010-02-22,0.274,0.278,0.265,0.271,171210
2010-02-23,0.28,0.283,0.268,0.268,110620
2010-02-24,0.266,0.267,0.25,0.26,524930
2010-02-25,0.259,0.26,0.253,0.254,280990
2010-02-26,0.257,0.263,0.242,0.245,852660
2010-03-01,0.249,0.25,0.231,0.244,664240
2010-03-02,0.2,0.229,0.199,0.225,1288530
2010-03-03,0.227,0.228,0.22,0.227,841350
2010-03-04,0.227,0.227,0.22,0.225,213150
2010-03-05,0.221,0.224,0.216,0.219,458030
2010-03-08,0.217,0.275,0.217,0.275,7257650
2010-03-09,0.275,0.293,0.254,0.285,10564860
2010-03-10,0.275,0.285,0.273,0.275,1527790
2010-03-11,0.272,0.277,0.261,0.261,485600
2010-03-12,0.261,0.28,0.256,0.273,820510
2010-03-15,0.276,0.289,0.267,0.289,1604140
2010-03-16,0.287,0.32,0.287,0.303,1737880
2010-03-17,0.293,0.315,0.293,0.304,1057500
2010-03-18,0.303,0.303,0.298,0.299,482600
2010-03-19,0.298,0.303,0.285,0.29,588120
2010-03-22,0.3,0.303,0.285,0.298,184530
2010-03-23,0.302,0.314,0.295,0.305,456200
2010-03-24,0.304,0.304,0.288,0.297,114600
2010-03-25,0.288,0.294,0.285,0.291,211570
2010-03-26,0.286,0.294,0.285,0.285,77910
2010-03-29,0.282,0.285,0.281,0.285,43770
2010-03-30,0.281,0.281,0.266,0.27,303130
2010-03-31,0.27,0.275,0.267,0.275,167430
2010-04-01,0.275,0.275,0.265,0.27,108210
2010-04-06,0.27,0.27,0.264,0.269,167430
2010-04-07,0.269,0.28,0.265,0.28,493520
2010-04-08,0.28,0.28,0.273,0.279,164000
2010-04-09,0.28,0.28,0.271,0.277,128540
2010-04-12,0.28,0.3,0.277,0.298,1190900
2010-04-13,0.3,0.332,0.295,0.332,2078510
2010-04-14,0.332,0.365,0.321,0.364,3714110
2010-04-15,0.372,0.372,0.342,0.343,382480
2010-04-16,0.348,0.375,0.331,0.373,3117400
2010-04-19,0.364,0.364,0.338,0.355,368310
2010-04-20,0.355,0.366,0.34,0.366,459260
2010-04-21,0.372,0.43,0.367,0.43,2642060
2010-04-22,0.448,0.448,0.4,0.402,996370
2010-04-23,0.41,0.45,0.407,0.44,1097460
2010-04-26,0.44,0.468,0.433,0.438,421520
2010-04-27,0.45,0.453,0.445,0.45,132040
2010-04-28,0.45,0.465,0.436,0.454,622650
2010-04-29,0.454,0.46,0.441,0.454,184660
2010-04-30,0.454,0.468,0.44,0.465,277480
2010-05-04,0.465,0.465,0.447,0.454,201050
2010-05-05,0.415,0.45,0.415,0.441,641130
2010-05-06,0.441,0.46,0.44,0.458,442470
2010-05-07,0.44,0.45,0.43,0.432,244300
2010-05-10,0.433,0.45,0.433,0.435,142020
2010-05-11,0.44,0.462,0.43,0.43,293760
2010-05-12,0.437,0.437,0.415,0.426,127900
2010-05-13,0.445,0.446,0.42,0.44,36060
2010-05-14,0.437,0.445,0.435,0.445,67850
2010-05-17,0.45,0.55,0.45,0.55,1470660
2010-05-18,0.59,0.648,0.552,0.605,1993710
2010-05-19,0.607,0.609,0.564,0.589,510560
2010-05-20,0.58,0.594,0.523,0.549,525440
2010-05-21,0.538,0.538,0.488,0.519,620950
2010-05-24,0.53,0.548,0.512,0.531,109430
2010-05-25,0.48,0.515,0.48,0.51,331900
2010-05-26,0.51,0.59,0.51,0.56,376560
2010-05-27,0.566,0.599,0.561,0.58,207000
2010-05-28,0.594,0.594,0.555,0.573,177090
2010-05-31,0.571,0.571,0.545,0.558,206820
2010-06-01,0.558,0.558,0.532,0.55,70690
2010-06-02,0.54,0.55,0.52,0.548,105210
2010-06-04,0.548,0.548,0.519,0.53,168620
2010-06-07,0.52,0.528,0.511,0.516,68580
2010-06-08,0.525,0.539,0.52,0.525,78480
2010-06-09,0.527,0.528,0.515,0.527,40870
2010-06-10,0.523,0.61,0.52,0.597,2388580
2010-06-11,0.61,0.619,0.573,0.589,867760
2010-06-14,0.6,0.6,0.58,0.589,114760
2010-06-15,0.59,0.59,0.57,0.579,221550
2010-06-16,0.6,0.605,0.575,0.588,75610
2010-06-17,0.588,0.591,0.575,0.582,46540
2010-06-18,0.585,0.585,0.55,0.555,237280
2010-06-21,0.58,0.58,0.556,0.576,104890
