Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,1.1633,1.1633,1.1058,1.1275,1746994
2009-12-22,1.1275,1.1275,1.0915,1.1203,590966
2009-12-23,1.0988,1.1203,1.0843,1.0915,430764
2009-12-28,1.0843,1.113,1.0771,1.1058,715317
2009-12-29,1.113,1.1633,1.1058,1.1633,426421
2009-12-30,1.1633,1.1633,1.1275,1.1346,408857
2009-12-31,1.1418,1.1418,1.113,1.1203,291198
2010-01-04,1.1346,1.1633,1.1275,1.1562,477308
2010-01-05,1.1562,1.1705,1.1418,1.1562,620160
2010-01-06,1.149,1.149,1.1275,1.1418,380483
2010-01-07,1.1346,1.1418,1.1203,1.1346,224953
2010-01-08,1.1275,1.1562,1.1275,1.149,281348
2010-01-11,1.1562,1.1562,1.1346,1.1346,566780
2010-01-12,1.1203,1.1418,1.113,1.1275,333780
2010-01-13,1.1275,1.1275,1.1058,1.1058,492396
2010-01-14,1.1203,1.149,1.113,1.1346,1308788
2010-01-15,1.1418,1.149,1.1275,1.1275,291990
2010-01-18,1.1203,1.1418,1.1203,1.1418,271677
2010-01-19,1.1418,1.149,1.1275,1.1346,290451
2010-01-20,1.1418,1.149,1.1275,1.1418,423275
2010-01-21,1.1275,1.1346,1.113,1.113,602646
2010-01-22,1.0988,1.0988,1.0843,1.0988,734075
2010-01-25,1.0915,1.0915,1.0484,1.07,640442
2010-01-26,1.07,1.07,1.0054,1.0341,1096226
2010-01-27,1.0269,1.0555,1.0126,1.0126,583893
2010-01-28,1.0269,1.0555,1.0269,1.0484,664022
2010-01-29,1.0484,1.0628,1.0341,1.0628,190645
2010-02-01,1.0484,1.07,1.0414,1.07,211836
2010-02-02,1.0771,1.0843,1.0628,1.0771,506029
2010-02-03,1.0843,1.0915,1.07,1.0771,145158
2010-02-04,1.07,1.0771,1.0555,1.0555,516974
2010-02-05,1.0196,1.0341,0.9981,1.0269,950305
2010-02-08,1.0126,1.0341,0.991,0.9981,310351
2010-02-09,0.9981,1.0269,0.9981,1.0126,363337
2010-02-10,1.0341,1.0341,0.9981,1.0054,396377
2010-02-11,1.0196,1.0196,0.9839,0.9839,220002
2010-02-12,0.9981,1.0126,0.9839,1.0054,264568
2010-02-15,1.0126,1.0196,1.0054,1.0196,213738
2010-02-16,1.0269,1.0341,1.0126,1.0269,180252
2010-02-17,1.0341,1.0555,1.0341,1.0484,431027
2010-02-18,1.0555,1.0628,1.0341,1.0555,261164
2010-02-19,1.0341,1.0555,1.0341,1.0555,215936
2010-02-22,1.0628,1.0915,1.0414,1.0843,595967
2010-02-23,1.0988,1.1275,1.0843,1.0915,761207
2010-02-24,1.0915,1.0988,1.0771,1.0843,229388
2010-02-25,1.07,1.0843,1.0555,1.0555,228115
2010-02-26,1.0555,1.07,1.0484,1.0628,127568
2010-03-01,1.0628,1.0628,1.0555,1.0555,65040
2010-03-02,1.0628,1.1203,1.0555,1.0988,480834
2010-03-03,1.113,1.149,1.0915,1.149,2288484
2010-03-04,1.1418,1.2137,1.1275,1.2064,3384231
2010-03-05,1.2064,1.2137,1.1777,1.1992,904242
2010-03-08,1.2137,1.2137,1.1777,1.1921,560426
2010-03-09,1.1777,1.1777,1.1562,1.1777,270959
2010-03-10,1.1777,1.1921,1.149,1.1849,504831
2010-03-11,1.1849,1.2064,1.1633,1.1705,655607
2010-03-12,1.1418,1.1921,1.1058,1.1633,3460469
2010-03-15,1.1562,1.1633,1.1346,1.1562,551169
2010-03-16,1.1562,1.2064,1.1418,1.2064,1217358
2010-03-17,1.228,1.2711,1.1992,1.1992,4855526
2010-03-18,1.2137,1.2352,1.1777,1.1777,920282
2010-03-19,1.1562,1.1562,1.113,1.149,2367633
2010-03-22,1.1346,1.1633,1.1275,1.1633,385279
2010-03-23,1.1705,1.1849,1.1705,1.1705,271238
2010-03-24,1.1705,1.1921,1.1562,1.1562,340654
2010-03-25,1.1705,1.1777,1.1418,1.1777,586485
2010-03-26,1.1849,1.1849,1.149,1.1633,212619
2010-03-29,1.1633,1.1921,1.1418,1.1849,528697
2010-03-30,1.1849,1.2064,1.1633,1.2064,609216
