Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-12-11,14.169,14.169,12.789,13.451,42070640
2013-12-12,13.291,13.584,13.19,13.216,8447569
2013-12-13,13.216,13.532,13.216,13.532,3602661
2013-12-16,13.457,13.776,13.457,13.625,2422593
2013-12-17,13.6,13.666,13.4,13.417,1338651
2013-12-18,13.542,13.542,13.391,13.492,974832
2013-12-19,13.492,13.492,13.375,13.417,2335762
2013-12-20,13.375,13.434,13.308,13.417,3882716
2013-12-23,13.516,13.516,13.358,13.375,1049576
2013-12-27,13.375,13.417,13.341,13.407,1447043
2013-12-30,13.332,13.358,13.3,13.316,1080544
2014-01-02,13.375,13.375,13.207,13.332,3270334
2014-01-03,13.341,13.375,13.166,13.291,1421072
2014-01-07,13.216,13.3,12.965,13.207,2199379
2014-01-08,13.09,13.207,13.04,13.207,2886486
2014-01-09,13.123,13.266,13.123,13.233,1162547
2014-01-10,13.166,13.25,13.056,13.25,2510389
2014-01-13,13.308,13.927,13.308,13.826,3275483
2014-01-14,13.7,13.875,13.617,13.784,939104
2014-01-15,13.717,13.776,13.608,13.733,482238
2014-01-16,13.727,13.835,13.71,13.75,666557
2014-01-17,13.86,14.076,13.793,13.968,2130849
2014-01-20,14.043,14.043,13.884,13.959,161385
2014-01-21,13.976,13.985,13.826,13.875,354507
2014-01-22,13.818,13.892,13.759,13.875,234417
2014-01-23,13.835,13.875,13.793,13.8,189579
2014-01-24,13.767,13.835,13.767,13.809,966971
2014-01-27,13.634,13.793,13.617,13.71,960933
2014-01-28,13.675,13.818,13.584,13.75,3827473
2014-01-29,13.675,13.727,13.4,13.499,3019373
2014-01-30,13.499,13.575,13.417,13.542,1267729
2014-01-31,13.516,13.542,13.358,13.457,821788
2014-02-03,13.4,13.549,13.4,13.532,1143860
2014-02-04,13.375,13.559,13.366,13.542,686351
2014-02-05,13.542,13.767,13.499,13.625,1211097
2014-02-06,13.625,13.835,13.584,13.835,3109336
2014-02-07,13.875,13.985,13.767,13.959,1407862
2014-02-10,13.959,14.143,13.884,14.102,2002021
2014-02-11,14.093,14.16,13.884,14.109,877415
2014-02-12,14.102,14.293,13.968,14.21,2576968
2014-02-13,14.21,14.378,14.109,14.378,2240252
2014-02-14,14.378,14.503,14.286,14.494,1815133
2014-02-17,14.435,14.596,14.385,14.537,475893
2014-02-18,14.537,14.552,14.277,14.503,1687230
2014-02-19,14.378,14.545,14.293,14.528,1008866
2014-02-20,14.378,14.503,14.345,14.453,785665
2014-02-21,14.385,14.503,14.385,14.47,369887
2014-02-24,14.461,14.503,14.385,14.418,346954
2014-02-25,14.418,14.569,14.418,14.528,1974079
2014-02-26,14.453,14.528,14.336,14.503,2452061
2014-02-27,14.461,14.645,14.445,14.628,2667997
2014-02-28,14.628,14.787,14.603,14.711,814481
2014-03-03,14.21,14.293,13.291,14.069,2325102
2014-03-04,14.085,14.418,14.085,14.352,681559
2014-03-05,14.378,14.402,14.352,14.378,640472
2014-03-06,14.352,14.569,14.352,14.545,883482
2014-03-07,14.461,14.596,14.395,14.545,1608997
2014-03-10,14.537,14.695,14.418,14.528,1911607
2014-03-11,14.461,14.528,14.378,14.47,2242120
2014-03-12,14.47,14.528,14.16,14.378,1108271
2014-03-13,14.327,14.378,14.253,14.345,547360
2014-03-14,14.244,14.244,14.06,14.109,2358026
2014-03-17,14.143,14.461,14.136,14.418,712911
2014-03-18,14.418,14.435,14.336,14.412,299973
2014-03-19,14.327,14.461,14.327,14.461,1013470
2014-03-20,14.336,14.688,14.336,14.688,1619937
2014-03-21,14.628,14.921,14.619,14.888,2372051
2014-03-24,14.812,14.921,14.711,14.879,3627910
2014-03-25,14.779,15.046,14.779,15.005,2508588
2014-03-26,15.005,15.171,14.978,15.038,2199796
2014-03-27,14.988,15.046,14.929,14.996,635892
2014-03-28,14.946,15.005,14.904,14.971,1435364
2014-03-31,14.946,14.955,14.754,14.921,719832
2014-04-01,14.921,14.946,14.888,14.946,552518
2014-04-02,14.854,15.005,14.845,15.005,577289
2014-04-03,14.895,15.005,14.895,14.955,632767
2014-04-04,14.921,15.088,14.921,15.088,641821
2014-04-07,15.038,15.13,15.022,15.046,425104
2014-04-08,15.03,15.298,15.03,15.298,2667429
2014-04-09,15.288,15.298,15.13,15.298,730536
2014-04-10,15.222,15.254,15.171,15.171,374635
2014-04-11,15.13,15.196,15.046,15.188,370909
2014-04-14,15.171,15.171,15.046,15.13,510968
2014-04-15,15.046,15.13,14.904,15.063,798939
2014-04-16,14.978,15.122,14.978,15.113,670490
2014-04-17,15.046,15.122,15.046,15.097,346836
2014-04-22,15.071,15.163,15.071,15.113,489688
2014-04-23,15.113,15.171,15.046,15.13,412765
2014-04-24,15.063,15.113,14.971,15.046,632457
2014-04-25,14.971,15.046,14.929,15.038,356260
2014-04-28,14.946,15.038,14.888,15.038,300034
2014-04-29,15.03,15.105,14.946,15.088,443535
2014-04-30,15.13,15.13,14.978,15.088,700916
2014-05-02,15.088,15.13,15.046,15.071,230040
2014-05-05,15.046,15.046,14.962,15.013,483611
2014-05-06,14.938,15.088,14.938,15.088,533296
2014-05-07,15.046,15.088,14.912,15.03,744908
2014-05-08,15.013,15.046,14.962,14.962,144075
2014-05-09,15.03,15.046,14.962,15.03,861502
2014-05-12,15.046,15.13,15.038,15.088,770831
2014-05-13,15.088,15.122,15.08,15.088,625371
2014-05-14,15.088,15.214,15.088,15.088,967900
2014-05-15,15.465,15.782,15.432,15.698,3350769
2014-05-16,15.64,15.782,15.597,15.715,1910815
2014-05-19,15.715,16.091,15.69,16.049,1034131
2014-05-20,16.049,16.133,15.916,16.133,720344
2014-05-21,16.1,16.283,16.066,16.283,1018770
2014-05-22,16.291,16.551,16.225,16.393,2205454
2014-05-23,16.383,16.78,16.383,16.621,2376985
2014-05-26,16.621,16.639,16.41,16.463,651465
2014-05-27,16.356,16.629,16.251,16.577,1831786
2014-05-28,16.41,16.498,16.12,16.207,1623402
2014-05-29,16.137,16.295,16.127,16.277,1423994
2014-05-30,16.268,16.647,16.172,16.639,18914032
2014-06-02,16.506,16.604,16.454,16.604,765596
2014-06-03,16.541,16.736,16.471,16.736,1647804
2014-06-04,16.657,17.176,16.657,17.176,1541787
2014-06-05,17.167,17.617,17.07,17.617,3701847
2014-06-06,17.572,18.047,17.555,18.013,4829581
2014-06-09,17.828,18.145,17.661,18.101,1249158
2014-06-10,17.969,18.577,17.951,18.321,5043326
2014-06-11,18.198,18.277,17.74,18.004,4248895
2014-06-12,17.969,17.995,17.845,17.96,2594222
2014-06-13,17.924,17.977,17.74,17.96,1754465
2014-06-16,17.749,18.004,17.176,17.969,1172783
2014-06-17,17.969,18.136,17.828,18.136,1497650
2014-06-18,18.136,18.259,17.933,18.136,3433451
2014-06-20,18.145,18.383,17.986,18.259,5492928
2014-06-23,18.101,18.268,18.022,18.188,933309
2014-06-24,18.04,18.321,17.969,18.101,1134880
2014-06-25,17.986,18.136,17.907,18.11,739331
2014-06-26,17.942,18.145,17.81,18.101,285838
2014-06-27,18.013,18.047,17.915,18.047,201466
2014-06-30,18.013,18.215,18.013,18.215,1348716
2014-07-01,18.057,18.215,18.04,18.215,755930
2014-07-02,18.013,18.18,17.802,17.969,1838333
2014-07-03,17.872,17.96,17.282,17.784,1904433
2014-07-04,17.555,17.661,17.431,17.617,328064
2014-07-07,17.528,17.792,17.511,17.669,803415
2014-07-08,17.617,18.163,17.617,18.101,1511653
2014-07-09,18.065,18.277,18.065,18.233,1156016
2014-07-10,18.233,18.233,17.933,18.215,809039
2014-07-11,18.145,18.366,18.136,18.313,986424
2014-07-14,18.277,18.321,18.057,18.057,456852
2014-07-15,18.057,18.321,17.986,18.295,216470
2014-07-16,18.198,18.497,18.188,18.391,814430
2014-07-17,18.391,18.523,18.33,18.489,1199499
2014-07-18,18.366,18.577,18.215,18.489,560576
2014-07-21,18.366,18.506,18.242,18.506,304881
2014-07-22,18.497,18.718,18.391,18.718,710006
2014-07-23,18.603,18.762,18.444,18.444,131337
2014-07-24,18.427,18.92,18.418,18.85,439166
2014-07-25,18.788,18.805,18.532,18.603,367031
2014-07-28,18.603,18.762,18.497,18.647,183265
2014-07-29,18.506,18.567,18.321,18.356,192047
2014-07-30,18.321,18.356,17.898,17.995,488004
2014-07-31,17.845,17.845,17.537,17.731,586272
2014-08-01,17.572,18.163,17.185,18.163,218401
2014-08-04,18.11,18.479,18.057,18.479,479524
2014-08-05,18.479,18.497,17.88,18.013,397267
2014-08-06,18.057,18.321,17.704,18.004,1427275
2014-08-07,17.969,18.233,17.792,18.004,676357
2014-08-08,17.969,18.242,17.449,18.127,536708
2014-08-11,18.127,18.391,18.057,18.391,307240
2014-08-12,18.321,18.647,18.321,18.647,616804
2014-08-13,18.418,18.744,18.391,18.586,1132579
2014-08-14,18.497,18.718,18.356,18.718,507383
2014-08-18,18.718,19.369,18.541,19.369,813662
2014-08-19,19.202,19.466,19.114,19.158,883554
2014-08-20,19.07,19.202,19.008,19.202,214911
2014-08-21,19.025,19.202,19.025,19.096,205574
2014-08-22,19.035,19.273,19.025,19.114,323418
2014-08-25,19.025,19.334,19.025,19.237,158093
2014-08-26,19.237,19.378,19.07,19.378,264240
2014-08-27,19.29,19.378,18.973,19.148,364849
2014-08-28,18.991,19.114,18.268,18.356,500681
2014-08-29,18.233,18.489,18.145,18.366,699895
2014-09-01,18.409,18.762,18.409,18.734,258286
2014-09-02,18.734,18.85,18.629,18.727,130433
2014-09-03,18.752,18.912,18.673,18.805,200182
2014-09-04,18.814,20.083,18.814,20.083,2676223
2014-09-05,19.827,20.092,19.748,20.092,803669
2014-09-08,19.995,20.7,19.933,20.7,878845
2014-09-09,20.611,20.69,20.435,20.69,289866
2014-09-10,20.567,20.7,20.523,20.7,327940
2014-09-11,20.602,20.602,19.835,20.17,958913
2014-09-12,20.126,20.7,20.083,20.259,727418
2014-09-15,20.17,20.443,19.863,20.25,451288
2014-09-16,20.25,20.479,20.047,20.435,583268
2014-09-17,20.435,20.963,20.303,20.479,1528910
2014-09-18,20.532,20.7,20.206,20.259,672915
2014-09-19,20.259,21.14,20.144,20.963,10940019
2014-09-22,20.611,21.483,20.611,21.228,498000
2014-09-23,21.271,21.536,20.875,20.963,739827
2014-09-24,20.973,21.052,20.84,20.857,1281741
2014-09-25,20.85,21.114,20.541,20.594,886048
2014-09-26,20.655,21.086,20.541,21.043,1032783
2014-09-29,21.043,21.14,20.708,20.919,674753
2014-09-30,20.928,21.246,20.743,21.14,2100163
2014-10-01,21.14,21.219,20.717,20.911,648210
2014-10-02,20.77,21.025,20.549,20.611,412683
2014-10-03,20.559,21.052,20.541,20.796,375700
2014-10-06,20.814,21.14,20.814,21.043,502925
2014-10-07,21.016,21.043,20.611,21.007,965174
2014-10-08,20.7,20.99,20.638,20.7,810341
2014-10-09,20.77,20.867,20.435,20.629,1060938
2014-10-10,20.541,20.743,20.17,20.435,842651
2014-10-13,20.435,20.655,20.268,20.347,736796
2014-10-14,20.347,20.7,20.347,20.514,982748
2014-10-15,20.576,21.14,20.541,20.743,1228807
2014-10-16,20.743,21.007,20.602,20.875,1098932
2014-10-17,20.919,21.14,20.787,21.007,2341731
2014-10-20,20.973,21.395,20.911,21.359,847181
2014-10-21,21.148,21.58,21.148,21.58,584058
2014-10-22,21.544,22.012,21.474,21.58,795943
2014-10-23,21.474,21.66,21.474,21.483,286267
2014-10-24,21.492,21.809,21.492,21.747,563190
2014-10-27,21.721,21.827,21.501,21.668,607924
2014-10-28,21.712,21.827,21.483,21.756,458589
2014-10-29,21.765,21.976,21.677,21.933,541470
2014-10-30,21.933,21.976,21.668,21.721,385531
2014-10-31,21.933,22.047,21.765,22.047,558859
2014-11-03,22.02,22.197,22.003,22.144,511373
2014-11-04,22.108,22.188,21.863,21.933,646484
2014-11-05,22.003,22.003,21.694,21.835,636157
2014-11-06,21.694,22.003,21.694,21.756,304608
2014-11-07,21.765,21.933,21.721,21.739,838643
2014-11-10,21.853,21.879,21.712,21.739,175343
2014-11-12,21.747,22.259,21.739,21.774,900639
2014-11-13,21.853,21.976,21.14,21.14,772474
2014-11-14,21.148,21.65,21.148,21.58,593319
2014-11-17,21.51,21.66,20.99,20.99,410839
2014-11-18,20.99,21.307,20.99,21.096,415235
2014-11-19,21.14,21.289,21.016,21.052,934965
2014-11-20,21.13,21.271,20.919,21.052,372295
2014-11-21,21.078,21.589,21.025,21.316,697426
2014-11-24,21.316,21.519,21.068,21.193,549098
2014-11-25,21.307,21.307,20.814,21.13,747459
2014-11-26,21.096,21.316,21.007,21.14,339041
2014-11-27,21.14,21.298,20.832,20.832,300162
2014-11-28,20.832,20.875,20.435,20.682,370799
2014-12-01,20.452,20.682,20.18,20.443,655392
2014-12-02,20.443,21.14,20.443,21.123,709091
2014-12-03,21.123,21.298,21.007,21.228,364950
2014-12-04,21.236,21.527,21.007,21.13,303848
2014-12-05,21.13,21.492,20.427,20.427,570242
2014-12-08,20.594,20.655,20.259,20.321,326550
2014-12-09,20.268,20.779,20.17,20.303,534577
2014-12-10,20.365,20.62,20.365,20.523,823559
2014-12-11,20.373,21.052,20.373,20.787,681950
2014-12-12,20.787,21.387,20.708,21.158,1189923
2014-12-15,21.14,21.756,21.052,21.359,857655
2014-12-16,21.14,21.747,20.963,21.351,883348
2014-12-17,21.158,21.562,20.875,20.885,838085
2014-12-18,20.963,21.316,20.479,21.007,819081
2014-12-19,20.963,20.963,20.311,20.311,1227321
2014-12-22,20.321,20.761,20.311,20.549,699104
2014-12-23,20.549,20.77,20.268,20.268,575002
2014-12-29,20.276,20.69,20.268,20.268,365368
2014-12-30,20.311,20.523,20.286,20.286,301965
2015-01-02,20.435,20.549,20.391,20.452,132636
2015-01-05,20.435,20.549,19.863,19.951,487850
2015-01-07,19.951,20.259,19.907,20.241,698070
2015-01-08,20.259,20.452,20.17,20.452,581702
2015-01-09,20.452,20.452,20.126,20.259,1784353
2015-01-12,20.188,20.215,18.991,19.053,1635315
2015-01-13,19.053,19.202,18.7,18.727,2093509
2015-01-14,18.832,19.017,18.436,18.93,2388398
2015-01-15,18.973,19.36,18.77,18.893,1196890
2015-01-16,18.893,19.219,18.85,18.912,1140861
2015-01-19,18.937,18.937,18.523,18.559,753306
2015-01-20,18.506,19.228,18.497,19.025,631873
2015-01-21,18.937,19.546,18.937,19.546,574370
2015-01-22,19.483,20.417,19.483,20.118,911943
2015-01-23,20.215,20.523,19.977,20.523,1248464
2015-01-26,20.268,20.743,20.259,20.567,633702
2015-01-27,20.541,20.541,19.202,19.378,1394900
2015-01-28,19.378,19.528,18.788,18.84,2865085
2015-01-29,18.885,18.885,18.418,18.497,1994790
2015-01-30,18.664,18.762,18.286,18.497,2015797
2015-02-02,18.541,18.639,18.083,18.454,828379
2015-02-03,18.55,19.14,18.515,19.025,1679870
2015-02-04,19.148,19.369,19.148,19.228,384847
2015-02-05,19.246,19.281,18.734,19.114,447795
2015-02-06,19.202,19.492,19.008,19.246,1019650
2015-02-09,19.298,19.378,19.078,19.176,452659
2015-02-10,19.114,19.202,18.964,19.043,412825
2015-02-11,19.053,19.158,18.762,18.893,752904
2015-02-12,18.814,18.893,18.427,18.629,624614
2015-02-13,18.629,18.796,18.559,18.673,643809
2015-02-16,18.664,18.673,18.454,18.532,392544
2015-02-17,18.497,18.937,18.454,18.691,280899
2015-02-18,18.691,18.762,18.586,18.594,279050
2015-02-19,18.611,18.937,18.611,18.902,336543
2015-02-20,18.832,18.902,18.7,18.7,375361
2015-02-23,18.85,18.902,18.629,18.673,415260
2015-02-24,18.762,19.29,18.682,19.025,565901
2015-02-25,19.114,19.184,18.78,18.937,323315
2015-02-26,18.937,19.114,18.7,18.937,278750
2015-02-27,18.937,19.863,18.937,19.818,1132611
2015-03-02,19.599,20.17,19.51,19.774,645772
2015-03-03,19.774,19.863,19.634,19.686,618455
2015-03-04,19.686,20.108,19.378,20.108,637638
2015-03-05,20.083,20.224,19.907,20.198,486476
2015-03-06,20.198,20.198,19.907,20.136,358919
2015-03-09,19.951,20.523,19.951,20.268,464155
2015-03-10,20.268,20.514,20.065,20.391,802043
2015-03-11,20.338,20.523,19.942,20.17,794302
2015-03-12,20.17,20.435,19.977,20.329,558915
2015-03-13,20.303,20.479,20.092,20.479,368647
2015-03-16,20.708,21.043,20.409,20.893,1433639
2015-03-17,21.052,21.624,21.052,21.572,1236383
2015-03-18,21.572,21.572,21.158,21.316,717677
2015-03-19,21.404,21.985,21.359,21.976,933582
2015-03-20,22.012,22.179,21.404,21.756,3629151
2015-03-23,21.747,21.756,20.998,21.58,551623
2015-03-24,21.58,22.161,21.58,21.933,840120
2015-03-25,21.853,22.108,21.809,22.108,905308
2015-03-26,22.02,22.188,21.792,21.976,555825
2015-03-27,22.02,22.197,21.933,21.933,722411
2015-03-30,22.02,22.391,22.02,22.329,701767
2015-03-31,22.285,22.373,21.668,21.933,564244
2015-04-01,21.721,21.923,21.554,21.73,945860
2015-04-02,21.73,21.923,21.598,21.845,431829
2015-04-07,21.845,22.241,21.827,22.108,361881
2015-04-08,22.108,22.452,22.065,22.443,487928
2015-04-09,22.443,23.025,22.302,22.928,1146298
2015-04-10,22.989,23.765,22.699,23.253,1889192
2015-04-13,23.042,23.148,22.813,22.813,594021
2015-04-14,22.777,23.209,22.743,22.946,713582
2015-04-15,23.034,23.253,22.954,23.253,711436
2015-04-16,23.253,23.526,23.166,23.412,645461
2015-04-17,23.297,23.518,23.104,23.121,628805
2015-04-20,23.096,23.297,22.998,23.209,720034
2015-04-21,23.209,23.518,23.034,23.034,869834
2015-04-22,23.034,23.526,22.954,23.526,1013492
2015-04-23,23.526,24.213,23.342,23.783,927455
2015-04-24,23.817,24.399,23.562,23.562,1141930
2015-04-27,23.623,23.87,23.166,23.386,764278
2015-04-28,23.342,23.861,23.253,23.765,512205
2015-04-29,23.43,23.588,22.108,22.108,3006564
2015-04-30,22.285,22.584,21.941,22.029,2367602
2015-05-04,22.434,22.532,22.047,22.197,1266269
2015-05-05,22.241,22.355,21.774,21.976,1508102
2015-05-06,22.154,22.715,21.976,22.369,1385065
2015-05-07,22.434,22.528,21.696,21.92,711824
2015-05-08,21.92,22.098,21.453,21.453,800797
2015-05-11,21.5,21.63,21.229,21.434,1155470
2015-05-12,21.434,21.827,21.434,21.78,1474734
2015-05-13,21.92,22.22,21.78,22.098,773176
2015-05-14,22.136,22.163,21.809,22.005,411198
2015-05-15,22.061,22.117,21.827,22.107,292651
2015-05-18,22.154,22.22,22.023,22.22,441923
2015-05-19,22.238,22.378,22.032,22.341,592377
2015-05-20,22.341,22.341,21.734,21.734,452981
2015-05-21,21.734,22.08,21.734,21.967,191619
2015-05-22,21.836,21.939,21.677,21.78,818824
2015-05-25,21.686,21.902,21.248,21.378,185342
2015-05-26,21.285,21.528,21.21,21.21,478245
