Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,10.257,10.272,10.119,10.119,1922
2009-12-22,10.25,10.25,10.185,10.25,156068
2009-12-23,10.272,10.365,10.272,10.365,942
2009-12-28,10.293,10.293,10.046,10.185,39828
2009-12-29,10.206,10.206,9.4786,9.82,83734
2009-12-30,9.602,9.82,9.536,9.602,8121
2009-12-31,9.572,9.602,9.558,9.602,2410
2010-01-04,10.031,10.031,9.711,9.827,1505
2010-01-05,9.894,9.929,9.572,9.807,8661
2010-01-06,9.807,9.807,9.536,9.58,14665
2010-01-07,9.53,9.53,9.4497,9.4497,2930
2010-01-08,9.4497,9.4497,9.0197,9.3105,35770
2010-01-11,9.4428,9.4428,9.2021,9.2972,2450
2010-01-12,9.4556,9.558,9.1869,9.1869,11156
2010-01-13,9.1869,9.4497,9.1869,9.4497,1161
2010-01-14,9.4497,9.4497,9.2382,9.2382,98287
2010-01-15,9.2382,9.3105,9.2097,9.2744,398
2010-01-18,9.3105,9.3848,9.3105,9.3396,5198
2010-01-19,9.3256,9.3396,9.165,9.1869,5299
2010-01-20,9.1869,9.3105,9.165,9.165,3132
2010-01-21,9.0711,9.2744,8.947,9.0568,144866
2010-01-22,9.3105,9.3105,9.0568,9.2382,676
2010-01-25,9.165,9.165,8.9839,8.9839,1491
2010-01-26,9.0058,9.0058,8.6198,8.6563,1536
2010-01-27,8.6563,8.8669,8.4455,8.5835,4728
2010-01-28,8.7144,8.7144,8.4455,8.4743,525
2010-01-29,8.5937,8.7256,8.5937,8.7256,3725
2010-02-01,8.5908,8.7219,8.4526,8.5108,927
2010-02-02,8.5108,9.2744,8.5108,9.2744,174773
2010-02-03,9.3475,9.3691,9.2744,9.3691,2660
2010-02-04,9.4428,9.4428,9.224,9.2448,10389
2010-02-05,9.2448,9.2448,8.4743,8.6198,8782
2010-02-08,8.5181,8.8016,8.5181,8.8016,2848
2010-02-09,8.8016,9.3848,8.5835,9.0928,3445
2010-02-10,9.0711,9.165,9.0711,9.165,1002
2010-02-11,9.0928,9.2382,9.0928,9.0928,1889
2010-02-12,9.0197,9.0197,8.8743,8.9396,11879
2010-02-15,9.0928,9.0928,8.8016,8.8384,1002
2010-02-16,8.8384,9.0197,8.6198,9.0197,3974
2010-02-17,8.889,9.2021,8.889,9.2021,133268
2010-02-18,9.2021,9.2021,8.6418,8.8743,5910
2010-02-19,8.6998,9.1518,8.6998,9.1518,1979
2010-02-22,9.1518,9.1946,8.9185,8.947,5648
2010-02-23,8.947,8.947,8.8384,8.8743,3789
2010-02-24,8.8016,8.8595,8.7362,8.7362,5828
2010-02-25,8.6563,8.8669,8.6054,8.8016,6494
2010-02-26,8.9691,8.9839,8.6998,8.9839,1211
2010-03-01,9.1946,9.1946,8.729,8.9839,6725
2010-03-02,9.4556,9.857,9.4556,9.623,15151
2010-03-03,9.638,10.185,9.638,10.185,65094
2010-03-04,10.227,10.38,9.929,10.192,11123
2010-03-05,10.365,10.365,10.185,10.33,9579
2010-03-08,10.33,10.613,10.33,10.613,48179
2010-03-09,10.665,10.911,10.403,10.657,7344
2010-03-10,10.831,10.911,10.548,10.548,20624
2010-03-11,10.875,10.911,10.686,10.853,6804
2010-03-12,10.897,10.897,10.555,10.853,4635
2010-03-15,10.816,10.816,9.82,10.62,6225
2010-03-16,10.475,10.758,10.35,10.533,4932
2010-03-17,10.35,10.831,10.293,10.831,177982
2010-03-18,10.423,10.911,10.423,10.904,34012
2010-03-19,10.765,10.911,10.607,10.911,31463
2010-03-22,10.904,10.911,10.694,10.7,3082
2010-03-23,10.904,10.904,10.642,10.904,2694
2010-03-24,10.904,10.911,10.665,10.904,18905
2010-03-25,10.897,11.129,10.823,10.911,35006
2010-03-26,10.839,10.992,10.839,10.911,34070
2010-03-29,11.02,11.02,10.736,10.897,1234
2010-03-30,10.897,10.897,10.73,10.889,3184
2010-03-31,10.891,11.637,10.861,11.272,48061
2010-04-01,11.092,11.275,10.985,11.02,11777
2010-04-06,11.028,11.261,11.028,11.253,9096
2010-04-07,11.238,11.238,11.043,11.043,1541
2010-04-08,11.238,11.238,10.985,10.985,1239
2010-04-09,11.195,11.195,10.672,10.839,13884
2010-04-12,10.781,10.911,10.475,10.475,7010
2010-04-13,10.445,10.548,10.111,10.548,13796
2010-04-14,10.373,11.129,10.373,11.129,73574
2010-04-15,11.122,11.203,10.985,11.203,90162
2010-04-16,11.122,11.341,11.122,11.165,3949
2010-04-19,10.919,11.144,10.765,10.765,17272
2010-04-20,10.911,11.129,10.765,11.129,2993
2010-04-21,11.129,11.53,10.985,11.53,142211
2010-04-22,11.493,11.53,11.341,11.341,750
2010-04-23,11.302,11.785,11.14,11.785,18574
2010-04-26,11.995,12.003,11.682,11.777,1987
2010-04-27,11.5,11.646,11.385,11.42,8066
2010-04-28,11.348,11.747,11.348,11.348,1899
2010-04-29,11.304,11.727,11.304,11.727,396
2010-04-30,11.714,11.714,11.459,11.459,2198
2010-05-04,11.465,11.485,11.165,11.385,3036
2010-05-05,11.312,11.312,10.962,11.058,7107
2010-05-06,11.058,11.073,10.846,11.05,13252
2010-05-07,10.765,10.911,10.765,10.787,8773
2010-05-10,10.911,11.326,10.911,11.319,1349
2010-05-11,11.639,11.742,11.238,11.238,2369
2010-05-12,11.073,11.275,11.073,11.165,898
2010-05-13,11.348,11.42,11.348,11.42,398
