Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-09,32.232,34.296,32.071,34.296,17457941
2010-11-10,34.296,34.296,33.025,33.025,2104813
2010-11-12,32.454,34.042,31.754,34.042,2590699
2010-11-15,33.914,34.168,33.025,33.406,596747
2010-11-16,33.215,33.343,32.517,32.517,553437
2010-11-17,32.485,33.025,32.2,32.2,663635
2010-11-18,32.708,33.089,32.421,32.421,405534
2010-11-19,32.708,32.771,32.358,32.517,568719
2010-11-22,32.517,32.708,32.421,32.548,541635
2010-11-23,32.517,32.517,31.85,31.85,466669
2010-11-24,32.071,32.39,31.85,32.39,552294
2010-11-25,32.485,32.548,31.946,32.326,128056
2010-11-26,32.326,32.326,31.697,32.136,622518
2010-11-29,31.882,31.914,31.59,31.66,250476
2010-11-30,31.437,32.071,31.437,32.071,154688
2010-12-01,32.071,33.153,31.882,33.089,342126
2010-12-02,33.089,33.248,32.835,33.057,362855
2010-12-03,33.025,33.089,32.708,32.835,90084
2010-12-06,32.803,32.835,32.326,32.454,79768
2010-12-07,32.2,32.39,32.009,32.232,128546
2010-12-08,32.104,32.454,32.009,32.454,501921
2010-12-09,32.39,32.517,32.136,32.39,205384
2010-12-10,32.39,32.454,32.2,32.295,77860
2010-12-13,32.326,32.708,32.326,32.708,121435
2010-12-14,32.454,32.644,32.136,32.136,106263
2010-12-15,32.104,32.2,32.04,32.167,155876
2010-12-16,32.136,32.167,31.914,32.136,109568
2010-12-17,32.009,32.071,31.882,31.914,84381
2010-12-20,31.914,32.071,31.692,32.071,282169
2010-12-21,31.85,31.914,31.754,31.882,141323
2010-12-22,31.754,31.946,31.747,31.819,510751
2010-12-23,31.754,31.819,31.697,31.697,175363
2010-12-27,31.709,31.747,31.317,31.343,175060
2010-12-28,31.309,31.437,30.993,31.247,374143
2010-12-29,31.12,31.743,31.12,31.743,172181
2010-12-30,31.754,31.754,31.5,31.533,80300
2010-12-31,31.535,31.658,30.926,31.123,130459
2011-01-03,31.182,31.374,31.006,31.309,177349
2011-01-04,31.309,31.786,31.309,31.615,208779
2011-01-05,31.59,31.615,31.011,31.437,179664
2011-01-07,31.247,31.278,30.853,30.879,312797
2011-01-10,30.802,30.82,29.608,29.945,237256
2011-01-11,29.818,30.441,29.818,30.357,242044
