Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,71.702,72.891,71.702,72.294,8507
2009-12-22,72.589,73.599,70.696,71.11,25268
2009-12-23,72.769,72.769,70.696,70.696,2687
2009-12-28,70.523,73.419,70.523,71.768,6927
2009-12-29,72.891,72.891,71.172,72.114,6501
2009-12-30,71.405,72.294,71.405,71.469,29900
2009-12-31,72.769,72.769,71.768,71.768,3774
2010-01-04,72.294,72.891,72.243,72.589,2291
2010-01-05,72.589,72.891,71.998,72.294,1464
2010-01-06,71.998,72.589,71.998,72.474,1734
2010-01-07,72.474,73.484,72.474,73.419,2714
2010-01-08,73.484,74.37,73.484,74.312,2478
2010-01-11,74.788,75.149,73.484,73.844,4193
2010-01-12,74.075,74.674,72.713,72.891,1906
2010-01-13,72.114,73.779,72.114,72.891,402
2010-01-14,72.589,73.959,72.589,73.959,133
2010-01-15,72.891,74.075,72.359,73.714,3041
2010-01-18,72.589,73.714,71.405,72.891,1453
2010-01-19,72.95,73.245,72.474,72.474,663
2010-01-20,73.419,73.419,71.11,72.359,6737
2010-01-21,71.405,72.114,70.819,70.819,6162
2010-01-22,71.11,71.11,69.984,70.523,7100
2010-01-25,69.929,70.047,68.386,68.743,42056
2010-01-26,68.743,68.743,66.491,66.964,35410
2010-01-27,67.557,67.557,66.727,66.964,1709
2010-01-28,66.61,69.219,66.61,68.149,3256
2010-01-29,67.555,68.922,67.555,68.152,6510
2010-02-01,68.149,68.805,67.083,67.557,51806
2010-02-02,67.379,70.461,67.379,70.461,1960
2010-02-03,71.11,72.294,71.11,72.243,2108
2010-02-04,71.11,71.702,69.633,69.867,5295
2010-02-05,67.557,68.743,67.557,67.853,19299
2010-02-08,67.025,68.446,67.025,67.676,2100
2010-02-09,68.149,68.149,67.557,68.149,531
2010-02-10,68.149,68.743,67.557,68.149,12634
2010-02-11,68.386,69.336,68.149,68.208,34290
2010-02-12,67.617,69.867,67.617,69.336,10861
2010-02-15,69.336,69.812,69.04,69.633,1334
2010-02-16,69.929,69.929,68.978,69.04,788
2010-02-17,69.336,69.633,69.336,69.633,420
2010-02-18,69.929,69.929,69.392,69.867,3144
2010-02-19,69.867,69.867,68.446,69.04,29675
2010-02-22,69.04,69.929,67.912,68.506,30168
2010-02-23,68.623,69.274,68.149,68.149,1493
2010-02-24,67.557,69.219,67.557,69.219,875
2010-02-25,68.091,69.04,66.135,67.676,4586
2010-02-26,66.491,67.557,66.135,67.498,18651
2010-03-01,67.438,67.438,66.964,67.379,411
2010-03-02,66.964,68.564,66.964,68.564,1184
2010-03-03,68.149,68.149,67.379,68.032,3834
2010-03-04,68.149,68.149,67.557,68.149,10723
2010-03-05,67.261,68.564,67.261,68.564,9525
2010-03-08,68.623,69.04,68.623,69.04,57753
2010-03-09,69.04,69.453,67.025,69.274,913
2010-03-10,69.274,69.336,67.793,69.336,992
2010-03-11,69.336,69.336,67.261,69.336,1751
2010-03-12,69.274,69.571,68.743,69.04,23011
