Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-01,2294.7,2305.22,2292.45,2296.36,12342444
2009-12-02,2308.53,2316.24,2300.94,2314.32,11077067
2009-12-03,2331.15,2337.6,2322.08,2337.6,9142417
2009-12-04,2337.68,2341.61,2321.84,2338.5,6524101
2009-12-07,2334.41,2335.77,2325.6,2329.25,12374827
2009-12-08,2327.64,2336.18,2313.79,2314.92,23757922
2009-12-09,2313.13,2313.55,2293.25,2303.98,7813720
2009-12-10,2309.59,2309.59,2294.05,2301.46,7134738
2009-12-11,2304.43,2315.79,2300.13,2315.79,5639445
2009-12-14,2321.8,2342.99,2319.2,2342.99,5976387
2009-12-15,2340.58,2358.82,2335.86,2358.82,9470166
2009-12-16,2357.65,2365.04,2353.53,2363.98,9222130
2009-12-17,2361.85,2369.16,2345.89,2365.36,8081404
2009-12-18,2357.29,2371.69,2345.55,2351.95,7142823
2009-12-21,2351.75,2370.38,2348.52,2370.38,10067696
2009-12-22,2373.54,2377.95,2366.3,2373.3,16075415
2009-12-23,2371.22,2375.26,2346.96,2350.73,18792394
2009-12-28,2356.69,2363.12,2349.48,2352.66,17509949
2009-12-29,2358.19,2366.6,2347.84,2366.6,12822381
2009-12-30,2369.78,2372.34,2347.79,2362.81,8676639
2009-12-31,2373.37,2373.74,2346.14,2346.14,7444842
2010-01-04,2347.43,2378.34,2347.26,2378.34,10923017
2010-01-05,2391.16,2395.49,2380.56,2395.49,12658057
2010-01-06,2399.13,2404.62,2390.47,2404.62,12619968
2010-01-07,2398.66,2403.52,2389.46,2398.97,17160427
2010-01-08,2405.43,2413.07,2390.07,2404.13,13633906
2010-01-11,2408.34,2415.74,2400.16,2412.21,7174203
2010-01-12,2416.72,2420.01,2389.78,2397.21,5568260
2010-01-13,2394.04,2407.33,2392.91,2407.33,19906635
2010-01-14,2414.01,2427.8,2400.58,2402.05,12467963
2010-01-15,2404.03,2425.35,2395.17,2407.02,10787516
2010-01-18,2422.21,2423.77,2414.06,2415.27,12735065
2010-01-19,2417.9,2418.26,2397.4,2407.69,6808502
2010-01-20,2416.41,2419.45,2406.8,2411.9,25275531
2010-01-21,2402.06,2406.92,2383.04,2390.55,22145715
2010-01-22,2376.24,2376.75,2337.23,2355.55,12479738
2010-01-25,2347.69,2350.77,2332.63,2343.27,9582715
2010-01-26,2341.19,2342.06,2303.64,2320.69,12963887
2010-01-27,2318.72,2332.08,2315.69,2322.06,15184201
2010-01-28,2332.28,2342.67,2325.91,2328.46,10862391
2010-01-29,2317.68,2318.39,2304.81,2314.08,6156283
2010-02-01,2311.82,2316.06,2287.16,2298.7,5197353
2010-02-02,2308.52,2313.6,2300.04,2310.2,9605379
2010-02-03,2316.72,2331,2316.53,2330.92,9282892
2010-02-04,2332.24,2334.55,2275.2,2275.2,14253627
2010-02-05,2241.09,2241.09,2198.86,2222.49,19629240
2010-02-08,2226.48,2243.78,2205.08,2213.51,12527358
2010-02-09,2219.26,2236.67,2217.24,2230.07,10730465
2010-02-10,2246.92,2260.56,2237.88,2237.88,14151309
2010-02-11,2252.48,2258.13,2226.15,2230.04,9461219
2010-02-12,2241.69,2266.21,2238.38,2264.11,8579729
2010-02-15,2265.99,2295.01,2262.53,2293.17,7564580
2010-02-16,2305.29,2310.45,2292.5,2296.88,11202283
2010-02-17,2312.93,2325.36,2304.63,2315.66,12445854
2010-02-18,2320.52,2321.07,2306.01,2308.6,9092263
2010-02-19,2308.22,2322.04,2305.69,2320.08,13892654
2010-02-22,2336.04,2343.96,2320.41,2321.92,8600658
2010-02-23,2325.51,2327.44,2311.46,2311.46,14170740
2010-02-24,2300.01,2309.08,2300.01,2305.62,9286543
2010-02-25,2304.73,2307.68,2284.03,2287.76,11907787
2010-02-26,2286.46,2306.46,2285.54,2304.8,7956328
2010-03-01,2322.71,2336.39,2319.29,2325.58,9592718
2010-03-02,2328.68,2338.89,2318.53,2338.89,17683254
2010-03-03,2343.85,2347.76,2335.33,2344.44,21203434
2010-03-04,2339.47,2344.18,2330.78,2337.41,30212733
2010-03-05,2342.54,2363.15,2339.98,2363.15,12289063
2010-03-08,2378.11,2381.96,2359.86,2369.44,10050659
2010-03-09,2371.57,2390.57,2352.54,2390.57,10485059
2010-03-10,2389.14,2426.25,2389.14,2422.79,18817948
2010-03-11,2427.21,2448.5,2425.84,2437.51,17196307
2010-03-12,2438.81,2460.18,2435.4,2447.36,40730804
2010-03-15,2452.54,2452.54,2419.95,2434.49,58057063
2010-03-16,2439.06,2456.77,2436.26,2453.31,43284571
2010-03-17,2463.04,2473.94,2461.09,2461.57,46006435
