Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,12.819,14.383,12.819,14.026,112098
2009-12-22,14.173,15.054,13.191,13.713,341911
2009-12-23,13.781,13.781,13.059,13.288,122432
2009-12-28,13.302,13.302,12.855,13.042,55032
2009-12-29,13.258,13.415,13.042,13.184,33226
2009-12-30,12.901,13.713,12.901,13.564,116886
2009-12-31,13.415,13.936,13.266,13.266,37170
2010-01-04,13.415,13.697,13.415,13.676,37782
2010-01-05,13.764,13.764,13.564,13.602,60920
2010-01-06,13.602,13.676,13.578,13.616,31648
2010-01-07,13.572,13.616,13.415,13.556,50177
2010-01-08,13.556,13.556,13.378,13.526,36481
2010-01-11,13.422,13.526,13.191,13.341,51773
2010-01-12,13.415,13.526,13.154,13.526,71995
2010-01-13,13.526,14.509,13.198,14.152,87093
2010-01-14,14.266,14.601,14.233,14.347,43904
2010-01-15,14.347,14.98,14.309,14.904,100483
2010-01-18,15.091,15.643,15.091,15.344,49983
2010-01-19,15.493,15.493,14.98,15.427,25469
2010-01-20,15.427,15.948,15.152,15.874,33824
2010-01-21,15.315,15.837,15.315,15.815,39737
2010-01-22,15.398,16.314,15.398,15.866,80829
2010-01-25,15.866,16.694,15.837,16.694,52338
2010-01-26,16.769,17.44,16.769,17.326,94864
2010-01-27,17.514,17.812,16.351,16.403,150843
2010-01-28,17.142,17.142,16.41,16.769,24889
2010-01-29,16.753,16.753,16.068,16.694,104341
2010-02-01,16.731,16.731,16.471,16.619,9233
2010-02-02,16.611,16.731,16.336,16.336,22230
2010-02-03,16.18,16.724,15.911,16.672,19743
2010-02-04,16.634,16.634,16.172,16.359,18236
2010-02-05,15.942,16.12,15.301,15.874,78398
2010-02-08,15.583,16.381,15.583,16.24,59451
2010-02-09,15.918,17.29,15.918,17.125,43759
2010-02-10,17.164,18.594,17.164,18.385,114234
2010-02-11,18.594,19.146,17.679,18.326,63404
2010-02-12,18.483,18.483,18.11,18.371,11004
2010-02-15,18.407,18.407,17.812,17.812,39772
2010-02-16,17.812,18.377,17.222,18.371,27866
2010-02-17,18.631,19.301,18.631,19.272,60331
2010-02-18,19.212,20.307,19.153,19.972,76073
2010-02-19,19.972,20.42,19.751,20.01,54847
2010-02-22,20.01,20.667,20.01,20.606,37765
2010-02-23,20.726,21.985,20.726,21.538,88032
2010-02-24,21.829,21.903,21.024,21.755,51197
2010-02-25,21.716,21.716,20.927,21.053,30953
2010-02-26,20.606,21.611,20.606,21.166,22006
2010-03-01,21.575,21.761,21.203,21.507,54097
2010-03-02,21.314,21.946,21.249,21.688,82029
2010-03-03,21.911,24.296,21.611,23.848,180155
2010-03-04,23.998,25.301,23.923,25.19,93381
2010-03-05,25.414,26.792,24.035,25.556,216727
2010-03-08,25.786,25.935,24.304,25.48,68735
2010-03-09,25.264,25.301,24.519,24.594,56193
2010-03-10,23.937,24.437,23.252,23.908,144828
2010-03-11,23.848,24.594,23.252,24.556,47959
2010-03-12,24.601,25.525,24.601,25.511,57205
2010-03-15,24.817,25.487,24.594,24.967,36285
2010-03-16,25.221,25.972,25.116,25.823,35868
2010-03-17,26.829,27.798,26.465,27.665,124902
