Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,7.885,8.35,7.76,8.1,89360
2009-12-22,8.28,8.39,8.205,8.39,1736790
2009-12-23,8.39,8.39,8.24,8.25,928580
2009-12-28,8.2,8.35,8.06,8.25,1302250
2009-12-29,8.26,8.265,8.065,8.25,348350
2009-12-30,8.25,8.25,8.1,8.25,634260
2009-12-31,8.25,8.25,8.08,8.2,711460
2010-01-04,8.2,8.34,8.15,8.23,139400
2010-01-05,8.23,8.3,8.23,8.25,215480
2010-01-06,8.22,8.38,8.22,8.33,35690
2010-01-07,8.37,8.37,8.31,8.33,10170
2010-01-08,8.35,8.35,8.25,8.33,8680
2010-01-11,8.4,8.635,8.4,8.6,72850
2010-01-12,8.635,8.71,8.6,8.68,335730
2010-01-13,8.735,8.79,8.6,8.6,38960
2010-01-14,8.61,8.79,8.61,8.61,8140
2010-01-15,8.75,8.75,8.615,8.7,42600
2010-01-18,8.8,8.96,8.8,8.8,16150
2010-01-19,8.86,8.86,8.26,8.415,442770
2010-01-20,8.4,8.415,8.195,8.29,843630
2010-01-21,8.2,8.29,8.06,8.24,1155020
2010-01-22,8.13,8.3,8.13,8.2,26480
2010-01-25,8.01,8.215,8,8.2,35690
2010-01-26,8.12,8.2,8.11,8.15,317930
2010-01-27,8.15,8.28,8.07,8.07,117850
2010-01-28,8.065,8.1,8,8,578390
2010-01-29,7.9,7.9,7.7,7.7,252300
2010-02-01,7.79,7.79,7.425,7.695,331050
2010-02-02,7.8,8.02,7.7,8.02,18860
2010-02-03,8.02,8.15,7.9,8.1,636260
2010-02-04,8.1,8.2,8.1,8.12,604770
2010-02-05,8,8,7.46,7.75,25370
2010-02-08,7.74,7.895,7.71,7.895,105750
2010-02-09,7.85,7.855,7.76,7.76,421410
2010-02-10,7.8,7.8,7.76,7.765,628830
2010-02-11,7.775,7.8,7.72,7.8,203070
2010-02-12,7.7,7.98,7.6,7.98,156300
2010-02-15,7.7,8.15,7.7,8,67030
2010-02-16,7.995,7.995,7.98,7.98,2600
2010-02-17,7.98,8.05,7.78,7.83,243380
2010-02-18,7.79,7.965,7.77,7.77,128870
2010-02-19,7.75,7.9,7.7,7.9,34440
2010-02-22,7.89,7.89,7.31,7.575,18510
2010-02-23,7.605,7.7,7.605,7.66,175360
2010-02-24,7.6,7.79,7.6,7.78,202290
2010-02-25,7.84,7.84,7.65,7.75,60770
2010-02-26,7.89,7.955,7.68,7.8,154360
2010-03-01,7.955,7.955,7.79,7.9,47960
2010-03-02,7.95,7.95,7.4,7.42,76480
2010-03-03,7.67,7.67,7.47,7.49,525790
2010-03-04,7.49,7.49,7.25,7.25,23810
2010-03-05,7.29,7.35,7.2,7.25,262190
2010-03-08,7.27,7.44,7.27,7.315,527470
2010-03-09,7.39,7.39,7.3,7.38,604340
2010-03-10,7.4,7.48,7.355,7.42,381270
2010-03-11,7.43,7.57,7.43,7.545,553090
2010-03-12,7.6,7.65,7.6,7.625,86510
2010-03-15,7.625,7.625,7.5,7.59,26390
2010-03-16,7.51,7.565,7.5,7.55,22260
2010-03-17,7.57,7.57,7.5,7.5,38600
2010-03-18,7.725,7.73,7.6,7.695,52330
2010-03-19,7.555,7.685,7.55,7.55,34700
2010-03-22,7.52,7.53,7.41,7.415,69410
2010-03-23,7.42,7.695,7.42,7.51,93100
2010-03-24,7.52,7.55,7.42,7.42,11720
2010-03-25,7.5,7.54,7.43,7.44,24090
2010-03-26,7.455,7.49,7.44,7.44,28810
2010-03-29,7.4,7.41,7.39,7.39,75650
2010-03-30,7.4,7.4,7.39,7.39,167180
2010-03-31,7.4,7.58,7.4,7.53,440670
2010-04-01,7.645,7.66,7.555,7.56,40740
2010-04-06,7.59,7.81,7.56,7.81,35710
2010-04-07,7.8,8.05,7.78,7.8,160500
2010-04-08,7.875,7.875,7.46,7.595,30280
2010-04-09,7.605,7.61,7.52,7.555,75480
2010-04-12,7.49,7.715,7.49,7.5,3010
2010-04-13,7.58,7.6,7.37,7.49,19330
2010-04-14,7.4,7.65,7.31,7.65,38290
2010-04-15,7.655,7.655,7.43,7.56,46020
2010-04-16,7.425,7.64,7.42,7.6,34360
2010-04-19,7.36,7.56,7.24,7.24,11340
2010-04-20,7.3,7.305,7.2,7.29,89590
2010-04-21,7.65,7.65,7.37,7.385,31350
2010-04-22,7.4,7.415,7.25,7.35,97270
2010-04-23,7.4,7.4,7.21,7.3,25750
2010-04-26,7.395,7.45,7.34,7.42,305490
2010-04-27,7.37,7.37,7,7.14,57130
2010-04-28,6.75,6.99,6.75,6.94,196930
2010-04-29,6.9,7.1,6.8,6.95,35220
2010-04-30,7.15,7.15,7,7,25710
2010-05-04,7.15,7.15,7,7.1,74160
2010-05-05,7.09,7.1,6.815,6.815,187630
2010-05-06,6.815,7.05,6.75,6.9,75990
2010-05-07,6.7,6.8,6.65,6.7,272430
2010-05-10,6.71,6.95,6.71,6.9,37040
2010-05-11,6.95,6.95,6.84,6.85,223970
2010-05-12,6.9,7.05,6.9,7.02,237010
2010-05-13,7.1,7.28,7.1,7.15,325600
2010-05-14,7.315,7.315,7.2,7.29,8220
2010-05-17,7.25,7.25,7.06,7.06,1484770
2010-05-18,7.05,7.1,6.79,7.09,76620
2010-05-19,7.075,7.075,6.76,7.05,530940
2010-05-20,6.95,7.08,6.82,6.82,204760
2010-05-21,6.6,7.05,6.6,6.98,126980
2010-05-24,7.04,7.28,6.98,6.98,247430
2010-05-25,6.9,6.91,6.65,6.89,20570
2010-05-26,6.955,7,6.755,6.87,15560
2010-05-27,7.05,7.235,6.93,6.955,1232550
2010-05-28,7.215,7.215,6.8,6.805,86560
2010-05-31,6.96,6.96,6.83,6.9,11180
