Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,20.354,20.861,20.015,20.861,776423
2009-12-22,20.918,21.256,20.168,20.474,421022
2009-12-23,20.482,20.982,20.136,20.942,999598
2009-12-28,21.344,21.344,20.973,21.215,454554
2009-12-29,21.247,21.247,20.724,20.901,678933
2009-12-30,20.901,21.247,20.339,20.933,323848
2009-12-31,20.949,20.966,20.627,20.659,155145
2010-01-04,20.619,21.167,20.619,21.167,407398
2010-01-05,20.949,21.199,20.659,20.933,345471
2010-01-06,21.022,21.022,20.339,20.619,102655
2010-01-07,20.339,20.386,19.902,19.975,603894
2010-01-08,20.547,20.547,19.975,20.297,585732
2010-01-11,20.136,20.531,20.096,20.378,654608
2010-01-12,20.184,20.378,19.781,20.378,224677
2010-01-13,20.048,20.369,20.048,20.184,322338
2010-01-14,20.417,20.417,19.757,19.805,434485
2010-01-15,19.83,19.894,19.597,19.814,692206
2010-01-18,19.653,19.887,19.508,19.661,64859
2010-01-19,19.685,20.217,19.653,20.055,385476
2010-01-20,20.136,20.394,19.911,20.29,251343
2010-01-21,19.814,20.339,19.765,19.854,245174
2010-01-22,19.677,19.733,19.097,19.322,613897
2010-01-25,19.33,19.412,19.089,19.128,336469
2010-01-26,18.968,20.242,18.928,19.814,222022
2010-01-27,19.814,19.814,19.347,19.412,240338
2010-01-28,19.49,19.573,19.122,19.122,335911
2010-01-29,19.33,19.33,19.05,19.33,201460
2010-02-01,19.016,19.306,18.847,18.928,188035
2010-02-02,19.032,19.089,18.461,18.726,308719
2010-02-03,18.887,18.911,18.63,18.743,225521
2010-02-04,18.759,18.839,18.123,18.364,634421
2010-02-05,18.09,18.123,17.172,17.527,663810
2010-02-08,17.519,17.557,16.649,17.317,385768
2010-02-09,17.398,17.398,16.793,17.019,463357
2010-02-10,17.003,17.39,17.003,17.124,439082
2010-02-11,17.317,17.317,16.287,16.351,464182
2010-02-12,16.577,16.906,16.439,16.906,325628
2010-02-15,17.076,17.076,16.713,16.946,212249
2010-02-16,17.107,17.301,16.963,17.059,477168
2010-02-17,17.607,17.97,17.278,17.348,552323
2010-02-18,17.195,17.446,17.076,17.309,834954
2010-02-19,16.931,17.519,16.931,17.519,197755
2010-02-22,17.8,17.8,17.132,17.147,202323
2010-02-23,17.317,17.342,16.407,16.898,355769
2010-02-24,16.802,17.147,16.431,17.147,416896
2010-02-25,16.802,16.85,16.239,16.311,598776
2010-02-26,16.149,16.793,15.625,16.761,1169199
2010-03-01,16.914,17.317,16.914,17.317,123672
2010-03-02,17.278,18.645,17.107,18.428,511409
2010-03-03,18.445,18.766,18.001,18.766,385390
2010-03-04,18.325,18.687,18.325,18.525,286281
2010-03-05,18.525,18.678,18.381,18.597,112875
2010-03-08,18.597,18.606,18.025,18.437,482445
2010-03-09,18.332,18.364,17.8,18.001,328390
2010-03-10,17.841,18.525,17.8,18.202,229112
2010-03-11,18.018,18.356,17.793,18.049,136557
2010-03-12,18.114,18.847,18.042,18.202,985559
2010-03-15,18.131,18.614,18.042,18.525,377156
2010-03-16,18.525,18.847,18.405,18.766,390508
2010-03-17,18.928,19.073,18.759,18.896,912096
2010-03-18,18.606,19.089,18.606,18.911,258492
2010-03-19,18.75,19.25,18.011,18.202,3032864
2010-03-22,18.364,19.008,18.131,18.525,177127
2010-03-23,18.887,19.05,18.534,18.687,304344
2010-03-24,18.92,18.992,18.283,18.879,199989
2010-03-25,18.928,19.315,18.348,18.348,395710
2010-03-26,19.001,19.33,18.775,19.089,971761
2010-03-29,19.242,19.564,18.928,19.33,442391
2010-03-30,19.33,19.958,19.25,19.958,1253838
2010-03-31,19.935,19.975,19.217,19.975,628471
2010-04-01,19.733,20.539,19.733,20.136,441522
2010-04-06,20.459,20.531,19.789,20.096,564259
2010-04-07,20.007,20.128,19.49,19.789,416623
2010-04-08,19.774,19.789,19.427,19.693,504345
2010-04-09,19.935,19.943,19.661,19.935,553280
2010-04-12,20.297,20.297,19.661,19.935,434476
2010-04-13,19.774,20.112,19.531,20.055,551869
2010-04-14,19.975,19.975,19.58,19.733,232917
2010-04-15,19.733,19.733,19.267,19.612,240799
2010-04-16,19.177,19.46,19.177,19.33,414381
2010-04-19,18.928,19.33,18.413,18.525,334754
2010-04-20,18.687,18.839,18.461,18.687,395832
2010-04-21,18.928,19.371,18.687,19.128,660844
2010-04-22,19.33,19.33,18.694,18.726,572375
2010-04-23,18.766,18.976,18.726,18.814,353733
2010-04-26,19.25,19.412,19.25,19.33,886806
2010-04-27,19.442,19.442,19.113,19.25,201815
2010-04-28,18.847,19.008,18.534,19.008,273432
2010-04-29,18.855,19.25,18.694,19.25,442057
2010-04-30,19.105,19.33,18.847,18.847,323149
2010-05-04,18.847,19.162,17.648,18.082,409391
2010-05-05,18.09,18.09,17.317,17.881,373949
2010-05-06,17.509,17.905,17.479,17.479,441686
2010-05-07,17.156,17.269,16.673,17.084,757202
2010-05-10,17.237,17.872,17.237,17.599,282735
2010-05-11,17.486,17.519,17.156,17.431,221440
2010-05-12,17.479,19.33,17.398,19.33,1062370
2010-05-13,19.355,19.587,18.461,19.29,318023
2010-05-14,19.17,19.25,18.364,18.364,779698
2010-05-17,18.325,19.338,18.276,19.338,679864
2010-05-18,19.733,19.733,19.008,19.25,578297
2010-05-19,18.702,18.863,17.977,18.445,1218814
