Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,14.257,14.485,14.126,14.338,356923
2009-12-22,14.338,14.534,14.338,14.501,529423
2009-12-23,14.371,14.648,14.257,14.485,1108280
2009-12-28,14.485,14.664,14.485,14.632,276629
2009-12-29,14.664,14.697,14.534,14.583,853868
2009-12-30,14.615,14.68,14.501,14.583,994896
2009-12-31,14.648,14.648,14.436,14.436,205585
2010-01-04,14.436,14.697,14.436,14.583,944438
2010-01-05,14.583,14.713,14.501,14.566,504913
2010-01-06,14.501,14.583,14.192,14.583,367898
2010-01-07,14.501,14.501,14.224,14.289,313029
2010-01-08,14.566,14.566,14.078,14.371,1004062
2010-01-11,14.42,14.615,14.354,14.583,523813
2010-01-12,14.632,14.632,14.371,14.501,479120
2010-01-13,14.485,14.501,14.354,14.403,1020857
2010-01-14,14.452,14.501,14.306,14.42,633240
2010-01-15,14.42,14.42,14.061,14.24,1012265
2010-01-18,14.24,14.338,14.094,14.338,274698
2010-01-19,14.322,14.485,14.192,14.485,774398
2010-01-20,14.501,14.958,14.469,14.908,3356604
2010-01-21,14.778,14.958,14.713,14.827,602668
2010-01-22,14.501,14.664,14.371,14.518,891383
2010-01-25,14.501,15.006,14.452,14.941,736369
2010-01-26,14.713,15.072,14.648,15.055,1112578
2010-01-27,14.974,15.348,14.843,15.316,1330074
2010-01-28,15.364,15.593,15.072,15.104,1000265
2010-01-29,15.153,15.169,14.843,14.99,730541
2010-02-01,14.876,14.99,14.729,14.746,235532
2010-02-02,14.746,14.843,14.583,14.746,695782
2010-02-03,14.827,15.283,14.827,15.153,1337741
2010-02-04,15.137,15.153,14.664,14.664,1802533
2010-02-05,14.632,14.632,14.094,14.452,1598329
2010-02-08,14.306,14.534,13.849,14.338,775053
2010-02-09,14.273,14.518,14.273,14.501,653466
2010-02-10,14.501,14.99,14.501,14.632,800530
2010-02-11,14.892,14.892,14.534,14.534,540951
2010-02-12,14.811,14.827,14.583,14.827,366720
2010-02-15,14.827,14.827,14.632,14.762,300874
2010-02-16,14.762,14.827,14.192,14.534,632199
2010-02-17,14.632,14.762,14.534,14.713,444476
2010-02-18,14.583,14.746,14.452,14.746,571865
2010-02-19,14.664,14.664,14.485,14.566,1035436
2010-02-22,14.664,14.664,14.534,14.664,318857
2010-02-23,14.664,14.697,14.387,14.55,563634
2010-02-24,14.615,14.778,14.436,14.664,242751
2010-02-25,14.664,14.664,14.257,14.257,659681
2010-02-26,14.257,14.713,14.061,14.713,707486
2010-03-01,14.778,15.072,14.68,15.072,437381
2010-03-02,15.348,15.805,14.941,15.805,1245031
2010-03-03,15.805,15.984,15.56,15.723,1563943
2010-03-04,15.512,16.212,15.512,15.723,806103
2010-03-05,15.952,16.244,15.756,16.212,366991
2010-03-08,16.293,16.57,15.886,15.968,1154925
2010-03-09,15.886,15.952,15.658,15.788,419347
2010-03-10,15.805,16.114,15.609,16.049,626620
2010-03-11,16.098,16.098,15.968,16.082,124752
2010-03-12,16.066,16.456,15.984,16.293,744879
2010-03-15,16.261,16.358,15.886,16.098,253323
2010-03-16,16.131,16.57,16.049,16.57,1030189
2010-03-17,16.798,16.815,16.326,16.554,450707
2010-03-18,16.293,16.587,16.179,16.293,403871
2010-03-19,16.244,17.45,16.049,16.049,2797269
2010-03-22,16.114,16.538,15.952,16.293,239321
2010-03-23,16.489,17.01,16.473,16.912,417165
2010-03-24,16.831,17.108,16.701,16.994,413960
2010-03-25,17.027,17.548,16.864,17.108,591126
2010-03-26,17.287,17.516,17.206,17.467,1244540
2010-03-29,17.532,17.548,17.369,17.418,712297
2010-03-30,17.418,17.548,17.401,17.548,578778
2010-03-31,17.548,17.923,17.483,17.516,725350
2010-04-01,17.695,17.89,17.695,17.858,1038664
2010-04-06,17.858,18.526,17.678,18.526,1796467
2010-04-07,18.656,18.656,18.021,18.151,945844
2010-04-08,18.004,18.135,17.711,17.923,324884
2010-04-09,17.923,18.249,17.923,17.972,821168
2010-04-12,17.972,18.216,17.923,18.037,431863
2010-04-13,18.037,18.216,17.858,18.2,1262506
2010-04-14,18.004,18.411,17.76,18.281,758430
2010-04-15,18.281,18.281,17.955,18.07,577678
2010-04-16,17.923,18.249,17.906,18.021,354251
2010-04-19,17.76,17.906,17.174,17.809,367664
2010-04-20,17.776,18.184,17.695,18.037,532992
2010-04-21,18.249,18.249,17.678,17.841,870301
2010-04-22,17.841,17.89,17.157,17.19,560985
2010-04-23,17.369,17.517,16.86,17.517,269976
2010-04-26,17.76,18.053,17.76,17.906,699233
2010-04-27,17.955,17.972,17.532,17.532,355718
2010-04-28,17.206,17.271,16.912,17.108,508867
2010-04-29,17.206,17.678,17.157,17.678,444035
2010-04-30,17.988,18.021,17.76,17.792,627781
2010-05-04,17.923,17.923,16.505,16.798,681946
2010-05-05,16.798,16.945,16.31,16.603,501726
2010-05-06,16.652,16.652,16.277,16.44,849437
2010-05-07,15.886,16.179,15.658,15.658,1049528
2010-05-10,16.212,16.603,16.212,16.603,771669
2010-05-11,16.587,16.587,16.228,16.228,279729
2010-05-12,16.277,16.912,16.277,16.766,614757
2010-05-13,16.945,17.027,16.456,16.684,543981
2010-05-14,16.603,16.652,16.017,16.293,562873
2010-05-17,16.049,16.375,15.577,16.212,506801
2010-05-18,16.375,16.44,16.147,16.293,331084
2010-05-19,16.049,16.098,15.332,16.049,761585
2010-05-20,15.886,16.114,15.186,15.479,798377
2010-05-21,15.316,15.952,14.908,15.952,1017700
2010-05-24,15.886,16.293,15.609,16.131,404349
2010-05-25,15.544,15.935,15.3,15.935,856150
2010-05-26,15.935,16.652,15.935,16.652,1013867
2010-05-27,16.636,16.668,16.277,16.603,855401
2010-05-28,16.701,16.766,16.407,16.603,851315
2010-05-31,16.532,16.696,16.45,16.68,299766
2010-06-01,16.587,16.587,16.049,16.277,530983
2010-06-02,16.131,16.489,15.984,16.407,566635
2010-06-04,16.57,16.603,15.837,16.131,536135
2010-06-07,15.821,16.212,15.756,16.212,471684
2010-06-08,16.293,16.375,15.87,16.293,398136
2010-06-09,16.358,16.358,16.017,16.277,911318
2010-06-10,16.179,16.375,16.017,16.293,448274
2010-06-11,16.375,16.391,16.082,16.293,759298
2010-06-14,16.391,16.538,16.293,16.293,387305
2010-06-15,16.277,16.44,16.228,16.424,225120
2010-06-16,16.522,16.522,16.212,16.293,243650
2010-06-17,16.31,16.391,16.033,16.196,599308
2010-06-18,16.049,16.733,15.952,16.733,1942408
2010-06-21,16.538,16.668,16.375,16.456,466351
2010-06-22,16.326,16.505,16.196,16.277,370936
2010-06-23,16.163,16.261,15.805,15.968,484794
2010-06-24,16.098,16.098,15.446,15.984,369942
2010-06-25,15.886,16.082,15.528,16.082,271395
2010-06-28,15.984,16.066,15.772,15.886,298491
2010-06-29,15.853,15.853,15.283,15.381,403778
2010-06-30,15.284,15.448,14.972,15.448,520744
2010-07-01,15.006,15.544,14.876,15.316,650176
2010-07-02,15.267,15.43,14.892,15.316,536755
2010-07-05,15.3,15.3,15.039,15.234,158863
2010-07-06,15.3,15.593,15.104,15.397,453583
2010-07-07,15.397,15.397,15.023,15.316,439154
2010-07-08,15.462,15.479,15.316,15.316,407291
2010-07-09,15.43,15.43,15.186,15.316,246137
2010-07-12,15.25,15.544,15.234,15.544,377041
2010-07-13,15.528,15.577,15.414,15.56,699255
2010-07-14,15.674,15.756,15.479,15.544,854937
2010-07-15,15.642,16.017,15.56,16.017,557614
2010-07-16,15.968,16.066,15.821,15.87,519888
2010-07-19,15.723,15.952,15.577,15.952,674483
2010-07-20,15.952,16,15.707,15.853,323148
2010-07-21,16.017,16.293,15.87,16.293,981164
2010-07-22,16.228,16.587,16.228,16.424,314200
2010-07-23,16.407,16.489,16.31,16.456,246658
2010-07-26,16.57,16.57,16.179,16.293,358401
2010-07-27,16.391,16.407,16.212,16.293,203567
2010-07-28,16.342,16.375,16.196,16.293,97847
2010-07-29,16.424,16.766,16.407,16.766,392678
2010-07-30,16.766,16.798,16.554,16.733,506019
2010-08-02,16.733,16.912,16.587,16.912,1054749
2010-08-03,16.929,17.027,16.619,16.701,677743
2010-08-04,16.782,16.782,16.603,16.684,242922
2010-08-05,16.619,16.766,16.44,16.44,398332
2010-08-06,16.603,16.619,16.293,16.505,125433
2010-08-09,16.701,16.717,16.293,16.456,187353
2010-08-10,16.44,16.636,16.31,16.619,332947
2010-08-11,16.505,16.587,16.293,16.456,255065
2010-08-12,16.326,16.456,16,16.456,208870
2010-08-13,16.473,16.522,16.228,16.456,265302
2010-08-16,16.293,16.538,16.228,16.522,227238
2010-08-17,16.375,16.522,16.293,16.522,193918
2010-08-18,16.554,16.554,16.131,16.293,357317
2010-08-19,16.391,16.407,15.902,16.293,340857
2010-08-20,16.017,16.358,15.968,16.212,130571
2010-08-23,16.066,16.57,16.066,16.57,428728
2010-08-24,16.326,16.342,15.902,16.098,369743
2010-08-25,15.968,16.082,15.577,15.642,638847
2010-08-26,15.723,15.837,15.495,15.642,399597
2010-08-27,15.853,15.886,15.56,15.691,509425
2010-08-30,15.805,15.853,15.446,15.626,285714
2010-08-31,15.448,15.711,15.136,15.645,776507
2010-09-01,15.707,15.87,15.446,15.691,792991
