Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-05-10,36.869,38.844,36.258,38.668,1000660
2011-05-11,38.574,38.574,38.018,38.018,59606
2011-05-12,37.731,38.473,36.925,38.01,82549
2011-05-13,37.639,37.714,37.454,37.574,13422
2011-05-16,37.592,37.917,37.528,37.816,42940
2011-05-17,37.731,37.807,37.454,37.463,74927
2011-05-18,37.545,37.667,37.463,37.545,8507
2011-05-19,37.545,37.602,36.572,37.592,25337
2011-05-20,37.621,37.621,37.295,37.545,23396
2011-05-23,37.555,37.555,37.286,37.362,42510
2011-05-24,37.082,37.545,36.712,37.545,44739
2011-05-25,37.454,38.01,37.454,38.01,9936
2011-05-26,37.778,38.381,37.731,37.731,35966
2011-05-27,37.463,37.824,37.463,37.778,10725
2011-05-30,37.509,37.639,37.176,37.185,16233
2011-05-31,37.119,38.641,37.074,38.435,65201
2011-06-01,38.435,38.435,37.545,38.334,1647
2011-06-02,38.288,38.288,37.545,38.186,6531
2011-06-03,37.592,38.148,37.545,37.592,6263
2011-06-06,37.463,38.01,37.268,38.01,41245
2011-06-07,37.545,38.01,37.545,38.01,58496
2011-06-08,37.545,38.01,37.545,38.01,127363
2011-06-09,37.824,37.824,37.545,37.545,40784
2011-06-10,37.454,37.545,37.176,37.545,61293
2011-06-13,37.454,37.639,37.454,37.592,23593
2011-06-14,37.119,37.37,37.119,37.37,62362
2011-06-15,37.092,37.545,37.092,37.528,12691
2011-06-16,35.414,37.129,35.414,37.082,18092
2011-06-17,36.943,37.082,36.526,37.082,45597
2011-06-20,35.692,37.082,35.692,36.804,104510
2011-06-21,36.619,37.082,36.619,36.804,121781
2011-06-22,36.629,37.537,36.629,37.082,3308
2011-06-24,37.074,37.268,36.907,37.082,12637
2011-06-27,37.009,37.176,36.99,37.082,57017
2011-06-28,36.341,37.082,36.341,37.082,2831
2011-06-29,36.99,37.268,36.99,37.268,8984
2011-06-30,37.545,37.545,37.082,37.545,12557
2011-07-01,38.01,39.818,38.01,39.687,37812
2011-07-04,39.633,40.327,39.633,40.327,25376
2011-07-05,40.467,40.512,39.883,40.141,13431
2011-07-06,40.013,40.141,39.122,40.141,9358
2011-07-07,40.141,40.605,39.531,40.327,15495
2011-07-08,40.141,40.56,38.983,38.983,5539
2011-07-11,38.956,39.77,38.909,39.029,4868
2011-07-12,39.604,39.604,36.693,38.919,46045
2011-07-13,38.01,39.4,38.01,38.936,6931
2011-07-14,38.111,38.927,38.111,38.919,18296
2011-07-15,38.919,38.919,38.473,38.751,672
2011-07-18,38.12,38.12,37.545,37.917,2394
2011-07-19,37.731,37.917,37.1,37.545,2675
2011-07-20,37.545,37.87,37.203,37.213,2113
2011-07-21,37.454,37.454,36.629,37.082,4353
2011-07-22,37.092,37.87,37.092,37.87,55014
2011-07-25,37.982,37.982,37.362,37.964,2792
2011-07-26,37.972,38.465,37.824,38.01,4229
2011-07-27,38.01,38.196,37.545,37.545,2756
2011-07-28,37.545,37.545,36.804,37.176,7211
2011-07-29,37.74,37.74,37,37.731,25090
2011-08-01,37.092,37.315,36.517,36.619,53067
2011-08-02,36.943,36.943,36.526,36.526,22689
2011-08-03,36.898,36.898,34.764,35.785,35833
2011-08-04,34.301,36.063,34.301,34.486,36641
2011-08-05,29.666,34.764,29.666,34.117,29297
2011-08-08,31.613,33.838,31.521,32.354,26427
2011-08-09,31.521,31.567,28.47,31.057,152613
2011-08-10,31.891,32.447,28.841,29.666,72909
2011-08-11,30.129,31.521,29.388,31.521,13393
2011-08-12,32.865,33.281,31.984,33.124,3546
2011-08-16,34.117,34.117,31.799,32.818,9164
2011-08-17,33.995,33.995,32.447,32.447,2103
2011-08-18,32.429,33.217,30.778,30.778,10768
2011-08-19,30.778,32.067,30.778,32.049,3938
2011-08-22,32.447,33.004,31.984,32.912,1008
2011-08-23,33.095,33.095,32.447,32.447,1758
2011-08-24,32.262,32.447,32.262,32.447,473
2011-08-25,32.539,33.375,32.539,32.912,861
2011-08-26,33.689,33.689,32.912,33.375,1277
2011-08-29,33.745,34.117,32.912,34.117,56481
2011-08-30,34.117,34.117,33.745,33.931,30146
2011-08-31,35.061,36.434,34.117,34.95,31086
2011-09-01,35.692,35.692,33.375,34.755,1962
2011-09-02,34.07,34.774,34.07,34.645,5262
2011-09-05,33.838,34.301,33.095,34.301,2613
2011-09-06,34.282,34.579,33.931,34.579,76971
2011-09-07,34.579,35.191,34.534,34.858,667
2011-09-08,37.082,37.082,36.294,37.082,338615
2011-09-09,37.064,37.176,35.247,36.712,15638
2011-09-12,36.712,36.712,34.905,35.32,4617
2011-09-13,35.32,36.165,34.764,35.228,3374
2011-09-14,35.228,35.32,35.228,35.228,16301
2011-09-15,35.971,35.971,35.608,35.654,1353
2011-09-16,35.237,36.601,35.237,36.572,1845
2011-09-19,36.619,36.619,35.507,36.249,70005
2011-09-20,36.249,36.804,36.249,36.804,2729
2011-09-21,36.619,37.88,36.619,37.454,3224
2011-09-22,37.082,37.082,36.294,36.434,6681
2011-09-23,35.525,36.934,35.525,35.971,126867
2011-09-26,36.619,37.378,36.323,37.378,2667
2011-09-27,37.362,38.936,37.362,38.473,14630
2011-09-28,38.566,40.058,38.566,39.956,64618
2011-09-29,39.863,40.67,39.863,40.67,10737
2011-09-30,39.4,41.087,39.4,39.863,67966
2011-10-03,39.863,39.863,38.104,39.112,8027
2011-10-04,38.936,38.936,37.388,37.454,11761
2011-10-05,38.01,39.132,37.917,39.112,6447
2011-10-06,39.196,39.863,39.029,39.4,717
2011-10-07,39.132,39.132,38.797,38.936,6712
2011-10-10,38.936,38.936,38.104,38.936,9752
2011-10-11,39.196,39.214,38.751,39.214,44593
2011-10-12,39.307,39.586,38.529,39.586,35659
2011-10-13,39.586,40.773,38.854,39.307,6758
2011-10-14,38.965,39.307,38.936,39.029,44046
2011-10-17,40.141,40.141,38.936,38.936,1508
2011-10-18,38.491,38.936,37.778,38.936,1972
2011-10-19,38.936,38.936,38.196,38.668,5983
2011-10-20,38.473,38.936,38.018,38.936,4468
2011-10-21,38.574,38.574,38.196,38.196,1339
2011-10-24,38.056,38.705,37.37,38.705,20183
2011-10-25,38.936,39.15,38.288,39.048,637
2011-10-26,38.927,39.048,37.555,39.019,1184
2011-10-27,38.936,39.586,38.473,39.586,3817
2011-10-28,39.863,39.863,38.77,38.77,594
2011-10-31,38.148,39.836,38.148,39.307,6852
2011-11-02,38.01,39.122,37.574,38.936,4977
2011-11-03,39.122,39.4,38.473,39.4,1442
2011-11-04,38.751,39.307,38.751,39.307,5207
2011-11-07,39.205,39.214,38.844,39.168,232220
2011-11-08,39.307,39.845,39.029,39.678,2153
2011-11-09,39.586,39.586,38.77,38.936,1081
2011-11-10,38.473,38.844,38.01,38.743,555
2011-11-14,38.89,39.298,38.075,38.473,2078
2011-11-15,38.196,38.473,35.367,38.473,5857
2011-11-16,38.51,39.4,38.51,39.4,2574
2011-11-17,39.4,39.493,38.658,39.4,1114
2011-11-18,38.993,38.993,37.684,38.936,9321
2011-11-21,38.473,38.473,37.545,37.555,1781
2011-11-22,37.545,38.01,37.545,38.01,10388
2011-11-23,38.473,38.473,37.286,37.555,71048
2011-11-24,37.824,38.288,37.824,37.982,1039
2011-11-25,37.639,39.307,37.555,38.89,11312
2011-11-28,37.731,38.658,37.731,38.658,3804
2011-11-29,38.018,38.658,38.018,38.65,2634
2011-11-30,38.381,40.791,38.381,40.791,64409
2011-12-01,39.873,40.791,39.41,39.586,33535
2011-12-02,40.642,40.642,39.623,39.818,1682
2011-12-05,39.678,40.327,39.41,39.77,835
2011-12-06,39.863,39.863,39.493,39.493,495
2011-12-07,39.761,39.761,39.214,39.224,2169
2011-12-08,39.057,39.863,38.65,39.863,6647
2011-12-09,39.493,40.234,38.797,39.678,683
2011-12-12,39.854,40.224,39.854,39.854,8013
2011-12-13,39.493,39.678,39.41,39.678,457
2011-12-14,39.863,40.038,39.863,39.863,723
2011-12-15,39.956,39.956,39.122,39.122,957
2011-12-16,39.122,39.214,39.122,39.214,63
2011-12-19,39.863,39.947,39.363,39.363,25328
2011-12-20,39.122,40.048,39.122,39.428,187616
2011-12-21,40.003,40.512,39.863,40.327,115460
2011-12-22,39.863,39.956,39.594,39.863,1173
2011-12-23,40.048,40.048,39.863,39.863,7262
2011-12-27,39.214,39.956,39.122,39.863,3920
2011-12-28,40.234,40.791,40.234,40.652,2719
2011-12-29,40.689,40.689,40.346,40.346,31123
2011-12-30,40.327,40.55,39.92,40.531,509
2012-01-02,40.624,40.624,39.994,40.124,1748
2012-01-03,40.327,40.587,39.863,40.327,54570
2012-01-04,40.327,40.327,40.141,40.141,222
2012-01-05,40.141,40.327,39.956,39.956,1984
2012-01-09,39.873,40.327,39.863,40.327,2402
2012-01-10,40.327,40.327,39.678,39.678,1860
2012-01-11,39.678,39.863,39.075,39.075,1999
2012-01-12,38.936,39.92,38.288,39.4,6580
2012-01-13,40.3,40.3,39.4,39.78,8476
2012-01-16,39.307,39.54,39.307,39.511,19779
2012-01-17,39.576,39.586,39.355,39.558,3275
2012-01-18,40.3,40.3,39.261,39.863,4508
2012-01-19,39.863,39.863,39.4,39.678,43037
2012-01-20,39.104,39.956,39.104,39.956,1107
2012-01-23,39.41,39.716,39.363,39.716,1815
2012-01-24,39.77,39.91,39.77,39.863,5458
2012-01-25,39.633,39.687,39.317,39.687,114
2012-01-26,39.325,39.863,39.325,39.54,49091
2012-01-27,39.854,39.91,39.586,39.91,8597
2012-01-30,39.428,39.863,39.132,39.863,1950
2012-01-31,39.854,39.863,39.132,39.289,1362
2012-02-01,39.586,39.77,39.511,39.586,2762
2012-02-02,39.586,39.594,39.493,39.493,144463
2012-02-03,39.4,39.725,38.936,39.725,3578
2012-02-06,39.77,40.745,39.735,40.327,5373
2012-02-07,40.745,43.108,40.699,43.108,21665
2012-02-08,43.758,44.962,42.655,43.108,9252
2012-02-09,42.506,43.193,41.995,41.995,4638
2012-02-10,41.977,41.995,41.078,41.699,2242
2012-02-13,41.995,42.635,41.3,41.718,8719
2012-02-14,41.728,41.792,41.699,41.718,2500
2012-02-15,41.718,42.635,41.718,42.618,30321
2012-02-16,42.608,43.48,42.459,43.387,2340
2012-02-17,43.387,43.48,43.071,43.201,5397
2012-02-20,43.247,43.48,42.747,43.47,3265
2012-02-21,43.48,43.573,43.127,43.573,1840
