Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,56.762,56.762,55.651,56.365,2098
2009-12-22,56.762,57.477,56.762,57.081,37454
2009-12-23,57.556,57.716,57.477,57.477,1797
2009-12-28,57.477,57.556,57.159,57.159,2150
2009-12-29,57.2,57.556,55.77,57.556,13882
2009-12-30,57.477,57.477,56.961,57.159,2429
2009-12-31,57,57.159,55.254,56.365,35633
2010-01-04,56.365,57.516,56.365,57.516,4308
2010-01-05,57.556,57.716,57.477,57.477,60177
2010-01-06,57.477,57.953,57.159,57.953,26155
2010-01-07,57.953,57.953,57.556,57.953,2778
2010-01-08,57.674,58.072,57.556,57.953,88938
2010-01-11,58.033,59.065,57.953,59.065,24248
2010-01-12,60.216,61.923,60.175,61.287,351922
2010-01-13,61.367,64.979,61.367,64.185,23569
2010-01-14,64.305,66.288,64.305,65.694,47911
2010-01-15,65.733,66.686,65.654,66.288,21846
2010-01-18,66.527,66.527,64.343,64.94,10106
2010-01-19,65.019,65.019,64.225,64.305,10576
2010-01-20,64.702,64.899,63.59,63.827,9626
2010-01-21,63.827,63.827,61.089,63.271,18437
2010-01-22,63.432,63.432,61.13,61.526,37166
2010-01-25,62.002,63.51,61.605,62.717,7372
2010-01-26,62.717,63.271,61.923,62.32,21116
2010-01-27,61.526,62.161,61.446,61.923,2197
2010-01-28,61.923,61.962,60.335,60.335,6477
2010-01-29,60.732,61.13,59.938,61.089,3366
2010-02-01,60.097,60.573,59.62,59.62,66891
2010-02-02,61.923,61.923,60.533,61.13,30730
2010-02-03,62.32,62.796,61.923,62.32,6902
2010-02-04,62.717,62.717,60.375,60.414,15772
2010-02-05,58.589,59.541,57.319,59.541,20371
2010-02-08,59.541,59.541,57.636,58.708,3140
2010-02-09,58.746,59.541,58.708,58.946,27330
2010-02-10,58.985,59.541,58.746,59.382,15339
2010-02-11,60.732,60.732,58.746,59.541,962
2010-02-12,59.541,59.541,58.39,58.746,30545
2010-02-15,60.295,60.652,58.746,60.652,2924
2010-02-16,59.66,60.256,59.541,59.541,2996
2010-02-17,60.454,60.454,59.701,59.701,32601
2010-02-18,59.938,59.938,59.065,59.303,51051
2010-02-19,59.342,59.342,58.668,58.668,16432
2010-02-22,58.746,59.462,58.668,58.746,4584
2010-02-23,58.827,58.827,57.994,58.351,3888
2010-02-24,57.953,57.953,56.088,57.119,6381
2010-02-25,56.841,56.922,55.967,55.967,8701
2010-02-26,57.119,57.716,55.89,56.326,5393
2010-03-01,57.477,57.953,56.762,57.239,51472
2010-03-02,57.556,57.913,57.319,57.636,18175
2010-03-03,57.953,57.953,57.477,57.953,1581
2010-03-04,59.541,59.541,57.159,57.556,20286
2010-03-05,58.746,58.985,58.351,58.351,21309
2010-03-08,60.335,60.335,58.906,59.303,7378
2010-03-09,59.105,61.923,58.351,60.494,1611908
