Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,34.785,35.111,33.494,35.022,108256
2009-12-22,35.111,36.654,35.111,36.654,11039
2009-12-23,35.969,36.744,35.944,36.654,12569
2009-12-28,37.021,37.112,36.132,36.336,22738
2009-12-29,36.744,36.866,35.927,36.336,7210
2009-12-30,36.336,36.989,35.969,36.981,2277
2009-12-31,36.908,36.908,36.222,36.222,104
2010-01-04,35.886,35.886,32.661,34.54,13182
2010-01-05,35.03,36.05,34.54,36.05,53921
2010-01-06,35.886,35.886,34.614,35.437,7297
2010-01-07,35.274,35.274,33.617,34.131,3984
2010-01-08,34.049,35.102,33.845,35.102,9874
2010-01-11,33.928,34.702,33.928,34.214,14683
2010-01-12,34.214,34.661,32.335,32.335,10121
2010-01-13,32.253,32.988,32.253,32.89,8772
2010-01-14,32.948,33.682,32.948,32.948,1661
2010-01-15,33.698,33.723,33.152,33.641,5414
2010-01-18,33.732,33.845,32.678,33.601,666
2010-01-19,33.601,33.82,32.669,32.669,4490
2010-01-20,33.641,33.723,32.865,33.232,10776
2010-01-21,33.275,33.275,32.661,33.07,3070
2010-01-22,33.723,33.723,30.987,31.437,7423
2010-01-25,31.232,32.204,30.629,30.661,4950
2010-01-26,30.661,31.191,28.987,29.967,10038
2010-01-27,29.558,30.114,28.987,29.501,3007
2010-01-28,29.828,29.828,29.314,29.314,39032
2010-01-29,29.314,29.828,28.824,29.558,1868
2010-02-01,29.706,30.571,28.423,28.578,4671
2010-02-02,28.578,29.29,27.444,28.089,10048
2010-02-03,28.563,28.57,26.538,27.468,81842
2010-02-04,27.451,27.46,26.088,26.088,6482
2010-02-05,26.048,26.048,25.027,25.059,13139
2010-02-08,25.084,25.794,25.059,25.059,9027
2010-02-09,25.059,26.039,25.027,26.039,4638
2010-02-10,26.602,28.457,26.602,27.191,22585
2010-02-11,27.435,27.762,26.945,26.945,6316
2010-02-12,27.101,27.191,26.945,26.945,12403
2010-02-15,26.954,28.161,26.945,26.945,5614
2010-02-16,26.702,27.149,26.447,26.447,4937
