Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-10-30,72.424,75.386,72.27,73.29,7878057
2013-10-31,72.433,74.14,72.433,73.282,340392
2013-11-04,73.146,73.824,72.795,73.011,165168
2013-11-05,72.83,73.146,72.334,72.785,286287
2013-11-06,72.116,72.477,67.737,72.477,571503
2013-11-07,70.527,72.379,70.527,72.243,224280
2013-11-08,72.243,72.604,72.243,72.604,144909
2013-11-12,72.243,73.598,72.071,73.282,131557
2013-11-13,72.957,74.537,72.785,74.356,125099
2013-11-14,73.064,74.049,72.795,74.049,112656
2013-11-15,73.164,76.297,73.164,74.962,150131
2013-11-18,74.952,75.99,74.185,75.585,219617
2013-11-19,74.862,76,74.663,75.404,121691
2013-11-20,75.404,75.404,74.501,74.501,188527
2013-11-21,74.356,74.591,73.598,73.842,584160
2013-11-22,73.598,74.727,73.507,74.41,156643
2013-11-25,74.094,76.189,74.094,75.855,316155
2013-11-26,75.503,75.855,74.97,75.575,144217
2013-11-27,74.78,77.066,74.78,76.759,508515
2013-11-28,76.759,79.468,76.759,77.887,288377
2013-11-29,77.933,78.935,77.933,78.474,93914
2013-12-02,78.474,78.474,77.391,77.391,71546
2013-12-03,78.005,78.195,75.855,76.324,65785
2013-12-04,76.759,77.165,75.864,75.864,92114
2013-12-05,76.487,76.749,75.404,75.404,39045
2013-12-06,75.828,75.855,75.223,75.539,38778
2013-12-09,75.864,78.023,75.864,77.662,67169
2013-12-10,77.841,78.095,77.391,77.662,73736
2013-12-11,77.841,77.887,76.759,77.165,119454
2013-12-12,77.202,77.202,74.952,74.952,75743
2013-12-13,74.952,75.657,74.844,74.952,237999
2013-12-16,74.962,75.855,74.962,75.855,218266
2013-12-17,76.125,76.125,73.327,73.688,279284
2013-12-18,73.688,75.178,73.688,74.952,231995
2013-12-19,74.989,75.855,73.444,74.049,132333
2013-12-20,74.952,75.078,73.706,74.32,109157
2013-12-23,74.501,75.466,73.607,74.591,147011
2013-12-27,74.736,75.25,74.068,75.25,148685
2013-12-30,75.404,77.635,75.404,77.635,126936
2014-01-02,76.912,78.067,76.759,78.05,14311
2014-01-03,78.05,78.05,77.237,77.3,8066
2014-01-07,77.274,77.274,75.747,76.307,50004
2014-01-08,75.757,77.607,75.404,76.903,22686
2014-01-09,77.526,77.526,76.125,76.767,16892
2014-01-10,76.759,76.759,75.133,76.063,22576
2014-01-13,76.063,77.57,76.063,77.553,66071
2014-01-14,77.03,78.023,76.759,77.12,88732
2014-01-15,77.662,77.662,77.12,77.526,80050
2014-01-16,77.57,78.384,77.391,77.841,60129
2014-01-17,77.933,80.19,77.933,79.323,128197
2014-01-20,79.323,79.458,78.229,79.422,58747
2014-01-21,79.477,80.813,79.468,80.505,66167
2014-01-22,80.732,82.005,79.938,81.273,107841
2014-01-23,81.725,83.052,81.634,82.177,71393
2014-01-24,81.779,81.816,80.469,81.273,128446
2014-01-27,80.823,81.174,78.664,81.174,58163
2014-01-28,80.605,82.005,80.37,82.005,33431
2014-01-29,82.177,83.261,81.292,82.177,35833
2014-01-30,81.363,82.609,81.363,82.177,7305
2014-01-31,82.177,82.177,81.607,81.607,31971
2014-02-03,81.319,82.9,81.319,82.583,17072
2014-02-04,81.969,82.9,81.273,82.619,30174
2014-02-05,82.88,83.079,82.34,82.808,70998
2014-02-06,83.079,85.554,83.079,84.569,131783
2014-02-07,85.139,85.202,84.173,84.434,14804
2014-02-10,84.226,84.705,84.226,84.434,6803
2014-02-11,84.434,84.877,84.254,84.254,13411
2014-02-12,84.119,84.778,83.802,84.778,23730
2014-02-13,84.616,84.778,83.531,83.982,55522
2014-02-14,84.425,84.425,83.531,83.531,82285
2014-02-17,83.197,84.163,81.86,83.531,30154
2014-02-18,83.531,83.531,81.725,82.628,89513
2014-02-19,82.086,83.079,81.95,82.628,52000
2014-02-20,82.565,82.718,82.177,82.718,99280
2014-02-21,82.718,83.441,82.718,83.288,32724
2014-02-24,83.35,83.432,81.95,83.079,10562
2014-02-25,82.583,83.847,82.267,83.522,76383
2014-02-26,83.423,83.441,82.177,82.538,33131
2014-02-27,82.032,83.079,81.95,82.628,63072
2014-02-28,82.177,83.143,82.177,82.628,28386
2014-03-03,79.468,81.157,76.578,77.841,113989
2014-03-04,77.752,81.283,77.752,80.009,114040
2014-03-05,81.273,81.273,80.009,80.19,28261
2014-03-06,80.28,81.626,80.28,81.228,108175
2014-03-07,81.219,81.816,80.823,80.823,45070
2014-03-10,80.027,80.723,79.468,79.603,16323
2014-03-11,79.557,80.633,79.557,80.236,54144
2014-03-12,79.621,80.605,79.557,79.918,75549
2014-03-13,79.694,79.965,79.468,79.468,71385
2014-03-14,79.468,79.468,76.578,79.286,98487
2014-03-17,79.286,81.86,78.655,81.86,30672
2014-03-18,81.725,82.628,81.725,82.609,20371
2014-03-19,82.609,82.628,81.499,82.177,38818
2014-03-20,82.357,83.035,81.86,82.718,44464
2014-03-21,82.718,83.07,81.472,82.944,60860
2014-03-24,81.698,82.9,81.698,82.447,107561
2014-03-25,82.628,82.628,81.996,82.628,237625
2014-03-26,82.177,83.079,82.177,82.989,25381
2014-03-27,83.079,83.079,81.788,82.141,4075
2014-03-28,82.141,82.628,81.273,82.24,133396
2014-03-31,82.43,82.447,81.725,81.725,351369
2014-04-01,81.725,82.168,81.499,81.634,24890
2014-04-02,82.177,82.637,81.77,82.015,8240
2014-04-03,82.177,83.079,81.816,82.9,22338
2014-04-04,83.079,83.079,82.502,82.538,9530
2014-04-07,82.538,82.628,82.096,82.177,13125
2014-04-08,82.177,83.261,81.996,83.079,65190
2014-04-09,83.495,84.786,83.495,84.786,34780
2014-04-10,84.696,84.696,83.125,83.531,21018
2014-04-11,83.404,83.404,82.049,82.149,29992
2014-04-14,81.292,81.292,79.918,81.184,28459
2014-04-15,79.991,81.184,79.918,80.027,5020
2014-04-16,79.477,81.075,79.016,79.016,42381
2014-04-17,79.468,79.91,79.468,79.892,21494
2014-04-22,79.892,80.641,79.468,79.856,174226
2014-04-23,79.856,80.1,79.016,79.639,334360
2014-04-24,79.468,79.829,79.016,79.016,16959
2014-04-25,78.564,79.819,78.564,79.332,17993
2014-04-28,79.639,79.819,78.564,79.107,6413
2014-04-29,79.016,79.269,75.341,75.847,37171
2014-04-30,74.962,76.307,74.058,75.72,20051
2014-05-02,75.223,76.487,75.223,75.449,3515
2014-05-05,75.223,75.449,74.23,74.41,35002
2014-05-06,74.899,75.178,74.555,74.943,44450
2014-05-07,74.952,76.307,74.591,75.404,45846
2014-05-08,75.043,76.125,75.043,75.693,79620
2014-05-09,75.99,75.99,74.601,74.771,126616
2014-05-12,74.952,74.952,70.437,74.049,86230
2014-05-13,74.952,75.449,74.049,74.771,91400
2014-05-14,74.817,74.943,73.869,74.673,9425
2014-05-15,75.855,75.936,75.043,75.133,130092
2014-05-16,75.902,75.902,73.97,74.074,38052
2014-05-19,74.992,75.386,73.136,75.386,47337
2014-05-20,75.855,76.418,75.293,75.377,36390
2014-05-21,76.183,76.183,74.636,75.011,12601
2014-05-22,75.367,75.564,74.824,75.555,199066
2014-05-23,75.573,76.98,75.573,76.98,50175
2014-05-26,77.168,77.824,76.98,77.458,207855
2014-05-27,77.777,79.371,77.355,79.23,56854
2014-05-28,79.23,79.23,77.637,78.246,388757
2014-05-29,78.48,78.48,76.671,76.886,175391
2014-05-30,77.074,77.074,76.136,76.418,26427
2014-06-02,76.886,76.886,76.146,76.558,104835
2014-06-03,76.886,77.777,76.886,77.449,49115
2014-06-04,76.886,76.886,75.949,76.418,114919
