Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-11,50.709,61.2,49.65,60.229,206681
2018-05-14,66.057,72.663,63.434,64.794,247294
2018-05-15,64.697,64.697,56.615,60.229,96725
2018-05-16,61.686,62.074,58.295,61.851,35008
2018-05-17,62.045,62.074,57.314,57.314,24776
2018-05-18,57.314,60.229,56.634,57.314,13448
2018-05-21,58.295,61.2,58.295,59.063,20934
2018-05-22,60.714,60.811,59.257,60.093,7808
2018-05-23,60.229,60.229,57.12,59.257,12537
2018-05-24,59.257,59.257,58.101,59.247,5732
2018-05-25,59.257,59.257,57.8,58.781,6068
2018-05-28,59.063,62.171,58.305,62.171,37505
2018-05-29,68,70.623,64.211,65.455,93253
2018-05-30,63.123,64.891,59.549,60.714,33236
2018-06-01,60.714,63.143,59.937,62.171,6579
2018-06-04,63.143,67.903,62.657,67.709,20474
2018-06-05,69.467,75.762,68.981,75.762,75621
2018-06-06,77.471,85.194,75.091,77.034,101265
2018-06-07,79.074,81.6,74.81,80.629,22659
2018-06-08,80.133,81.59,78.2,80.483,16318
2018-06-11,82.086,82.377,73.391,77.122,29639
2018-06-12,77.083,79.657,77.083,78.093,8212
2018-06-13,78.54,78.686,76.267,77.005,5799
2018-06-14,75.771,80.629,73.926,80.143,21651
2018-06-15,80.337,80.434,78.394,79.657,13139
2018-06-18,79.56,79.56,77.714,78.559,6262
2018-06-19,77.811,77.811,74.217,76.257,11465
2018-06-20,75.771,76.646,72.08,74.79,12551
2018-06-21,74.79,75.946,69.457,70.914,16199
2018-06-22,70.429,71.886,70.429,70.905,6709
2018-06-25,71.157,77.705,69.554,75.451,11127
2018-06-26,75.577,76.646,72.877,74.79,7216
2018-06-27,74.023,74.897,72.498,73.003,6226
2018-06-28,72.517,74.8,72.381,74.781,7271
2018-06-29,73.022,74.771,73.013,73.829,12919
2018-07-02,73.829,75.869,73.829,75.771,19301
2018-07-03,75.771,75.771,74.373,75.189,3528
2018-07-04,75.626,77.569,74.8,75.286,9843
2018-07-05,75.383,79.171,75.004,78.2,33459
2018-07-06,78.686,79.657,77.734,77.753,7407
2018-07-09,78.579,78.676,76.306,77.52,4414
2018-07-10,77.753,86.166,77.326,83.154,65964
2018-07-11,84.514,84.514,82.571,83.057,8259
2018-07-12,83.737,84.505,79.657,83.319,6182
2018-07-13,83.446,84.32,82.562,83.057,5755
2018-07-16,83.931,84.505,82.863,83.067,3766
2018-07-17,83.086,83.086,80.677,82.28,7259
2018-07-18,82.542,82.562,80.25,81.114,7742
2018-07-19,81.114,82.076,79.375,80.629,5536
2018-07-20,81.6,84.32,80.629,81.979,13802
2018-07-23,82.95,84.058,82.086,84.058,7460
2018-07-24,84.514,85.437,80.638,84.757,17057
2018-07-25,85.486,94.034,84.514,92.286,29778
2018-07-26,92.771,97.133,92.771,96.171,29610
2018-07-27,96.657,103.94,93.549,102.87,43135
2018-07-30,106.86,113.07,101.22,102.49,75502
2018-07-31,102,107.83,98.017,99.086,30146
2018-08-01,99.57,101.79,98.173,99.65,17826
2018-08-02,100.35,101.22,99.67,99.86,10643
2018-08-03,100.06,101.03,98.6,98.6,6927
2018-08-06,100.06,100.52,94.734,96.657,17348
2018-08-07,97.143,99.92,94.52,96.949,16082
2018-08-08,98.017,103.73,96.657,103.73,63834
2018-08-09,106.08,110.74,103.09,110.74,32721
2018-08-10,110.94,110.94,106.86,110.26,12639
2018-08-13,109.67,115.09,106.95,113.66,22650
2018-08-14,113.66,119.47,112.69,119,22827
2018-08-16,121.31,123.95,114.24,121.91,20658
2018-08-17,122.4,123.76,117.08,119.49,20950
2018-08-20,120.46,124.54,116.57,117.06,17838
2018-08-21,119.29,119.49,114.65,117.54,11135
2018-08-22,118.51,120.46,115.11,115.72,10043
2018-08-23,117.54,117.54,112.71,113.56,13492
2018-08-24,117.45,117.45,113.89,114.63,9373
2018-08-27,115.6,120.94,115.41,116.57,28186
2018-08-28,114.14,119.49,102.74,102.74,71935
2018-08-29,102.72,111.71,92.451,106.86,73652
2018-08-30,109.58,109.58,102,103.94,12402
2018-08-31,102.97,102.97,95.2,98.406,25475
2018-09-03,97.162,98.114,82.571,82.571,64825
2018-09-04,80.726,88.798,78.88,87.215,61819
2018-09-05,87.04,94.034,87.04,88.886,35415
2018-09-06,87.331,87.914,83.543,85.971,24514
2018-09-07,84.514,90.149,84.514,85.971,26915
2018-09-10,84.534,90.78,81.6,90.343,23736
2018-09-11,92.286,92.286,84.514,84.903,15456
2018-09-12,87.623,88.4,83.057,83.562,14378
2018-09-13,86.418,86.418,84.514,86.195,4171
2018-09-14,86.457,87.234,85.486,87.137,5727
2018-09-17,87.04,99.57,87.04,99.57,23773
2018-09-18,100.06,106.86,99.086,99.086,23995
2018-09-19,98.6,102,93.354,93.743,21003
2018-09-20,93.753,96.152,93.743,95.589,3171
2018-09-21,96.171,98.989,95.686,97.143,5131
2018-09-24,97.143,98.114,90.343,90.343,16897
2018-09-25,91.411,95.19,91.411,94.86,7125
2018-09-26,95.006,98.697,93.354,94.209,12008
2018-09-27,95.006,97.629,95.006,95.2,6973
2018-09-28,96.171,98.075,92.383,94.229,9462
2018-10-01,94.229,96.541,90.926,91.625,5109
2018-10-02,90.44,92.208,88.886,89.857,8449
2018-10-03,90.333,91.849,86.263,91.703,23520
2018-10-04,92.286,92.334,87.535,89.371,11401
2018-10-05,87.817,96.162,87.817,91.897,18302
2018-10-08,91.878,94.229,86.681,88.497,7740
2018-10-09,87.526,89.07,86.069,88.011,6193
2018-10-10,87.914,87.914,82.571,83.931,12055
2018-10-11,79.754,81.483,73.829,77.423,45067
2018-10-12,78.686,81.551,75.286,81.396,18022
2018-10-15,82.571,82.863,78.977,80.483,18403
2018-10-16,80.629,81.406,78.394,80.629,8724
2018-10-17,80.629,81.425,77.811,78.2,11786
2018-10-18,77.909,79.657,75.966,76.84,14292
2018-10-19,76.16,77.229,75.091,76.364,11975
2018-10-22,75.771,75.771,68.971,74.314,32631
2018-10-23,71.886,71.886,67.029,70.924,32150
2018-10-24,69.175,74.703,69.175,72.391,18552
2018-10-25,68.593,69.943,66.465,68.729,41311
2018-10-26,68.971,71.983,68.971,68.981,21013
2018-10-29,68.991,70.817,68.991,70.38,7570
2018-10-30,69.943,70.526,69.486,70.429,4915
2018-10-31,71.06,74.8,71.06,73.246,11286
2018-11-02,74.8,79.657,74.8,78.686,14171
2018-11-05,79.677,92.169,79.667,89.371,47387
2018-11-06,91.217,95.686,87.924,92.189,24828
2018-11-07,93.743,94.811,84.709,85.806,18359
2018-11-08,85.923,89.371,84.631,85.631,12335
2018-11-09,84.514,84.514,80.143,83.251,16856
2018-11-13,80.629,80.629,78.686,80.143,13271
2018-11-14,79.171,85.097,78.695,84.854,4892
2018-11-15,85.486,86.447,82.571,84.029,4798
2018-11-16,83.834,85,78.938,80.143,11818
2018-11-19,81.114,82.513,75.383,79.278,9041
2018-11-20,78.686,80.512,75.577,75.82,10839
2018-11-21,74.703,74.8,71.691,73.44,30567
2018-11-22,74.411,81.61,73.343,81.61,18500
2018-11-23,83.543,85,80.92,80.92,11206
2018-11-26,80.823,83.349,80.629,82.086,5910
2018-11-27,82.086,82.571,80.629,81.6,2719
2018-11-28,81.989,84.417,81.989,83.543,10228
2018-11-29,84.32,86.457,84.32,85.874,11350
2018-11-30,85.486,86.651,85,85.486,5422
2018-12-03,85.68,87.234,78.705,80.648,20525
2018-12-04,81.891,81.891,78.006,80.24,8739
2018-12-05,79.152,79.366,77.131,78.686,11145
2018-12-06,77.714,77.714,75.189,75.771,18649
2018-12-07,76.714,79.949,76.714,77.705,10472
2018-12-10,75.771,76.743,74.8,74.8,8829
2018-12-11,75.771,76.257,74.071,75.771,5773
2018-12-12,75.771,76.442,74.567,75.771,5077
2018-12-13,76.743,83.057,75.771,80.726,29462
2018-12-14,80.726,81.794,78.054,79.074,4935
2018-12-17,79.065,79.657,76.743,77.957,7518
2018-12-18,77.714,77.714,75.771,76.549,3452
2018-12-19,76.743,78.88,75.985,77.763,6592
2018-12-20,76.549,77.229,75.771,75.888,5543
2018-12-21,76.111,76.937,71.109,72.08,17864
2018-12-27,73.343,74.994,72.857,74.994,8672
2018-12-28,75.286,77.714,73.343,77.714,10014
2019-01-02,76.743,77.705,75.927,76.364,10089
2019-01-03,76.247,76.364,74.897,74.907,3935
2019-01-04,74.819,80.395,74.819,80.143,11487
2019-01-07,80.726,81.989,79.473,81.017,11773
2019-01-08,85.486,89.303,84.514,87.429,43510
2019-01-09,87.448,88.4,85.049,88.4,14983
2019-01-10,88.206,88.206,85.777,86.457,6437
2019-01-11,86.447,88.866,85.583,86.457,11164
2019-01-14,87.234,88.002,84.126,86.447,6562
2019-01-15,85.495,88.886,85.204,88.497,7980
2019-01-16,88.886,91.703,88.886,91.314,18318
2019-01-17,91.8,91.985,89.371,90.246,9719
2019-01-18,90.634,91.071,88.886,89.08,6450
2019-01-21,89.371,89.371,88.449,89.031,2130
2019-01-22,88.4,88.4,85.486,87.04,4390
2019-01-23,87.429,92.189,87.429,90.644,14447
2019-01-24,90.343,90.343,88.691,88.886,3748
2019-01-25,88.886,91.198,82.669,85.874,11650
2019-01-28,85.874,87.331,85,85.816,4093
2019-01-29,85.155,87.429,85.155,85.971,1950
2019-01-30,85.971,86.496,84.514,85.01,4680
2019-01-31,85.971,85.971,83.543,84.126,4223
2019-02-01,84.233,85.194,83.543,84.126,3230
2019-02-04,84.514,88.594,84.514,87.331,11499
2019-02-05,88.4,88.4,86.613,87.04,5083
2019-02-06,87.429,88.303,84.611,85.486,11172
2019-02-07,85.738,85.971,81.6,82.571,19731
2019-02-08,81.114,81.697,80.259,80.434,11530
2019-02-11,77.831,80.92,77.724,79.754,15664
2019-02-12,79.949,83.057,79.949,81.804,8712
2019-02-13,81.309,83.378,81.309,81.989,2193
2019-02-14,82.766,82.766,80.629,81.979,2927
2019-02-15,81.114,82.086,80.629,81.6,2338
2019-02-18,81.804,84.223,81.804,83.543,3758
2019-02-19,84.029,84.029,82.29,82.484,3164
2019-02-20,82.474,84.029,81.794,83.931,3926
2019-02-21,84.32,85.486,83.543,85.262,4999
2019-02-22,85.262,85.874,84.806,85.874,5691
2019-02-25,85.923,87.04,85.486,86.457,10656
2019-02-26,86.457,86.651,85.486,86.409,2877
2019-02-27,86.069,86.651,85.486,86.01,8906
2019-02-28,84.514,88.303,84.514,88.206,14961
2019-03-01,89.352,92.286,89.235,90.829,15399
2019-03-04,90.829,90.829,87.526,90.731,12741
2019-03-05,90.731,91.305,89.711,91.295,4035
2019-03-06,90.44,93.743,90.44,92.771,9625
2019-03-07,92.771,93.16,91.421,92.189,3043
2019-03-08,91.314,92.189,88.594,88.594,3687
2019-03-11,88.594,90.246,87.545,89.371,2342
2019-03-12,89.857,95.103,89.43,92.577,9629
2019-03-13,93.257,93.694,92.577,93.209,4969
2019-03-14,93.685,96.171,93.685,96.171,7479
2019-03-15,96.463,99.183,95.637,95.822,21574
2019-03-18,96.269,97.143,94.52,96.171,10605
2019-03-19,96.171,100.91,94.938,98.114,14818
2019-03-20,99.77,101.81,99.086,101.51,16018
2019-03-21,102,102.29,99.086,101.03,8502
2019-03-22,99.086,102,96.171,97.143,22991
2019-03-25,95.802,96.171,92.286,95.093,20572
2019-03-26,95.006,95.686,93.743,95.297,4127
2019-03-27,95.666,98.872,95.666,97.629,8998
2019-03-28,98.114,99.57,97.143,98.736,23350
2019-03-29,99.086,99.086,98.056,99.086,11161
2019-04-01,101.03,105.5,99.474,102.39,31110
2019-04-02,102.97,111.52,102.78,108.8,46492
2019-04-03,110.94,115.02,110.35,114.24,33784
2019-04-04,114.43,114.43,109.97,110.16,23321
2019-04-05,116.77,119.1,112.69,114.63,50720
2019-04-08,114.63,115.6,111.71,115.6,11282
2019-04-09,115.6,116.18,113.66,115.21,9285
2019-04-10,115.41,115.41,113.27,113.66,12018
2019-04-11,113.66,113.66,111.13,111.71,10885
2019-04-12,113.46,114.05,112.3,112.49,3825
2019-04-15,113.66,113.66,110.35,112.1,5488
2019-04-16,111.71,111.71,108.02,109.38,8973
2019-04-17,109.19,109.58,106.27,107.63,9913
2019-04-18,107.44,111.33,104.91,111.33,15587
2019-04-23,112.1,116.57,111.91,116.57,14221
2019-04-24,116.57,118.9,114.43,116.18,18502
2019-04-25,116.57,118.51,115.6,118.51,15889
2019-04-26,119.49,123.18,119.49,122.98,20851
2019-04-29,122.98,123.18,118.71,121.23,11670
2019-04-30,119.29,121.43,119.29,120.46,7377
2019-05-02,121.43,125.31,121.43,124.54,9148
2019-05-06,123.76,124.15,119.68,123.57,12588
2019-05-07,124.34,124.34,118.9,118.9,9346
2019-05-08,118.51,128.23,117.54,127.26,24721
2019-05-09,128.62,137.94,128.62,131.14,48855
2019-05-10,133.09,134.64,128.23,132.11,13002
2019-05-13,132.11,132.11,126.48,128.42,6098
2019-05-14,128.62,131.14,125.51,130.17,8787
2019-05-15,131.14,138.72,130.17,137.75,19557
2019-05-16,139.69,144.74,139.69,142.41,22229
2019-05-17,142.41,142.41,137.17,138.91,11947
2019-05-20,138.91,138.91,126.29,126.67,31284
2019-05-21,126.29,133.86,123.37,127.65,26012
2019-05-22,125.31,130.56,113.85,127.26,59498
2019-05-23,129.98,129.98,118.13,119.1,18976
2019-05-24,118.51,126.29,116.96,124.93,23148
2019-05-27,125.12,129.98,125.12,129.39,7666
2019-05-28,129.98,129.98,124.15,129.2,8947
2019-05-29,127.06,128.81,125.31,128.03,3680
2019-05-30,128.03,131.14,125.31,131.14,8215
2019-05-31,131.73,132.11,127.84,130.95,4917
2019-06-03,130.17,131.14,127.26,129.2,6160
2019-06-04,129,129.4,124.2,126.8,15193
2019-06-05,127.6,128,125.6,125.6,2997
2019-06-06,125.4,125.8,120.4,124.6,10323
2019-06-07,125,131.8,122.2,130.2,10639
2019-06-10,130.2,132,125.2,126.8,8925
2019-06-11,127,127.2,125.2,127,4020
2019-06-12,127,127,123.4,125,3436
2019-06-13,125,125,123.4,124,4294
2019-06-14,124,124,121.2,122,3983
2019-06-17,122,123,114.8,119,20316
2019-06-18,119,119,112.6,114.6,11102
2019-06-19,114,117.6,114,115.6,3079
2019-06-21,116,123.6,116,121,12113
2019-06-24,123,127.6,123,127,5476
2019-06-25,126.2,127.2,121.2,123.8,4428
2019-06-26,122.2,125,119.4,123.4,7959
2019-06-27,123.4,130,123,129.8,7647
