Emitent;Nazwa giełdowa;Ticker;ISIN;Branża;
Alior Bank SA;ALIOR;ALR;PLALIOR00045;Banki;
Asseco Poland SA;ASSECOPOL;ACP;PLSOFTB00016;Informatyka;
Bank Polska Kasa Opieki SA;PEKAO;PEO;PLPEKAO00016;Banki;
CCC SA;CCC;CCC;PLCCC0000016;Odzież i kosmetyki;
Cyfrowy Polsat SA;CYFRPLSAT;CPS;PLCFRPT00013;Telekomunikacja;
Energa SA;ENERGA;ENG;PLENERG00022;Energia;
Eurocash SA;EUROCASH;EUR;PLEURCH00011;Sieci handlowe;
Grupa Lotos SA;LOTOS;LTS;PLLOTOS00025;Paliwa;
Jastrzębska Spółka Węglowa SA;JSW;JSW;PLJSW0000015;Górnictwo;
KGHM Polska Miedź SA;KGHM;KGH;PLKGHM000017;Górnictwo;
LPP SA;LPP;LPP;PLLPP0000011;Odzież i kosmetyki;
mBank SA;MBANK;MBK;PLBRE0000012;Banki;
Orange Polska SA;ORANGEPL;OPL;PLTLKPL00017;Telekomunikacja;
PGE Polska Grupa Energetyczna SA;PGE;PGE;PLPGER000010;Energia;
Polski Koncern Naftowy Orlen SA;PKNORLEN;PKN;PLPKN0000018;Paliwa;
Polskie Górnictwo Naftowe i Gazownictwo SA;PGNIG;PGN;PLPGNIG00014;Paliwa;
Powszechna Kasa Oszczędności Bank Polski SA;PKOBP;PKO;PLPKO0000016;Banki;
Powszechny Zakład Ubezpieczeń SA;PZU;PZU;PLPZU0000011;Ubezpieczenia;
Santander Bank Polska SA;SANPL;SPL;PLBZ00000044;Banki;
Tauron Polska Energia SA;TAURONPE;TPE;PLTAURN00011;Energia;
