Date,Open_price_mWIG40,Max_mWIG40,Min_mWIG40,Close_price_mWIG40,Volume_mWIG40,Open_price_11B,Max_11B,Min_11B,Close_price_11B,Volume_11B,Open_price_ACP,Max_ACP,Min_ACP,Close_price_ACP,Volume_ACP,Open_price_AMC,Max_AMC,Min_AMC,Close_price_AMC,Volume_AMC,Open_price_ATT,Max_ATT,Min_ATT,Close_price_ATT,Volume_ATT,Open_price_BDX,Max_BDX,Min_BDX,Close_price_BDX,Volume_BDX,Open_price_BFT,Max_BFT,Min_BFT,Close_price_BFT,Volume_BFT,Open_price_BHW,Max_BHW,Min_BHW,Close_price_BHW,Volume_BHW,Open_price_BNP,Max_BNP,Min_BNP,Close_price_BNP,Volume_BNP,Open_price_BRS,Max_BRS,Min_BRS,Close_price_BRS,Volume_BRS,Open_price_CAR,Max_CAR,Min_CAR,Close_price_CAR,Volume_CAR,Open_price_CIE,Max_CIE,Min_CIE,Close_price_CIE,Volume_CIE,Open_price_CIG,Max_CIG,Min_CIG,Close_price_CIG,Volume_CIG,Open_price_CLN,Max_CLN,Min_CLN,Close_price_CLN,Volume_CLN,Open_price_CMR,Max_CMR,Min_CMR,Close_price_CMR,Volume_CMR,Open_price_DVL,Max_DVL,Min_DVL,Close_price_DVL,Volume_DVL,Open_price_EAT,Max_EAT,Min_EAT,Close_price_EAT,Volume_EAT,Open_price_ECH,Max_ECH,Min_ECH,Close_price_ECH,Volume_ECH,Open_price_ENA,Max_ENA,Min_ENA,Close_price_ENA,Volume_ENA,Open_price_ENG,Max_ENG,Min_ENG,Close_price_ENG,Volume_ENG,Open_price_EUR,Max_EUR,Min_EUR,Close_price_EUR,Volume_EUR,Open_price_FMF,Max_FMF,Min_FMF,Close_price_FMF,Volume_FMF,Open_price_FTE,Max_FTE,Min_FTE,Close_price_FTE,Volume_FTE,Open_price_GPW,Max_GPW,Min_GPW,Close_price_GPW,Volume_GPW,Open_price_GTC,Max_GTC,Min_GTC,Close_price_GTC,Volume_GTC,Open_price_GTN,Max_GTN,Min_GTN,Close_price_GTN,Volume_GTN,Open_price_ING,Max_ING,Min_ING,Close_price_ING,Volume_ING,Open_price_KER,Max_KER,Min_KER,Close_price_KER,Volume_KER,Open_price_KRU,Max_KRU,Min_KRU,Close_price_KRU,Volume_KRU,Open_price_KTY,Max_KTY,Min_KTY,Close_price_KTY,Volume_KTY,Open_price_LVC,Max_LVC,Min_LVC,Close_price_LVC,Volume_LVC,Open_price_LWB,Max_LWB,Min_LWB,Close_price_LWB,Volume_LWB,Open_price_MAB,Max_MAB,Min_MAB,Close_price_MAB,Volume_MAB,Open_price_MIL,Max_MIL,Min_MIL,Close_price_MIL,Volume_MIL,Open_price_ORB,Max_ORB,Min_ORB,Close_price_ORB,Volume_ORB,Open_price_PKP,Max_PKP,Min_PKP,Close_price_PKP,Volume_PKP,Open_price_PLW,Max_PLW,Min_PLW,Close_price_PLW,Volume_PLW,Open_price_STP,Max_STP,Min_STP,Close_price_STP,Volume_STP,Open_price_TEN,Max_TEN,Min_TEN,Close_price_TEN,Volume_TEN,Open_price_VRG,Max_VRG,Min_VRG,Close_price_VRG,Volume_VRG,Open_price_WPL,Max_WPL,Min_WPL,Close_price_WPL,Volume_WPL
2009-12-01,2294.7,2305.22,2292.45,2296.36,12342444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-02,2308.53,2316.24,2300.94,2314.32,11077067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-03,2331.15,2337.6,2322.08,2337.6,9142417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-04,2337.68,2341.61,2321.84,2338.5,6524101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-07,2334.41,2335.77,2325.6,2329.25,12374827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-08,2327.64,2336.18,2313.79,2314.92,23757922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-09,2313.13,2313.55,2293.25,2303.98,7813720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-10,2309.59,2309.59,2294.05,2301.46,7134738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-11,2304.43,2315.79,2300.13,2315.79,5639445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-14,2321.8,2342.99,2319.2,2342.99,5976387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
