Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-12-21,13.25,13.25,12.887,13.129,210418
2009-12-22,13.225,13.25,13.169,13.209,291878
2009-12-23,13.25,13.25,13.097,13.129,95418
2009-12-28,13.209,13.209,12.468,12.468,15601
2009-12-29,12.445,12.445,12.082,12.284,148599
2009-12-30,12.403,12.484,12.362,12.484,153282
2009-12-31,12.525,12.565,12.445,12.565,342007
2010-01-04,12.573,12.718,12.573,12.718,12901
2010-01-05,12.726,13.016,12.726,12.982,161456
2010-01-06,13.023,13.129,12.969,13.129,217050
2010-01-07,12.969,12.969,12.492,12.927,9663
2010-01-08,12.927,13.451,12.807,13.451,22005
2010-01-11,13.532,13.532,13.37,13.451,132666
2010-01-12,13.451,13.468,13.37,13.468,8994
2010-01-13,13.298,13.37,13.298,13.37,326
2010-01-14,13.451,13.717,13.451,13.701,113160
2010-01-15,13.717,14.006,13.71,14.006,115755
2010-01-18,14.006,14.416,14.006,14.408,118634
2010-01-19,14.394,14.416,14.102,14.255,61020
2010-01-20,14.403,14.403,14.096,14.289,33803
2010-01-21,14.177,14.296,14.137,14.249,48780
2010-01-22,14.096,14.216,13.959,14.096,136105
2010-01-25,13.926,14.055,13.733,13.99,54584
2010-01-26,13.79,14.255,13.572,14.168,282425
2010-01-27,14.177,14.24,14.111,14.177,69341
2010-01-28,14.015,14.055,13.723,14,162175
2010-01-29,13.989,13.989,13.857,13.875,225432
2010-02-01,14.055,14.055,13.289,13.507,14848
2010-02-02,13.507,13.692,13.507,13.612,8087
2010-02-03,13.451,13.612,12.903,13.612,64172
2010-02-04,13.692,13.692,13.25,13.507,340197
2010-02-05,13.468,13.468,13.104,13.451,67786
2010-02-08,13.443,13.58,13.443,13.491,343328
2010-02-09,13.547,13.572,13.37,13.37,129816
2010-02-10,13.233,13.491,13.009,13.009,72474
2010-02-11,13.009,13.049,12.645,12.887,86068
2010-02-12,12.887,13.049,12.63,13.049,158923
2010-02-15,13.049,13.83,12.645,13.532,21516
2010-02-16,13.83,13.878,13.661,13.661,35455
2010-02-17,13.934,13.934,13.604,13.612,121925
2010-02-18,13.853,13.853,13.289,13.289,38689
2010-02-19,13.37,13.37,13.289,13.37,78024
2010-02-22,13.37,13.532,13.329,13.329,51343
2010-02-23,13.418,13.418,13.289,13.329,27775
2010-02-24,13.089,13.451,13.089,13.169,56813
2010-02-25,13.209,13.209,12.969,12.969,52521
2010-02-26,13.289,13.329,13.089,13.329,121073
2010-03-01,13.653,13.814,13.049,13.692,219385
2010-03-02,13.814,13.814,13.692,13.741,48539
2010-03-03,13.814,14.096,13.774,14.015,9762
2010-03-04,14.015,14.015,13.612,13.612,111071
2010-03-05,13.845,14.015,13.307,14.015,40848
2010-03-08,13.893,14.249,13.814,14.177,23965
2010-03-09,14.177,14.216,14.127,14.177,62462
2010-03-10,14.177,14.497,14.096,14.457,44436
2010-03-11,14.497,15.022,14.457,14.658,56430
2010-03-12,14.658,14.893,14.618,14.852,61012
2010-03-15,14.821,14.821,14.595,14.675,23420
2010-03-16,13.71,14.781,13.71,14.74,42862
2010-03-17,14.74,15.062,14.74,15.055,8080
2010-03-18,15.055,15.264,15.055,15.143,218100
2010-03-19,15.102,15.223,15.062,15.11,141178
2010-03-22,15.102,15.303,15.022,15.303,146961
2010-03-23,15.464,15.916,15.303,15.787,30085
2010-03-24,15.867,15.867,15.312,15.667,43252
2010-03-25,15.667,15.707,15.457,15.627,12202
2010-03-26,15.585,15.627,14.989,15.627,53858
2010-03-29,15.707,15.948,15.545,15.627,41904
2010-03-30,15.787,16.109,15.464,15.464,37157
2010-03-31,15.426,15.827,15.302,15.302,64914
2010-04-01,15.303,15.383,14.981,14.981,42689
2010-04-06,14.974,15.537,14.901,15.537,176413
2010-04-07,15.303,15.689,15.303,15.344,52814
2010-04-08,15.287,15.545,15.143,15.143,30410
2010-04-09,15.554,17.356,15.554,16.994,482472
2010-04-12,17.155,17.56,16.52,17.317,227927
2010-04-13,17.317,17.317,16.922,17.107,22169
2010-04-14,17.55,17.55,16.931,16.994,15431
2010-04-15,16.915,17.181,16.319,16.994,48039
2010-04-16,17.236,17.236,16.915,16.987,24592
2010-04-19,16.953,16.953,16.681,16.915,40769
2010-04-20,16.672,16.953,16.672,16.915,46786
2010-04-21,16.915,17.236,16.915,17.236,47275
2010-04-22,17.228,17.236,16.755,17.236,44070
2010-04-23,16.917,17.197,16.796,16.959,117647
2010-04-26,17.196,17.317,16.994,17.317,35682
2010-04-27,17.317,17.317,17.123,17.236,8349
2010-04-28,16.987,17.074,16.681,16.922,52325
2010-04-29,16.835,17.317,16.835,17.317,30191
2010-04-30,17.657,17.674,17.319,17.525,56637
2010-05-04,17.721,17.744,17.317,17.325,35532
2010-05-05,16.591,16.89,16.585,16.601,194813
2010-05-06,16.27,16.898,15.681,16.27,41215
2010-05-07,16.109,16.109,15.303,15.707,121419
2010-05-10,15.585,16.755,15.585,16.755,88340
2010-05-11,16.755,17.228,16.755,17.228,110483
2010-05-12,17.228,17.801,17.011,17.398,68669
2010-05-13,17.713,17.721,17.446,17.454,23822
2010-05-14,17.599,17.801,17.543,17.543,538472
2010-05-17,17.68,17.88,17.56,17.848,53884
2010-05-18,17.865,17.88,17.721,17.841,63512
2010-05-19,17.801,17.801,16.922,17.155,18819
2010-05-20,17.148,17.148,16.44,16.52,73561
2010-05-21,16.116,16.818,15.4,16.149,18248
2010-05-24,16.915,17.148,16.27,16.351,19678
2010-05-25,16.27,16.915,16.27,16.431,71386
2010-05-26,16.431,16.915,16.431,16.755,53975
2010-05-27,16.835,16.915,16.755,16.755,57379
2010-05-28,16.915,16.915,15.787,16.109,234244
2010-05-31,16.466,16.499,16.13,16.311,11365
2010-06-01,16.541,16.589,16.122,16.508,59147
2010-06-02,16.508,16.508,16.032,16.107,70498
2010-06-04,16.188,16.229,15.188,16.065,98964
2010-06-07,15.36,16.065,15.36,15.868,181974
2010-06-08,15.868,16.081,15.705,16.081,47444
2010-06-09,16.032,16.457,16.032,16.27,99654
2010-06-10,16.27,16.311,16.107,16.27,48084
2010-06-11,16.416,16.646,16.411,16.411,17485
2010-06-14,16.574,16.582,16.411,16.411,15981
2010-06-15,16.411,17.23,16.098,17.23,18816
2010-06-16,16.82,16.902,16.704,16.877,22872
2010-06-17,16.434,17.148,16.434,17.148,50385
2010-06-18,17.107,18.051,16.911,18.051,81804
2010-06-21,17.927,17.969,17.64,17.969,31273
2010-06-22,17.969,18.042,17.805,17.969,142008
2010-06-23,17.969,18.133,17.969,18.092,95089
2010-06-24,18.092,18.092,17.319,18.092,31681
2010-06-25,18.092,18.46,16.82,18.46,82112
2010-06-28,18.46,18.46,18.256,18.42,119390
2010-06-29,18.379,18.403,17.427,18.051,18149
2010-06-30,18.032,18.091,17.684,17.791,15185
2010-07-01,17.715,17.715,17.272,17.394,12524
2010-07-02,17.394,17.476,16.984,17.476,90549
2010-07-05,17.476,17.64,17.476,17.574,4354
2010-07-06,17.64,18.059,17.64,17.969,18238
2010-07-07,18.051,18.051,17.969,18.051,30610
