Emitent;Nazwa giełdowa;Ticker;ISIN;Branża;
11 bit studios SA;11BIT;11B;PL11BTS00015;Gry video;
AB SA;ABPL;ABE;PLAB00000019;Handel hurtowy;
AC SA;ACAUTOGAZ;ACG;PLACSA000014;Motoryzacja;
Agora SA;AGORA;AGO;PLAGORA00067;Media;
Altus Towarzystwo Funduszy Inwestycyjnych SA;ALTUSTFI;ALI;PLATTFI00018;Rynek kapitałowy;
Alumetal SA;ALUMETAL;AML;PLALMTL00023;Hutnictwo;
Arctic Paper SA;ARCTIC;ATC;PLARTPR00012;Drewno i papier;
ASBISc Enterprises PLC;ASBIS;ASB;CY1000031710;Handel hurtowy;
Asseco Business Solutions SA;ASSECOBS;ABS;PLABS0000018;Informatyka;
Asseco South Eastern Europe SA;ASSECOSEE;ASE;PLASSEE00014;Informatyka;
Astarta Holding NV;ASTARTA;AST;NL0000686509;Produkcja żywności;
Atal SA;ATAL;1AT;PLATAL000046;Nieruchomości;
Auto Partner SA;AUTOPARTN;APR;PLATPRT00018;Motoryzacja;
Bank Ochrony Środowiska SA;BOS;BOS;PLBOS0000019;Banki;
Bioton SA;BIOTON;BIO;PLBIOTN00029;Ochrona zdrowia;
Braster SA;BRASTER;BRA;PLBRSTR00014;Ochrona zdrowia;
Bumech SA;BUMECH;BMC;PLBMECH00012;Elektromaszynowy;
Celon Pharma SA;CLNPHARMA;CLN;PLCLNPH00015;Ochrona zdrowia;
CFI Holding SA;CFI;CFI;PLINTKS00013;Rekreacja i wypoczynek;
Comp SA;COMP;CMP;PLCMP0000017;Informatyka;
Develia SA;DEVELIA;DVL;PLLCCRP00017;Nieruchomości;
Dom Development SA;DOMDEV;DOM;PLDMDVL00012;Nieruchomości;
Echo Investment SA;ECHO;ECH;PLECHPS00019;Nieruchomości;
Eko Export SA;EKOEXPORT;EEX;PLEKEP000019;Recykling;
Elektrobudowa SA w upadłości;ELBUDOWA;ELB;PLELTBD00017;Budownictwo;
Elemental Holding SA;ELEMENTAL;EMT;PLELMTL00017;Recykling;
Enter Air SA;ENTER;ENT;PLENTER00017;Transport;
