<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACG,D,20110811,000000,8.7582,10.826,8.7582,10.771,62844,0
ACG,D,20110812,000000,10.766,10.771,10.365,10.771,11767,0
ACG,D,20110816,000000,10.507,10.771,10.507,10.771,1884,0
ACG,D,20110817,000000,10.473,10.717,10.473,10.717,3063,0
ACG,D,20110818,000000,10.507,10.702,10.473,10.702,3871,0
ACG,D,20110819,000000,10.479,10.664,10.479,10.664,5693,0
ACG,D,20110822,000000,10.555,10.555,10.555,10.555,2957,0
ACG,D,20110823,000000,10.555,10.555,10.528,10.548,4618,0
ACG,D,20110824,000000,10.528,10.613,10.528,10.613,14153,0
ACG,D,20110825,000000,10.555,10.657,10.555,10.613,1578,0
ACG,D,20110826,000000,10.538,10.637,10.538,10.637,1734,0
ACG,D,20110829,000000,10.668,11.096,10.63,11.096,10416,0
ACG,D,20110830,000000,10.771,11.096,10.771,11.096,2566,0
ACG,D,20110831,000000,10.853,11.475,10.853,11.475,4673,0
ACG,D,20110901,000000,10.691,11.745,10.691,11.745,4201,0
ACG,D,20110902,000000,11.745,11.745,11.745,11.745,56,0
ACG,D,20110905,000000,11.691,11.691,11.691,11.691,6,0
ACG,D,20110906,000000,10.933,11.745,10.826,11.745,7817,0
ACG,D,20110909,000000,11.367,11.691,11.048,11.691,1124,0
ACG,D,20110912,000000,11.367,11.74,10.966,11.74,1977,0
ACG,D,20110913,000000,11.367,11.664,11.048,11.664,1546,0
ACG,D,20110914,000000,11.048,11.664,11.048,11.664,831,0
ACG,D,20110915,000000,11.058,11.664,11.058,11.664,2734,0
ACG,D,20110919,000000,11.367,11.664,11.367,11.664,1102,0
ACG,D,20110920,000000,11.664,11.856,11.664,11.856,1359,0
ACG,D,20110921,000000,11.372,11.745,11.372,11.745,1074,0
ACG,D,20110922,000000,11.264,11.264,11.231,11.231,3677,0
ACG,D,20110923,000000,11.096,11.096,10.907,10.912,18492,0
ACG,D,20110926,000000,10.831,11.258,10.826,10.989,12579,0
ACG,D,20110927,000000,10.826,10.961,10.826,10.826,82002,0
ACG,D,20110928,000000,11.312,11.312,10.826,11.231,37879,0
ACG,D,20110929,000000,10.831,11.145,10.831,11.096,3182,0
ACG,D,20110930,000000,10.823,10.823,10.799,10.799,79442,0
ACG,D,20111003,000000,10.821,10.821,10.771,10.771,368,0
ACG,D,20111004,000000,10.776,10.776,10.776,10.776,75,0
ACG,D,20111005,000000,10.814,10.821,10.814,10.821,371,0
ACG,D,20111006,000000,10.821,10.821,10.821,10.821,20,0
ACG,D,20111007,000000,11.367,11.367,10.783,11.367,954,0
ACG,D,20111011,000000,11.15,11.361,11.15,11.361,4433,0
ACG,D,20111012,000000,10.842,11.341,10.842,11.341,2643,0
ACG,D,20111013,000000,11.231,11.231,11.231,11.231,184,0
ACG,D,20111014,000000,10.933,11.258,10.933,11.258,37016,0
ACG,D,20111017,000000,10.933,11.286,10.933,11.286,22207,0
ACG,D,20111018,000000,11.286,11.286,11.286,11.286,19,0
ACG,D,20111019,000000,11.312,11.312,11.312,11.312,26,0
ACG,D,20111020,000000,10.933,11.15,10.933,11.15,1774,0
ACG,D,20111021,000000,10.944,11.367,10.944,11.367,1810,0
ACG,D,20111024,000000,11.253,11.253,11.253,11.253,870,0
ACG,D,20111025,000000,11.042,11.367,11.042,11.367,616,0
ACG,D,20111026,000000,11.253,11.367,11.253,11.367,831,0
ACG,D,20111027,000000,11.253,11.74,11.253,11.74,3859,0
ACG,D,20111028,000000,11.372,11.637,11.367,11.632,4433,0
ACG,D,20111031,000000,11.63,11.882,11.63,11.882,3304,0
ACG,D,20111102,000000,11.367,11.475,11.312,11.312,5086,0
ACG,D,20111103,000000,11.856,11.856,11.372,11.399,241652,0
ACG,D,20111104,000000,11.48,11.609,11.42,11.609,943,0
ACG,D,20111107,000000,11.691,11.799,11.378,11.799,2849,0
ACG,D,20111108,000000,11.799,11.799,11.799,11.799,25,0
ACG,D,20111109,000000,11.399,11.632,11.393,11.632,2427,0
ACG,D,20111114,000000,11.448,11.627,11.448,11.627,368,0
ACG,D,20111115,000000,11.475,11.637,11.475,11.637,554,0
ACG,D,20111116,000000,11.393,11.621,11.393,11.621,74362,0
ACG,D,20111118,000000,11.372,11.637,11.367,11.637,1495,0
ACG,D,20111121,000000,11.632,11.637,11.632,11.637,368,0
