<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATT,D,20080630,000000,15.692,15.692,13.311,13.311,62862,0
ATT,D,20080701,000000,13.319,13.319,11.987,12.271,90789,0
ATT,D,20080702,000000,12.312,13.252,12.312,12.835,3747,0
ATT,D,20080703,000000,12.761,12.936,12.486,12.653,10073,0
ATT,D,20080704,000000,12.902,12.902,12.494,12.494,10290,0
ATT,D,20080707,000000,12.745,12.745,12.236,12.603,8135,0
ATT,D,20080708,000000,12.444,12.444,11.753,12.062,20020,0
ATT,D,20080709,000000,12.054,12.328,12.054,12.328,9729,0
ATT,D,20080710,000000,12.328,12.437,12.054,12.162,10017,0
ATT,D,20080711,000000,12.437,12.437,12.078,12.153,8127,0
ATT,D,20080714,000000,12.428,12.528,12.078,12.403,1869,0
ATT,D,20080715,000000,12.403,12.403,11.321,11.437,8597,0
ATT,D,20080716,000000,10.904,10.98,10.613,10.98,15076,0
ATT,D,20080717,000000,11.07,11.279,10.813,11.263,12208,0
ATT,D,20080718,000000,11.355,11.655,10.821,11.655,18607,0
ATT,D,20080721,000000,11.655,12.486,11.403,12.461,15513,0
ATT,D,20080722,000000,12.444,12.453,12.153,12.437,16177,0
ATT,D,20080723,000000,12.453,13.826,12.453,13.644,41985,0
ATT,D,20080724,000000,13.652,13.901,13.311,13.403,16822,0
ATT,D,20080725,000000,13.293,13.336,12.786,13.319,5678,0
ATT,D,20080728,000000,14.052,14.052,13.193,13.477,11829,0
ATT,D,20080729,000000,13.319,13.485,13.111,13.394,9366,0
ATT,D,20080730,000000,13.193,13.602,13.193,13.469,9381,0
ATT,D,20080731,000000,13.377,13.652,13.377,13.586,12593,0
ATT,D,20080801,000000,13.56,13.652,13.319,13.327,13825,0
ATT,D,20080804,000000,13.644,13.644,13.193,13.319,6778,0
ATT,D,20080805,000000,13.319,13.319,12.961,13.286,16222,0
ATT,D,20080806,000000,13.319,13.644,13.277,13.394,9406,0
ATT,D,20080807,000000,13.485,13.609,13.477,13.594,19680,0
ATT,D,20080808,000000,13.485,13.568,13.403,13.568,45932,0
ATT,D,20080811,000000,13.635,13.669,13.469,13.493,9639,0
ATT,D,20080812,000000,13.511,13.644,13.511,13.543,4418,0
