<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIO,D,20050316,000000,25,26,25,25,776380,0
BIO,D,20050317,000000,26,30,26,30,223631,0
BIO,D,20050318,000000,32,34,31,32,370743,0
BIO,D,20050321,000000,32,33,30,31,102500,0
BIO,D,20050322,000000,31,31,30,30,51715,0
BIO,D,20050323,000000,29,29,28,28,111810,0
BIO,D,20050324,000000,29,31,29,30,63404,0
BIO,D,20050329,000000,30,32,30,32,90786,0
BIO,D,20050330,000000,32,32,32,32,34010,0
BIO,D,20050331,000000,33,34,33,33,71766,0
BIO,D,20050401,000000,33,34,32,33,47237,0
BIO,D,20050404,000000,33,33,32,33,16420,0
BIO,D,20050405,000000,33,33,33,33,15031,0
BIO,D,20050406,000000,33,33,32,33,13806,0
BIO,D,20050407,000000,33,33,33,33,13077,0
BIO,D,20050411,000000,33,33,33,33,41024,0
BIO,D,20050412,000000,33,33,33,33,11328,0
BIO,D,20050413,000000,33,33,33,33,9885,0
BIO,D,20050414,000000,33,33,32,32,13446,0
BIO,D,20050415,000000,32,32,31,31,16213,0
BIO,D,20050418,000000,31,31,30,30,49406,0
BIO,D,20050419,000000,30,31,29,31,20660,0
BIO,D,20050420,000000,31,31,30,31,8029,0
BIO,D,20050421,000000,30,31,30,31,9433,0
BIO,D,20050422,000000,32,32,31,31,10411,0
BIO,D,20050425,000000,31,31,30,31,7160,0
BIO,D,20050426,000000,31,31,30,31,11061,0
BIO,D,20050427,000000,31,31,30,30,15426,0
BIO,D,20050428,000000,30,31,30,31,4273,0
BIO,D,20050429,000000,31,31,30,31,15025,0
BIO,D,20050502,000000,31,31,31,31,16254,0
BIO,D,20050504,000000,31,31,31,31,2756,0
BIO,D,20050505,000000,31,31,30,31,7810,0
BIO,D,20050506,000000,31,31,31,31,14807,0
BIO,D,20050509,000000,31,31,31,31,1576,0
BIO,D,20050510,000000,31,31,31,31,5158,0
BIO,D,20050511,000000,31,31,31,31,3165,0
BIO,D,20050512,000000,31,31,31,31,14150,0
BIO,D,20050513,000000,31,31,31,31,28986,0
BIO,D,20050516,000000,31,31,31,31,5083,0
BIO,D,20050517,000000,31,31,29,30,29697,0
BIO,D,20050518,000000,31,31,30,31,12948,0
BIO,D,20050519,000000,31,31,31,31,37997,0
BIO,D,20050520,000000,31,31,31,31,17704,0
BIO,D,20050523,000000,31,34,31,32,67340,0
BIO,D,20050524,000000,33,33,31,32,16515,0
BIO,D,20050525,000000,32,33,32,32,13559,0
BIO,D,20050527,000000,32,33,32,32,8515,0
BIO,D,20050530,000000,32,33,32,32,13100,0
BIO,D,20050531,000000,32,32,32,32,6974,0
BIO,D,20050601,000000,32,32,32,32,6674,0
BIO,D,20050602,000000,32,33,32,32,24777,0
BIO,D,20050603,000000,33,33,32,33,14034,0
BIO,D,20050606,000000,33,35,33,35,61849,0
BIO,D,20050607,000000,36,36,35,36,122630,0
BIO,D,20050608,000000,36,39,35,38,171025,0
BIO,D,20050609,000000,38,38,37,38,57879,0
BIO,D,20050610,000000,38,38,38,38,29721,0
BIO,D,20050613,000000,38,38,37,38,26972,0
BIO,D,20050614,000000,38,38,37,37,29333,0
BIO,D,20050615,000000,40,45,38,45,294104,0
BIO,D,20050616,000000,46,51,45,46,315960,0
BIO,D,20050617,000000,45,46,44,44,61898,0
BIO,D,20050620,000000,44,47,43,47,77866,0
BIO,D,20050621,000000,48,50,47,48,121554,0
BIO,D,20050622,000000,48,48,47,48,23882,0
BIO,D,20050623,000000,48,48,46,47,36088,0
BIO,D,20050624,000000,46,46,45,45,84250,0
BIO,D,20050627,000000,45,45,45,45,27319,0
BIO,D,20050628,000000,45,47,45,47,36478,0
BIO,D,20050629,000000,47,48,47,48,31360,0
BIO,D,20050630,000000,48,48,47,48,19647,0
BIO,D,20050701,000000,47,48,46,47,21121,0
BIO,D,20050704,000000,47,48,46,48,10112,0
BIO,D,20050705,000000,48,48,47,47,19142,0
BIO,D,20050706,000000,48,48,47,47,10185,0
BIO,D,20050707,000000,47,47,46,47,21275,0
BIO,D,20050708,000000,48,48,47,48,11335,0
BIO,D,20050711,000000,48,53,46,52,128743,0
BIO,D,20050712,000000,52,56,51,55,133813,0
BIO,D,20050713,000000,54,56,53,55,71874,0
BIO,D,20050714,000000,55,55,54,55,60280,0
BIO,D,20050715,000000,55,55,54,55,39567,0
BIO,D,20050718,000000,55,56,54,55,35115,0
BIO,D,20050719,000000,57,59,56,59,120733,0
BIO,D,20050720,000000,59,60,55,55,154418,0
BIO,D,20050721,000000,57,58,55,56,52485,0
