<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS,D,19960520,000000,0.23886,0.23886,0.23886,0.23886,13160112,0
BRS,D,19960521,000000,0.2192,0.2192,0.2192,0.2192,12994730,0
BRS,D,19960522,000000,0.20937,0.20937,0.20937,0.20937,7146590,0
BRS,D,19960523,000000,0.19659,0.19659,0.19659,0.19659,6641977,0
BRS,D,19960524,000000,0.19364,0.19364,0.19364,0.19364,6863782,0
BRS,D,19960527,000000,0.19561,0.19561,0.19561,0.19561,4911301,0
BRS,D,19960528,000000,0.18971,0.18971,0.18971,0.18971,6192049,0
BRS,D,19960529,000000,0.18971,0.18971,0.18971,0.18971,5269903,0
BRS,D,19960530,000000,0.18676,0.18676,0.18676,0.18676,3313705,0
BRS,D,19960531,000000,0.19364,0.19364,0.19364,0.19364,4487193,0
BRS,D,19960603,000000,0.20642,0.20642,0.20642,0.20642,2891642,0
BRS,D,19960604,000000,0.2192,0.2192,0.2192,0.2192,4365055,0
BRS,D,19960605,000000,0.2133,0.2133,0.2133,0.2133,11850377,0
BRS,D,19960607,000000,0.2133,0.2133,0.2133,0.2133,11176290,0
BRS,D,19960610,000000,0.22412,0.22412,0.22412,0.22412,6701743,0
BRS,D,19960611,000000,0.22313,0.22313,0.22313,0.22313,6429008,0
BRS,D,19960612,000000,0.22608,0.22608,0.22608,0.22608,5210106,0
BRS,D,19960613,000000,0.21724,0.21724,0.21724,0.21724,2041386,0
BRS,D,19960614,000000,0.21134,0.21134,0.21134,0.21134,3677361,0
BRS,D,19960617,000000,0.2133,0.2133,0.2133,0.2133,2548013,0
BRS,D,19960618,000000,0.20937,0.20937,0.20937,0.20937,3035637,0
BRS,D,19960619,000000,0.20642,0.20642,0.20642,0.20642,3136323,0
BRS,D,19960620,000000,0.20446,0.20446,0.20446,0.20446,2546277,0
BRS,D,19960621,000000,0.20642,0.20642,0.20642,0.20642,1588731,0
BRS,D,19960624,000000,0.20839,0.20839,0.20839,0.20839,978070,0
BRS,D,19960625,000000,0.20839,0.20839,0.20839,0.20839,3003861,0
BRS,D,19960626,000000,0.20937,0.20937,0.20937,0.20937,2527708,0
BRS,D,19960627,000000,0.2133,0.2133,0.2133,0.2133,5018682,0
BRS,D,19960628,000000,0.21429,0.21429,0.21429,0.21429,1724850,0
BRS,D,19960701,000000,0.21724,0.21724,0.21724,0.21724,1368603,0
BRS,D,19960702,000000,0.21625,0.21625,0.21625,0.21625,3370714,0
BRS,D,19960703,000000,0.21625,0.21625,0.21625,0.21625,2695105,0
BRS,D,19960704,000000,0.21429,0.21429,0.21429,0.21429,2118730,0
BRS,D,19960705,000000,0.2133,0.2133,0.2133,0.2133,2019625,0
BRS,D,19960708,000000,0.20937,0.20937,0.20937,0.20937,889377,0
BRS,D,19960709,000000,0.20839,0.20839,0.20839,0.20839,1066914,0
BRS,D,19960710,000000,0.20642,0.20642,0.20642,0.20642,881505,0
BRS,D,19960711,000000,0.20347,0.20347,0.20347,0.20347,619993,0
BRS,D,19960712,000000,0.20347,0.20347,0.20347,0.20347,1355615,0
BRS,D,19960715,000000,0.20347,0.20347,0.20347,0.20347,2226548,0
BRS,D,19960716,000000,0.19954,0.19954,0.19954,0.19954,982533,0
BRS,D,19960717,000000,0.19364,0.19364,0.19364,0.19364,1715364,0
BRS,D,19960718,000000,0.19364,0.19364,0.19364,0.19364,2154473,0
BRS,D,19960719,000000,0.18381,0.18381,0.18381,0.18381,796691,0
BRS,D,19960722,000000,0.1789,0.1789,0.1789,0.1789,1279014,0
BRS,D,19960723,000000,0.17595,0.17595,0.17595,0.17595,955502,0
BRS,D,19960724,000000,0.1789,0.1789,0.1789,0.1789,449620,0
BRS,D,19960725,000000,0.18578,0.18578,0.18578,0.18578,1385589,0
BRS,D,19960726,000000,0.18381,0.18381,0.18381,0.18381,1343367,0
BRS,D,19960729,000000,0.18676,0.18676,0.18676,0.18676,1296061,0
BRS,D,19960730,000000,0.18381,0.18381,0.18381,0.18381,1150240,0
BRS,D,19960731,000000,0.1789,0.1789,0.1789,0.1789,1019299,0
BRS,D,19960801,000000,0.173,0.173,0.173,0.173,1179102,0
BRS,D,19960802,000000,0.16809,0.16809,0.16809,0.16809,1150553,0
BRS,D,19960805,000000,0.173,0.173,0.173,0.173,1480510,0
BRS,D,19960806,000000,0.17104,0.17104,0.17104,0.17104,1105417,0
BRS,D,19960807,000000,0.16907,0.16907,0.16907,0.16907,1514579,0
BRS,D,19960808,000000,0.17104,0.17104,0.17104,0.17104,1196121,0
BRS,D,19960809,000000,0.1789,0.1789,0.1789,0.1789,1368449,0
BRS,D,19960812,000000,0.18087,0.18087,0.18087,0.18087,858099,0
BRS,D,19960813,000000,0.1789,0.1789,0.1789,0.1789,1714711,0
BRS,D,19960814,000000,0.18087,0.18087,0.18087,0.18087,3426511,0
BRS,D,19960816,000000,0.18578,0.18578,0.18578,0.18578,1323560,0
BRS,D,19960819,000000,0.19364,0.19364,0.19364,0.19364,3017316,0
BRS,D,19960820,000000,0.19364,0.19364,0.19364,0.19364,2836464,0
BRS,D,19960821,000000,0.19364,0.19364,0.19364,0.19364,1082381,0
BRS,D,19960822,000000,0.20642,0.20642,0.20642,0.20642,2460595,0
BRS,D,19960823,000000,0.20937,0.20937,0.20937,0.20937,5429644,0
BRS,D,19960826,000000,0.20446,0.20446,0.20446,0.20446,490570,0
BRS,D,19960827,000000,0.20347,0.20347,0.20347,0.20347,1650853,0
BRS,D,19960828,000000,0.20642,0.20642,0.20642,0.20642,1695339,0
BRS,D,19960829,000000,0.20642,0.20642,0.20642,0.20642,1915653,0
BRS,D,19960830,000000,0.2133,0.2133,0.2133,0.2133,6347945,0
BRS,D,19960902,000000,0.21429,0.21429,0.21429,0.21429,2265606,0
BRS,D,19960903,000000,0.21625,0.21625,0.21625,0.21625,4351509,0
BRS,D,19960904,000000,0.21134,0.21134,0.21134,0.21134,686300,0
BRS,D,19960905,000000,0.18971,0.18971,0.18971,0.18971,3352142,0
BRS,D,19960906,000000,0.19364,0.19364,0.19364,0.19364,2552353,0
BRS,D,19960909,000000,0.19561,0.19561,0.19561,0.19561,1032442,0
BRS,D,19960910,000000,0.19954,0.19954,0.19954,0.19954,2512519,0
BRS,D,19960911,000000,0.19659,0.19659,0.19659,0.19659,1336580,0
BRS,D,19960912,000000,0.19954,0.19954,0.19954,0.19954,2074959,0
BRS,D,19960913,000000,0.20642,0.20642,0.20642,0.20642,3274303,0
BRS,D,19960916,000000,0.20642,0.20642,0.20642,0.20642,4272180,0
BRS,D,19960917,000000,0.20446,0.20446,0.20446,0.20446,783515,0
BRS,D,19960918,000000,0.20446,0.20446,0.20446,0.20446,1210627,0
BRS,D,19960919,000000,0.20151,0.20151,0.20151,0.20151,1783161,0
BRS,D,19960920,000000,0.19954,0.19954,0.19954,0.19954,4272521,0
BRS,D,19960923,000000,0.20347,0.20347,0.20347,0.20347,2120839,0
BRS,D,19960924,000000,0.19856,0.19856,0.19856,0.19856,602415,0
BRS,D,19960925,000000,0.19364,0.19364,0.19364,0.19364,2986286,0
BRS,D,19960926,000000,0.19364,0.19364,0.19364,0.19364,3500323,0
BRS,D,19960927,000000,0.19954,0.19954,0.19954,0.19954,3334937,0
BRS,D,19960930,000000,0.20151,0.20151,0.20151,0.20151,1487919,0
BRS,D,19961001,000000,0.20446,0.20446,0.20446,0.20446,2174902,0
BRS,D,19961002,000000,0.19659,0.19659,0.19659,0.19659,1992037,0
