<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDL,D,20141028,000000,12.805,12.972,12.47,12.755,57741,0
CDL,D,20141029,000000,12.762,12.881,12.721,12.871,13548,0
CDL,D,20141030,000000,12.871,13.475,12.871,13.475,21315,0
CDL,D,20141031,000000,13.592,14.06,13.592,14.052,22652,0
CDL,D,20141103,000000,14.119,14.638,14.06,14.22,20159,0
CDL,D,20141104,000000,14.462,14.462,13.743,13.743,9087,0
CDL,D,20141105,000000,13.743,14.018,13.743,13.959,2035,0
CDL,D,20141106,000000,13.935,13.935,13.726,13.935,2972,0
CDL,D,20141107,000000,13.893,14.227,13.491,14.227,15054,0
CDL,D,20141110,000000,14.186,14.588,13.86,14.479,2531,0
CDL,D,20141112,000000,14.387,14.771,14.387,14.771,3563,0
CDL,D,20141113,000000,14.881,15.475,14.881,15.399,2985,0
CDL,D,20141114,000000,15.617,15.902,15.324,15.818,7079,0
CDL,D,20141117,000000,15.985,16.738,15.985,16.32,11769,0
CDL,D,20141118,000000,16.487,16.487,16.154,16.344,2185,0
CDL,D,20141119,000000,15.909,16.01,15.566,15.902,4532,0
CDL,D,20141120,000000,15.902,15.902,15.734,15.902,3459,0
CDL,D,20141121,000000,15.742,15.902,15.742,15.902,3056,0
CDL,D,20141124,000000,15.902,16.236,15.483,16.069,6607,0
CDL,D,20141125,000000,15.893,15.893,15.483,15.734,2025,0
CDL,D,20141126,000000,15.893,15.902,15.734,15.734,2762,0
CDL,D,20141127,000000,16.32,16.32,16.069,16.228,275,0
CDL,D,20141128,000000,16.069,16.32,16.06,16.06,82,0
CDL,D,20141201,000000,15.902,15.902,15.902,15.902,597,0
CDL,D,20141202,000000,15.902,15.985,15.902,15.985,268,0
CDL,D,20141203,000000,15.483,15.902,15.399,15.885,2136,0
CDL,D,20141204,000000,15.893,15.893,15.734,15.734,640,0
CDL,D,20141205,000000,15.734,15.818,14.52,14.939,5150,0
CDL,D,20141208,000000,14.981,15.483,14.981,15.315,1112,0
CDL,D,20141209,000000,15.358,15.566,15.065,15.566,920,0
CDL,D,20141210,000000,15.566,15.566,15.065,15.399,1545,0
CDL,D,20141211,000000,15.399,15.399,14.645,15.114,2737,0
CDL,D,20141212,000000,15.065,15.065,14.645,15.04,1791,0
CDL,D,20141215,000000,15.223,15.223,15.223,15.223,5,0
CDL,D,20141216,000000,14.814,14.814,14.403,14.814,5137,0
CDL,D,20141217,000000,14.805,14.805,13.75,14.645,5916,0
CDL,D,20141218,000000,14.763,14.763,13.808,13.808,1990,0
CDL,D,20141219,000000,13.825,15.39,13.825,15.39,4108,0
CDL,D,20141222,000000,15.308,15.308,14.645,15.223,325,0
CDL,D,20141223,000000,15.181,15.181,14.645,15.048,280,0
CDL,D,20141229,000000,15.048,15.048,14.645,14.897,137,0
CDL,D,20141230,000000,14.889,14.889,14.889,14.889,25,0
CDL,D,20150102,000000,15.065,15.065,15.065,15.065,35,0
CDL,D,20150105,000000,15.056,15.308,14.645,14.971,209,0
CDL,D,20150107,000000,15.065,15.065,15.065,15.065,5,0
CDL,D,20150108,000000,15.048,15.274,14.981,15.065,1361,0
CDL,D,20150109,000000,15.065,15.308,14.563,14.563,1889,0
CDL,D,20150112,000000,14.563,14.897,14.52,14.897,1981,0
CDL,D,20150113,000000,15.056,15.065,14.981,15.056,437,0
CDL,D,20150114,000000,14.931,14.931,14.645,14.645,58,0
CDL,D,20150115,000000,14.269,14.939,13.808,14.763,1656,0
CDL,D,20150116,000000,14.763,14.889,14.763,14.889,186,0
CDL,D,20150119,000000,14.981,14.981,14.939,14.939,78,0
CDL,D,20150120,000000,14.881,14.897,14.881,14.897,10,0
CDL,D,20150121,000000,14.805,14.805,14.395,14.771,8408,0
CDL,D,20150122,000000,14.73,14.73,14.227,14.227,288,0
CDL,D,20150123,000000,14.227,14.227,13.517,13.641,10409,0
CDL,D,20150126,000000,13.935,13.935,13.223,13.626,12547,0
CDL,D,20150127,000000,13.768,13.768,13.557,13.557,155,0
CDL,D,20150128,000000,13.684,13.808,13.517,13.792,3740,0
CDL,D,20150129,000000,13.684,13.808,13.684,13.808,412,0
CDL,D,20150130,000000,13.85,14.06,13.641,13.893,4036,0
CDL,D,20150202,000000,14.044,14.044,13.18,13.85,1098,0
CDL,D,20150203,000000,13.867,13.867,13.39,13.733,448,0
CDL,D,20150204,000000,13.776,13.776,13.331,13.331,1487,0
CDL,D,20150205,000000,13.39,13.641,13.256,13.256,6685,0
CDL,D,20150206,000000,13.256,14.387,13.223,13.893,7510,0
CDL,D,20150209,000000,14.73,14.73,13.567,14.06,3444,0
CDL,D,20150210,000000,13.825,14.102,13.39,13.709,6900,0
CDL,D,20150211,000000,13.4,13.55,13.265,13.265,5523,0
CDL,D,20150212,000000,13.475,13.475,12.712,12.847,3735,0
CDL,D,20150213,000000,12.972,13.223,12.972,13.223,1459,0
CDL,D,20150216,000000,13.249,13.249,12.889,13.223,571,0
CDL,D,20150217,000000,13.223,13.223,12.822,12.822,1413,0
CDL,D,20150218,000000,12.972,13.223,12.972,13.223,2038,0
CDL,D,20150219,000000,13.249,14.086,13.249,13.808,2090,0
CDL,D,20150220,000000,13.808,14.145,13.808,13.808,2211,0
CDL,D,20150223,000000,13.407,13.776,13.4,13.768,1069,0
CDL,D,20150224,000000,13.768,13.768,13.39,13.39,4469,0
CDL,D,20150225,000000,13.475,13.475,13.223,13.232,3150,0
CDL,D,20150226,000000,13.475,13.475,13.265,13.475,1185,0
CDL,D,20150227,000000,13.475,14.06,13.223,13.223,15550,0
CDL,D,20150302,000000,13.223,13.641,13.056,13.6,5373,0
CDL,D,20150303,000000,13.39,13.641,13.39,13.39,3147,0
CDL,D,20150304,000000,13.239,13.39,13.056,13.256,2925,0
CDL,D,20150305,000000,13.39,13.55,13.39,13.55,3976,0
CDL,D,20150306,000000,13.776,13.776,13.557,13.675,3368,0
CDL,D,20150309,000000,13.733,13.776,13.39,13.39,3343,0
CDL,D,20150311,000000,13.557,13.557,13.39,13.39,606,0
CDL,D,20150312,000000,13.013,13.39,13.013,13.39,95,0
CDL,D,20150313,000000,13.139,13.149,13.139,13.139,6875,0
CDL,D,20150316,000000,13.475,13.475,13.149,13.149,19,0
CDL,D,20150317,000000,13.39,13.39,13.39,13.39,30,0
CDL,D,20150318,000000,13.517,13.808,13.517,13.808,776,0
CDL,D,20150319,000000,13.768,14.361,13.768,14.361,4340,0
CDL,D,20150320,000000,14.361,16.236,14.361,15.859,44647,0
CDL,D,20150323,000000,15.902,15.902,15.089,15.859,9198,0
CDL,D,20150324,000000,15.859,15.859,15.19,15.308,5299,0
CDL,D,20150325,000000,15.274,15.399,15.274,15.315,1093,0
CDL,D,20150326,000000,15.232,15.483,14.981,15.299,6879,0
CDL,D,20150327,000000,15.315,15.491,15.107,15.19,14473,0
CDL,D,20150330,000000,15.19,15.466,15.19,15.466,1104,0
CDL,D,20150331,000000,15.475,15.475,15.065,15.065,6326,0
CDL,D,20150401,000000,15.223,15.223,14.645,14.889,4436,0
CDL,D,20150402,000000,14.872,14.872,13.976,14.344,6494,0
CDL,D,20150407,000000,14.42,14.805,14.42,14.638,8851,0
CDL,D,20150408,000000,14.638,15.056,14.638,14.755,13390,0
CDL,D,20150409,000000,14.965,14.965,14.579,14.579,5415,0
CDL,D,20150410,000000,14.579,14.805,14.494,14.797,1332,0
CDL,D,20150413,000000,14.52,14.688,14.504,14.588,1625,0
CDL,D,20150414,000000,14.588,14.596,14.57,14.57,388,0
CDL,D,20150415,000000,14.553,14.553,14.236,14.52,2848,0
CDL,D,20150416,000000,14.479,14.479,14.353,14.353,3454,0
CDL,D,20150417,000000,14.353,14.814,14.353,14.814,1070,0
CDL,D,20150420,000000,14.805,14.805,14.487,14.73,4123,0
CDL,D,20150421,000000,15.04,15.04,14.462,14.889,1407,0
CDL,D,20150422,000000,14.889,14.889,14.504,14.721,1310,0
CDL,D,20150423,000000,14.797,14.797,14.789,14.789,429,0
CDL,D,20150424,000000,14.739,14.739,14.645,14.713,980,0
CDL,D,20150427,000000,14.755,14.755,14.227,14.563,5177,0
CDL,D,20150428,000000,14.688,14.688,14.227,14.412,1711,0
CDL,D,20150429,000000,14.57,14.57,14.227,14.227,2266,0
CDL,D,20150430,000000,14.227,14.47,14.086,14.47,2378,0
CDL,D,20150504,000000,14.563,14.563,14.377,14.377,304,0
CDL,D,20150505,000000,14.377,14.504,14.377,14.479,1842,0
CDL,D,20150506,000000,14.553,15.023,14.479,15.023,9001,0
CDL,D,20150507,000000,15.324,15.441,15.065,15.181,4994,0
CDL,D,20150508,000000,15.39,15.39,15.065,15.173,2464,0
CDL,D,20150511,000000,14.897,15.181,14.897,15.181,658,0
CDL,D,20150512,000000,15.065,15.065,14.688,15.056,3295,0
CDL,D,20150513,000000,15.048,15.048,14.494,14.897,2885,0
CDL,D,20150514,000000,14.897,14.897,14.286,14.645,6045,0
CDL,D,20150515,000000,14.06,14.093,12.972,13.667,25438,0
CDL,D,20150518,000000,13.667,14.638,13.641,14.638,11901,0
CDL,D,20150519,000000,14.52,14.645,14.353,14.395,1070,0
CDL,D,20150520,000000,14.604,14.604,13.808,13.9,6155,0
CDL,D,20150521,000000,14.337,14.337,13.935,14.261,1115,0
CDL,D,20150522,000000,14.261,14.436,13.9,14.312,3940,0
CDL,D,20150525,000000,14.355,14.573,14.224,14.224,303,0
CDL,D,20150526,000000,14.101,14.425,14.101,14.425,412,0
CDL,D,20150527,000000,14.407,14.417,14.179,14.179,1832,0
CDL,D,20150528,000000,14.179,14.179,14.179,14.179,914,0
CDL,D,20150529,000000,14.101,14.258,14.004,14.258,1224,0
CDL,D,20150601,000000,14.023,14.023,13.13,13.479,7591,0
CDL,D,20150602,000000,13.568,13.699,13.568,13.568,1230,0
CDL,D,20150603,000000,13.83,13.83,13.479,13.479,1430,0
CDL,D,20150605,000000,13.304,13.304,13.174,13.174,1054,0
CDL,D,20150608,000000,13.181,14.163,13.174,13.899,3025,0
CDL,D,20150609,000000,13.261,13.655,13.217,13.217,2136,0
CDL,D,20150610,000000,13.786,13.804,13.217,13.743,638,0
CDL,D,20150611,000000,13.717,13.786,13.279,13.786,4067,0
CDL,D,20150612,000000,13.812,13.812,13.445,13.523,354,0
CDL,D,20150615,000000,13.821,13.821,13.821,13.821,58,0
CDL,D,20150616,000000,13.568,13.568,13.401,13.568,685,0
CDL,D,20150617,000000,13.568,13.743,13.568,13.568,494,0
CDL,D,20150618,000000,13.568,13.568,13.401,13.401,155,0
CDL,D,20150619,000000,13.401,13.436,13.401,13.436,58,0
CDL,D,20150622,000000,13.786,13.786,13.786,13.786,5,0
CDL,D,20150623,000000,13.436,13.69,13.436,13.69,605,0
CDL,D,20150624,000000,13.699,13.699,13.479,13.479,1226,0
CDL,D,20150625,000000,13.646,13.646,13.304,13.62,105,0
CDL,D,20150626,000000,13.628,13.628,13.174,13.261,2006,0
CDL,D,20150629,000000,13.174,13.174,12.386,13.086,2927,0
CDL,D,20150630,000000,12.404,13.086,12.404,13.086,186,0
CDL,D,20150701,000000,12.78,13.349,12.692,13.349,2068,0
CDL,D,20150702,000000,13.349,13.909,13.349,13.909,4292,0
CDL,D,20150703,000000,13.918,13.918,13.584,13.584,674,0
CDL,D,20150706,000000,13.821,13.821,13.217,13.217,100,0
CDL,D,20150707,000000,13.217,13.261,13.217,13.243,75,0
CDL,D,20150708,000000,13.743,13.743,13.226,13.743,1005,0
CDL,D,20150709,000000,13.786,13.795,13.786,13.795,222,0
CDL,D,20150710,000000,13.987,13.987,13.987,13.987,125,0
CDL,D,20150713,000000,13.997,13.997,13.568,13.568,582,0
CDL,D,20150714,000000,13.743,13.743,13.304,13.568,19,0
CDL,D,20150715,000000,13.83,13.83,13.313,13.776,354,0
CDL,D,20150716,000000,13.821,13.821,13.322,13.743,1286,0
CDL,D,20150717,000000,13.961,13.961,13.261,13.786,121,0
CDL,D,20150720,000000,13.261,13.471,12.499,12.963,1932,0
CDL,D,20150721,000000,13.349,13.349,12.692,12.735,1210,0
CDL,D,20150722,000000,12.692,12.692,12.692,12.692,432,0
CDL,D,20150723,000000,13.383,13.383,13.13,13.13,82,0
CDL,D,20150724,000000,13.479,13.479,13.13,13.217,112,0
CDL,D,20150727,000000,13.217,13.62,13.217,13.62,157,0
CDL,D,20150728,000000,13.568,13.568,13.568,13.568,349,0
CDL,D,20150729,000000,13.568,13.568,13.568,13.568,54,0
CDL,D,20150730,000000,13.568,13.865,13.568,13.865,356,0
CDL,D,20150731,000000,13.637,13.637,12.701,13.383,1300,0
CDL,D,20150803,000000,13.392,13.392,13.217,13.392,914,0
CDL,D,20150804,000000,13.226,13.226,13.217,13.217,1009,0
CDL,D,20150806,000000,13.217,13.217,12.999,13.13,432,0
CDL,D,20150807,000000,13.383,13.558,13.383,13.558,1168,0
CDL,D,20150810,000000,13.558,13.69,13.436,13.69,3190,0
CDL,D,20150811,000000,13.743,13.743,13.699,13.699,425,0
CDL,D,20150812,000000,13.743,13.743,13.584,13.69,53,0
CDL,D,20150813,000000,13.164,13.69,13.164,13.69,4,0
CDL,D,20150814,000000,13.568,13.568,13.523,13.568,78,0
