<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGA,D,20040420,000000,53.597,56.448,53.597,55.579,97103,0
DGA,D,20040421,000000,55.022,56.324,54.526,55.394,29180,0
DGA,D,20040422,000000,55.394,55.394,53.783,53.783,14179,0
DGA,D,20040423,000000,53.597,53.783,52.915,53.101,8190,0
DGA,D,20040426,000000,52.915,52.915,52.172,52.358,6266,0
DGA,D,20040427,000000,53.288,53.288,51.305,52.358,3528,0
DGA,D,20040428,000000,52.172,52.172,51.305,51.676,2962,0
DGA,D,20040429,000000,51.49,51.8,50.065,50.375,4965,0
DGA,D,20040430,000000,49.508,50.065,49.136,50.065,4967,0
DGA,D,20040504,000000,50.932,50.932,50.065,50.932,2863,0
DGA,D,20040505,000000,50.065,50.065,49.322,50.065,5407,0
DGA,D,20040506,000000,50.065,50.375,49.322,49.508,1304,0
DGA,D,20040507,000000,49.693,50.19,49.693,50.19,3103,0
DGA,D,20040510,000000,50.065,50.065,49.136,49.508,2463,0
DGA,D,20040511,000000,49.508,50.065,49.508,50.065,1701,0
DGA,D,20040512,000000,50.065,50.746,50.065,50.746,442,0
DGA,D,20040513,000000,50.375,50.375,49.322,49.322,1441,0
DGA,D,20040514,000000,49.136,50.065,49.136,50.065,315,0
DGA,D,20040517,000000,49.693,49.693,49.136,49.693,1785,0
DGA,D,20040518,000000,49.693,49.693,49.136,49.136,190,0
DGA,D,20040519,000000,49.693,49.693,49.508,49.508,808,0
DGA,D,20040520,000000,49.322,49.693,49.136,49.136,616,0
DGA,D,20040521,000000,48.64,48.64,47.339,48.64,1840,0
DGA,D,20040524,000000,49.693,49.693,48.949,48.949,471,0
DGA,D,20040525,000000,48.949,49.508,47.71,47.71,401,0
DGA,D,20040526,000000,48.269,49.136,48.269,48.764,171,0
DGA,D,20040527,000000,47.71,49.322,47.71,49.322,438,0
DGA,D,20040528,000000,48.269,48.764,48.269,48.269,198,0
DGA,D,20040531,000000,47.71,48.453,47.339,47.339,447,0
DGA,D,20040601,000000,47.339,48.269,47.339,48.269,128,0
DGA,D,20040602,000000,48.64,48.64,48.269,48.269,291,0
DGA,D,20040603,000000,48.949,49.322,48.269,49.322,1064,0
DGA,D,20040604,000000,49.508,49.508,49.508,49.508,63,0
DGA,D,20040607,000000,49.693,49.693,48.64,49.136,772,0
DGA,D,20040608,000000,48.64,49.322,48.64,49.322,1210,0
DGA,D,20040609,000000,49.322,49.88,49.136,49.322,3997,0
DGA,D,20040611,000000,49.322,50.19,49.322,50.065,4185,0
DGA,D,20040614,000000,49.693,50.375,49.693,50.375,1465,0
DGA,D,20040615,000000,50.375,52.172,50.375,51.305,7422,0
DGA,D,20040616,000000,51.49,51.986,50.932,51.49,1775,0
DGA,D,20040617,000000,50.932,51.118,50.932,51.118,1892,0
DGA,D,20040618,000000,50.932,51.49,50.932,51.49,1726,0
DGA,D,20040621,000000,51.8,51.986,51.676,51.986,1753,0
DGA,D,20040622,000000,52.172,52.358,52.172,52.172,1330,0
DGA,D,20040623,000000,50.375,52.729,50.375,52.544,1434,0
DGA,D,20040625,000000,52.544,53.101,52.358,53.101,2424,0
DGA,D,20040628,000000,53.101,53.101,53.101,53.101,25,0
DGA,D,20040629,000000,51.986,53.101,51.986,52.915,645,0
DGA,D,20040630,000000,52.915,52.915,52.172,52.915,1897,0
DGA,D,20040701,000000,52.172,52.544,52.172,52.544,146,0
DGA,D,20040702,000000,52.172,52.358,52.172,52.358,400,0
DGA,D,20040705,000000,52.172,52.358,52.172,52.358,729,0
DGA,D,20040706,000000,52.172,52.544,51.676,52.544,205,0
DGA,D,20040707,000000,52.729,52.915,52.544,52.915,2017,0
DGA,D,20040708,000000,52.915,55.394,52.729,54.155,3768,0
DGA,D,20040709,000000,54.526,54.526,53.101,53.288,1347,0
DGA,D,20040712,000000,53.597,54.526,53.41,53.41,391,0
DGA,D,20040713,000000,53.101,53.101,51.8,52.358,320,0
DGA,D,20040714,000000,52.729,52.729,51.676,52.729,904,0
DGA,D,20040715,000000,51.986,51.986,51.8,51.8,225,0
DGA,D,20040716,000000,51.8,52.544,51.8,52.544,1312,0
DGA,D,20040719,000000,52.729,52.729,52.358,52.358,376,0
DGA,D,20040720,000000,51.8,53.288,51.8,53.288,42,0
DGA,D,20040721,000000,53.288,53.288,52.544,53.288,315,0
DGA,D,20040722,000000,52.544,52.544,52.544,52.544,6,0
DGA,D,20040723,000000,53.101,54.526,53.101,53.597,2987,0
DGA,D,20040726,000000,53.101,54.342,53.101,54.342,61,0
DGA,D,20040727,000000,53.783,54.712,53.783,54.526,2121,0
DGA,D,20040728,000000,54.526,55.394,54.526,55.394,4238,0
DGA,D,20040729,000000,55.022,55.766,55.022,55.766,2272,0
DGA,D,20040730,000000,55.766,57.377,55.766,57.377,2913,0
DGA,D,20040802,000000,58.617,58.987,58.058,58.617,2780,0
DGA,D,20040803,000000,58.617,58.617,57.563,58.058,2082,0
DGA,D,20040804,000000,57.377,57.749,56.324,57.749,2229,0
DGA,D,20040805,000000,57.19,58.058,57.19,58.058,2244,0
DGA,D,20040806,000000,58.244,58.244,57.377,57.377,317,0
DGA,D,20040809,000000,57.19,57.377,52.172,57.19,1415,0
DGA,D,20040810,000000,57.935,60.041,57.935,60.041,8592,0
DGA,D,20040811,000000,60.227,60.227,58.058,58.617,2789,0
DGA,D,20040812,000000,58.802,59.174,58.617,58.987,4057,0
DGA,D,20040813,000000,58.802,58.987,58.802,58.987,2881,0
DGA,D,20040816,000000,57.935,58.617,57.935,58.617,169,0
DGA,D,20040817,000000,58.617,58.617,56.819,56.819,105,0
DGA,D,20040818,000000,57.19,58.802,57.19,58.802,755,0
DGA,D,20040819,000000,58.802,59.359,58.802,58.987,466,0
DGA,D,20040820,000000,57.19,58.802,57.19,58.058,577,0
DGA,D,20040823,000000,58.058,58.058,56.324,56.324,196,0
DGA,D,20040824,000000,56.634,58.802,56.324,58.431,593,0
DGA,D,20040825,000000,58.802,58.802,57.377,57.377,86,0
DGA,D,20040826,000000,57.19,58.617,57.19,58.617,169,0
DGA,D,20040827,000000,57.935,58.802,57.935,58.802,83,0
DGA,D,20040830,000000,58.802,58.802,57.377,58.617,417,0
DGA,D,20040831,000000,58.617,58.617,57.563,57.749,97,0
DGA,D,20040901,000000,57.19,58.058,57.19,58.058,255,0
DGA,D,20040902,000000,58.058,58.987,57.19,58.058,681,0
DGA,D,20040903,000000,57.005,58.802,56.819,58.058,238,0
DGA,D,20040906,000000,57.935,58.617,57.005,58.617,2033,0
DGA,D,20040907,000000,58.617,58.617,57.377,58.617,757,0
DGA,D,20040908,000000,58.617,60.413,58.617,60.227,8694,0
DGA,D,20040909,000000,60.413,60.6,59.854,60.227,198,0
DGA,D,20040910,000000,60.6,60.784,59.483,59.854,1176,0
DGA,D,20040913,000000,59.174,59.359,59.174,59.174,537,0
DGA,D,20040914,000000,59.854,59.854,58.617,59.669,249,0
DGA,D,20040915,000000,58.987,59.854,58.244,58.244,269,0
DGA,D,20040916,000000,58.244,58.244,58.244,58.244,201,0
DGA,D,20040917,000000,58.244,58.987,58.244,58.802,25,0
DGA,D,20040920,000000,58.431,59.483,58.058,58.058,283,0
DGA,D,20040921,000000,57.19,58.987,57.19,58.987,705,0
DGA,D,20040922,000000,57.563,57.563,57.19,57.563,78,0
DGA,D,20040923,000000,57.005,57.005,57.005,57.005,174,0
DGA,D,20040924,000000,56.448,57.005,56.448,56.448,591,0
DGA,D,20040927,000000,56.324,57.005,56.324,57.005,169,0
DGA,D,20040928,000000,55.766,57.749,55.766,56.448,546,0
DGA,D,20040929,000000,57.749,57.749,57.19,57.19,432,0
DGA,D,20041001,000000,55.952,57.005,55.952,56.324,58,0
DGA,D,20041004,000000,56.324,56.448,56.324,56.324,163,0
DGA,D,20041005,000000,56.324,56.324,54.526,54.712,1989,0
DGA,D,20041006,000000,54.712,54.712,54.712,54.712,148,0
DGA,D,20041007,000000,53.783,53.783,53.597,53.597,213,0
DGA,D,20041008,000000,53.41,55.766,53.41,55.766,697,0
DGA,D,20041011,000000,56.138,56.819,54.712,54.712,443,0
DGA,D,20041012,000000,54.342,54.342,54.155,54.155,325,0
DGA,D,20041013,000000,55.207,55.207,51.118,51.305,589,0
DGA,D,20041014,000000,50.746,51.676,50.19,50.932,1155,0
DGA,D,20041015,000000,50.562,50.562,50.562,50.562,89,0
DGA,D,20041018,000000,50.746,51.8,50.746,51.8,75,0
DGA,D,20041019,000000,51.8,51.8,50.375,50.932,331,0
DGA,D,20041020,000000,50.375,50.375,50.065,50.065,235,0
DGA,D,20041021,000000,48.453,50.562,48.453,50.562,346,0
DGA,D,20041022,000000,50.562,51.676,50.065,50.065,689,0
DGA,D,20041025,000000,50.19,50.562,48.764,50.065,189,0
DGA,D,20041026,000000,49.322,51.49,49.322,50.065,85,0
DGA,D,20041027,000000,51.8,51.8,50.065,50.065,6,0
DGA,D,20041028,000000,51.49,51.8,51.49,51.8,69,0
DGA,D,20041029,000000,51.8,52.172,50.065,50.562,2275,0
DGA,D,20041102,000000,51.8,51.986,51.676,51.8,463,0
DGA,D,20041103,000000,51.305,53.288,51.305,52.729,430,0
DGA,D,20041104,000000,52.915,52.915,50.562,51.49,607,0
DGA,D,20041105,000000,51.305,51.305,50.065,50.065,674,0
DGA,D,20041108,000000,51.305,52.172,50.562,52.172,467,0
DGA,D,20041109,000000,52.172,52.172,50.562,51.676,105,0
DGA,D,20041110,000000,50.746,51.8,50.746,51.8,3,0
DGA,D,20041112,000000,51.49,51.49,51.49,51.49,56,0
DGA,D,20041115,000000,50.932,51.49,50.932,51.49,115,0
DGA,D,20041116,000000,51.676,51.8,50.19,51.49,275,0
DGA,D,20041117,000000,49.88,49.88,48.949,49.136,1550,0
DGA,D,20041118,000000,49.136,49.136,48.453,49.136,190,0
DGA,D,20041119,000000,48.949,48.949,47.525,48.082,908,0
DGA,D,20041122,000000,48.764,48.949,48.082,48.269,1508,0
DGA,D,20041123,000000,49.136,49.693,48.082,48.269,621,0
DGA,D,20041124,000000,48.269,49.322,47.339,49.322,1002,0
DGA,D,20041125,000000,49.693,49.693,47.153,48.269,1105,0
DGA,D,20041129,000000,47.339,49.508,47.029,49.508,747,0
DGA,D,20041130,000000,48.269,50.375,48.269,50.065,1089,0
DGA,D,20041201,000000,49.508,50.065,49.508,50.065,4,0
DGA,D,20041202,000000,50.065,50.065,50.065,50.065,0,0
DGA,D,20041203,000000,50.065,50.746,50.065,50.065,1479,0
DGA,D,20041206,000000,50.065,50.065,50.065,50.065,104,0
DGA,D,20041207,000000,50.065,50.065,50.065,50.065,279,0
DGA,D,20041208,000000,50.065,50.065,48.764,50.065,1726,0
DGA,D,20041209,000000,50.065,50.065,50.065,50.065,951,0
DGA,D,20041210,000000,48.764,49.88,48.764,49.322,373,0
DGA,D,20041213,000000,48.453,48.453,48.453,48.453,3,0
DGA,D,20041214,000000,49.693,49.88,49.693,49.88,1427,0
DGA,D,20041215,000000,50.065,50.19,50.065,50.065,1579,0
DGA,D,20041216,000000,50.065,50.562,49.508,50.562,582,0
DGA,D,20041217,000000,50.746,51.8,50.746,51.8,1414,0
DGA,D,20041220,000000,50.19,51.49,50.19,51.49,1837,0
DGA,D,20041221,000000,51.8,51.8,50.065,50.746,1186,0
DGA,D,20041222,000000,49.88,51.49,49.88,51.305,3539,0
DGA,D,20041223,000000,50.932,51.49,49.136,51.305,1922,0
DGA,D,20041224,000000,51.305,51.8,51.118,51.8,541,0
DGA,D,20041227,000000,51.118,52.358,51.118,52.358,1428,0
DGA,D,20041228,000000,52.544,52.544,51.8,51.8,1437,0
DGA,D,20041229,000000,52.544,52.544,52.544,52.544,447,0
DGA,D,20041230,000000,52.915,52.915,52.729,52.915,219,0
DGA,D,20041231,000000,53.288,54.342,52.172,54.342,2407,0
DGA,D,20050103,000000,55.394,58.431,55.207,55.207,176,0
DGA,D,20050104,000000,56.819,56.819,53.597,53.597,326,0
DGA,D,20050105,000000,53.597,53.597,52.544,53.597,185,0
DGA,D,20050106,000000,52.729,52.729,52.358,52.358,198,0
DGA,D,20050107,000000,53.101,55.207,53.101,55.207,447,0
DGA,D,20050110,000000,53.597,55.207,53.288,53.288,246,0
DGA,D,20050111,000000,53.288,53.288,50.562,50.562,681,0
DGA,D,20050112,000000,52.544,54.155,52.172,52.172,349,0
DGA,D,20050113,000000,52.729,53.41,52.729,53.41,326,0
DGA,D,20050114,000000,51.305,53.101,51.305,53.101,109,0
DGA,D,20050118,000000,51.118,52.729,50.932,52.729,150,0
DGA,D,20050119,000000,53.101,53.101,53.101,53.101,28,0
DGA,D,20050120,000000,51.8,51.8,51.8,51.8,136,0
DGA,D,20050121,000000,51.118,51.118,51.118,51.118,14,0
DGA,D,20050124,000000,50.065,50.746,50.065,50.746,489,0
DGA,D,20050125,000000,51.49,51.8,51.49,51.8,273,0
DGA,D,20050127,000000,51.8,52.915,51.8,52.915,628,0
DGA,D,20050128,000000,52.729,52.729,52.729,52.729,823,0
DGA,D,20050131,000000,53.101,53.597,53.101,53.597,573,0
DGA,D,20050201,000000,54.526,54.526,53.969,53.969,417,0
DGA,D,20050202,000000,55.022,55.022,53.597,53.783,285,0
DGA,D,20050203,000000,52.729,52.729,52.729,52.729,185,0
DGA,D,20050204,000000,51.8,51.986,50.065,51.986,1884,0
DGA,D,20050208,000000,50.932,50.932,50.932,50.932,1524,0
DGA,D,20050209,000000,50.19,51.305,50.19,51.305,196,0
DGA,D,20050210,000000,51.676,51.8,50.746,50.746,86,0
DGA,D,20050211,000000,51.8,53.101,51.8,51.986,411,0
DGA,D,20050214,000000,51.118,51.8,51.118,51.8,130,0
DGA,D,20050215,000000,52.544,53.101,52.544,52.729,615,0
DGA,D,20050216,000000,52.729,52.729,52.729,52.729,243,0
DGA,D,20050217,000000,52.729,53.101,52.729,52.729,1292,0
DGA,D,20050218,000000,53.101,53.969,52.729,53.969,1373,0
DGA,D,20050221,000000,49.693,51.986,49.693,51.8,1589,0
DGA,D,20050222,000000,50.932,53.288,50.932,52.729,3185,0
DGA,D,20050223,000000,52.729,52.729,51.8,51.8,340,0
DGA,D,20050225,000000,51.305,52.172,51.118,52.172,290,0
DGA,D,20050228,000000,52.172,52.172,52.172,52.172,89,0
DGA,D,20050302,000000,52.544,52.544,52.544,52.544,56,0
DGA,D,20050303,000000,52.544,52.544,52.358,52.358,31,0
DGA,D,20050307,000000,51.305,51.8,51.305,51.8,56,0
DGA,D,20050308,000000,51.8,51.8,51.49,51.49,171,0
DGA,D,20050310,000000,50.932,50.932,50.746,50.746,46,0
DGA,D,20050314,000000,50.932,50.932,50.746,50.932,2831,0
DGA,D,20050315,000000,50.375,50.375,50.375,50.375,97,0
DGA,D,20050316,000000,50.375,50.375,50.065,50.065,1478,0
DGA,D,20050318,000000,49.136,49.136,49.136,49.136,391,0
DGA,D,20050324,000000,48.269,48.269,47.71,47.71,370,0
DGA,D,20050331,000000,48.269,48.269,48.269,48.269,13,0
DGA,D,20050401,000000,46.844,48.764,46.844,48.764,8,0
DGA,D,20050404,000000,48.949,48.949,48.949,48.949,28,0
DGA,D,20050405,000000,48.949,48.949,47.339,48.949,77,0
DGA,D,20050406,000000,49.136,49.136,49.136,49.136,5,0
DGA,D,20050407,000000,49.136,49.136,49.136,49.136,5,0
DGA,D,20050411,000000,48.64,49.322,47.029,47.029,249,0
DGA,D,20050412,000000,49.322,49.322,49.322,49.322,32,0
DGA,D,20050413,000000,49.136,49.136,49.136,49.136,4,0
DGA,D,20050414,000000,49.136,49.136,49.136,49.136,5,0
DGA,D,20050415,000000,46.657,49.136,46.657,49.136,37,0
DGA,D,20050418,000000,46.657,46.844,46.471,46.844,274,0
DGA,D,20050419,000000,46.471,46.471,44.86,45.604,1196,0
DGA,D,20050420,000000,45.604,47.029,45.418,47.029,104,0
DGA,D,20050421,000000,46.844,48.082,46.286,48.082,37670,0
DGA,D,20050422,000000,48.64,48.64,48.64,48.64,112,0
DGA,D,20050425,000000,46.657,48.082,46.657,46.657,91,0
DGA,D,20050426,000000,48.764,48.764,47.525,47.525,335,0
