<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPL,D,20041223,000000,13.899,16.354,13.723,15.127,220620,0
DPL,D,20041224,000000,15.434,16.047,15.214,16.047,37778,0
DPL,D,20041227,000000,16.705,18.81,16.442,18.766,236044,0
DPL,D,20041228,000000,19.336,21.264,18.81,20.3,224509,0
DPL,D,20041229,000000,20.475,20.651,18.81,19.336,94906,0
DPL,D,20041230,000000,18.766,18.81,17.713,17.801,96803,0
DPL,D,20041231,000000,18.021,19.029,18.021,18.81,40404,0
DPL,D,20050103,000000,19.029,19.819,18.81,19.248,51283,0
DPL,D,20050104,000000,19.248,19.293,18.81,18.897,19963,0
DPL,D,20050105,000000,19.029,19.029,18.503,18.81,18264,0
DPL,D,20050106,000000,18.195,18.546,18.065,18.195,16153,0
DPL,D,20050107,000000,18.195,18.634,18.195,18.414,7690,0
DPL,D,20050110,000000,18.24,18.24,17.362,17.494,16054,0
DPL,D,20050111,000000,17.319,17.319,16.485,16.485,34180,0
DPL,D,20050112,000000,16.354,16.748,16.354,16.573,12860,0
DPL,D,20050113,000000,16.748,16.793,16.354,16.442,9883,0
DPL,D,20050114,000000,16.485,16.53,15.96,16.222,20550,0
DPL,D,20050117,000000,16.003,16.179,15.39,15.565,23354,0
DPL,D,20050118,000000,15.434,15.565,14.732,14.994,23879,0
DPL,D,20050119,000000,14.951,16.179,14.775,16.091,36377,0
DPL,D,20050120,000000,15.96,15.96,15.477,15.61,7824,0
DPL,D,20050121,000000,15.74,15.872,15.214,15.565,8000,0
DPL,D,20050124,000000,15.61,15.61,15.127,15.565,6129,0
DPL,D,20050125,000000,15.61,16.748,15.565,16.705,37633,0
DPL,D,20050126,000000,17.187,17.538,16.399,16.836,44857,0
DPL,D,20050127,000000,16.88,16.968,16.354,16.748,23005,0
DPL,D,20050128,000000,16.836,16.836,16.53,16.793,11710,0
DPL,D,20050131,000000,16.793,17.187,16.573,16.968,15239,0
DPL,D,20050201,000000,16.968,16.968,16.748,16.925,4650,0
DPL,D,20050202,000000,16.968,16.968,16.573,16.793,7672,0
DPL,D,20050203,000000,16.662,16.793,16.485,16.53,5059,0
DPL,D,20050204,000000,16.53,16.748,16.53,16.616,6739,0
DPL,D,20050207,000000,16.616,16.616,16.179,16.53,16269,0
DPL,D,20050208,000000,16.354,16.53,16.222,16.53,4646,0
DPL,D,20050209,000000,16.616,16.616,16.31,16.485,2634,0
DPL,D,20050210,000000,16.354,16.485,16.31,16.485,2776,0
DPL,D,20050211,000000,16.442,16.442,16.266,16.354,3682,0
DPL,D,20050214,000000,16.31,16.31,15.96,15.96,9712,0
