<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEX,D,20090716,000000,3.5829,3.5829,1.8352,1.8643,87294,0
EEX,D,20090717,000000,1.8352,1.8352,1.4759,1.6409,51903,0
EEX,D,20090720,000000,1.6506,1.6895,1.573,1.6506,36646,0
EEX,D,20090721,000000,1.6506,1.6506,1.5633,1.6506,6596,0
EEX,D,20090722,000000,1.5633,1.6312,1.3788,1.4273,5388,0
EEX,D,20090723,000000,1.5633,1.573,1.437,1.573,3051,0
EEX,D,20090724,000000,1.5536,1.5536,1.3108,1.5342,19458,0
EEX,D,20090727,000000,1.4953,1.5536,1.204,1.3205,47877,0
EEX,D,20090728,000000,1.3108,1.3399,1.068,1.1457,160475,0
EEX,D,20090729,000000,1.1555,1.1555,1.0778,1.1555,17960,0
EEX,D,20090730,000000,1.1555,1.1555,0.9419,1.1069,81318,0
EEX,D,20090731,000000,1.0972,1.1166,0.9224,1.0195,155461,0
EEX,D,20090803,000000,1.0195,1.136,0.9224,1.0875,173827,0
EEX,D,20090804,000000,1.1069,1.2817,0.9322,1.0292,1284210,0
EEX,D,20090805,000000,1.0292,1.1069,0.9807,1.0486,91715,0
EEX,D,20090806,000000,1.0292,1.0292,0.9322,1.0099,480323,0
EEX,D,20090807,000000,0.9904,1.0099,0.9516,1.0001,31216,0
EEX,D,20090810,000000,1.0195,1.1846,1.0195,1.136,398759,0
EEX,D,20090811,000000,1.1457,1.1846,1.0389,1.0486,138974,0
EEX,D,20090812,000000,1.0292,1.0875,1.0099,1.0778,30495,0
EEX,D,20090813,000000,1.0778,1.1457,1.0778,1.1263,40968,0
EEX,D,20090814,000000,1.1263,1.1652,1.0875,1.0875,82266,0
EEX,D,20090817,000000,1.1166,1.2526,1.0875,1.1943,183972,0
EEX,D,20090818,000000,1.1943,1.272,1.1943,1.2623,78735,0
EEX,D,20090819,000000,1.272,1.505,1.204,1.505,220910,0
EEX,D,20090820,000000,1.6506,1.6506,1.3788,1.4565,296304,0
EEX,D,20090821,000000,1.4565,1.4565,1.3399,1.4565,116689,0
EEX,D,20090824,000000,1.437,1.5923,1.3399,1.505,151577,0
EEX,D,20090825,000000,1.4759,1.5147,1.4273,1.4759,45936,0
EEX,D,20090826,000000,1.4273,1.4759,1.369,1.3788,50910,0
EEX,D,20090827,000000,1.369,1.4079,1.3205,1.3496,76391,0
EEX,D,20090828,000000,1.3788,1.4662,1.3302,1.3982,97522,0
EEX,D,20090831,000000,1.4565,1.4662,1.3593,1.3982,35436,0
EEX,D,20090901,000000,1.4176,1.4176,1.3108,1.3496,51486,0
EEX,D,20090902,000000,1.3496,1.3496,1.2137,1.2429,48253,0
EEX,D,20090903,000000,1.2429,1.2817,1.1749,1.1749,23991,0
EEX,D,20090904,000000,1.2332,1.2332,1.1846,1.2234,3184,0
EEX,D,20090907,000000,1.2429,1.3108,1.1943,1.2623,69425,0
EEX,D,20090908,000000,1.2623,1.437,1.204,1.3496,89026,0
