<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EKP,D,19971128,000000,1.3965,1.3965,0.9835,0.9835,32344,0
EKP,D,19971202,000000,0.686,0.686,0.686,0.686,1432,0
EKP,D,19971203,000000,0.735,0.735,0.735,0.735,1820,0
EKP,D,19971204,000000,0.7,0.735,0.637,0.637,8192,0
EKP,D,19971205,000000,0.637,0.637,0.637,0.637,1104,0
EKP,D,19971208,000000,0.602,0.602,0.602,0.602,2780,0
EKP,D,19971210,000000,0.546,0.546,0.546,0.546,3868,0
EKP,D,19971212,000000,0.511,0.511,0.511,0.511,1432,0
EKP,D,19971215,000000,0.497,0.532,0.497,0.532,12256,0
EKP,D,19971222,000000,0.497,0.497,0.497,0.497,272,0
EKP,D,19971230,000000,0.497,0.497,0.497,0.497,1288,0
EKP,D,19971231,000000,0.497,0.497,0.497,0.497,2864,0
EKP,D,19980105,000000,0.497,0.497,0.42,0.42,6316,0
EKP,D,19980106,000000,0.49,0.49,0.49,0.49,1432,0
EKP,D,19980108,000000,0.49,0.49,0.49,0.49,3552,0
EKP,D,19980109,000000,0.518,0.518,0.518,0.518,2864,0
EKP,D,19980113,000000,0.518,0.518,0.518,0.518,3264,0
EKP,D,19980114,000000,0.56,0.56,0.56,0.56,1432,0
EKP,D,19980115,000000,0.5635,0.623,0.5635,0.623,6800,0
EKP,D,19980116,000000,0.581,0.588,0.581,0.588,2836,0
EKP,D,19980119,000000,0.595,0.6615,0.595,0.6615,9292,0
EKP,D,19980120,000000,0.574,0.574,0.504,0.518,19256,0
EKP,D,19980127,000000,0.483,0.483,0.483,0.483,1892,0
EKP,D,19980128,000000,0.5495,0.5495,0.5495,0.5495,1420,0
EKP,D,19980129,000000,0.483,0.525,0.483,0.504,11556,0
EKP,D,19980130,000000,0.525,0.525,0.5215,0.5215,3180,0
EKP,D,19980202,000000,0.483,0.483,0.434,0.483,4224,0
EKP,D,19980203,000000,0.448,0.49,0.448,0.49,1548,0
EKP,D,19980204,000000,0.462,0.462,0.462,0.462,2204,0
EKP,D,19980205,000000,0.455,0.455,0.434,0.434,3840,0
EKP,D,19980206,000000,0.448,0.448,0.448,0.448,1320,0
EKP,D,19980210,000000,0.525,0.525,0.525,0.525,1288,0
EKP,D,19980213,000000,0.462,0.462,0.462,0.462,1432,0
EKP,D,19980216,000000,0.455,0.455,0.448,0.448,2780,0
EKP,D,19980218,000000,0.504,0.518,0.504,0.518,5728,0
EKP,D,19980219,000000,0.539,0.5775,0.525,0.5775,21604,0
EKP,D,19980220,000000,0.595,0.665,0.595,0.6055,10740,0
EKP,D,19980223,000000,0.63,0.728,0.63,0.728,9192,0
EKP,D,19980224,000000,0.735,0.77,0.728,0.77,21176,0
EKP,D,19980225,000000,0.791,0.8365,0.784,0.8365,12716,0
EKP,D,19980226,000000,0.8365,0.8505,0.77,0.77,10196,0
EKP,D,19980227,000000,0.8015,0.8015,0.784,0.8015,18168,0
EKP,D,19980302,000000,0.8925,0.9625,0.8715,0.9415,11396,0
EKP,D,19980303,000000,0.9415,0.9415,0.8505,0.8505,22336,0
EKP,D,19980304,000000,0.8365,0.8645,0.8155,0.8575,15248,0
EKP,D,19980305,000000,0.8365,0.8365,0.8015,0.8085,4324,0
EKP,D,19980306,000000,0.8435,0.8435,0.8365,0.8435,8748,0
EKP,D,19980309,000000,0.8225,0.8225,0.8155,0.8155,5184,0
EKP,D,19980310,000000,0.791,0.8085,0.791,0.8015,3708,0
EKP,D,19980311,000000,0.791,0.791,0.756,0.756,3364,0
EKP,D,19980312,000000,0.742,0.742,0.742,0.742,1432,0
EKP,D,19980313,000000,0.756,0.756,0.756,0.756,2148,0
EKP,D,19980316,000000,0.77,0.777,0.735,0.77,9736,0
EKP,D,19980317,000000,0.763,0.763,0.707,0.707,9236,0
EKP,D,19980318,000000,0.728,0.728,0.7,0.7,5240,0
EKP,D,19980319,000000,0.728,0.728,0.728,0.728,1432,0
EKP,D,19980320,000000,0.735,0.735,0.735,0.735,572,0
EKP,D,19980323,000000,0.7,0.7,0.7,0.7,1432,0
EKP,D,19980324,000000,0.665,0.665,0.665,0.665,5928,0
EKP,D,19980325,000000,0.7,0.798,0.679,0.798,102068,0
EKP,D,19980326,000000,0.742,0.791,0.742,0.791,33648,0
EKP,D,19980327,000000,0.756,0.8015,0.742,0.8015,30484,0
EKP,D,19980330,000000,0.77,0.9065,0.77,0.9065,46004,0
EKP,D,19980331,000000,0.8365,0.8715,0.749,0.749,4468,0
EKP,D,19980401,000000,0.8085,0.8085,0.77,0.77,6960,0
EKP,D,19980402,000000,0.77,0.77,0.721,0.721,4440,0
EKP,D,19980406,000000,0.735,0.735,0.728,0.728,4296,0
EKP,D,19980407,000000,0.707,0.728,0.707,0.714,8576,0
EKP,D,19980408,000000,0.728,0.728,0.686,0.686,5256,0
EKP,D,19980409,000000,0.728,0.728,0.728,0.728,1432,0
EKP,D,19980414,000000,0.756,0.756,0.721,0.721,9048,0
EKP,D,19980415,000000,0.77,0.77,0.7,0.7,10740,0
EKP,D,19980416,000000,0.7,0.7,0.665,0.665,11456,0
EKP,D,19980417,000000,0.637,0.6545,0.609,0.63,16464,0
EKP,D,19980420,000000,0.588,0.602,0.5845,0.588,25772,0
EKP,D,19980421,000000,0.5845,0.5845,0.56,0.56,24800,0
EKP,D,19980422,000000,0.532,0.56,0.532,0.532,25472,0
EKP,D,19980423,000000,0.56,0.56,0.5355,0.5495,32288,0
EKP,D,19980424,000000,0.5495,0.609,0.5495,0.609,20904,0
EKP,D,19980427,000000,0.616,0.616,0.609,0.609,4296,0
EKP,D,19980429,000000,0.567,0.567,0.567,0.567,1432,0
EKP,D,19980506,000000,0.56,0.56,0.56,0.56,1160,0
EKP,D,19980508,000000,0.567,0.567,0.567,0.567,1432,0
EKP,D,19980512,000000,0.567,0.567,0.567,0.567,716,0
EKP,D,19980514,000000,0.5705,0.5705,0.5705,0.5705,1432,0
EKP,D,19980515,000000,0.567,0.567,0.567,0.567,2436,0
EKP,D,19980518,000000,0.56,0.567,0.56,0.567,2492,0
EKP,D,19980519,000000,0.567,0.567,0.553,0.553,4696,0
EKP,D,19980520,000000,0.567,0.567,0.56,0.56,1604,0
EKP,D,19980521,000000,0.567,0.574,0.56,0.56,8720,0
EKP,D,19980522,000000,0.574,0.574,0.567,0.567,4008,0
EKP,D,19980527,000000,0.56,0.56,0.56,0.56,2580,0
EKP,D,19980528,000000,0.553,0.553,0.553,0.553,3292,0
EKP,D,19980601,000000,0.546,0.546,0.539,0.539,3724,0
EKP,D,19980604,000000,0.567,0.567,0.567,0.567,1764,0
EKP,D,19980605,000000,0.56,0.56,0.56,0.56,1432,0
EKP,D,19980608,000000,0.539,0.539,0.539,0.539,488,0
EKP,D,19980609,000000,0.539,0.553,0.532,0.546,14476,0
EKP,D,19980615,000000,0.532,0.532,0.532,0.532,1432,0
EKP,D,19980616,000000,0.504,0.504,0.504,0.504,1432,0
EKP,D,19980618,000000,0.497,0.497,0.497,0.497,2508,0
EKP,D,19980619,000000,0.49,0.49,0.49,0.49,2236,0
EKP,D,19980709,000000,0.4935,0.4935,0.4935,0.4935,1432,0
EKP,D,19980713,000000,0.49,0.49,0.49,0.49,2864,0
EKP,D,19980720,000000,0.455,0.455,0.42,0.42,5928,0
EKP,D,19980721,000000,0.455,0.455,0.455,0.455,4296,0
EKP,D,19980722,000000,0.504,0.56,0.504,0.56,15748,0
EKP,D,19980724,000000,0.56,0.56,0.5495,0.5495,2148,0
EKP,D,19980729,000000,0.511,0.511,0.511,0.511,2592,0
EKP,D,19980731,000000,0.546,0.546,0.511,0.525,5728,0
EKP,D,19980803,000000,0.553,0.553,0.518,0.546,1864,0
EKP,D,19980804,000000,0.49,0.49,0.49,0.49,1432,0
EKP,D,19980805,000000,0.504,0.504,0.455,0.4865,20616,0
EKP,D,19980806,000000,0.4865,0.4865,0.4865,0.4865,432,0
EKP,D,19980807,000000,0.4935,0.4935,0.4935,0.4935,144,0
EKP,D,19980810,000000,0.434,0.448,0.434,0.448,1576,0
EKP,D,19980811,000000,0.441,0.441,0.441,0.441,1720,0
