<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELB,D,19960209,000000,13.865,13.865,13.865,13.865,675882,0
ELB,D,19960212,000000,15.245,15.245,15.245,15.245,671885,0
ELB,D,19960213,000000,16.443,16.443,16.443,16.443,673596,0
ELB,D,19960214,000000,15.963,15.963,15.963,15.963,261950,0
ELB,D,19960215,000000,14.759,14.759,14.759,14.759,149025,0
ELB,D,19960216,000000,14.464,14.464,14.464,14.464,91408,0
ELB,D,19960219,000000,14.704,14.704,14.704,14.704,188569,0
ELB,D,19960220,000000,14.704,14.704,14.704,14.704,123341,0
ELB,D,19960221,000000,14.464,14.464,14.464,14.464,52170,0
ELB,D,19960222,000000,14.759,14.759,14.759,14.759,58560,0
ELB,D,19960223,000000,14.704,14.704,14.704,14.704,106338,0
ELB,D,19960226,000000,14.64,14.64,14.64,14.64,66723,0
ELB,D,19960227,000000,14.704,14.704,14.704,14.704,61179,0
ELB,D,19960228,000000,14.042,14.042,14.042,14.042,34003,0
ELB,D,19960229,000000,14.704,14.704,14.704,14.704,180133,0
ELB,D,19960301,000000,14.759,14.759,14.759,14.759,89549,0
ELB,D,19960304,000000,15.843,15.843,15.843,15.843,171776,0
ELB,D,19960305,000000,16.146,16.146,16.146,16.146,167130,0
ELB,D,19960306,000000,16.082,16.082,16.082,16.082,88229,0
ELB,D,19960307,000000,16.265,16.265,16.265,16.265,168235,0
ELB,D,19960308,000000,16.203,16.203,16.203,16.203,78873,0
ELB,D,19960311,000000,15.724,15.724,15.724,15.724,93206,0
ELB,D,19960312,000000,15.484,15.484,15.484,15.484,90227,0
ELB,D,19960313,000000,14.943,14.943,14.943,14.943,45274,0
ELB,D,19960314,000000,14.401,14.401,14.401,14.401,34232,0
ELB,D,19960315,000000,14.344,14.344,14.344,14.344,85059,0
ELB,D,19960318,000000,14.704,14.704,14.704,14.704,123411,0
ELB,D,19960319,000000,15.364,15.364,15.364,15.364,122666,0
ELB,D,19960320,000000,14.52,14.52,14.52,14.52,41761,0
ELB,D,19960321,000000,14.704,14.704,14.704,14.704,79815,0
ELB,D,19960322,000000,14.401,14.401,14.401,14.401,77347,0
ELB,D,19960325,000000,13.865,13.865,13.865,13.865,39244,0
ELB,D,19960326,000000,13.865,13.865,13.865,13.865,37114,0
ELB,D,19960327,000000,14.224,14.224,14.224,14.224,28369,0
ELB,D,19960328,000000,13.865,13.865,13.865,13.865,101315,0
ELB,D,19960329,000000,13.865,13.865,13.865,13.865,63588,0
ELB,D,19960401,000000,14.042,14.042,14.042,14.042,19761,0
ELB,D,19960402,000000,13.984,13.984,13.984,13.984,53103,0
ELB,D,19960403,000000,13.984,13.984,13.984,13.984,46020,0
ELB,D,19960404,000000,14.162,14.162,14.162,14.162,12742,0
ELB,D,19960405,000000,14.704,14.704,14.704,14.704,69306,0
ELB,D,19960409,000000,15.005,15.005,15.005,15.005,53391,0
