<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMT,D,20120712,000000,2,2.4,2,2.35,52218,0
EMT,D,20120713,000000,2.33,2.34,2,2.32,22233,0
EMT,D,20120716,000000,2.25,2.32,1.94,2.28,36176,0
EMT,D,20120717,000000,2.16,2.34,2.15,2.34,9854,0
EMT,D,20120718,000000,2.34,2.38,1.99,2.06,19619,0
EMT,D,20120719,000000,2.15,2.31,2.15,2.16,2900,0
EMT,D,20120720,000000,2.15,2.24,2.15,2.24,525,0
EMT,D,20120723,000000,2.25,2.59,2.1,2.34,26170,0
EMT,D,20120724,000000,2.34,2.34,2.33,2.34,30700,0
EMT,D,20120725,000000,2.2,2.33,2.11,2.33,64200,0
EMT,D,20120726,000000,2.3,2.33,2.29,2.33,51200,0
EMT,D,20120727,000000,2.25,2.35,2,2.35,86218,0
EMT,D,20120730,000000,2.21,2.31,2.16,2.31,49300,0
EMT,D,20120731,000000,2.2,2.31,2.2,2.31,25100,0
EMT,D,20120801,000000,2.2,2.2,2,2.15,29030,0
EMT,D,20120802,000000,2.1,2.1,2.01,2.01,1830,0
EMT,D,20120803,000000,2.1,2.3,1.85,1.85,25769,0
EMT,D,20120806,000000,2,2.2,2,2.02,7650,0
EMT,D,20120807,000000,2.04,2.15,1.92,2.11,49419,0
EMT,D,20120808,000000,2.15,2.34,2.15,2.34,18690,0
EMT,D,20120809,000000,2.3,2.35,2.3,2.35,800,0
EMT,D,20120810,000000,2.35,2.35,2.25,2.34,2504,0
EMT,D,20120813,000000,2.34,2.57,2.34,2.57,2176,0
EMT,D,20120814,000000,2.33,2.44,2.33,2.44,3954,0
EMT,D,20120816,000000,2.4,2.44,2.32,2.33,10860,0
EMT,D,20120817,000000,2.4,2.59,2.4,2.59,4900,0
EMT,D,20120820,000000,2.45,2.55,2.39,2.39,8954,0
EMT,D,20120821,000000,2.44,2.84,2.44,2.7,8254,0
EMT,D,20120822,000000,2.74,3.18,2.74,2.94,9810,0
EMT,D,20120823,000000,2.94,3.15,2.36,2.99,56089,0
EMT,D,20120824,000000,3,3.05,2.83,3.03,661,0
EMT,D,20120827,000000,3.03,3.09,2.9,2.9,1710,0
EMT,D,20120828,000000,2.9,3.1,2.75,2.81,2096,0
EMT,D,20120829,000000,2.66,3.01,2.66,3.01,4832,0
EMT,D,20120830,000000,3.1,3.15,2.91,2.91,2192,0
EMT,D,20120831,000000,2.92,3.3,2.65,2.8,10630,0
EMT,D,20120903,000000,2.8,2.8,2.78,2.79,1974,0
EMT,D,20120904,000000,2.79,3.14,2.76,2.79,3117,0
EMT,D,20120905,000000,2.7,2.7,2.61,2.61,780,0
EMT,D,20120906,000000,2.62,3.1,2.62,3.1,1395,0
EMT,D,20120907,000000,2.8,2.84,2.8,2.84,20,0
EMT,D,20120910,000000,2.8,2.8,2.8,2.8,1048,0
EMT,D,20120911,000000,2.8,2.8,2.8,2.8,5,0
EMT,D,20120912,000000,2.79,3.36,2.79,2.87,6607,0
EMT,D,20120913,000000,2.78,2.78,2.78,2.78,110,0
EMT,D,20120914,000000,2.8,2.8,2.8,2.8,10,0
EMT,D,20120917,000000,2.8,2.8,2.8,2.8,10,0
EMT,D,20120918,000000,2.8,2.8,2.8,2.8,5,0
EMT,D,20120919,000000,2.8,2.8,2.7,2.7,37,0
EMT,D,20120924,000000,2.79,3.1,2.79,3.07,37070,0
EMT,D,20120925,000000,3,3,2.88,2.88,428,0
EMT,D,20120926,000000,2.92,3,2.92,3,632,0
EMT,D,20120927,000000,3,3,3,3,2331,0
EMT,D,20120928,000000,3,3,3,3,55,0
EMT,D,20121001,000000,3.01,3.2,3.01,3.2,28678,0
EMT,D,20121002,000000,2.99,2.99,2.99,2.99,4485,0
EMT,D,20121003,000000,3,3,2.8,3,11149,0
EMT,D,20121004,000000,3,3,2.81,2.84,570,0
EMT,D,20121005,000000,2.84,2.99,2.8,2.95,204266,0
EMT,D,20121008,000000,3,3,2.87,2.9,39764,0
EMT,D,20121009,000000,2.9,2.9,2.85,2.85,58020,0
EMT,D,20121010,000000,2.8,2.84,2.71,2.84,4063,0
EMT,D,20121011,000000,2.85,2.85,2.85,2.85,10,0
EMT,D,20121012,000000,2.86,2.86,2.86,2.86,10,0
EMT,D,20121015,000000,2.86,3,2.86,3,1749,0
EMT,D,20121016,000000,3,3,2.84,2.84,1385,0
EMT,D,20121017,000000,2.86,3,2.72,2.8,2168,0
EMT,D,20121018,000000,2.8,2.81,2.7,2.8,839,0
EMT,D,20121019,000000,2.85,2.98,2.7,2.79,1383,0
EMT,D,20121022,000000,2.79,3,2.79,2.99,2837,0
EMT,D,20121023,000000,2.84,2.86,2.7,2.85,1622,0
EMT,D,20121024,000000,2.8,2.88,2.72,2.88,6806,0
EMT,D,20121025,000000,2.8,2.8,2.75,2.75,60,0
EMT,D,20121026,000000,2.75,2.94,2.75,2.94,2190,0
EMT,D,20121029,000000,2.94,2.94,2.75,2.75,154,0
EMT,D,20121030,000000,2.82,2.95,2.82,2.88,225,0
EMT,D,20121031,000000,2.88,2.95,2.84,2.95,9085,0
EMT,D,20121102,000000,2.95,2.95,2.72,2.9,2440,0
EMT,D,20121105,000000,2.9,2.9,2.75,2.75,819,0
EMT,D,20121106,000000,2.78,2.98,2.74,2.89,3908,0
EMT,D,20121107,000000,2.91,2.91,2.75,2.85,913,0
EMT,D,20121108,000000,2.85,2.85,2.85,2.85,30,0
EMT,D,20121109,000000,2.8,2.8,2.8,2.8,20,0
EMT,D,20121112,000000,2.78,2.78,2.7,2.7,80,0
EMT,D,20121114,000000,2.8,2.85,2.8,2.8,2060,0
EMT,D,20121115,000000,2.75,2.8,2.75,2.8,280,0
EMT,D,20121116,000000,2.9,3,2.79,2.9,1224,0
EMT,D,20121119,000000,2.9,3,2.7,2.79,2139,0
EMT,D,20121120,000000,2.79,2.87,2.79,2.87,544,0
EMT,D,20121121,000000,2.8,2.8,2.67,2.7,4745,0
EMT,D,20121122,000000,2.7,2.7,2.65,2.69,2766,0
EMT,D,20121126,000000,2.69,2.7,2.69,2.7,40,0
EMT,D,20121127,000000,2.7,2.7,2.65,2.7,3000,0
EMT,D,20121128,000000,2.7,2.7,2.7,2.7,130,0
EMT,D,20121129,000000,2.69,2.7,2.63,2.69,1721,0
EMT,D,20121130,000000,2.69,2.69,2.69,2.69,10,0
EMT,D,20121203,000000,2.69,2.8,2.65,2.8,5057,0
EMT,D,20121204,000000,2.79,2.8,2.71,2.8,552,0
EMT,D,20121205,000000,2.7,2.79,2.7,2.75,968,0
EMT,D,20121206,000000,2.75,2.75,2.75,2.75,540,0
EMT,D,20121207,000000,2.75,2.75,2.75,2.75,10,0
EMT,D,20121210,000000,2.75,2.75,2.62,2.62,761,0
EMT,D,20121211,000000,2.61,2.7,2.5,2.5,58773,0
EMT,D,20121212,000000,2.5,2.5,2.5,2.5,10,0
EMT,D,20121213,000000,2.5,2.5,2.5,2.5,1010,0
EMT,D,20121214,000000,2.5,2.5,2.5,2.5,220,0
EMT,D,20121217,000000,2.5,2.5,2.5,2.5,410,0
EMT,D,20121218,000000,2.5,2.5,2.45,2.45,1220,0
EMT,D,20121219,000000,2.5,2.5,2.2,2.5,11418,0
EMT,D,20121220,000000,2.5,2.5,2.5,2.5,10,0
EMT,D,20121221,000000,2.5,2.5,2.5,2.5,10,0
EMT,D,20121227,000000,2.5,2.7,2.5,2.52,31477,0
EMT,D,20121228,000000,2.5,2.5,2.5,2.5,392,0
EMT,D,20130102,000000,2.5,2.5,2.5,2.5,10,0
EMT,D,20130103,000000,2.5,2.5,2.5,2.5,10,0
EMT,D,20130104,000000,2.5,2.5,2.48,2.48,30,0
EMT,D,20130107,000000,2.5,2.5,2.45,2.45,30,0
EMT,D,20130108,000000,2.5,2.5,2.2,2.24,1070,0
EMT,D,20130109,000000,2.24,2.24,2.24,2.24,430,0
EMT,D,20130110,000000,2.24,2.24,2.24,2.24,20,0
EMT,D,20130111,000000,2.24,2.24,2.24,2.24,30,0
EMT,D,20130114,000000,2.24,2.24,2.24,2.24,10,0
EMT,D,20130115,000000,2.24,2.24,2,2,8453,0
EMT,D,20130116,000000,2,2,1.92,2,13622,0
EMT,D,20130117,000000,2,2,2,2,10,0
EMT,D,20130118,000000,2,2,2,2,110,0
EMT,D,20130121,000000,2,2,1.93,1.99,735,0
EMT,D,20130122,000000,1.99,1.99,1.93,1.93,500,0
EMT,D,20130123,000000,1.92,1.92,1.9,1.9,9560,0
EMT,D,20130124,000000,1.91,1.91,1.82,1.82,7015,0
EMT,D,20130125,000000,1.85,1.85,1.72,1.85,27914,0
EMT,D,20130128,000000,1.76,1.89,1.76,1.89,4514,0
EMT,D,20130129,000000,1.85,2.15,1.85,2.07,4942,0
EMT,D,20130130,000000,2.07,2.15,2,2.08,6019,0
EMT,D,20130201,000000,2.08,2.15,2.03,2.06,1417,0
EMT,D,20130204,000000,2.06,2.07,2.06,2.07,551,0
