<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTC,D,20040506,000000,7.4504,7.9739,7.4504,7.9739,4263624,0
GTC,D,20040507,000000,8.2155,8.3765,7.9335,8.2155,1188268,0
GTC,D,20040510,000000,7.6597,7.9659,7.6597,7.8531,243009,0
GTC,D,20040511,000000,7.7726,7.8933,7.7726,7.837,209202,0
GTC,D,20040512,000000,7.8449,7.9335,7.8449,7.9257,83569,0
GTC,D,20040513,000000,7.9497,7.99,7.8933,7.8933,172290,0
GTC,D,20040514,000000,7.8449,7.8449,7.5551,7.8208,291367,0
GTC,D,20040517,000000,7.7323,7.8853,7.6517,7.837,62513,0
GTC,D,20040518,000000,7.8449,7.9739,7.8449,7.9335,1329432,0
GTC,D,20040519,000000,7.9335,8.006,7.9335,7.9739,853655,0
GTC,D,20040520,000000,7.9739,7.9739,7.8208,7.9335,41444,0
GTC,D,20040521,000000,7.8933,7.99,7.8933,7.9739,260553,0
GTC,D,20040524,000000,7.9174,7.9739,7.8531,7.9739,27848,0
GTC,D,20040525,000000,7.8933,7.9257,7.8128,7.9257,61567,0
GTC,D,20040526,000000,7.8933,7.8933,7.837,7.8933,88745,0
GTC,D,20040527,000000,7.8772,7.9739,7.8692,7.9739,177058,0
GTC,D,20040528,000000,7.9015,8.0303,7.8933,8.0141,178313,0
GTC,D,20040531,000000,7.9739,7.9739,7.9257,7.9416,17332,0
GTC,D,20040601,000000,8.006,8.0383,7.9739,8.0222,66163,0
GTC,D,20040602,000000,8.0383,8.1349,8.0303,8.0544,89330,0
GTC,D,20040603,000000,8.0544,8.2155,8.0544,8.2155,124204,0
GTC,D,20040604,000000,8.2557,8.3364,8.2155,8.3364,122529,0
GTC,D,20040607,000000,8.3364,8.537,8.3364,8.4573,123200,0
GTC,D,20040608,000000,8.4977,8.537,8.4169,8.4977,54119,0
GTC,D,20040609,000000,8.4977,8.5782,8.4573,8.537,144988,0
GTC,D,20040611,000000,8.5782,8.7796,8.5782,8.7796,34527,0
GTC,D,20040614,000000,8.7391,8.9399,8.7391,8.9399,503538,0
GTC,D,20040615,000000,9.0209,9.0615,8.9399,9.0209,543603,0
GTC,D,20040616,000000,9.0615,9.0615,8.8598,9.0209,742650,0
GTC,D,20040617,000000,9.0209,9.0209,8.8598,8.9003,272323,0
GTC,D,20040618,000000,8.6989,8.9804,8.6989,8.9804,204982,0
GTC,D,20040621,000000,8.9399,8.9399,8.7796,8.9399,46943,0
GTC,D,20040622,000000,8.9003,9.0209,8.8598,8.9399,203565,0
GTC,D,20040623,000000,8.9804,9.2214,8.9804,9.1017,192292,0
GTC,D,20040624,000000,9.1017,9.1821,9.0209,9.1017,127856,0
GTC,D,20040625,000000,9.0209,9.1017,9.0209,9.1017,5140,0
GTC,D,20040628,000000,9.0209,9.1017,8.9804,9.0209,135328,0
GTC,D,20040629,000000,8.9804,9.2214,8.9804,9.1429,1167956,0
GTC,D,20040630,000000,9.1017,9.2626,9.1017,9.1821,145026,0
GTC,D,20040701,000000,9.0209,9.2214,9.0209,9.1429,23515,0
GTC,D,20040702,000000,9.1429,9.1429,8.9804,9.1017,49328,0
GTC,D,20040705,000000,9.0209,9.1017,8.9804,9.0615,457935,0
GTC,D,20040706,000000,8.9399,8.9804,8.8598,8.9003,105434,0
GTC,D,20040707,000000,8.9003,9.0209,8.9003,8.9003,9498,0
GTC,D,20040708,000000,8.9804,9.0209,8.9804,9.0209,18189,0
GTC,D,20040709,000000,8.9003,9.0209,8.9003,8.9399,104265,0
GTC,D,20040712,000000,8.9003,9.0615,8.9003,8.9399,11360,0
GTC,D,20040713,000000,8.8598,9.0209,8.7796,8.8598,125596,0
GTC,D,20040714,000000,8.7391,8.8193,8.7391,8.8193,32939,0
GTC,D,20040715,000000,8.7796,8.7796,8.4573,8.537,42076,0
GTC,D,20040716,000000,8.4573,8.537,8.4573,8.537,85431,0
GTC,D,20040719,000000,8.6989,8.6989,8.5782,8.6185,342036,0
GTC,D,20040720,000000,8.6185,8.6185,8.4573,8.6185,10031,0
GTC,D,20040721,000000,8.6185,8.7391,8.4573,8.6185,9076,0
GTC,D,20040722,000000,8.6185,8.6989,8.537,8.6989,12851,0
GTC,D,20040723,000000,8.5782,8.8598,8.5782,8.8598,83083,0
GTC,D,20040726,000000,8.9399,8.9399,8.7796,8.8598,332674,0
GTC,D,20040727,000000,8.8598,8.8598,8.7796,8.8598,152948,0
GTC,D,20040728,000000,8.7796,8.7796,8.7796,8.7796,193770,0
GTC,D,20040729,000000,8.5782,8.8193,8.5782,8.8193,1788,0
GTC,D,20040730,000000,8.8193,8.8193,8.6185,8.7796,373,0
GTC,D,20040802,000000,8.5782,8.7796,8.537,8.7796,3315,0
GTC,D,20040803,000000,8.7796,8.8193,8.6185,8.8193,6668,0
GTC,D,20040804,000000,8.6587,8.6989,8.5782,8.6989,14166,0
GTC,D,20040805,000000,8.6989,8.7796,8.6989,8.7391,58104,0
GTC,D,20040806,000000,8.7796,8.9399,8.7796,8.9003,98243,0
GTC,D,20040809,000000,8.6989,8.7796,8.6185,8.6989,10740,0
GTC,D,20040810,000000,8.7796,8.7796,8.6185,8.6185,15222,0
GTC,D,20040811,000000,8.5782,8.7391,8.2155,8.6587,32814,0
GTC,D,20040812,000000,8.6185,8.6185,8.4573,8.4573,3800,0
GTC,D,20040813,000000,8.4573,8.6989,8.3364,8.6989,105992,0
GTC,D,20040816,000000,8.7391,8.7391,8.4977,8.6185,54617,0
GTC,D,20040817,000000,8.6989,8.9399,8.6185,8.9399,573164,0
GTC,D,20040818,000000,8.9399,9.0209,8.9399,8.9804,21665,0
GTC,D,20040819,000000,8.9003,9.0209,8.9003,8.9003,21602,0
GTC,D,20040820,000000,8.9399,9.1017,8.8598,9.0615,78826,0
GTC,D,20040823,000000,9.0615,9.1017,9.0209,9.1017,45206,0
GTC,D,20040824,000000,9.1429,9.4234,9.1429,9.4234,148690,0
GTC,D,20040825,000000,9.4636,9.583,9.2626,9.4234,300890,0
GTC,D,20040826,000000,9.4636,9.505,9.343,9.4234,60450,0
GTC,D,20040827,000000,9.3037,9.4234,9.3037,9.4234,1850,0
GTC,D,20040830,000000,9.505,9.505,9.4234,9.505,322792,0
GTC,D,20040831,000000,9.505,9.706,9.505,9.706,807792,0
GTC,D,20040901,000000,9.706,9.746,9.625,9.666,136521,0
GTC,D,20040902,000000,9.666,9.706,9.666,9.666,140706,0
GTC,D,20040903,000000,9.666,9.786,9.666,9.746,16501,0
GTC,D,20040906,000000,9.583,9.827,9.583,9.706,10230,0
GTC,D,20040907,000000,9.666,9.907,9.666,9.867,19331,0
GTC,D,20040908,000000,9.746,9.867,9.666,9.827,11348,0
GTC,D,20040909,000000,9.947,9.947,9.706,9.746,5959,0
GTC,D,20040910,000000,9.746,9.746,9.505,9.505,34291,0
GTC,D,20040913,000000,9.4234,9.706,9.4234,9.625,42549,0
GTC,D,20040914,000000,9.666,9.746,9.583,9.746,21840,0
GTC,D,20040915,000000,9.666,9.987,9.666,9.947,140730,0
GTC,D,20040916,000000,9.987,10.068,9.947,10.028,50370,0
GTC,D,20040917,000000,10.028,10.148,9.987,10.068,64971,0
GTC,D,20040920,000000,10.108,10.108,9.987,10.028,28494,0
