<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAG,D,20071009,000000,3.7,3.7,3.25,3.6,32068,0
IAG,D,20071010,000000,3.59,3.59,3.42,3.5,26087,0
IAG,D,20071011,000000,3.42,3.65,3.42,3.65,8509,0
IAG,D,20071012,000000,3.65,3.7,3.5,3.65,19469,0
IAG,D,20071015,000000,3.55,3.73,3.55,3.7,18820,0
IAG,D,20071016,000000,3.72,3.73,3.61,3.7,46250,0
IAG,D,20071017,000000,3.66,3.7,3.6,3.6,25660,0
IAG,D,20071018,000000,3.51,3.68,3.51,3.65,1623,0
IAG,D,20071019,000000,3.53,3.7,3.53,3.65,4180,0
IAG,D,20071022,000000,3.51,3.65,3.51,3.6,5160,0
IAG,D,20071023,000000,3.56,3.6,3.55,3.6,4500,0
IAG,D,20071024,000000,3.55,3.68,3.55,3.67,3600,0
IAG,D,20071025,000000,3.52,3.79,3.52,3.79,22477,0
IAG,D,20071026,000000,3.77,3.78,3.65,3.7,1350,0
IAG,D,20071029,000000,3.65,3.74,3.65,3.74,1300,0
IAG,D,20071030,000000,3.65,3.7,3.65,3.7,5300,0
IAG,D,20071031,000000,3.65,3.75,3.6,3.75,3242,0
IAG,D,20071102,000000,3.6,4,3.6,3.96,1319,0
IAG,D,20071105,000000,3.95,3.95,3.85,3.85,542,0
IAG,D,20071106,000000,3.66,3.85,3.66,3.85,1238,0
IAG,D,20071107,000000,3.65,3.65,3.6,3.6,2163,0
IAG,D,20071108,000000,3.6,3.75,3.6,3.75,442,0
IAG,D,20071109,000000,3.65,3.65,3.65,3.65,100,0
IAG,D,20071112,000000,3.63,3.63,3.63,3.63,1515,0
IAG,D,20071113,000000,3.63,3.7,3.5,3.5,9440,0
IAG,D,20071114,000000,3.51,3.51,3.51,3.51,100,0
IAG,D,20071115,000000,3.55,3.65,3.45,3.45,6110,0
IAG,D,20071116,000000,3.55,3.7,3.55,3.7,300,0
IAG,D,20071119,000000,3.55,3.7,3.55,3.7,2902,0
IAG,D,20071120,000000,3.61,3.61,3.6,3.6,4200,0
IAG,D,20071121,000000,3.56,3.6,3.55,3.6,2000,0
IAG,D,20071122,000000,3.78,3.78,3.78,3.78,100,0
IAG,D,20071123,000000,3.65,3.65,3.65,3.65,200,0
