<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,3.1948,3.3403,3.1187,3.1187,197827,0
IFI,D,20080325,000000,2.9871,3.1534,2.7513,2.7722,45300,0
IFI,D,20080326,000000,2.7582,2.8415,2.5642,2.6059,98958,0
IFI,D,20080327,000000,2.7513,2.7513,2.6127,2.668,11020,0
IFI,D,20080328,000000,2.6961,2.6961,2.5642,2.6612,11278,0
IFI,D,20080331,000000,2.5642,2.6891,2.4604,2.6821,23920,0
IFI,D,20080401,000000,2.6891,2.7308,2.5642,2.6196,6699,0
IFI,D,20080402,000000,2.6334,2.6406,2.509,2.5782,9995,0
IFI,D,20080403,000000,2.5367,2.5367,2.3564,2.3632,24292,0
IFI,D,20080404,000000,2.3773,2.3773,2.1831,2.28,40471,0
IFI,D,20080407,000000,2.2523,2.2664,2.1831,2.2523,21233,0
IFI,D,20080408,000000,2.1762,2.6266,2.1484,2.6266,85759,0
IFI,D,20080409,000000,2.6196,2.8969,2.5575,2.8969,93766,0
IFI,D,20080410,000000,2.9108,2.9454,2.8138,2.8554,11218,0
IFI,D,20080411,000000,2.9108,3.3197,2.9108,3.2781,117520,0
IFI,D,20080414,000000,2.9802,3.1673,2.9802,3.1119,5641,0
IFI,D,20080415,000000,3.1187,3.1325,2.9181,2.9247,1112,0
IFI,D,20080416,000000,3.1119,3.2226,2.9247,3.1534,61611,0
IFI,D,20080417,000000,3.1187,3.1187,2.9247,2.9317,4736,0
IFI,D,20080418,000000,2.9108,2.9317,2.7443,2.9317,14748,0
IFI,D,20080421,000000,2.9665,3.0353,2.9665,3.0353,3524,0
IFI,D,20080422,000000,2.9665,3.0839,2.9665,3.0839,1818,0
IFI,D,20080423,000000,3.1049,3.1049,3.1049,3.1049,18,0
IFI,D,20080424,000000,2.9108,3.0839,2.9108,3.0839,727,0
IFI,D,20080425,000000,2.9181,2.9941,2.9181,2.9941,698,0
IFI,D,20080428,000000,3.0148,3.0148,2.7931,2.9524,2941,0
IFI,D,20080429,000000,2.9524,2.9524,2.7722,2.7722,19892,0
IFI,D,20080430,000000,2.9038,3.0424,2.9038,3.0424,25205,0
