<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC,D,20110504,000000,8.7148,9.0238,8.5136,8.5296,317820,0
IMC,D,20110505,000000,8.5456,8.5456,8.1053,8.3517,57788,0
IMC,D,20110506,000000,8.4525,8.4525,8.2676,8.3447,99689,0
IMC,D,20110509,000000,8.3675,8.4139,8.3289,8.3675,27314,0
IMC,D,20110510,000000,8.3754,8.4289,8.1203,8.3289,13272,0
IMC,D,20110511,000000,8.1589,8.3517,8.1589,8.2596,29221,0
IMC,D,20110512,000000,8.1668,8.3367,8.151,8.2824,8723,0
IMC,D,20110513,000000,8.2746,8.3367,8.1896,8.3367,53070,0
IMC,D,20110516,000000,8.1975,8.3367,8.1975,8.3367,29163,0
IMC,D,20110517,000000,8.3289,8.3367,8.1668,8.1896,42993,0
IMC,D,20110518,000000,8.1896,8.3289,8.1282,8.3289,30471,0
IMC,D,20110519,000000,8.3289,8.3367,8.2982,8.3061,5936,0
IMC,D,20110520,000000,8.1896,8.2982,8.1896,8.2596,758,0
IMC,D,20110523,000000,8.1975,8.3367,8.1746,8.3367,21899,0
IMC,D,20110524,000000,8.2211,8.3517,8.1053,8.3517,238974,0
IMC,D,20110525,000000,8.2596,8.3367,8.2596,8.3367,5018,0
IMC,D,20110526,000000,8.3367,8.3675,8.2982,8.3675,5131,0
IMC,D,20110527,000000,8.3596,8.8386,8.3596,8.8386,371442,0
IMC,D,20110530,000000,8.8074,8.8769,8.73,8.7994,17192,0
IMC,D,20110531,000000,8.738,8.8769,8.73,8.8689,20823,0
IMC,D,20110601,000000,8.8537,8.8689,8.7843,8.7914,14081,0
IMC,D,20110602,000000,8.7843,8.7994,8.7228,8.7228,18136,0
IMC,D,20110603,000000,8.6454,8.7611,8.6454,8.7611,16332,0
IMC,D,20110606,000000,8.7994,8.7994,8.6374,8.6837,6246,0
IMC,D,20110607,000000,8.746,8.7994,8.6917,8.7228,3753,0
IMC,D,20110608,000000,8.6837,8.7228,8.6756,8.6756,9659,0
IMC,D,20110609,000000,8.7068,8.7068,8.4913,8.5839,8064,0
IMC,D,20110610,000000,8.4993,8.5991,8.4993,8.5911,301618,0
