<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IRL,D,20121218,000000,8.4635,8.4961,8.4442,8.4961,94130,0
IRL,D,20121219,000000,8.5997,8.7276,8.5997,8.6791,67622,0
IRL,D,20121220,000000,8.7477,8.7477,8.5788,8.5788,45321,0
IRL,D,20121221,000000,8.629,8.6549,8.6123,8.6515,32228,0
IRL,D,20121227,000000,8.6791,8.7443,8.6791,8.741,44863,0
IRL,D,20121228,000000,8.761,8.7945,8.6942,8.7911,47538,0
IRL,D,20130102,000000,8.8597,8.8923,8.8597,8.8856,39898,0
IRL,D,20130103,000000,8.9107,8.9107,8.8705,8.8764,20327,0
IRL,D,20130104,000000,8.8764,8.8923,8.8705,8.8923,32746,0
IRL,D,20130107,000000,8.8438,8.8438,8.5888,8.6256,75443,0
IRL,D,20130108,000000,8.5888,8.7117,8.5888,8.6056,32908,0
IRL,D,20130109,000000,8.6449,8.6816,8.6449,8.6791,42655,0
IRL,D,20130110,000000,8.7017,8.7276,8.7017,8.7243,29244,0
IRL,D,20130111,000000,8.7117,8.8271,8.7117,8.8037,19394,0
IRL,D,20130114,000000,8.8271,8.8797,8.8271,8.8705,25306,0
IRL,D,20130115,000000,8.8271,8.8764,8.8271,8.8379,15606,0
IRL,D,20130116,000000,8.8597,8.8597,8.8137,8.8313,9699,0
IRL,D,20130117,000000,8.8104,8.9792,8.8104,8.9107,26714,0
IRL,D,20130118,000000,8.9291,8.975,8.9291,8.9424,14245,0
IRL,D,20130121,000000,8.8764,8.8998,8.8764,8.8923,11215,0
IRL,D,20130122,000000,8.9107,8.9123,8.8597,8.8597,9358,0
IRL,D,20130123,000000,8.5788,8.6449,8.3807,8.4635,47791,0
IRL,D,20130124,000000,8.6449,8.8104,8.4476,8.4635,9547,0
IRL,D,20130125,000000,8.4735,8.4802,8.4543,8.4635,9935,0
IRL,D,20130128,000000,8.5471,8.5471,8.5128,8.5471,14886,0
IRL,D,20130129,000000,8.5638,8.5638,8.5236,8.5638,7213,0
IRL,D,20130130,000000,8.5638,8.5888,8.5303,8.5763,6252,0
IRL,D,20130131,000000,8.5638,8.583,8.5471,8.583,5759,0
IRL,D,20130201,000000,8.573,8.7117,8.573,8.7117,11737,0
IRL,D,20130204,000000,8.7744,8.9107,8.7276,8.8271,6445,0
IRL,D,20130205,000000,8.8271,8.8438,8.7276,8.8271,7879,0
IRL,D,20130206,000000,8.8271,8.9107,8.8271,8.8923,5854,0
IRL,D,20130207,000000,8.8923,8.8923,8.8764,8.8822,5639,0
IRL,D,20130208,000000,8.8923,8.9107,8.8271,8.9107,7167,0
IRL,D,20130211,000000,8.8923,8.9065,8.8597,8.8998,5150,0
IRL,D,20130212,000000,8.8597,8.8597,8.8438,8.8597,5308,0
IRL,D,20130213,000000,8.8672,8.8856,8.8597,8.8764,5002,0
IRL,D,20130214,000000,8.8496,8.8597,8.8438,8.8438,6515,0
IRL,D,20130215,000000,8.8923,8.8923,8.8563,8.8705,4240,0
IRL,D,20130218,000000,8.8998,8.8998,8.8438,8.8463,6044,0
IRL,D,20130219,000000,8.8438,8.8563,8.8438,8.853,5002,0
IRL,D,20130220,000000,8.8379,8.8496,8.8379,8.8496,4830,0
IRL,D,20130221,000000,8.8271,8.8396,8.761,8.761,17698,0
IRL,D,20130222,000000,8.8271,8.8597,8.8271,8.8438,4091,0
IRL,D,20130225,000000,8.8563,8.9107,8.8563,8.9065,10109,0
IRL,D,20130226,000000,8.8764,8.8956,8.8764,8.8923,6971,0
IRL,D,20130227,000000,8.8923,8.9583,8.8923,8.9483,6092,0
IRL,D,20130228,000000,9.3052,9.567,9.2952,9.567,19506,0
IRL,D,20130301,000000,9.4874,9.536,9.4532,9.4874,8667,0
IRL,D,20130304,000000,9.4874,9.504,9.4699,9.4874,5249,0
IRL,D,20130305,000000,9.4874,9.504,9.4373,9.504,7832,0
IRL,D,20130306,000000,9.4874,9.504,9.4699,9.504,4546,0
IRL,D,20130307,000000,9.52,9.585,9.52,9.569,6370,0
IRL,D,20130308,000000,9.536,9.635,9.504,9.635,8147,0
IRL,D,20130311,000000,9.734,9.734,9.62,9.62,6382,0
IRL,D,20130312,000000,9.635,9.639,9.585,9.62,5320,0
IRL,D,20130313,000000,9.576,9.669,9.576,9.669,4184,0
IRL,D,20130314,000000,9.669,9.669,9.62,9.651,5212,0
IRL,D,20130315,000000,9.585,9.669,9.585,9.669,3906,0
IRL,D,20130318,000000,9.585,9.585,9.4874,9.4966,6510,0
IRL,D,20130319,000000,9.4699,9.4699,9.4047,9.4373,4513,0
IRL,D,20130320,000000,9.4047,9.504,9.2392,9.504,6052,0
IRL,D,20130321,000000,9.553,9.569,9.517,9.536,3226,0
IRL,D,20130322,000000,9.3712,9.533,9.3712,9.533,2271,0
IRL,D,20130325,000000,9.569,9.651,9.3712,9.635,4260,0
IRL,D,20130326,000000,9.669,9.701,9.569,9.651,3331,0
IRL,D,20130327,000000,9.718,9.718,9.615,9.625,3426,0
IRL,D,20130328,000000,9.603,9.701,9.569,9.669,4303,0
IRL,D,20130402,000000,9.57,9.997,9.57,9.799,4014,0
IRL,D,20130403,000000,9.767,9.767,9.701,9.708,3734,0
IRL,D,20130404,000000,9.883,9.883,9.667,9.734,3149,0
IRL,D,20130405,000000,9.734,9.734,9.4047,9.4047,11056,0
IRL,D,20130408,000000,9.4532,9.569,9.4206,9.563,6757,0
IRL,D,20130409,000000,9.603,9.639,9.4306,9.639,5990,0
IRL,D,20130410,000000,9.653,9.744,9.57,9.719,14197,0
IRL,D,20130411,000000,9.734,9.8,9.569,9.8,3098,0
IRL,D,20130412,000000,9.734,9.833,9.718,9.718,3042,0
IRL,D,20130415,000000,9.784,9.784,9.543,9.543,5003,0
IRL,D,20130417,000000,9.567,9.577,9.4548,9.469,3220,0
IRL,D,20130418,000000,9.4373,9.569,9.4206,9.4206,4193,0
IRL,D,20130419,000000,9.4548,9.4858,9.4548,9.469,2862,0
IRL,D,20130422,000000,9.549,9.585,9.4699,9.553,5263,0
IRL,D,20130423,000000,9.569,9.671,9.569,9.641,2420,0
IRL,D,20130424,000000,9.685,9.734,9.685,9.718,2261,0
