<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KCH,D,20070823,000000,7.0292,7.1032,6.2893,6.317,977597,0
KCH,D,20070824,000000,6.2708,6.5205,6.0395,6.391,114498,0
KCH,D,20070827,000000,6.613,6.613,6.3818,6.391,141115,0
KCH,D,20070828,000000,6.4558,6.4558,6.243,6.2893,61321,0
KCH,D,20070829,000000,6.1505,6.1505,5.8453,6.0488,53165,0
KCH,D,20070830,000000,6.28,6.317,5.9563,6.1413,118701,0
KCH,D,20070831,000000,6.1968,6.2708,6.0118,6.2523,39098,0
KCH,D,20070903,000000,6.2893,6.3263,6.1413,6.28,71481,0
KCH,D,20070904,000000,6.4095,6.4095,5.9193,6.28,40131,0
KCH,D,20070905,000000,6.1505,6.2893,6.0211,6.0211,28489,0
KCH,D,20070906,000000,5.9378,6.1598,5.9378,5.9656,22405,0
KCH,D,20070907,000000,6.132,6.132,5.7713,5.9563,34656,0
KCH,D,20070910,000000,5.8916,5.8916,5.6603,5.7528,11641,0
KCH,D,20070911,000000,5.7436,5.8731,5.6881,5.7806,6187,0
KCH,D,20070912,000000,5.7343,5.8083,5.7066,5.7251,16805,0
KCH,D,20070913,000000,5.6973,5.8638,5.6973,5.7991,4991,0
KCH,D,20070914,000000,5.8268,5.8453,5.6048,5.6973,12899,0
KCH,D,20070917,000000,5.6511,5.8176,5.3274,5.4939,25997,0
KCH,D,20070918,000000,5.5401,5.7066,5.5031,5.5031,18825,0
KCH,D,20070919,000000,5.7066,5.7806,5.5679,5.7066,15230,0
KCH,D,20070920,000000,5.6881,5.6881,5.5216,5.5494,15883,0
KCH,D,20070921,000000,5.5494,5.8083,5.5494,5.6696,27995,0
KCH,D,20070924,000000,5.5401,5.5956,5.4754,5.5956,21584,0
KCH,D,20070925,000000,5.4846,5.4846,5.4199,5.4476,10893,0
KCH,D,20070926,000000,5.5494,5.5771,5.5309,5.5494,9265,0
KCH,D,20070927,000000,5.5494,5.5494,5.4199,5.5309,5769,0
KCH,D,20070928,000000,5.5864,5.5864,5.3644,5.4106,13452,0
KCH,D,20071001,000000,5.2349,5.4106,5.1332,5.2256,12556,0
KCH,D,20071002,000000,5.2256,5.3829,5.1332,5.2719,13732,0
KCH,D,20071003,000000,5.3644,5.4569,5.1794,5.4014,10656,0
KCH,D,20071004,000000,5.3644,5.7343,5.1794,5.5494,50222,0
KCH,D,20071005,000000,5.7621,5.7621,5.5494,5.6233,14910,0
KCH,D,20071008,000000,6.2893,6.2893,5.6881,5.6973,17440,0
KCH,D,20071009,000000,5.8731,5.8731,5.4291,5.6696,8005,0
KCH,D,20071010,000000,5.5494,5.6418,5.4106,5.4199,17370,0
KCH,D,20071011,000000,5.4106,5.4846,5.3644,5.4569,17112,0
KCH,D,20071012,000000,5.3274,5.4569,5.0869,5.3644,18083,0
KCH,D,20071015,000000,5.2719,5.4939,5.2719,5.3274,8839,0
KCH,D,20071016,000000,5.3644,5.3644,5.2256,5.3644,7646,0
KCH,D,20071017,000000,5.3644,5.5494,5.2719,5.4569,10949,0
KCH,D,20071018,000000,5.5031,5.5031,5.3181,5.4106,18967,0
KCH,D,20071019,000000,5.4569,5.4569,5.3181,5.4014,6074,0
KCH,D,20071022,000000,5.4014,5.4014,5.2534,5.2626,14482,0
KCH,D,20071023,000000,5.3644,5.3736,5.2626,5.3644,3877,0
KCH,D,20071024,000000,5.2719,5.4476,5.2719,5.4014,1758,0
KCH,D,20071025,000000,5.4014,5.4014,5.2996,5.3921,1088,0
KCH,D,20071026,000000,5.3089,5.3829,5.2626,5.3829,10144,0
KCH,D,20071029,000000,5.2811,5.4291,5.2441,5.2441,15534,0
KCH,D,20071030,000000,5.2441,5.3921,5.1794,5.3736,47534,0
KCH,D,20071031,000000,5.3644,5.5309,5.3274,5.5031,12457,0
KCH,D,20071102,000000,5.3551,5.6233,5.3459,5.5031,7451,0
KCH,D,20071105,000000,5.5679,5.5679,5.3274,5.4939,2913,0
KCH,D,20071106,000000,5.4754,5.4846,5.2996,5.3089,5014,0
KCH,D,20071107,000000,5.3644,5.3644,4.9482,4.9574,15229,0
KCH,D,20071108,000000,4.3285,5.0407,4.3285,4.9574,39775,0
KCH,D,20071109,000000,5.0869,5.2626,4.7262,4.8094,18747,0
KCH,D,20071112,000000,4.6337,4.7632,4.569,4.6985,21103,0
KCH,D,20071113,000000,4.532,4.5967,4.4395,4.5782,20132,0
KCH,D,20071114,000000,4.5967,4.5967,4.3932,4.532,31817,0
KCH,D,20071115,000000,4.532,4.569,4.0788,4.1158,51484,0
KCH,D,20071116,000000,4.1158,4.1158,3.7921,3.9955,17777,0
KCH,D,20071119,000000,4.0233,4.2453,3.7921,3.8661,4528,0
KCH,D,20071120,000000,3.7921,3.8106,3.4868,3.7828,67368,0
KCH,D,20071121,000000,3.7088,3.7921,3.4129,3.5053,40848,0
KCH,D,20071122,000000,3.5053,3.5516,3.1724,3.5146,38329,0
KCH,D,20071123,000000,3.977,4.0603,3.3759,3.3759,35461,0
KCH,D,20071126,000000,3.3574,3.5793,3.2834,3.2834,34008,0
KCH,D,20071127,000000,3.2834,3.6071,3.2371,3.6071,30731,0
KCH,D,20071128,000000,3.6718,3.7828,3.5146,3.7828,46903,0
KCH,D,20071129,000000,3.8938,4.0233,3.6348,3.7921,32200,0
KCH,D,20071130,000000,3.7921,3.94,3.6996,3.8845,16533,0
KCH,D,20071203,000000,3.7921,3.7921,3.6996,3.7921,4898,0
KCH,D,20071204,000000,3.6718,3.7921,3.5146,3.7366,8624,0
KCH,D,20071205,000000,3.5886,3.94,3.5886,3.9308,20061,0
KCH,D,20071206,000000,3.9308,3.9955,3.8291,3.9678,24727,0
KCH,D,20071207,000000,3.9493,3.9678,3.7921,3.9215,11842,0
KCH,D,20071210,000000,3.9493,3.9863,3.7551,3.903,22404,0
KCH,D,20071211,000000,3.8198,3.8753,3.6996,3.7366,18538,0
KCH,D,20071212,000000,3.6718,3.7458,3.6626,3.7366,16214,0
KCH,D,20071213,000000,3.6718,3.6996,3.5608,3.6996,16562,0
KCH,D,20071214,000000,3.6903,3.6996,3.6071,3.6996,11808,0
KCH,D,20071217,000000,3.6533,3.6533,3.5331,3.6071,56585,0
KCH,D,20071218,000000,3.5146,3.6533,3.4221,3.6071,22126,0
KCH,D,20071219,000000,3.5608,3.6626,3.5608,3.6163,39645,0
KCH,D,20071220,000000,3.5701,3.6718,3.4683,3.6256,74616,0
KCH,D,20071221,000000,3.5146,3.6533,3.4961,3.6441,140427,0
KCH,D,20071227,000000,3.6533,3.9585,3.6533,3.6996,10315,0
KCH,D,20071228,000000,3.8661,3.8661,3.6533,3.6533,2623,0
KCH,D,20080102,000000,3.6256,3.6718,3.5793,3.6718,13632,0
KCH,D,20080103,000000,3.6071,3.6718,3.5793,3.6718,48752,0
KCH,D,20080104,000000,3.6163,3.6626,3.5701,3.6071,24843,0
KCH,D,20080107,000000,3.5701,3.6071,3.5701,3.5886,10184,0
KCH,D,20080108,000000,3.5978,3.6441,3.5886,3.6071,69732,0
KCH,D,20080109,000000,3.5516,3.5608,3.4961,3.5608,18188,0
