<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH,D,19970710,000000,8.0476,8.0476,8.0476,8.0476,7190075,0
KGH,D,19970711,000000,8.219,8.219,8.219,8.219,4547878,0
KGH,D,19970714,000000,7.3994,7.3994,7.3994,7.3994,1162876,0
KGH,D,19970715,000000,6.6816,6.6816,6.6816,6.6816,2430180,0
KGH,D,19970716,000000,7.3298,7.3298,7.3298,7.3298,1666283,0
KGH,D,19970717,000000,7.4689,7.5336,7.4689,7.5336,2245946,0
KGH,D,19970718,000000,7.3623,7.3623,7.1261,7.1585,780890,0
KGH,D,19970721,000000,7.3623,7.3623,7.2975,7.3623,1068518,0
KGH,D,19970722,000000,7.3623,7.4689,7.3623,7.3994,692807,0
KGH,D,19970723,000000,7.4317,7.4317,7.228,7.2975,594085,0
KGH,D,19970724,000000,7.3623,7.3623,7.2975,7.2975,724049,0
KGH,D,19970725,000000,7.3298,7.3298,7.2604,7.2604,577889,0
KGH,D,19970728,000000,7.1956,7.1956,7.0892,7.0892,602391,0
KGH,D,19970729,000000,7.0243,7.1956,7.0243,7.1261,344772,0
KGH,D,19970730,000000,7.1261,7.3623,7.1261,7.2975,384292,0
KGH,D,19970731,000000,7.2604,7.2604,7.0892,7.1261,382121,0
KGH,D,19970801,000000,7.1261,7.2604,7.1261,7.1261,285185,0
KGH,D,19970804,000000,7.1956,7.2604,7.1956,7.228,404470,0
KGH,D,19970805,000000,7.2604,7.3623,7.2604,7.3623,598068,0
KGH,D,19970806,000000,7.3623,7.3623,7.2604,7.2975,437194,0
KGH,D,19970807,000000,7.3298,7.8113,7.3298,7.7744,547019,0
KGH,D,19970808,000000,7.6726,8.219,7.6726,8.0152,1082742,0
KGH,D,19970811,000000,7.8764,7.8764,7.6402,7.6726,778290,0
KGH,D,19970812,000000,7.6402,7.8764,7.6402,7.7744,643519,0
KGH,D,19970813,000000,7.8764,7.8764,7.8764,7.8764,862546,0
KGH,D,19970814,000000,7.6031,7.705,7.5708,7.6031,373983,0
KGH,D,19970818,000000,7.5012,7.5012,7.2975,7.3623,359568,0
KGH,D,19970819,000000,7.6031,7.8764,7.6031,7.7421,672661,0
KGH,D,19970820,000000,7.8113,7.8113,7.6726,7.705,659415,0
KGH,D,19970821,000000,7.5336,7.5336,7.4689,7.4689,228506,0
KGH,D,19970822,000000,7.4317,7.6031,7.4317,7.5708,218981,0
KGH,D,19970825,000000,7.4689,7.5708,7.3623,7.3623,205096,0
KGH,D,19970826,000000,7.3623,7.5012,7.3623,7.4317,239239,0
KGH,D,19970827,000000,7.4317,7.5012,7.4317,7.4689,224860,0
KGH,D,19970828,000000,7.6402,7.8113,7.6402,7.7744,895228,0
KGH,D,19970829,000000,7.705,7.705,7.6402,7.6726,957973,0
KGH,D,19970901,000000,7.5708,7.6402,7.5708,7.5708,254713,0
KGH,D,19970902,000000,7.705,7.7744,7.705,7.7421,592392,0
KGH,D,19970903,000000,7.8113,7.9828,7.8113,7.9457,1132652,0
KGH,D,19970904,000000,7.8113,7.8113,7.705,7.7421,590171,0
KGH,D,19970905,000000,7.705,7.8439,7.705,7.7744,508114,0
KGH,D,19970908,000000,7.7421,7.7421,7.6726,7.7421,201375,0
KGH,D,19970909,000000,7.6402,7.705,7.6402,7.6726,386991,0
KGH,D,19970910,000000,7.6402,7.7421,7.6402,7.6726,377145,0
KGH,D,19970911,000000,7.5708,7.6726,7.5708,7.6402,380729,0
KGH,D,19970912,000000,7.6402,7.705,7.6402,7.6726,343929,0
KGH,D,19970915,000000,7.6031,7.705,7.6031,7.6726,307207,0
KGH,D,19970916,000000,7.6031,7.6402,7.5336,7.5336,341277,0
KGH,D,19970917,000000,7.5012,7.5012,7.4317,7.4689,369050,0
KGH,D,19970918,000000,7.3994,7.5336,7.3623,7.5336,536764,0
KGH,D,19970919,000000,7.705,7.8439,7.705,7.8439,1366639,0
KGH,D,19970922,000000,7.8764,7.8764,7.7421,7.7744,859565,0
KGH,D,19970923,000000,7.7744,7.7744,7.6726,7.705,585278,0
KGH,D,19970924,000000,7.5708,7.6726,7.5708,7.6402,416336,0
KGH,D,19970925,000000,7.5012,7.5012,7.3994,7.4317,613814,0
KGH,D,19970926,000000,7.3994,7.4317,7.3623,7.3623,540259,0
