<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LBW,D,19961118,000000,0.289,0.289,0.289,0.289,2468905,0
LBW,D,19961119,000000,0.3083,0.3083,0.3083,0.3083,2889514,0
LBW,D,19961120,000000,0.3083,0.3083,0.3083,0.3083,1862003,0
LBW,D,19961121,000000,0.2987,0.2987,0.2987,0.2987,680399,0
LBW,D,19961122,000000,0.3083,0.3083,0.3083,0.3083,1121437,0
LBW,D,19961125,000000,0.3083,0.3083,0.3083,0.3083,950403,0
LBW,D,19961126,000000,0.3083,0.3083,0.3083,0.3083,911475,0
LBW,D,19961127,000000,0.3083,0.3083,0.3083,0.3083,663830,0
LBW,D,19961128,000000,0.3083,0.3083,0.3083,0.3083,688059,0
LBW,D,19961129,000000,0.3083,0.3083,0.3083,0.3083,712973,0
LBW,D,19961202,000000,0.2698,0.2698,0.2698,0.2698,289562,0
LBW,D,19961203,000000,0.289,0.289,0.289,0.289,634743,0
LBW,D,19961204,000000,0.289,0.289,0.289,0.289,737514,0
LBW,D,19961205,000000,0.289,0.289,0.289,0.289,281838,0
LBW,D,19961206,000000,0.2698,0.2698,0.2698,0.2698,178445,0
LBW,D,19961209,000000,0.2698,0.2698,0.2698,0.2698,560189,0
LBW,D,19961210,000000,0.2698,0.2698,0.2698,0.2698,203858,0
LBW,D,19961211,000000,0.2698,0.2698,0.2698,0.2698,488810,0
LBW,D,19961212,000000,0.2794,0.2794,0.2794,0.2794,984410,0
LBW,D,19961213,000000,0.289,0.289,0.289,0.289,372650,0
LBW,D,19961216,000000,0.2698,0.2698,0.2698,0.2698,156646,0
LBW,D,19961217,000000,0.2794,0.2794,0.2794,0.2794,246212,0
LBW,D,19961218,000000,0.2794,0.2794,0.2794,0.2794,553462,0
LBW,D,19961219,000000,0.2698,0.2698,0.2698,0.2698,406657,0
LBW,D,19961220,000000,0.2698,0.2698,0.2698,0.2698,404851,0
LBW,D,19961223,000000,0.2794,0.2794,0.2794,0.2794,586846,0
LBW,D,19961224,000000,0.2698,0.2698,0.2698,0.2698,161255,0
LBW,D,19961230,000000,0.2698,0.2698,0.2698,0.2698,197193,0
LBW,D,19961231,000000,0.2698,0.2698,0.2698,0.2698,236743,0
LBW,D,19970102,000000,0.2794,0.2794,0.2794,0.2794,181062,0
LBW,D,19970103,000000,0.2794,0.2794,0.2794,0.2794,259229,0
LBW,D,19970106,000000,0.2794,0.2794,0.2794,0.2794,371155,0
LBW,D,19970107,000000,0.2794,0.2794,0.2794,0.2794,266391,0
LBW,D,19970108,000000,0.2794,0.2794,0.2794,0.2794,697153,0
LBW,D,19970109,000000,0.289,0.289,0.289,0.289,629699,0
LBW,D,19970110,000000,0.2987,0.2987,0.2987,0.2987,1181355,0
LBW,D,19970113,000000,0.2987,0.2987,0.2987,0.2987,794379,0
LBW,D,19970114,000000,0.3083,0.3083,0.3083,0.3083,1342921,0
LBW,D,19970115,000000,0.3083,0.3083,0.3083,0.3083,1684864,0
LBW,D,19970116,000000,0.3468,0.3468,0.3468,0.3468,1149651,0
LBW,D,19970117,000000,0.3565,0.3565,0.3565,0.3565,1365281,0
LBW,D,19970120,000000,0.3565,0.3565,0.3565,0.3565,1637777,0
LBW,D,19970121,000000,0.3565,0.3565,0.3565,0.3565,2475881,0
LBW,D,19970122,000000,0.3661,0.3661,0.3661,0.3661,1486737,0
LBW,D,19970123,000000,0.4046,0.4046,0.4046,0.4046,2694501,0
LBW,D,19970124,000000,0.4046,0.4046,0.4046,0.4046,3274310,0
LBW,D,19970127,000000,0.395,0.395,0.395,0.395,987650,0
LBW,D,19970128,000000,0.3565,0.3565,0.3565,0.3565,1860072,0
LBW,D,19970129,000000,0.3565,0.3565,0.3565,0.3565,1758111,0
LBW,D,19970130,000000,0.3661,0.3661,0.3661,0.3661,1577797,0
LBW,D,19970131,000000,0.3661,0.3661,0.3661,0.3661,909357,0
LBW,D,19970203,000000,0.3854,0.3854,0.3854,0.3854,1187334,0
