<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LTS,D,20050609,000000,26.676,26.676,25.013,25.013,1795647,0
LTS,D,20050610,000000,25.097,25.433,24.594,24.594,679054,0
LTS,D,20050613,000000,25.013,25.097,24.594,24.762,213950,0
LTS,D,20050614,000000,24.929,24.929,24.762,24.762,181415,0
LTS,D,20050615,000000,24.762,24.845,24.594,24.762,160359,0
LTS,D,20050616,000000,24.762,24.762,24.35,24.35,171475,0
LTS,D,20050617,000000,24.51,24.51,24.182,24.267,286286,0
LTS,D,20050620,000000,24.182,24.267,24.013,24.182,230027,0
LTS,D,20050621,000000,24.182,24.267,24.013,24.182,328050,0
LTS,D,20050622,000000,24.267,24.929,24.267,24.845,299635,0
LTS,D,20050623,000000,25.013,25.266,24.678,24.678,221598,0
LTS,D,20050624,000000,24.762,24.929,24.51,24.51,42660,0
LTS,D,20050627,000000,24.51,24.845,24.426,24.762,22542,0
LTS,D,20050628,000000,24.845,24.845,24.51,24.762,21546,0
LTS,D,20050629,000000,24.929,24.929,24.594,24.678,34953,0
LTS,D,20050630,000000,24.762,24.762,24.426,24.678,56049,0
LTS,D,20050701,000000,24.762,24.762,24.51,24.594,40169,0
LTS,D,20050704,000000,24.594,24.929,24.594,24.762,48311,0
LTS,D,20050705,000000,24.845,25.182,24.762,25.013,94613,0
LTS,D,20050706,000000,25.013,25.013,24.845,24.929,23239,0
LTS,D,20050707,000000,25.013,25.013,24.594,24.929,88585,0
LTS,D,20050708,000000,25.013,26.098,25.013,25.846,1137592,0
LTS,D,20050711,000000,26.181,26.518,25.761,25.93,684918,0
LTS,D,20050712,000000,26.014,26.014,25.846,25.93,245968,0
LTS,D,20050713,000000,25.93,26.266,25.93,26.266,477461,0
LTS,D,20050714,000000,26.349,26.434,26.181,26.266,383853,0
LTS,D,20050715,000000,26.181,26.181,26.014,26.098,233401,0
LTS,D,20050718,000000,26.014,26.098,25.518,25.594,225592,0
LTS,D,20050719,000000,25.518,25.678,25.266,25.594,198664,0
LTS,D,20050720,000000,25.594,25.846,25.266,25.349,197376,0
LTS,D,20050721,000000,25.433,25.594,25.013,25.013,280189,0
LTS,D,20050722,000000,24.929,25.013,24.678,24.762,257667,0
LTS,D,20050725,000000,24.929,25.678,24.929,25.678,290747,0
LTS,D,20050726,000000,25.678,26.098,25.678,26.098,604855,0
LTS,D,20050727,000000,26.098,26.181,25.93,26.181,388722,0
LTS,D,20050728,000000,26.181,26.349,26.098,26.349,801321,0
LTS,D,20050729,000000,26.349,26.349,26.098,26.181,280148,0
LTS,D,20050801,000000,26.098,26.181,25.846,26.014,213877,0
LTS,D,20050802,000000,26.098,26.434,26.098,26.266,1177048,0
LTS,D,20050803,000000,26.266,26.518,26.014,26.434,739937,0
LTS,D,20050804,000000,26.349,26.434,26.181,26.349,260880,0
LTS,D,20050805,000000,26.349,26.349,26.098,26.181,161756,0
LTS,D,20050808,000000,26.266,27.181,26.266,27.181,1327374,0
LTS,D,20050809,000000,27.181,27.601,27.181,27.433,947019,0
LTS,D,20050810,000000,27.517,28.516,27.517,28.265,1913703,0
LTS,D,20050811,000000,28.432,29.096,28.349,29.011,1946614,0
LTS,D,20050812,000000,28.937,28.937,28.349,28.432,1182137,0
LTS,D,20050816,000000,28.432,28.769,28.265,28.349,1246066,0
LTS,D,20050817,000000,28.432,28.432,28.181,28.349,523977,0
LTS,D,20050818,000000,28.265,28.349,27.685,27.769,464309,0
LTS,D,20050819,000000,27.601,28.012,27.181,27.929,445262,0
LTS,D,20050822,000000,28.096,28.432,28.096,28.265,431496,0
