<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MCI,D,20010201,000000,8,8.95,7.85,8.95,517265,0
MCI,D,20010202,000000,8.65,9.35,8.65,8.85,255745,0
MCI,D,20010205,000000,8.5,8.9,8.5,8.85,65965,0
MCI,D,20010206,000000,8.5,8.9,8.5,8.85,115001,0
MCI,D,20010207,000000,8.75,8.85,8.5,8.8,83898,0
MCI,D,20010208,000000,8.85,9.4,8.85,9.4,143081,0
MCI,D,20010209,000000,9.75,10.8,9.75,10.75,206604,0
MCI,D,20010212,000000,10.95,10.95,9.9,10.05,136728,0
MCI,D,20010213,000000,9.8,10.2,9.55,10,130132,0
MCI,D,20010214,000000,9.7,9.85,9.7,9.75,22326,0
MCI,D,20010215,000000,9.7,9.85,9.1,9.4,185055,0
MCI,D,20010216,000000,9.45,9.5,9,9.05,67595,0
MCI,D,20010219,000000,9,9.15,8.75,8.75,53716,0
MCI,D,20010220,000000,8.8,8.8,8.3,8.65,55355,0
MCI,D,20010221,000000,8.4,8.8,8.4,8.7,76955,0
MCI,D,20010222,000000,8.35,8.8,8.35,8.75,35033,0
MCI,D,20010223,000000,8.9,9.5,8.6,8.6,28136,0
MCI,D,20010226,000000,9.1,9.2,8.9,9,24129,0
MCI,D,20010227,000000,9,9.1,8.9,9.05,8752,0
MCI,D,20010228,000000,8.6,8.95,8.6,8.95,8154,0
MCI,D,20010301,000000,8.6,8.8,8.6,8.7,4304,0
MCI,D,20010302,000000,8.85,8.85,8.65,8.8,23109,0
MCI,D,20010305,000000,8.8,8.8,8.45,8.75,19054,0
MCI,D,20010306,000000,8.7,8.7,8.5,8.6,152322,0
MCI,D,20010307,000000,8.4,8.5,7.95,8.05,35861,0
MCI,D,20010308,000000,8,8,7.6,7.8,15531,0
MCI,D,20010309,000000,7.7,7.75,6.75,7.6,19670,0
MCI,D,20010312,000000,7.5,7.5,7,7.2,35486,0
MCI,D,20010313,000000,7,7.5,6.9,7.15,68890,0
MCI,D,20010314,000000,7.1,7.15,6.95,7.15,12488,0
MCI,D,20010315,000000,7.2,7.45,7.05,7.2,19708,0
MCI,D,20010316,000000,7.2,7.2,7.05,7.1,15226,0
MCI,D,20010319,000000,7.45,7.45,6.95,7.1,16802,0
MCI,D,20010320,000000,7.1,7.3,7.1,7.2,11713,0
MCI,D,20010321,000000,7.15,7.2,7.05,7.2,3988,0
MCI,D,20010322,000000,7.15,7.25,7.05,7.25,2215,0
MCI,D,20010323,000000,7.4,7.85,7.4,7.75,51339,0
MCI,D,20010326,000000,7.9,8.5,7.7,7.8,65120,0
MCI,D,20010327,000000,7.65,7.65,7.45,7.6,13148,0
MCI,D,20010328,000000,7.65,7.75,7.6,7.7,25950,0
MCI,D,20010329,000000,7.65,7.7,7.65,7.65,29440,0
MCI,D,20010330,000000,7.7,7.85,7.7,7.7,11862,0
MCI,D,20010402,000000,7.6,7.7,7.5,7.5,26672,0
MCI,D,20010403,000000,7.5,7.5,7.35,7.5,13488,0
MCI,D,20010404,000000,7.45,7.5,7.3,7.3,20707,0
MCI,D,20010405,000000,7.4,7.45,7.3,7.35,12769,0
MCI,D,20010406,000000,7.5,7.5,7.3,7.4,16226,0
MCI,D,20010409,000000,7.4,7.45,7.3,7.45,1953,0
MCI,D,20010410,000000,7.45,7.55,7.3,7.3,30692,0
MCI,D,20010411,000000,7.5,7.5,7.05,7.1,28349,0
MCI,D,20010412,000000,7.2,7.2,7,7.05,21765,0
MCI,D,20010417,000000,7.2,7.2,6.1,7,9904,0
MCI,D,20010418,000000,7,7.1,6.9,7,6684,0
MCI,D,20010419,000000,7.25,7.25,6.95,7,18757,0
MCI,D,20010420,000000,7,7.05,6.8,6.8,12783,0
MCI,D,20010423,000000,6.7,6.9,6.6,6.7,7142,0
MCI,D,20010424,000000,6.6,6.7,6.2,6.5,66487,0
MCI,D,20010425,000000,6.5,6.5,6.4,6.45,66284,0
MCI,D,20010426,000000,6.45,6.55,6.3,6.4,21807,0
MCI,D,20010427,000000,6.45,6.45,6.15,6.15,14633,0
MCI,D,20010430,000000,6.45,6.45,5.9,6.15,23604,0
MCI,D,20010502,000000,6,6,5.6,5.8,11003,0
MCI,D,20010504,000000,5.6,5.6,5.35,5.45,15419,0
MCI,D,20010507,000000,5.3,5.3,5.1,5.25,24864,0
MCI,D,20010508,000000,5.05,5.1,4.9,5,13394,0
MCI,D,20010509,000000,4.8,4.84,4.27,4.31,52054,0
MCI,D,20010510,000000,4.3,4.92,4.3,4.75,94292,0
MCI,D,20010511,000000,4.51,5.2,4.51,5.2,130225,0
MCI,D,20010514,000000,5.4,5.4,5.15,5.2,32212,0
MCI,D,20010515,000000,5.25,5.25,4.98,5,20210,0
MCI,D,20010516,000000,4.99,4.99,4.82,4.9,17987,0
MCI,D,20010517,000000,5.05,5.1,4.95,4.95,25899,0
MCI,D,20010518,000000,4.88,4.9,4.8,4.84,4852,0
MCI,D,20010521,000000,4.91,5.1,4.8,5.1,17382,0
MCI,D,20010522,000000,5.2,5.35,5.1,5.2,43518,0
