<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCT,D,20060410,000000,32.751,38.661,32.177,36.444,413913,0
NCT,D,20060411,000000,37.841,41.862,33.737,34.311,366699,0
NCT,D,20060412,000000,35.214,36.691,33.571,34.721,64584,0
NCT,D,20060413,000000,35.296,35.378,32.751,33.244,46238,0
NCT,D,20060418,000000,32.587,33.162,32.094,33.162,38931,0
NCT,D,20060419,000000,34.064,34.146,33.162,33.326,28130,0
NCT,D,20060420,000000,33.571,33.571,32.751,33.162,12596,0
NCT,D,20060421,000000,32.998,33.9,32.424,33.654,22901,0
NCT,D,20060424,000000,33.654,33.818,32.915,33.08,13580,0
NCT,D,20060425,000000,33.162,33.326,32.751,33.244,16500,0
NCT,D,20060426,000000,33.571,33.571,32.751,33.244,10920,0
NCT,D,20060427,000000,33.162,33.244,32.915,33.162,8369,0
NCT,D,20060428,000000,33.162,33.571,32.998,33.408,4427,0
NCT,D,20060502,000000,33.162,33.571,33.08,33.162,11460,0
NCT,D,20060504,000000,33.162,34.721,33.162,34.721,17355,0
NCT,D,20060505,000000,35.378,36.281,35.049,35.296,33106,0
NCT,D,20060508,000000,33.326,33.9,33.162,33.408,30169,0
NCT,D,20060509,000000,32.998,33.49,32.915,33.162,13574,0
NCT,D,20060510,000000,32.915,33.326,32.915,33.162,13029,0
NCT,D,20060511,000000,33.162,33.49,32.998,33.244,13600,0
NCT,D,20060512,000000,33.162,33.408,33.162,33.162,12617,0
NCT,D,20060515,000000,33.162,33.326,32.915,33.162,11783,0
NCT,D,20060516,000000,33.244,33.49,33.08,33.244,7955,0
NCT,D,20060517,000000,33.571,34.393,33.244,33.571,16077,0
NCT,D,20060518,000000,33.654,35.049,33.654,35.049,15235,0
NCT,D,20060519,000000,35.049,36.117,34.805,35.543,11608,0
NCT,D,20060522,000000,36.198,36.198,33.571,33.818,10007,0
