<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OTM,D,20100929,000000,16.733,16.733,13.47,13.545,27078,0
OTM,D,20100930,000000,13.545,14.003,13.367,13.461,49206,0
OTM,D,20101001,000000,13.442,13.554,13.414,13.452,4692,0
OTM,D,20101004,000000,13.414,13.414,13.377,13.414,1712,0
OTM,D,20101005,000000,13.452,13.452,13.367,13.433,1218,0
OTM,D,20101006,000000,13.442,13.554,13.367,13.461,1842,0
OTM,D,20101007,000000,13.508,13.508,13.442,13.461,834,0
OTM,D,20101008,000000,13.648,13.648,13.629,13.629,418,0
OTM,D,20101011,000000,13.62,13.62,13.508,13.554,6418,0
OTM,D,20101014,000000,13.526,13.526,13.377,13.377,442,0
OTM,D,20101015,000000,13.377,13.377,13.377,13.377,4463,0
OTM,D,20101018,000000,13.367,13.367,13.199,13.367,1420,0
OTM,D,20101019,000000,13.367,13.414,13.367,13.414,22924,0
OTM,D,20101020,000000,13.414,13.414,13.367,13.367,1224,0
OTM,D,20101021,000000,13.367,13.414,13.367,13.414,8013,0
OTM,D,20101022,000000,13.461,13.461,13.461,13.461,32,0
OTM,D,20101025,000000,13.414,13.414,13.367,13.367,278,0
OTM,D,20101026,000000,13.414,13.452,13.414,13.414,465,0
OTM,D,20101027,000000,13.461,13.975,13.452,13.975,51257,0
OTM,D,20101028,000000,14.162,15.05,14.162,14.629,49647,0
OTM,D,20101029,000000,14.601,14.807,14.517,14.807,23881,0
OTM,D,20101102,000000,14.91,15.564,14.91,15.396,49636,0
OTM,D,20101103,000000,15.779,15.779,15.2,15.405,43436,0
OTM,D,20101104,000000,15.424,15.564,15.05,15.377,22748,0
OTM,D,20101105,000000,15.424,15.424,14.639,14.91,16571,0
OTM,D,20101108,000000,15.33,15.33,14.442,14.461,27465,0
OTM,D,20101109,000000,14.442,14.91,14.022,14.639,27788,0
OTM,D,20101110,000000,14.685,14.723,14.489,14.555,16377,0
OTM,D,20101112,000000,14.489,14.555,14.396,14.555,12360,0
OTM,D,20101115,000000,14.77,14.77,14.639,14.639,6179,0
OTM,D,20101116,000000,14.798,14.798,14.601,14.639,24141,0
OTM,D,20101117,000000,14.657,14.657,14.583,14.611,5966,0
OTM,D,20101118,000000,14.676,14.957,14.62,14.957,10546,0
OTM,D,20101119,000000,14.957,14.957,14.723,14.732,7525,0
OTM,D,20101122,000000,14.732,14.957,14.676,14.854,2297,0
OTM,D,20101123,000000,14.676,14.723,14.629,14.629,4494,0
OTM,D,20101124,000000,14.592,14.807,14.592,14.807,7688,0
OTM,D,20101125,000000,14.732,14.807,14.629,14.657,3954,0
OTM,D,20101126,000000,14.676,14.77,14.611,14.611,4681,0
