<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEX,D,20131009,000000,17.255,21.339,16.884,19.799,213080,0
PEX,D,20131010,000000,20.667,24.995,20.277,24.859,189669,0
PEX,D,20131011,000000,26.711,27.773,24.04,24.04,99402,0
PEX,D,20131014,000000,22.714,23.757,21.642,23.357,36996,0
PEX,D,20131015,000000,23.357,23.357,22.032,23.338,12037,0
PEX,D,20131016,000000,22.811,22.909,20.667,21.144,29408,0
PEX,D,20131017,000000,21.154,22.227,19.516,21.856,45595,0
PEX,D,20131018,000000,21.905,22.899,21.213,22.246,13211,0
PEX,D,20131021,000000,22.373,22.616,21.057,21.739,17734,0
PEX,D,20131022,000000,21.905,21.905,20.764,21.417,9255,0
PEX,D,20131023,000000,20.813,21.388,20.774,21.154,4259,0
PEX,D,20131024,000000,21.154,22.909,21.154,22.412,17224,0
PEX,D,20131025,000000,22.422,22.422,21.739,22.266,6544,0
PEX,D,20131028,000000,22.714,22.909,22.324,22.792,11165,0
PEX,D,20131029,000000,22.772,24.332,22.733,24.244,21391,0
PEX,D,20131030,000000,24.274,26.028,24.274,25.151,43064,0
PEX,D,20131031,000000,24.469,25.346,23.894,24.176,17621,0
PEX,D,20131104,000000,25.346,25.346,23.884,24.176,14676,0
PEX,D,20131105,000000,24.371,24.761,23.396,23.786,10521,0
PEX,D,20131106,000000,24.371,24.371,21.934,23.143,28096,0
PEX,D,20131107,000000,22.909,24.293,22.909,24.079,2696,0
PEX,D,20131108,000000,24.079,24.264,23.455,23.601,2349,0
PEX,D,20131112,000000,23.981,24.322,23.611,23.689,3198,0
PEX,D,20131113,000000,23.689,24.157,23.591,24.157,3418,0
PEX,D,20131114,000000,23.689,24.556,23.689,24.342,6658,0
PEX,D,20131115,000000,24.361,24.517,24.089,24.469,7515,0
PEX,D,20131118,000000,25.346,25.346,24.371,24.615,32189,0
PEX,D,20131119,000000,23.903,25.336,23.396,24.868,39435,0
PEX,D,20131120,000000,24.966,26.808,24.956,25.931,75686,0
PEX,D,20131121,000000,25.892,25.98,25.346,25.931,10555,0
PEX,D,20131122,000000,25.834,26.321,24.859,25.239,20920,0
PEX,D,20131125,000000,25.2,25.444,24.371,24.469,14942,0
PEX,D,20131126,000000,24.42,24.956,23.455,23.874,11255,0
PEX,D,20131127,000000,23.689,23.884,23.367,23.591,5315,0
PEX,D,20131128,000000,23.786,24.371,23.201,23.874,3723,0
PEX,D,20131129,000000,23.406,24.03,23.406,23.972,2462,0
PEX,D,20131202,000000,23.494,23.972,23.494,23.591,5060,0
PEX,D,20131203,000000,23.435,23.484,22.997,22.997,2989,0
PEX,D,20131204,000000,22.977,22.977,21.164,21.934,16221,0
PEX,D,20131205,000000,21.924,21.934,21.3,21.788,3166,0
PEX,D,20131206,000000,21.827,21.827,21.252,21.544,1676,0
PEX,D,20131209,000000,21.739,22.607,21.544,22.607,5494,0
PEX,D,20131210,000000,22.422,22.568,21.7,22.363,3106,0
PEX,D,20131211,000000,21.544,22.558,21.544,22.558,2415,0
PEX,D,20131212,000000,21.885,22.422,21.447,21.447,23633,0
PEX,D,20131213,000000,21.505,22.071,21.447,21.447,9350,0
PEX,D,20131216,000000,21.261,21.934,21.252,21.739,822,0
PEX,D,20131217,000000,21.739,21.876,21.369,21.778,5731,0
PEX,D,20131218,000000,21.369,21.759,21.261,21.349,2469,0
PEX,D,20131219,000000,21.349,21.447,20.667,20.813,8582,0
PEX,D,20131220,000000,20.569,21.057,20.082,20.092,24606,0
PEX,D,20131223,000000,20.092,20.93,20.092,20.296,2699,0
PEX,D,20131227,000000,20.764,20.764,20.345,20.764,1181,0
PEX,D,20131230,000000,20.667,20.862,20.472,20.472,633,0
PEX,D,20140102,000000,20.764,21.69,20.764,21.69,4395,0
PEX,D,20140103,000000,21.661,21.661,20.959,20.959,1552,0
PEX,D,20140107,000000,21.008,21.008,20.686,20.95,306,0
PEX,D,20140108,000000,20.335,20.852,20.335,20.852,15977,0
PEX,D,20140109,000000,20.842,20.842,20.491,20.491,188,0
PEX,D,20140110,000000,20.306,20.306,18.717,19.38,8644,0
PEX,D,20140113,000000,18.922,19.497,17.888,19.497,8630,0
PEX,D,20140114,000000,19.497,20.472,19.058,20.15,12145,0
PEX,D,20140115,000000,20.472,21.398,20.179,20.842,9818,0
PEX,D,20140116,000000,20.842,21.144,20.842,21.144,14568,0
PEX,D,20140117,000000,21.447,21.447,19.936,20.657,8550,0
PEX,D,20140120,000000,20.277,20.472,20.082,20.472,1088,0
PEX,D,20140121,000000,19.984,20.852,19.984,20.306,1258,0
PEX,D,20140122,000000,20.277,20.813,19.838,19.838,4023,0
PEX,D,20140123,000000,19.692,19.692,19.205,19.205,5019,0
PEX,D,20140124,000000,18.824,19.117,18.542,18.6,3130,0
PEX,D,20140127,000000,18.62,19.01,18.532,18.668,12733,0
PEX,D,20140128,000000,18.717,19.487,18.717,19.185,5179,0
PEX,D,20140129,000000,19.351,20.082,19.351,19.351,3333,0
PEX,D,20140130,000000,19.721,19.789,19.497,19.497,2164,0
PEX,D,20140131,000000,19.497,20.082,19.156,20.082,4133,0
PEX,D,20140203,000000,20.374,20.852,20.374,20.667,2091,0
PEX,D,20140204,000000,20.647,20.667,20.647,20.667,455,0
PEX,D,20140206,000000,20.092,20.842,20.092,20.842,5150,0
PEX,D,20140207,000000,20.189,20.189,20.179,20.179,1785,0
PEX,D,20140210,000000,20.092,20.638,20.082,20.179,784,0
PEX,D,20140211,000000,20.082,20.374,20.082,20.277,2257,0
PEX,D,20140212,000000,19.799,20.277,19.741,19.984,2041,0
PEX,D,20140213,000000,19.975,20.072,19.692,19.692,3952,0
PEX,D,20140217,000000,19.507,19.965,19.117,19.965,2929,0
