<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PUE,D,19990803,000000,24.415,24.415,24.415,24.415,119,0
PUE,D,19990804,000000,24.415,24.415,24.415,24.415,72,0
PUE,D,19990805,000000,26.099,26.099,26.099,26.099,24,0
PUE,D,19990806,000000,25.257,25.257,25.257,25.257,119,0
PUE,D,19990809,000000,24.415,24.415,24.415,24.415,10,0
PUE,D,19990909,000000,20.206,20.206,20.206,20.206,1781,0
PUE,D,19990913,000000,21.89,21.89,21.89,21.89,356,0
PUE,D,19990920,000000,20.627,20.627,20.627,20.627,356,0
PUE,D,19990922,000000,19.617,19.617,19.617,19.617,119,0
PUE,D,19990924,000000,19.364,19.364,19.364,19.364,119,0
PUE,D,19990928,000000,19.364,19.785,19.364,19.785,712,0
PUE,D,19990929,000000,19.364,19.364,19.364,19.364,119,0
PUE,D,19991004,000000,19.364,19.533,19.364,19.533,475,0
PUE,D,19991007,000000,18.437,18.522,18.437,18.522,237,0
PUE,D,19991015,000000,19.364,19.364,19.364,19.364,832,0
PUE,D,19991021,000000,18.522,18.522,18.522,18.522,594,0
PUE,D,19991105,000000,16.586,16.922,16.586,16.922,237,0
PUE,D,19991122,000000,16.922,16.922,16.922,16.922,119,0
PUE,D,19991126,000000,20.206,20.206,20.206,20.206,119,0
PUE,D,19991129,000000,22.311,22.732,22.311,22.732,39756,0
PUE,D,19991203,000000,16.922,17.68,16.839,16.839,475,0
PUE,D,19991206,000000,16.922,16.922,16.922,16.922,119,0
PUE,D,19991208,000000,15.995,15.995,15.829,15.829,237,0
PUE,D,19991210,000000,15.995,15.995,15.995,15.995,119,0
PUE,D,19991216,000000,15.155,15.238,15.155,15.238,24326,0
PUE,D,19991223,000000,15.913,15.913,15.913,15.913,1307,0
PUE,D,20000110,000000,16.754,16.839,16.754,16.839,1307,0
PUE,D,20000118,000000,15.995,15.995,15.995,15.995,191,0
PUE,D,20000120,000000,15.575,15.575,15.575,15.575,179,0
PUE,D,20000121,000000,15.155,15.575,15.155,15.575,380,0
PUE,D,20000124,000000,15.155,15.155,15.155,15.155,237,0
PUE,D,20000127,000000,15.155,15.155,15.155,15.155,796,0
PUE,D,20000128,000000,15.155,15.155,15.155,15.155,380,0
PUE,D,20000201,000000,15.155,15.155,15.155,15.155,594,0
PUE,D,20000203,000000,15.49,16.417,15.49,16.417,2138,0
PUE,D,20000204,000000,15.744,15.744,15.155,15.66,1758,0
PUE,D,20000207,000000,15.155,15.155,15.155,15.155,594,0
PUE,D,20000208,000000,15.155,15.155,15.155,15.155,1187,0
PUE,D,20000209,000000,15.238,15.238,15.155,15.238,927,0
PUE,D,20000210,000000,15.66,15.66,15.66,15.66,59,0
PUE,D,20000217,000000,15.238,15.238,15.238,15.238,119,0
PUE,D,20000221,000000,15.155,15.155,15.155,15.155,10,0
PUE,D,20000223,000000,15.407,15.995,14.733,14.733,688,0
PUE,D,20000229,000000,15.913,17.344,15.575,17.344,1318,0
PUE,D,20000301,000000,14.313,15.995,14.313,15.995,604,0
PUE,D,20000302,000000,15.995,15.995,15.744,15.913,1841,0
PUE,D,20000303,000000,16.839,16.839,16.501,16.839,1140,0
PUE,D,20000306,000000,16.839,17.68,16.839,17.68,771,0
PUE,D,20000307,000000,18.102,18.522,18.102,18.522,688,0
PUE,D,20000308,000000,17.765,17.765,16.839,17.511,1615,0
PUE,D,20000309,000000,17.68,17.68,16.839,16.839,1426,0
PUE,D,20000310,000000,17.26,17.26,17.26,17.26,1010,0
PUE,D,20000313,000000,17.68,18.522,16.839,16.839,1485,0
PUE,D,20000314,000000,18.102,18.102,17.68,17.68,594,0
PUE,D,20000316,000000,18.102,18.102,18.102,18.102,237,0
PUE,D,20000317,000000,18.102,18.102,18.102,18.102,237,0
PUE,D,20000320,000000,18.102,18.102,18.102,18.102,1187,0
PUE,D,20000321,000000,17.765,17.765,17.765,17.765,119,0
PUE,D,20000322,000000,18.522,22.732,18.269,22.732,1413,0
PUE,D,20000323,000000,18.943,21.469,18.943,20.29,356,0
PUE,D,20000324,000000,19.448,19.448,19.448,19.448,35,0
PUE,D,20000327,000000,20.206,20.206,20.206,20.206,156,0
PUE,D,20000328,000000,20.206,20.206,19.364,19.364,594,0
PUE,D,20000329,000000,19.869,19.869,19.364,19.364,250,0
PUE,D,20000330,000000,18.691,19.448,18.691,19.448,237,0
PUE,D,20000331,000000,18.943,18.943,17.68,17.68,1900,0
PUE,D,20000403,000000,19.448,19.448,17.765,17.765,499,0
PUE,D,20000404,000000,18.943,19.785,17.848,18.017,582,0
PUE,D,20000405,000000,16.839,18.102,16.839,18.102,356,0
PUE,D,20000406,000000,17.26,17.26,17.26,17.26,119,0
PUE,D,20000407,000000,17.68,18.017,17.68,17.765,2149,0
PUE,D,20000410,000000,17.68,18.102,17.68,17.765,5107,0
PUE,D,20000411,000000,18.353,18.353,18.353,18.353,59,0
PUE,D,20000412,000000,18.943,18.943,18.522,18.522,1187,0
PUE,D,20000413,000000,18.607,18.691,18.607,18.691,224,0
PUE,D,20000417,000000,18.522,18.522,17.68,17.68,499,0
PUE,D,20000418,000000,16.922,17.68,16.922,17.68,237,0
PUE,D,20000419,000000,18.775,19.027,17.68,17.68,1402,0
PUE,D,20000420,000000,17.68,18.437,17.68,18.102,368,0
PUE,D,20000425,000000,18.102,18.775,17.932,18.775,297,0
PUE,D,20000426,000000,19.027,20.122,18.859,20.122,1532,0
PUE,D,20000427,000000,20.88,22.479,19.785,20.206,5060,0
PUE,D,20000428,000000,21.048,21.048,20.627,20.627,15632,0
PUE,D,20000505,000000,20.627,21.048,20.627,21.048,297,0
PUE,D,20000508,000000,20.964,20.964,20.88,20.88,451,0
PUE,D,20000509,000000,20.711,20.711,20.627,20.711,119,0
PUE,D,20000510,000000,20.711,20.711,19.533,19.533,594,0
PUE,D,20000515,000000,19.448,19.448,19.448,19.448,119,0
PUE,D,20000516,000000,19.785,19.785,19.785,19.785,119,0
PUE,D,20000519,000000,19.617,19.869,19.617,19.869,131,0
PUE,D,20000524,000000,17.68,17.68,17.68,17.68,475,0
PUE,D,20000525,000000,16.839,19.28,16.839,19.28,487,0
PUE,D,20000529,000000,19.112,19.112,18.522,18.522,166,0
PUE,D,20000602,000000,18.522,18.859,18.522,18.859,119,0
PUE,D,20000606,000000,16.671,16.671,16.671,16.671,1187,0
PUE,D,20000608,000000,16.334,16.334,15.995,15.995,1544,0
PUE,D,20000613,000000,16.839,16.839,16.839,16.839,179,0
PUE,D,20000620,000000,17.26,17.26,17.26,17.26,630,0
PUE,D,20000621,000000,17.26,17.68,15.995,15.995,1187,0
PUE,D,20000623,000000,16.417,16.417,16.417,16.417,1187,0
PUE,D,20000626,000000,14.986,14.986,14.733,14.733,630,0
PUE,D,20000627,000000,15.995,16.165,15.995,16.165,297,0
PUE,D,20000628,000000,16.754,16.754,16.754,16.754,119,0
PUE,D,20000629,000000,16.754,16.754,16.754,16.754,475,0
PUE,D,20000630,000000,16.501,17.26,16.501,17.26,179,0
PUE,D,20000705,000000,18.522,18.522,18.102,18.102,630,0
PUE,D,20000706,000000,16.839,18.269,16.839,18.269,487,0
PUE,D,20000707,000000,16.839,18.102,16.839,18.102,487,0
PUE,D,20000711,000000,16.501,18.102,15.995,18.102,1675,0
PUE,D,20000712,000000,17.932,17.932,17.932,17.932,427,0
PUE,D,20000713,000000,17.68,18.017,17.344,18.017,891,0
PUE,D,20000717,000000,18.102,19.364,18.102,19.364,653,0
PUE,D,20000718,000000,19.953,20.038,19.953,20.038,141,0
PUE,D,20000719,000000,19.953,20.206,19.953,20.122,771,0
PUE,D,20000720,000000,20.206,20.206,17.26,19.364,1947,0
PUE,D,20000721,000000,17.26,18.775,17.26,18.775,796,0
PUE,D,20000724,000000,17.344,17.932,17.344,17.932,587,0
PUE,D,20000726,000000,17.596,18.437,17.596,18.437,891,0
PUE,D,20000727,000000,18.437,18.437,18.437,18.437,260,0
PUE,D,20000728,000000,17.765,17.765,17.765,17.765,119,0
PUE,D,20000731,000000,18.943,18.943,18.943,18.943,35,0
PUE,D,20000801,000000,18.943,18.943,18.943,18.943,119,0
PUE,D,20000802,000000,16.839,16.839,16.839,16.839,712,0
PUE,D,20000803,000000,18.017,18.102,16.839,16.839,536,0
PUE,D,20000804,000000,17.26,17.68,16.839,17.596,617,0
PUE,D,20000808,000000,16.839,16.839,16.839,16.839,309,0
PUE,D,20000809,000000,17.596,17.596,17.26,17.26,421,0
PUE,D,20000810,000000,16.839,17.68,16.839,16.922,5761,0
PUE,D,20000811,000000,17.091,17.511,17.091,17.511,499,0
PUE,D,20000814,000000,17.511,17.511,17.511,17.511,94,0
PUE,D,20000816,000000,16.586,18.859,16.586,18.859,522,0
PUE,D,20000817,000000,16.839,17.848,16.839,16.839,8005,0
PUE,D,20000818,000000,16.839,17.511,16.839,17.511,842,0
PUE,D,20000821,000000,17.26,17.26,17.26,17.26,59,0
PUE,D,20000822,000000,17.427,17.596,17.26,17.596,1152,0
PUE,D,20000823,000000,20.206,20.206,20.206,20.206,14746,0
PUE,D,20000824,000000,20.038,20.038,20.038,20.038,12031,0
PUE,D,20000825,000000,18.522,18.522,18.522,18.522,5641,0
PUE,D,20000828,000000,20.375,20.375,20.375,20.375,22619,0
PUE,D,20000829,000000,22.395,22.395,22.395,22.395,21809,0
PUE,D,20000830,000000,20.206,20.206,20.206,20.206,21107,0
PUE,D,20000831,000000,22.227,22.227,22.227,22.227,13538,0
PUE,D,20000901,000000,23.995,23.995,23.995,23.995,10779,0
PUE,D,20000904,000000,23.574,23.574,23.574,23.574,10177,0
PUE,D,20000905,000000,23.574,23.574,23.574,23.574,8731,0
PUE,D,20000906,000000,22.732,22.732,22.732,22.732,42687,0
PUE,D,20000907,000000,20.964,20.964,20.964,20.964,43592,0
PUE,D,20000908,000000,21.722,21.722,21.722,21.722,14491,0
PUE,D,20000911,000000,21.469,21.469,21.469,21.469,3777,0
PUE,D,20000912,000000,21.89,21.89,21.89,21.89,3719,0
PUE,D,20000913,000000,21.806,21.806,21.806,21.806,1187,0
PUE,D,20000914,000000,21.553,21.553,21.553,21.553,1781,0
PUE,D,20000915,000000,21.385,21.385,21.385,21.385,3308,0
PUE,D,20000918,000000,21.048,21.048,21.048,21.048,1556,0
PUE,D,20000919,000000,20.29,20.29,20.29,20.29,819,0
PUE,D,20000920,000000,20.711,20.711,20.711,20.711,771,0
PUE,D,20000921,000000,20.627,20.627,20.627,20.627,416,0
PUE,D,20000922,000000,19.785,19.785,19.785,19.785,653,0
PUE,D,20000925,000000,19.785,19.785,19.785,19.785,594,0
PUE,D,20000926,000000,17.848,17.848,17.848,17.848,1960,0
PUE,D,20000927,000000,17.848,17.848,17.848,17.848,419,0
PUE,D,20000928,000000,19.617,19.617,19.617,19.617,1426,0
PUE,D,20000929,000000,19.617,19.617,19.617,19.617,832,0
PUE,D,20001002,000000,18.017,18.017,18.017,18.017,832,0
PUE,D,20001003,000000,18.353,18.353,18.353,18.353,594,0
PUE,D,20001004,000000,18.269,18.269,18.269,18.269,630,0
PUE,D,20001005,000000,16.671,16.671,16.671,16.671,2531,0
PUE,D,20001006,000000,18.017,18.017,18.017,18.017,958,0
PUE,D,20001009,000000,17.932,17.932,17.932,17.932,119,0
PUE,D,20001010,000000,17.68,17.68,17.68,17.68,308,0
PUE,D,20001011,000000,17.68,17.68,17.68,17.68,1187,0
PUE,D,20001012,000000,17.596,17.596,17.596,17.596,504,0
PUE,D,20001013,000000,17.344,17.344,17.344,17.344,9858,0
PUE,D,20001016,000000,17.68,17.68,17.68,17.68,13067,0
PUE,D,20001017,000000,17.68,17.68,17.68,17.68,536,0
PUE,D,20001018,000000,16.922,16.922,16.922,16.922,237,0
PUE,D,20001019,000000,18.437,18.437,18.437,18.437,260,0
PUE,D,20001020,000000,18.269,18.269,18.269,18.269,8967,0
PUE,D,20001023,000000,17.68,17.68,17.68,17.68,2613,0
PUE,D,20001024,000000,18.102,18.102,18.102,18.102,1187,0
PUE,D,20001025,000000,18.859,18.859,18.859,18.859,119,0
PUE,D,20001026,000000,18.522,18.522,18.522,18.522,119,0
PUE,D,20001027,000000,18.353,18.353,18.353,18.353,119,0
PUE,D,20001030,000000,17.68,17.68,17.68,17.68,59,0
PUE,D,20001031,000000,17.68,17.68,17.68,17.68,356,0
PUE,D,20001102,000000,18.859,18.859,18.859,18.859,94,0
PUE,D,20001103,000000,17.68,17.68,17.68,17.68,2246,0
PUE,D,20001106,000000,17.932,17.932,17.932,17.932,215,0
PUE,D,20001107,000000,17.68,17.68,17.68,17.68,1083,0
PUE,D,20001108,000000,18.437,18.437,18.437,18.437,237,0
PUE,D,20001109,000000,17.68,17.68,17.68,17.68,65,0
PUE,D,20001110,000000,17.68,17.68,17.68,17.68,594,0
PUE,D,20001113,000000,17.68,17.68,17.68,17.68,119,0
PUE,D,20001114,000000,18.102,18.102,18.102,18.102,237,0
PUE,D,20001115,000000,17.006,17.006,17.006,17.006,712,0
PUE,D,20001116,000000,17.427,17.427,17.427,17.427,237,0
PUE,D,20001117,000000,18.353,18.353,16.334,16.334,2640,0
PUE,D,20001120,000000,15.87,15.995,15.829,15.829,1544,0
PUE,D,20001121,000000,15.744,15.744,15.744,15.744,2660,0
PUE,D,20001122,000000,16.334,16.334,15.575,15.575,571,0
PUE,D,20001123,000000,16.165,16.165,16.165,16.165,119,0
PUE,D,20001124,000000,16.586,16.586,16.08,16.08,536,0
PUE,D,20001127,000000,16.417,16.417,15.829,15.829,832,0
PUE,D,20001128,000000,15.575,15.913,15.575,15.913,1556,0
PUE,D,20001129,000000,16.417,16.417,16.417,16.417,84,0
PUE,D,20001130,000000,18.437,18.437,15.995,17.427,1045,0
PUE,D,20001201,000000,16.839,16.839,16.839,16.839,119,0
PUE,D,20001204,000000,16.839,16.839,16.839,16.839,119,0
PUE,D,20001205,000000,15.995,15.995,15.995,15.995,119,0
PUE,D,20001206,000000,16.754,16.754,15.995,16.754,1939,0
PUE,D,20001207,000000,16.671,16.671,16.671,16.671,47,0
PUE,D,20001208,000000,15.618,16.417,15.618,16.417,1615,0
PUE,D,20001212,000000,14.48,15.995,14.48,15.995,260,0
PUE,D,20001213,000000,14.986,15.155,14.986,15.155,416,0
PUE,D,20001214,000000,16.165,16.165,15.407,15.407,1307,0
PUE,D,20001215,000000,15.995,16.417,15.575,15.575,1711,0
PUE,D,20001218,000000,16.334,16.334,16.334,16.334,594,0
PUE,D,20001219,000000,16.165,16.165,16.165,16.165,356,0
PUE,D,20001220,000000,16.206,16.206,15.575,15.575,72,0
PUE,D,20001221,000000,16.123,16.249,16.08,16.249,156,0
PUE,D,20001222,000000,15.995,15.995,15.575,15.575,385,0
PUE,D,20001227,000000,15.575,15.575,15.575,15.575,832,0
PUE,D,20001228,000000,15.913,17.68,15.28,15.28,2965,0
PUE,D,20001229,000000,17.006,17.006,13.008,14.733,11501,0
PUE,D,20010102,000000,15.323,15.323,13.049,13.766,8216,0
PUE,D,20010103,000000,13.134,13.555,13.049,13.134,4177,0
PUE,D,20010104,000000,13.134,13.134,12.629,12.629,6606,0
PUE,D,20010105,000000,12.713,12.713,12.209,12.629,8642,0
PUE,D,20010108,000000,12.461,12.461,12.209,12.209,4365,0
PUE,D,20010109,000000,11.956,11.956,11.366,11.871,36074,0
PUE,D,20010110,000000,12.334,12.544,11.786,12.376,13497,0
PUE,D,20010111,000000,12.797,13.176,12.713,13.176,2736,0
PUE,D,20010112,000000,13.302,13.302,12.629,13.134,1869,0
PUE,D,20010115,000000,13.218,13.218,12.797,12.797,1140,0
PUE,D,20010116,000000,12.797,12.797,12.797,12.797,951,0
PUE,D,20010117,000000,12.461,13.134,12.461,13.049,8092,0
PUE,D,20010118,000000,12.966,12.966,12.882,12.882,160,0
PUE,D,20010119,000000,13.302,13.302,12.966,12.966,119,0
PUE,D,20010122,000000,12.966,13.345,12.966,13.345,636,0
PUE,D,20010123,000000,13.345,13.345,13.345,13.345,59,0
PUE,D,20010124,000000,13.428,13.428,12.713,13.218,1427,0
PUE,D,20010125,000000,13.345,13.555,13.302,13.387,2106,0
PUE,D,20010126,000000,13.555,13.682,13.471,13.513,5708,0
PUE,D,20010129,000000,13.892,13.892,13.892,13.892,119,0
PUE,D,20010130,000000,14.018,14.06,13.975,13.975,638,0
PUE,D,20010131,000000,14.06,14.06,13.975,13.975,199,0
PUE,D,20010201,000000,13.975,13.975,13.975,13.975,305,0
PUE,D,20010202,000000,13.892,13.892,13.471,13.892,1010,0
PUE,D,20010205,000000,13.807,13.807,13.471,13.723,617,0
PUE,D,20010206,000000,13.471,13.471,13.049,13.049,405,0
