<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RBC,D,19970612,000000,307.04,307.04,307.04,307.04,651,0
RBC,D,19970613,000000,307.04,307.04,307.04,307.04,2596,0
RBC,D,19970616,000000,288.98,288.98,288.98,288.98,2183,0
RBC,D,19970617,000000,260.08,260.08,260.08,260.08,2900,0
RBC,D,19970618,000000,256.47,256.47,256.47,256.47,1556,0
RBC,D,19970619,000000,252.86,252.86,252.86,252.86,2681,0
RBC,D,19970620,000000,261.89,261.89,261.89,261.89,4355,0
RBC,D,19970623,000000,265.5,265.5,265.5,265.5,6657,0
RBC,D,19970624,000000,260.08,260.08,260.08,260.08,2063,0
RBC,D,19970625,000000,261.89,261.89,261.89,261.89,3285,0
RBC,D,19970626,000000,260.08,260.08,260.08,260.08,4217,0
RBC,D,19970627,000000,265.5,265.5,265.5,265.5,890,0
RBC,D,19970630,000000,260.08,260.08,260.08,260.08,626,0
RBC,D,19970701,000000,260.08,267.31,256.47,256.47,2158,0
RBC,D,19970702,000000,254.66,260.08,254.66,260.08,1561,0
RBC,D,19970703,000000,260.08,263.69,260.08,261.89,3317,0
RBC,D,19970704,000000,267.31,267.31,263.69,263.69,746,0
RBC,D,19970707,000000,263.69,265.5,263.69,265.5,458,0
RBC,D,19970708,000000,270.92,278.14,270.92,278.14,902,0
RBC,D,19970709,000000,274.53,281.76,274.53,281.76,992,0
RBC,D,19970710,000000,274.53,274.53,272.72,272.72,2501,0
RBC,D,19970711,000000,274.53,274.53,269.11,269.11,1450,0
RBC,D,19970714,000000,261.89,261.89,252.86,252.86,3528,0
RBC,D,19970715,000000,256.47,258.28,256.47,258.28,1291,0
RBC,D,19970716,000000,256.47,256.47,254.66,254.66,2041,0
RBC,D,19970717,000000,260.08,260.08,260.08,260.08,721,0
RBC,D,19970718,000000,260.08,260.08,252.86,252.86,2817,0
RBC,D,19970721,000000,252.86,252.86,245.63,245.63,475,0
RBC,D,19970722,000000,256.47,256.47,249.24,249.24,1694,0
RBC,D,19970723,000000,249.24,252.86,249.24,251.05,796,0
RBC,D,19970724,000000,249.24,249.24,245.63,245.63,1345,0
