<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNC,D,20070830,000000,327.58,392.42,307.58,339.31,19163,0
RNC,D,20070831,000000,360.69,375.86,321.38,360,10928,0
RNC,D,20070903,000000,357.24,357.24,301.38,314.48,2594,0
RNC,D,20070904,000000,313.79,313.79,255.18,255.18,4496,0
RNC,D,20070905,000000,252.42,252.42,213.79,213.79,3964,0
RNC,D,20070906,000000,214.48,251.73,214.48,239.31,3643,0
RNC,D,20070907,000000,244.14,278.62,244.14,270.34,5874,0
RNC,D,20070910,000000,255.86,286.21,251.73,280,2192,0
RNC,D,20070911,000000,280.69,295.18,280.69,292.42,1378,0
RNC,D,20070912,000000,299.31,299.31,282.07,289.66,963,0
RNC,D,20070913,000000,288.27,288.27,275.18,279.31,531,0
RNC,D,20070914,000000,287.58,287.58,266.9,279.31,924,0
RNC,D,20070917,000000,282.76,282.76,268.27,274.48,287,0
RNC,D,20070918,000000,275.18,275.18,262.07,268.27,619,0
RNC,D,20070919,000000,273.1,274.48,270.34,271.73,1112,0
RNC,D,20070920,000000,269.66,269.66,255.86,257.24,594,0
RNC,D,20070921,000000,268.27,268.27,258.62,263.45,418,0
RNC,D,20070924,000000,261.38,261.38,255.86,256.55,261,0
RNC,D,20070925,000000,255.86,255.86,240,241.38,759,0
RNC,D,20070926,000000,248.97,248.97,229.66,240,1020,0
RNC,D,20070927,000000,235.86,237.24,226.9,235.18,657,0
RNC,D,20070928,000000,235.86,235.86,222.76,228.27,865,0
RNC,D,20071001,000000,248.97,248.97,220.69,229.66,315,0
RNC,D,20071002,000000,235.86,235.86,222.76,226.21,778,0
RNC,D,20071003,000000,227.58,227.58,215.18,226.21,701,0
RNC,D,20071004,000000,223.45,226.21,215.86,215.86,717,0
RNC,D,20071005,000000,222.76,229.66,222.07,229.66,741,0
RNC,D,20071008,000000,231.73,246.9,229.66,241.38,978,0
RNC,D,20071009,000000,241.38,243.45,232.42,235.86,286,0
RNC,D,20071010,000000,237.93,237.93,227.58,229.66,530,0
RNC,D,20071011,000000,229.66,231.03,222.76,226.21,373,0
RNC,D,20071012,000000,226.21,229.66,220.69,228.97,271,0
RNC,D,20071015,000000,228.97,232.42,225.52,228.97,294,0
RNC,D,20071016,000000,226.21,228.97,223.45,228.27,66,0
RNC,D,20071017,000000,228.97,228.97,219.31,227.58,765,0
RNC,D,20071018,000000,222.76,225.52,217.93,217.93,226,0
RNC,D,20071019,000000,222.76,223.45,219.31,223.45,183,0
RNC,D,20071022,000000,225.52,226.21,222.07,224.14,428,0
RNC,D,20071023,000000,228.27,231.73,222.76,226.9,771,0
RNC,D,20071024,000000,228.97,230.34,226.9,229.66,451,0
RNC,D,20071025,000000,228.97,231.73,227.58,231.73,473,0
RNC,D,20071026,000000,229.66,235.18,228.27,235.18,341,0
RNC,D,20071029,000000,246.9,246.9,239.31,241.38,632,0
RNC,D,20071030,000000,241.38,241.38,230.34,231.03,488,0
RNC,D,20071031,000000,233.79,242.07,231.03,235.18,147,0
RNC,D,20071102,000000,231.03,235.18,229.66,229.66,250,0
RNC,D,20071105,000000,231.73,232.42,223.45,228.97,204,0
RNC,D,20071106,000000,228.27,228.27,220,224.82,334,0
RNC,D,20071107,000000,224.82,224.82,210.34,215.86,927,0
RNC,D,20071108,000000,211.03,227.58,208.27,225.52,421,0
RNC,D,20071109,000000,224.14,224.14,212.42,214.48,365,0
RNC,D,20071112,000000,212.42,222.76,211.03,215.86,84,0
RNC,D,20071113,000000,221.38,221.38,213.79,215.86,93,0
RNC,D,20071114,000000,214.48,218.62,214.48,218.62,68,0
RNC,D,20071115,000000,215.86,219.31,211.03,212.42,285,0
RNC,D,20071116,000000,210.34,210.34,195.86,198.62,596,0
RNC,D,20071119,000000,198.62,200,189.66,194.48,318,0
RNC,D,20071120,000000,195.18,195.18,164.14,164.14,1308,0
RNC,D,20071121,000000,168.97,168.97,144.14,144.14,895,0
RNC,D,20071122,000000,141.38,171.73,138.62,170.34,1451,0
RNC,D,20071123,000000,175.18,189.66,170.34,188.97,569,0
RNC,D,20071126,000000,188.97,200.69,188.97,196.55,594,0
RNC,D,20071127,000000,191.03,197.93,188.97,197.93,238,0
RNC,D,20071128,000000,206.21,206.21,202.76,205.52,386,0
RNC,D,20071129,000000,206.9,214.48,202.76,213.1,680,0
RNC,D,20071130,000000,209.66,219.31,209.66,217.93,330,0
RNC,D,20071203,000000,218.62,218.62,196.55,209.66,169,0
RNC,D,20071204,000000,204.14,206.21,204.14,206.21,13,0
RNC,D,20071205,000000,205.52,215.86,200.69,215.18,131,0
RNC,D,20071206,000000,215.18,215.18,200,208.97,97,0
RNC,D,20071207,000000,209.66,209.66,202.76,206.21,235,0
RNC,D,20071210,000000,208.97,217.24,208.97,213.79,102,0
RNC,D,20071211,000000,216.55,228.27,216.55,218.62,259,0
RNC,D,20071212,000000,213.1,213.1,207.58,213.1,126,0
RNC,D,20071213,000000,222.76,237.24,212.42,215.86,658,0
RNC,D,20071214,000000,215.86,215.86,211.03,215.18,55,0
RNC,D,20071217,000000,222.07,222.07,194.48,194.48,236,0
RNC,D,20071218,000000,194.48,197.24,176.55,176.55,895,0
RNC,D,20071219,000000,180,191.73,173.1,186.9,1149,0
RNC,D,20071220,000000,191.73,211.03,186.9,205.52,1029,0
RNC,D,20071221,000000,209.66,209.66,196.55,196.55,992,0
RNC,D,20071227,000000,195.86,195.86,183.45,191.03,598,0
RNC,D,20071228,000000,191.03,196.55,185.52,194.48,345,0
RNC,D,20080102,000000,199.31,201.38,191.03,192.42,65,0
RNC,D,20080103,000000,187.58,195.86,186.9,194.48,278,0
RNC,D,20080104,000000,189.66,194.48,186.21,189.66,557,0
RNC,D,20080107,000000,184.82,189.66,177.24,184.82,179,0
RNC,D,20080108,000000,189.66,193.1,177.93,184.82,286,0
RNC,D,20080109,000000,189.66,189.66,172.42,182.07,832,0
RNC,D,20080110,000000,183.45,183.45,167.58,172.42,372,0
RNC,D,20080111,000000,170.34,176.55,164.14,167.58,703,0
RNC,D,20080114,000000,170.34,170.34,151.03,164.14,343,0
RNC,D,20080115,000000,167.58,167.58,145.52,145.52,248,0
RNC,D,20080116,000000,148.97,148.97,126.9,137.24,964,0
RNC,D,20080117,000000,142.76,159.31,137.93,159.31,1959,0
RNC,D,20080118,000000,160,160.69,145.52,151.03,1027,0
RNC,D,20080121,000000,151.03,151.03,140,151.03,406,0
RNC,D,20080122,000000,138.62,148.27,135.18,146.9,384,0
RNC,D,20080123,000000,151.03,151.03,138.62,147.58,4043,0
RNC,D,20080124,000000,150.34,150.34,142.07,146.9,397,0
RNC,D,20080125,000000,147.58,150.34,131.03,140.69,2155,0
RNC,D,20080128,000000,137.24,137.93,129.66,129.66,1815,0
RNC,D,20080129,000000,133.1,138.62,120,124.14,4604,0
RNC,D,20080130,000000,127.58,132.42,118.62,131.03,3326,0
RNC,D,20080131,000000,131.03,131.03,123.45,127.58,1740,0
RNC,D,20080201,000000,131.03,137.93,127.58,130.34,3251,0
RNC,D,20080204,000000,136.55,136.55,125.52,127.58,1518,0
RNC,D,20080205,000000,128.97,128.97,116.55,117.93,1986,0
RNC,D,20080206,000000,115.18,120.69,107.58,113.1,2830,0
RNC,D,20080207,000000,113.79,113.79,104.14,106.9,3517,0
RNC,D,20080208,000000,109.66,114.48,108.27,111.03,1936,0
RNC,D,20080211,000000,113.1,114.48,109.66,109.66,1069,0
RNC,D,20080212,000000,111.03,111.73,101.38,108.27,2024,0
RNC,D,20080213,000000,105.52,108.27,103.45,104.82,1272,0
RNC,D,20080214,000000,108.27,110.34,103.45,106.21,526,0
RNC,D,20080215,000000,105.52,105.52,102.76,105.52,356,0
RNC,D,20080218,000000,106.21,122.76,104.14,121.38,2809,0
RNC,D,20080219,000000,117.93,121.38,112.42,116.55,1029,0
RNC,D,20080220,000000,117.93,118.62,111.03,111.03,478,0
RNC,D,20080221,000000,114.48,117.24,111.03,117.24,526,0
RNC,D,20080222,000000,117.93,119.31,114.48,119.31,469,0
RNC,D,20080225,000000,122.07,122.76,117.93,120,844,0
RNC,D,20080226,000000,120,120.69,114.48,119.31,576,0
RNC,D,20080227,000000,115.86,117.93,114.48,117.93,169,0
RNC,D,20080228,000000,117.93,117.93,113.79,115.18,248,0
RNC,D,20080229,000000,113.79,115.18,113.1,115.18,474,0
RNC,D,20080303,000000,112.42,112.42,108.27,109.66,295,0
RNC,D,20080304,000000,109.66,109.66,104.82,108.27,883,0
RNC,D,20080305,000000,108.27,110.34,106.9,108.27,201,0
RNC,D,20080306,000000,111.03,111.03,105.52,108.27,505,0
RNC,D,20080307,000000,104.82,111.03,103.45,105.52,671,0
RNC,D,20080310,000000,107.58,107.58,99.31,104.14,839,0
RNC,D,20080311,000000,103.45,108.27,101.38,108.27,366,0
RNC,D,20080312,000000,110.34,111.03,106.21,109.66,285,0
RNC,D,20080313,000000,106.21,110.34,104.14,109.66,443,0
RNC,D,20080314,000000,109.66,111.03,106.21,110.34,153,0
RNC,D,20080317,000000,104.14,108.27,102.76,103.45,195,0
RNC,D,20080318,000000,102.76,103.45,100.69,102.76,786,0
