<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNK,D,19970116,000000,3.0158,3.0158,3.0158,3.0158,2644763,0
SNK,D,19970117,000000,3.29,3.29,3.29,3.29,2198076,0
SNK,D,19970120,000000,3.1257,3.1257,3.1257,3.1257,1249735,0
SNK,D,19970121,000000,3.0158,3.0158,3.0158,3.0158,796968,0
SNK,D,19970122,000000,3.0431,3.0431,3.0431,3.0431,609215,0
SNK,D,19970123,000000,3.1257,3.1257,3.1257,3.1257,626934,0
SNK,D,19970124,000000,3.1257,3.1257,3.1257,3.1257,532231,0
SNK,D,19970127,000000,3.1257,3.1257,3.1257,3.1257,1005125,0
SNK,D,19970128,000000,3.0705,3.0705,3.0705,3.0705,633253,0
SNK,D,19970129,000000,2.9608,2.9608,2.9608,2.9608,306149,0
SNK,D,19970130,000000,2.9335,2.9335,2.9335,2.9335,347182,0
SNK,D,19970131,000000,2.9061,2.9061,2.9061,2.9061,354415,0
SNK,D,19970203,000000,3.0158,3.0158,3.0158,3.0158,502528,0
SNK,D,19970204,000000,3.0705,3.0705,3.0705,3.0705,575758,0
SNK,D,19970205,000000,3.0158,3.0158,3.0158,3.0158,293114,0
SNK,D,19970206,000000,3.0978,3.0978,3.0978,3.0978,212221,0
SNK,D,19970207,000000,3.1529,3.1529,3.1529,3.1529,369807,0
SNK,D,19970210,000000,3.1803,3.1803,3.1803,3.1803,407032,0
SNK,D,19970211,000000,3.1803,3.1803,3.1803,3.1803,259881,0
SNK,D,19970212,000000,3.2628,3.2628,3.2628,3.2628,985118,0
SNK,D,19970213,000000,3.3173,3.3173,3.3173,3.3173,572144,0
SNK,D,19970214,000000,3.4818,3.4818,3.4818,3.4818,622923,0
SNK,D,19970217,000000,3.5089,3.5089,3.5089,3.5089,565497,0
SNK,D,19970218,000000,3.7559,3.7559,3.7559,3.7559,669050,0
SNK,D,19970219,000000,3.7836,3.7836,3.7836,3.7836,938696,0
SNK,D,19970220,000000,3.5642,3.5642,3.5642,3.5642,338518,0
SNK,D,19970221,000000,3.5916,3.5916,3.5916,3.5916,660992,0
SNK,D,19970224,000000,3.4818,3.4818,3.4818,3.4818,285331,0
SNK,D,19970225,000000,3.427,3.427,3.427,3.427,372476,0
SNK,D,19970226,000000,3.4818,3.4818,3.4818,3.4818,690160,0
SNK,D,19970227,000000,3.3447,3.3447,3.3447,3.3447,591361,0
