<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SON,D,20080623,000000,4.7567,4.7756,4.3869,4.575,36681,0
SON,D,20080624,000000,4.6942,4.6942,4.4183,4.6315,5536,0
SON,D,20080625,000000,4.4433,4.6814,4.4433,4.6814,129,0
SON,D,20080627,000000,4.575,4.575,4.575,4.575,219,0
SON,D,20080701,000000,4.3869,4.3869,4.3869,4.3869,161,0
SON,D,20080702,000000,4.2053,4.3869,4.2053,4.3869,4507,0
SON,D,20080703,000000,4.293,4.293,4.293,4.293,1907,0
SON,D,20080707,000000,4.3243,4.3243,4.3243,4.3243,845,0
SON,D,20080708,000000,4.3243,4.6001,4.2618,4.6001,5584,0
SON,D,20080709,000000,4.2115,4.5061,4.2115,4.5061,9648,0
SON,D,20080711,000000,4.3243,4.481,4.3243,4.481,2127,0
SON,D,20080715,000000,4.2618,4.2618,4.2618,4.2618,2393,0
SON,D,20080716,000000,4.2618,4.2618,4.2618,4.2618,269,0
SON,D,20080722,000000,4.1989,4.5061,4.1989,4.5061,718,0
SON,D,20080724,000000,4.9511,4.9511,4.9511,4.9511,16,0
SON,D,20080725,000000,4.481,4.7128,4.481,4.7128,1812,0
SON,D,20080729,000000,4.7128,4.7128,4.7128,4.7128,79,0
SON,D,20080730,000000,4.2554,4.2618,4.2554,4.2618,2474,0
SON,D,20080731,000000,4.3304,4.6126,4.3304,4.6126,1757,0
SON,D,20080805,000000,4.4496,4.5624,4.4496,4.4496,1546,0
SON,D,20080811,000000,4.4935,4.4935,4.4935,4.4935,136,0
SON,D,20080812,000000,4.6315,4.6315,4.6315,4.6315,1,0
SON,D,20080818,000000,4.6315,4.6315,4.4496,4.4496,603,0
SON,D,20080820,000000,4.4496,4.4496,4.4496,4.4496,303,0
SON,D,20080822,000000,4.6252,4.6252,4.6252,4.6252,1,0
SON,D,20080825,000000,4.6252,4.6252,4.6252,4.6252,544,0
SON,D,20080829,000000,4.7128,4.7128,4.7128,4.7128,5,0
SON,D,20080902,000000,4.7128,4.7128,4.7128,4.7128,161,0
