<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STF,D,20000426,000000,1.066,1.066,1.066,1.066,952738,0
STF,D,20000427,000000,1.0145,1.0145,1.0145,1.0145,310295,0
STF,D,20000428,000000,0.9973,0.9973,0.9973,0.9973,266399,0
STF,D,20000504,000000,0.9629,0.9629,0.9629,0.9629,188952,0
STF,D,20000505,000000,0.9458,0.9458,0.9458,0.9458,79440,0
STF,D,20000508,000000,0.92,0.92,0.92,0.92,61273,0
STF,D,20000509,000000,0.8682,0.8682,0.8682,0.8682,78335,0
STF,D,20000510,000000,0.8512,0.8512,0.8512,0.8512,123467,0
STF,D,20000511,000000,0.8425,0.8425,0.8425,0.8425,87552,0
STF,D,20000512,000000,0.8512,0.8512,0.8512,0.8512,131004,0
STF,D,20000515,000000,0.8512,0.8512,0.8512,0.8512,100967,0
STF,D,20000516,000000,0.877,0.877,0.877,0.877,57117,0
STF,D,20000517,000000,0.9113,0.9113,0.9113,0.9113,81432,0
STF,D,20000518,000000,0.9284,0.9284,0.9284,0.9284,22944,0
STF,D,20000519,000000,0.9543,0.9543,0.9543,0.9543,77652,0
STF,D,20000522,000000,0.9371,0.9371,0.9371,0.9371,84791,0
STF,D,20000523,000000,0.8941,0.8941,0.8941,0.8941,74567,0
STF,D,20000524,000000,0.8512,0.8512,0.8512,0.8512,90804,0
STF,D,20000525,000000,0.8598,0.8598,0.8598,0.8598,33155,0
STF,D,20000526,000000,0.877,0.877,0.877,0.877,6599,0
STF,D,20000529,000000,0.877,0.877,0.877,0.877,84961,0
STF,D,20000530,000000,0.877,0.877,0.877,0.877,39121,0
STF,D,20000531,000000,0.8941,0.8941,0.8941,0.8941,35855,0
STF,D,20000601,000000,0.8856,0.8856,0.8856,0.8856,31498,0
STF,D,20000602,000000,0.8941,0.8941,0.8941,0.8941,46307,0
STF,D,20000605,000000,0.8856,0.8856,0.8856,0.8856,69359,0
STF,D,20000606,000000,0.877,0.877,0.877,0.877,27851,0
STF,D,20000607,000000,0.8682,0.8682,0.8682,0.8682,29999,0
STF,D,20000608,000000,0.877,0.877,0.877,0.877,47999,0
STF,D,20000609,000000,0.8682,0.8682,0.8682,0.8682,14100,0
STF,D,20000612,000000,0.8512,0.8512,0.8512,0.8512,45203,0
STF,D,20000613,000000,0.8254,0.8254,0.8254,0.8254,139414,0
STF,D,20000614,000000,0.877,0.877,0.877,0.877,61201,0
STF,D,20000615,000000,0.8512,0.8512,0.8512,0.8512,23375,0
STF,D,20000616,000000,0.8512,0.8512,0.8512,0.8512,24537,0
STF,D,20000619,000000,0.8598,0.8598,0.8598,0.8598,14398,0
STF,D,20000620,000000,0.8512,0.8512,0.8512,0.8512,9120,0
STF,D,20000621,000000,0.8598,0.8598,0.8598,0.8598,8398,0
STF,D,20000623,000000,0.877,0.877,0.877,0.877,39658,0
STF,D,20000626,000000,0.877,0.877,0.877,0.877,29893,0
STF,D,20000627,000000,0.877,0.877,0.877,0.877,67703,0
STF,D,20000628,000000,0.834,0.834,0.834,0.834,26399,0
STF,D,20000629,000000,0.8512,0.8512,0.8512,0.8512,12902,0
STF,D,20000630,000000,0.834,0.834,0.834,0.834,8782,0
STF,D,20000703,000000,0.8167,0.8167,0.8167,0.8167,38075,0
STF,D,20000704,000000,0.834,0.834,0.834,0.834,180274,0
STF,D,20000705,000000,0.8682,0.8682,0.8682,0.8682,170807,0
STF,D,20000706,000000,0.9027,0.9027,0.9027,0.9027,122278,0
STF,D,20000707,000000,0.8941,0.8941,0.8941,0.8941,101759,0
STF,D,20000710,000000,0.8682,0.8682,0.8682,0.8682,8398,0
STF,D,20000711,000000,0.877,0.877,0.877,0.877,46509,0
STF,D,20000712,000000,0.8512,0.8512,0.8512,0.8512,22020,0
STF,D,20000713,000000,0.8682,0.8682,0.8682,0.8682,19728,0
STF,D,20000714,000000,0.8598,0.8598,0.8598,0.8598,8350,0
STF,D,20000717,000000,0.8682,0.8682,0.8682,0.8682,20402,0
STF,D,20000718,000000,0.8598,0.8598,0.8598,0.8598,49679,0
STF,D,20000719,000000,0.8598,0.8598,0.8598,0.8598,40606,0
STF,D,20000720,000000,0.8682,0.8682,0.8682,0.8682,15957,0
STF,D,20000721,000000,0.9458,0.9458,0.9458,0.9458,381059,0
STF,D,20000724,000000,0.9371,0.9371,0.9371,0.9371,202928,0
STF,D,20000725,000000,0.9543,0.9543,0.9543,0.9543,255661,0
STF,D,20000726,000000,1.0574,1.0574,1.0574,1.0574,1031468,0
STF,D,20000727,000000,1.0574,1.0574,1.0574,1.0574,265700,0
STF,D,20000728,000000,1.0403,1.0403,1.0403,1.0403,86746,0
STF,D,20000731,000000,0.9801,0.9801,0.9801,0.9801,156288,0
STF,D,20000801,000000,1.0061,1.0061,1.0061,1.0061,157729,0
STF,D,20000802,000000,1.0317,1.0317,1.0317,1.0317,129972,0
STF,D,20000803,000000,1.0317,1.0317,1.0317,1.0317,183084,0
STF,D,20000804,000000,1.0145,1.0145,1.0145,1.0145,92805,0
STF,D,20000807,000000,0.9715,0.9715,0.9715,0.9715,123083,0
STF,D,20000808,000000,1.0317,1.0317,1.0317,1.0317,136559,0
STF,D,20000809,000000,1.0231,1.0231,1.0231,1.0231,61800,0
STF,D,20000810,000000,1.049,1.049,1.049,1.049,250678,0
STF,D,20000811,000000,1.0403,1.0403,1.0403,1.0403,131543,0
STF,D,20000814,000000,1.092,1.092,1.092,1.092,91693,0
STF,D,20000816,000000,1.2037,1.2037,1.2037,1.2037,249839,0
STF,D,20000817,000000,1.1863,1.1863,1.1863,1.1863,233807,0
STF,D,20000818,000000,1.2122,1.2122,1.2122,1.2122,284544,0
STF,D,20000821,000000,1.1863,1.1863,1.1863,1.1863,117599,0
STF,D,20000822,000000,1.1692,1.1692,1.1692,1.1692,176640,0
STF,D,20000823,000000,1.1519,1.1519,1.1519,1.1519,65532,0
STF,D,20000824,000000,1.1351,1.1351,1.1351,1.1351,101099,0
STF,D,20000825,000000,1.1005,1.1005,1.1005,1.1005,139655,0
STF,D,20000828,000000,1.1519,1.1519,1.1519,1.1519,91535,0
STF,D,20000829,000000,1.1178,1.1178,1.1178,1.1178,33239,0
STF,D,20000830,000000,1.0833,1.0833,1.0833,1.0833,94283,0
STF,D,20000831,000000,1.109,1.109,1.109,1.109,69601,0
STF,D,20000901,000000,1.1261,1.1261,1.1261,1.1261,54877,0
STF,D,20000904,000000,1.1519,1.1519,1.1519,1.1519,172815,0
STF,D,20000905,000000,1.1435,1.1435,1.1435,1.1435,37486,0
STF,D,20000906,000000,1.1608,1.1608,1.1608,1.1608,37596,0
STF,D,20000907,000000,1.1692,1.1692,1.1692,1.1692,134724,0
STF,D,20000908,000000,1.1692,1.1692,1.1692,1.1692,82523,0
STF,D,20000911,000000,1.1519,1.1519,1.1519,1.1519,51959,0
STF,D,20000912,000000,1.1351,1.1351,1.1351,1.1351,43438,0
STF,D,20000913,000000,1.1692,1.1692,1.1692,1.1692,30442,0
STF,D,20000914,000000,1.1692,1.1692,1.1692,1.1692,26663,0
