<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STP,D,19970806,000000,20.164,20.164,20.164,20.164,28293,0
STP,D,19970807,000000,20.164,20.164,20.164,20.164,36129,0
STP,D,19970808,000000,21.216,21.216,21.216,21.216,20248,0
STP,D,19970811,000000,21.773,21.773,21.773,21.773,49639,0
STP,D,19970812,000000,20.89,20.89,20.89,20.89,4471,0
STP,D,19970813,000000,21.614,21.614,21.614,21.614,15776,0
STP,D,19970814,000000,20.246,20.246,20.246,20.246,10472,0
STP,D,19970818,000000,20.164,20.164,20.164,20.164,6696,0
STP,D,19970819,000000,19.522,19.522,19.522,19.522,5867,0
STP,D,19970820,000000,20.006,20.006,20.006,20.006,4124,0
STP,D,19970821,000000,19.918,19.918,19.918,19.918,5121,0
STP,D,19970822,000000,19.353,19.353,19.353,19.353,2608,0
STP,D,19970825,000000,19.522,19.522,19.522,19.522,7043,0
STP,D,19970826,000000,19.273,19.273,19.273,19.273,14244,0
STP,D,19970827,000000,18.311,18.311,18.311,18.311,7529,0
STP,D,19970828,000000,18.956,18.956,18.956,18.956,24214,0
STP,D,19970829,000000,18.956,18.956,18.956,18.956,6769,0
STP,D,19970901,000000,18.956,18.956,18.956,18.956,8653,0
STP,D,19970902,000000,18.549,18.549,18.549,18.549,2432,0
STP,D,19970903,000000,18.956,18.956,18.956,18.956,8608,0
STP,D,19970904,000000,18.956,18.956,18.956,18.956,6407,0
STP,D,19970905,000000,18.549,18.549,18.549,18.549,6200,0
STP,D,19970908,000000,18.549,18.549,18.549,18.549,3430,0
STP,D,19970909,000000,18.956,18.956,18.956,18.956,7207,0
STP,D,19970910,000000,18.877,18.877,18.877,18.877,3960,0
STP,D,19970911,000000,18.311,18.311,18.311,18.311,6828,0
STP,D,19970912,000000,18.391,18.391,18.391,18.391,4426,0
STP,D,19970915,000000,18.311,18.311,18.311,18.311,23926,0
STP,D,19970916,000000,18.391,18.391,18.391,18.391,9902,0
STP,D,19970917,000000,16.617,16.617,16.617,16.617,3655,0
STP,D,19970918,000000,16.536,16.536,16.536,16.536,30066,0
STP,D,19970919,000000,16.617,16.617,16.617,16.617,4955,0
STP,D,19970922,000000,16.934,16.934,16.934,16.934,2942,0
STP,D,19970923,000000,17.5,17.5,17.5,17.5,4567,0
STP,D,19970924,000000,17.34,17.34,17.34,17.34,2945,0
STP,D,19970925,000000,16.934,16.934,16.934,16.934,3095,0
STP,D,19970926,000000,16.536,16.536,16.536,16.536,6493,0
STP,D,19970929,000000,16.536,16.536,16.536,16.536,3211,0
STP,D,19970930,000000,16.536,16.536,16.536,16.536,4587,0
STP,D,19971001,000000,16.854,16.854,16.854,16.854,4652,0
STP,D,19971002,000000,16.934,16.934,16.934,16.934,8915,0
STP,D,19971003,000000,16.695,16.695,16.695,16.695,9584,0
STP,D,19971006,000000,16.536,16.536,16.536,16.536,10791,0
STP,D,19971007,000000,16.369,16.369,16.369,16.369,6259,0
STP,D,19971008,000000,16.131,16.131,16.131,16.131,27477,0
STP,D,19971009,000000,16.536,16.536,16.536,16.536,15553,0
STP,D,19971010,000000,16.695,16.695,16.695,16.695,12035,0
STP,D,19971013,000000,16.934,16.934,16.934,16.934,3146,0
STP,D,19971014,000000,17.419,17.419,17.419,17.419,9094,0
STP,D,19971015,000000,17.747,17.747,17.747,17.747,9186,0
STP,D,19971016,000000,18.143,18.143,18.143,18.143,15359,0
STP,D,19971017,000000,18.549,18.549,18.549,18.549,23588,0
STP,D,19971020,000000,18.549,18.549,18.549,18.549,15186,0
STP,D,19971021,000000,19.441,19.441,19.441,19.441,28416,0
STP,D,19971022,000000,20.405,20.405,20.405,20.405,49540,0
STP,D,19971023,000000,20.164,20.164,20.164,20.164,29047,0
STP,D,19971024,000000,19.918,19.918,19.918,19.918,52105,0
STP,D,19971027,000000,18.877,18.877,18.877,18.877,21607,0
STP,D,19971028,000000,17.023,17.023,17.023,17.023,0,0
STP,D,19971029,000000,18.391,18.391,18.391,18.391,44965,0
STP,D,19971030,000000,18.233,18.233,18.233,18.233,28401,0
STP,D,19971031,000000,18.63,18.63,18.63,18.63,10835,0
STP,D,19971103,000000,19.353,19.353,19.353,19.353,4998,0
STP,D,19971104,000000,20.164,20.164,20.164,20.164,43783,0
STP,D,19971105,000000,20.164,20.164,20.164,20.164,32035,0
STP,D,19971106,000000,19.522,19.522,19.522,19.522,7253,0
STP,D,19971107,000000,19.353,19.353,19.353,19.353,8126,0
STP,D,19971112,000000,18.708,18.708,18.708,18.708,15179,0
STP,D,19971113,000000,18.708,18.708,18.708,18.708,16465,0
STP,D,19971114,000000,19.036,19.036,19.036,19.036,12729,0
STP,D,19971117,000000,19.353,19.353,19.353,19.353,14855,0
STP,D,19971118,000000,19.681,19.681,19.681,19.681,23849,0
STP,D,19971119,000000,18.789,18.789,18.789,18.789,2267,0
STP,D,19971120,000000,19.353,19.353,19.353,19.353,11324,0
STP,D,19971121,000000,19.681,19.681,19.681,19.681,24002,0
STP,D,19971124,000000,19.759,19.759,19.759,19.759,20852,0
STP,D,19971125,000000,19.353,19.353,19.353,19.353,26811,0
STP,D,19971126,000000,19.522,19.522,19.522,19.522,15606,0
STP,D,19971127,000000,19.195,19.195,19.195,19.195,10313,0
STP,D,19971128,000000,19.353,19.353,19.353,19.353,10065,0
STP,D,19971201,000000,19.601,19.601,19.601,19.601,10932,0
STP,D,19971202,000000,20.006,20.006,20.006,20.006,18203,0
STP,D,19971203,000000,19.918,19.918,19.918,19.918,19954,0
STP,D,19971204,000000,20.006,20.006,20.006,20.006,10511,0
STP,D,19971205,000000,20.164,20.164,20.164,20.164,41500,0
STP,D,19971208,000000,20.246,20.246,20.246,20.246,15021,0
STP,D,19971209,000000,20.164,20.164,20.164,20.164,20264,0
STP,D,19971210,000000,19.681,19.681,19.681,19.681,11561,0
STP,D,19971211,000000,19.115,19.115,19.115,19.115,16890,0
STP,D,19971212,000000,19.115,19.115,19.115,19.115,14156,0
STP,D,19971215,000000,19.759,19.759,19.759,19.759,4982,0
STP,D,19971216,000000,20.164,20.164,20.164,20.164,16862,0
STP,D,19971217,000000,20.164,20.164,20.164,20.164,15771,0
STP,D,19971218,000000,19.601,19.601,19.601,19.601,4519,0
STP,D,19971219,000000,19.441,19.441,19.441,19.441,4885,0
STP,D,19971222,000000,19.036,19.036,19.036,19.036,6812,0
STP,D,19971223,000000,18.956,18.956,18.956,18.956,3960,0
STP,D,19971229,000000,19.441,19.441,19.441,19.441,5181,0
STP,D,19971230,000000,19.839,19.839,19.839,19.839,18752,0
STP,D,19971231,000000,19.918,19.918,19.918,19.918,11152,0
STP,D,19980105,000000,20.087,20.087,20.087,20.087,11383,0
STP,D,19980106,000000,19.522,19.522,19.522,19.522,4564,0
STP,D,19980107,000000,18.708,18.708,18.708,18.708,4727,0
STP,D,19980108,000000,18.956,18.956,18.956,18.956,5580,0
STP,D,19980109,000000,18.789,18.789,18.789,18.789,5988,0
STP,D,19980112,000000,17.907,17.907,17.907,17.907,3035,0
STP,D,19980113,000000,18.233,18.233,18.233,18.233,39049,0
STP,D,19980114,000000,18.63,18.63,18.63,18.63,2222,0
STP,D,19980115,000000,18.311,18.311,18.311,18.311,1493,0
STP,D,19980116,000000,18.63,18.63,18.63,18.63,14852,0
STP,D,19980119,000000,19.036,19.036,19.036,19.036,20763,0
STP,D,19980120,000000,19.036,19.036,19.036,19.036,17694,0
STP,D,19980121,000000,19.353,19.353,19.353,19.353,4147,0
STP,D,19980122,000000,18.63,18.63,18.63,18.63,4163,0
STP,D,19980123,000000,18.63,18.63,18.63,18.63,1251,0
STP,D,19980126,000000,18.877,18.877,18.877,18.877,1253,0
STP,D,19980127,000000,19.036,19.036,19.036,19.036,2882,0
STP,D,19980128,000000,19.353,19.353,19.353,19.353,6898,0
STP,D,19980129,000000,19.353,19.353,19.353,19.353,6215,0
STP,D,19980130,000000,18.549,18.549,18.549,18.549,3651,0
STP,D,19980202,000000,18.064,18.064,18.064,18.064,16419,0
STP,D,19980203,000000,18.789,18.789,18.789,18.789,4978,0
STP,D,19980204,000000,18.789,18.789,18.789,18.789,5436,0
STP,D,19980205,000000,18.789,18.789,18.789,18.789,5339,0
STP,D,19980206,000000,18.789,18.789,18.789,18.789,12399,0
STP,D,19980209,000000,19.195,19.195,19.195,19.195,16073,0
STP,D,19980210,000000,19.353,19.353,19.353,19.353,9184,0
STP,D,19980211,000000,18.877,18.877,18.877,18.877,3548,0
STP,D,19980212,000000,18.63,18.63,18.63,18.63,4865,0
STP,D,19980213,000000,18.311,18.311,18.311,18.311,4108,0
STP,D,19980216,000000,19.195,19.195,19.195,19.195,20688,0
STP,D,19980217,000000,19.353,19.353,19.353,19.353,32999,0
STP,D,19980218,000000,19.601,19.601,19.601,19.601,24683,0
STP,D,19980219,000000,19.839,19.839,19.839,19.839,39566,0
STP,D,19980220,000000,19.839,19.839,19.839,19.839,29583,0
STP,D,19980223,000000,19.918,19.918,19.918,19.918,10520,0
STP,D,19980224,000000,20.006,20.006,20.006,20.006,43200,0
STP,D,19980225,000000,19.681,19.681,19.681,19.681,28362,0
STP,D,19980226,000000,20.006,20.006,20.006,20.006,20512,0
STP,D,19980227,000000,20.164,20.164,20.164,20.164,64310,0
STP,D,19980302,000000,21.375,21.375,21.375,21.375,31644,0
STP,D,19980303,000000,21.693,21.693,21.693,21.693,23934,0
STP,D,19980304,000000,21.535,21.535,21.535,21.535,17989,0
STP,D,19980305,000000,21.375,21.375,21.375,21.375,18351,0
STP,D,19980306,000000,20.969,20.969,20.969,20.969,17051,0
STP,D,19980309,000000,21.216,21.216,21.216,21.216,11493,0
STP,D,19980310,000000,21.375,21.375,21.375,21.375,19518,0
STP,D,19980311,000000,20.164,20.164,20.164,20.164,5219,0
STP,D,19980312,000000,20.561,20.561,20.561,20.561,5419,0
STP,D,19980313,000000,20.969,20.969,20.969,20.969,5103,0
STP,D,19980316,000000,20.246,20.246,20.246,20.246,69832,0
STP,D,19980317,000000,20.969,20.969,20.969,20.969,13730,0
STP,D,19980318,000000,20.246,20.246,20.246,20.246,4440,0
STP,D,19980319,000000,21.047,21.047,21.047,21.047,17677,0
STP,D,19980320,000000,20.969,20.969,20.969,20.969,13466,0
STP,D,19980323,000000,21.216,21.216,21.216,21.216,12199,0
STP,D,19980324,000000,20.969,20.969,20.969,20.969,12119,0
STP,D,19980325,000000,20.651,20.651,20.651,20.651,3767,0
STP,D,19980326,000000,20.324,20.324,20.324,20.324,12585,0
STP,D,19980327,000000,20.006,20.006,20.006,20.006,7899,0
STP,D,19980330,000000,20.006,20.006,20.006,20.006,9843,0
STP,D,19980331,000000,19.759,19.759,19.759,19.759,5691,0
STP,D,19980401,000000,20.164,20.164,20.164,20.164,9291,0
STP,D,19980402,000000,20.405,20.405,20.405,20.405,10613,0
STP,D,19980406,000000,20.731,20.731,20.731,20.731,7340,0
STP,D,19980407,000000,20.969,20.969,20.969,20.969,8466,0
STP,D,19980408,000000,20.651,20.651,20.651,20.651,9023,0
STP,D,19980409,000000,20.246,20.246,20.246,20.246,1724,0
STP,D,19980414,000000,20.89,20.89,20.89,20.89,6271,0
STP,D,19980415,000000,20.561,20.561,20.561,20.561,4597,0
STP,D,19980416,000000,20.246,20.246,20.246,20.246,6052,0
STP,D,19980417,000000,20.164,20.164,20.164,20.164,6597,0
STP,D,19980420,000000,20.087,20.087,20.087,20.087,3902,0
STP,D,19980421,000000,20.89,20.89,20.89,20.89,10034,0
STP,D,19980422,000000,20.561,20.561,20.561,20.561,7236,0
STP,D,19980423,000000,20.561,20.561,20.561,20.561,7618,0
STP,D,19980424,000000,20.89,20.89,20.89,20.89,10216,0
STP,D,19980427,000000,20.969,20.969,20.969,20.969,17668,0
STP,D,19980428,000000,20.246,20.246,20.246,20.246,17230,0
STP,D,19980429,000000,20.164,20.164,20.164,20.164,5521,0
STP,D,19980430,000000,20.006,20.006,20.006,20.006,5059,0
STP,D,19980504,000000,20.324,20.324,20.324,20.324,14406,0
STP,D,19980505,000000,20.651,20.651,20.651,20.651,15363,0
STP,D,19980506,000000,20.164,20.164,20.164,20.164,7017,0
STP,D,19980507,000000,20.006,20.006,20.006,20.006,6958,0
STP,D,19980508,000000,19.918,19.918,19.918,19.918,8394,0
STP,D,19980511,000000,19.839,19.839,19.839,19.839,6533,0
STP,D,19980512,000000,19.441,19.441,19.441,19.441,5730,0
STP,D,19980513,000000,18.789,18.789,18.789,18.789,3980,0
STP,D,19980514,000000,18.391,18.391,18.391,18.391,6767,0
STP,D,19980515,000000,17.984,17.984,17.984,17.984,5911,0
STP,D,19980518,000000,17.984,17.984,17.984,17.984,4747,0
STP,D,19980519,000000,17.747,17.747,17.747,17.747,7324,0
STP,D,19980520,000000,17.984,17.984,17.984,17.984,3818,0
STP,D,19980521,000000,17.747,17.747,17.747,17.747,6049,0
STP,D,19980522,000000,17.747,17.747,17.747,17.747,10315,0
STP,D,19980525,000000,16.934,16.934,16.934,16.934,2302,0
STP,D,19980526,000000,16.934,16.934,16.934,16.934,10394,0
STP,D,19980527,000000,16.131,16.131,16.131,16.131,3666,0
STP,D,19980528,000000,14.515,14.515,14.515,14.515,6974,0
STP,D,19980529,000000,15.16,15.16,15.16,15.16,10845,0
STP,D,19980601,000000,14.92,14.92,14.92,14.92,11696,0
STP,D,19980602,000000,14.515,14.515,14.515,14.515,10381,0
STP,D,19980603,000000,14.515,14.515,14.515,14.515,8928,0
STP,D,19980604,000000,14.434,14.434,14.434,14.434,6913,0
STP,D,19980605,000000,14.277,14.277,14.277,14.277,12181,0
STP,D,19980608,000000,14.682,14.682,14.682,14.682,5989,0
STP,D,19980609,000000,14.434,14.434,14.434,14.434,5571,0
STP,D,19980610,000000,13.552,13.552,13.552,13.552,6849,0
STP,D,19980615,000000,12.908,12.908,12.908,12.908,7545,0
STP,D,19980616,000000,12.263,12.263,12.263,12.263,4202,0
STP,D,19980617,000000,12.661,12.661,12.661,12.661,16236,0
STP,D,19980618,000000,12.908,12.908,12.908,12.908,23127,0
STP,D,19980619,000000,12.74,12.74,12.74,12.74,9656,0
STP,D,19980622,000000,12.74,12.74,12.74,12.74,8944,0
STP,D,19980623,000000,12.422,12.422,12.422,12.422,5639,0
STP,D,19980624,000000,12.095,12.095,12.095,12.095,18513,0
STP,D,19980625,000000,12.176,12.176,12.176,12.176,6278,0
STP,D,19980626,000000,12.263,12.263,12.263,12.263,8285,0
STP,D,19980629,000000,12.263,12.263,12.263,12.263,6792,0
STP,D,19980630,000000,12.263,12.263,12.263,12.263,3504,0
STP,D,19980701,000000,12.82,12.82,12.82,12.82,10423,0
STP,D,19980702,000000,13.225,13.225,13.225,13.225,9359,0
STP,D,19980703,000000,13.305,13.305,13.305,13.305,8864,0
STP,D,19980706,000000,13.791,13.791,13.791,13.791,14844,0
STP,D,19980707,000000,14.197,14.197,14.197,14.197,14558,0
STP,D,19980708,000000,14.197,14.197,14.197,14.197,10130,0
STP,D,19980709,000000,13.711,13.711,13.711,13.711,4901,0
STP,D,19980710,000000,12.987,12.987,12.987,12.987,7872,0
STP,D,19980713,000000,13.385,13.385,13.385,13.385,4051,0
STP,D,19980714,000000,13.711,13.711,13.711,13.711,15261,0
STP,D,19980715,000000,13.385,13.385,13.385,13.385,8231,0
STP,D,19980716,000000,13.305,13.305,13.305,13.305,3714,0
STP,D,19980717,000000,13.631,13.631,13.631,13.631,2611,0
STP,D,19980720,000000,13.305,13.305,13.305,13.305,2778,0
STP,D,19980721,000000,12.908,12.908,12.908,12.908,4226,0
STP,D,19980722,000000,12.176,12.176,12.176,12.176,5583,0
STP,D,19980723,000000,12.095,12.095,12.095,12.095,4799,0
STP,D,19980724,000000,12.422,12.422,12.422,12.422,8110,0
STP,D,19980727,000000,12.342,12.342,12.342,12.342,7928,0
STP,D,19980728,000000,12.263,12.263,12.263,12.263,5542,0
STP,D,19980729,000000,11.053,11.053,11.053,11.053,3693,0
STP,D,19980730,000000,11.053,11.053,11.053,11.053,17597,0
STP,D,19980731,000000,11.451,11.451,11.451,11.451,12824,0
STP,D,19980803,000000,11.053,11.053,11.053,11.053,17643,0
STP,D,19980804,000000,10.806,10.806,10.806,10.806,9131,0
STP,D,19980805,000000,10.569,10.569,10.569,10.569,8216,0
STP,D,19980806,000000,10.569,10.569,10.569,10.569,2491,0
STP,D,19980807,000000,10.401,10.401,10.401,10.401,13043,0
STP,D,19980810,000000,10.488,10.488,10.488,10.488,9229,0
STP,D,19980811,000000,10.321,10.321,10.321,10.321,2767,0
STP,D,19980812,000000,10.083,10.083,10.083,10.083,10590,0
STP,D,19980813,000000,9.923,9.923,9.923,9.923,7617,0
STP,D,19980814,000000,9.677,9.677,9.677,9.677,22999,0
STP,D,19980817,000000,9.677,9.677,9.677,9.677,13902,0
STP,D,19980818,000000,9.597,9.597,9.597,9.597,15564,0
STP,D,19980819,000000,9.1115,9.1115,9.1115,9.1115,9679,0
STP,D,19980820,000000,8.8731,8.8731,8.8731,8.8731,17854,0
STP,D,19980821,000000,8.0696,8.0696,8.0696,8.0696,17176,0
STP,D,19980824,000000,7.6635,7.6635,7.6635,7.6635,15793,0
STP,D,19980825,000000,7.6635,7.6635,7.6635,7.6635,39544,0
STP,D,19980826,000000,7.6635,7.6635,7.6635,7.6635,41781,0
STP,D,19980827,000000,7.6635,7.6635,7.6635,7.6635,27145,0
STP,D,19980828,000000,6.8956,6.8956,6.8956,6.8956,37479,0
STP,D,19980831,000000,6.9396,6.9396,6.9396,6.9396,22063,0
STP,D,19980901,000000,6.9396,6.9396,6.9396,6.9396,42792,0
STP,D,19980902,000000,7.6193,7.6193,7.6193,7.6193,29711,0
STP,D,19980903,000000,8.3081,8.3081,8.3081,8.3081,59067,0
STP,D,19980904,000000,9.1115,9.1115,9.1115,9.1115,45070,0
STP,D,19980907,000000,9.677,9.677,9.677,9.677,32881,0
STP,D,19980908,000000,9.518,9.518,9.518,9.518,47308,0
STP,D,19980909,000000,9.518,9.518,9.518,9.518,5553,0
STP,D,19980910,000000,8.626,8.626,8.626,8.626,5241,0
STP,D,19980911,000000,8.467,8.467,8.467,8.467,17986,0
STP,D,19980914,000000,8.7144,8.7144,8.7144,8.7144,21600,0
STP,D,19980915,000000,8.8731,8.8731,8.8731,8.8731,11785,0
STP,D,19980916,000000,9.0321,9.0321,9.0321,9.0321,35008,0
STP,D,19980917,000000,9.0321,9.0321,9.0321,9.0321,24365,0
STP,D,19980918,000000,8.8731,8.8731,8.8731,8.8731,22588,0
STP,D,19980921,000000,8.8731,8.8731,8.8731,8.8731,11221,0
STP,D,19980922,000000,9.1904,9.1904,9.1904,9.1904,9371,0
STP,D,19980923,000000,9.4394,9.4394,9.4394,9.4394,14072,0
STP,D,19980924,000000,9.677,9.677,9.677,9.677,12576,0
STP,D,19980925,000000,10.004,10.004,10.004,10.004,18438,0
STP,D,19980928,000000,10.887,10.887,10.887,10.887,12834,0
STP,D,19980929,000000,10.647,10.647,10.647,10.647,7437,0
STP,D,19980930,000000,10.241,10.241,10.241,10.241,5637,0
STP,D,19981001,000000,9.2803,9.2803,9.2803,9.2803,13460,0
STP,D,19981002,000000,8.8731,8.8731,8.8731,8.8731,10323,0
STP,D,19981005,000000,9.677,9.677,9.677,9.677,6360,0
STP,D,19981006,000000,9.597,9.597,9.597,9.597,5300,0
STP,D,19981007,000000,10.164,10.164,10.164,10.164,19477,0
STP,D,19981008,000000,9.518,9.518,9.518,9.518,1393,0
STP,D,19981009,000000,9.518,9.518,9.518,9.518,6130,0
STP,D,19981012,000000,10.083,10.083,10.083,10.083,5482,0
STP,D,19981013,000000,10.004,10.004,10.004,10.004,3545,0
STP,D,19981014,000000,10.004,10.004,10.004,10.004,3423,0
STP,D,19981015,000000,9.835,9.835,9.835,9.835,3905,0
STP,D,19981016,000000,10.083,10.083,10.083,10.083,5187,0
STP,D,19981019,000000,10.083,10.083,10.083,10.083,5898,0
STP,D,19981020,000000,9.923,9.923,9.923,9.923,4333,0
STP,D,19981021,000000,9.677,9.677,9.677,9.677,6467,0
STP,D,19981022,000000,9.677,9.677,9.677,9.677,4694,0
STP,D,19981023,000000,9.677,9.677,9.677,9.677,5021,0
STP,D,19981026,000000,9.677,9.677,9.677,9.677,10547,0
STP,D,19981027,000000,9.597,9.597,9.597,9.597,7061,0
STP,D,19981028,000000,9.597,9.597,9.597,9.597,10760,0
STP,D,19981029,000000,9.4394,9.4394,9.4394,9.4394,7091,0
STP,D,19981030,000000,9.357,9.357,9.357,9.357,9324,0
STP,D,19981102,000000,9.923,9.923,9.923,9.923,5778,0
STP,D,19981103,000000,9.597,9.597,9.597,9.597,8848,0
STP,D,19981104,000000,9.597,9.597,9.597,9.597,6624,0
STP,D,19981105,000000,9.518,9.518,9.518,9.518,1582,0
STP,D,19981106,000000,9.597,9.597,9.597,9.597,3644,0
STP,D,19981109,000000,9.677,9.677,9.677,9.677,3206,0
STP,D,19981110,000000,9.518,9.518,9.518,9.518,4832,0
STP,D,19981112,000000,9.4394,9.4394,9.4394,9.4394,3170,0
STP,D,19981113,000000,9.597,9.597,9.597,9.597,4188,0
STP,D,19981116,000000,10.004,10.004,10.004,10.004,13155,0
STP,D,19981117,000000,10.164,10.164,10.164,10.164,13415,0
STP,D,19981118,000000,10.083,10.083,10.083,10.083,4974,0
STP,D,19981119,000000,9.755,9.755,9.755,9.755,4835,0
STP,D,19981120,000000,9.677,9.677,9.677,9.677,5752,0
STP,D,19981123,000000,9.597,9.597,9.597,9.597,2558,0
STP,D,19981124,000000,9.597,9.597,9.597,9.597,3528,0
STP,D,19981125,000000,9.4394,9.4394,9.4394,9.4394,3809,0
