<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWD,D,20041015,000000,11.8,23.7,11.3,16.3,89165,0
SWD,D,20041018,000000,17,20.5,17,18.8,67573,0
SWD,D,20041019,000000,18.8,21.7,18.8,19,63029,0
SWD,D,20041020,000000,19.4,19.8,15.8,16.3,38529,0
SWD,D,20041021,000000,16.2,16.2,13.4,13.6,56966,0
SWD,D,20041022,000000,13.3,14.1,12.9,13.2,23867,0
SWD,D,20041025,000000,13,13,12.5,12.6,6724,0
SWD,D,20041026,000000,12.4,13.3,11.8,12.8,16321,0
SWD,D,20041027,000000,13.1,13.6,12.8,13.2,15330,0
SWD,D,20041028,000000,13.4,13.5,12.8,13.2,6911,0
SWD,D,20041029,000000,13.2,13.3,13,13.2,9335,0
SWD,D,20041102,000000,13.1,13.2,12.7,12.7,6516,0
SWD,D,20041103,000000,12.8,12.8,11.8,12.4,4943,0
SWD,D,20041104,000000,12.4,12.4,12.1,12.4,2383,0
SWD,D,20041105,000000,12.1,12.2,11.3,11.6,15246,0
SWD,D,20041108,000000,11.6,11.9,11.6,11.8,4905,0
SWD,D,20041109,000000,11.6,11.8,11.6,11.6,4085,0
SWD,D,20041110,000000,11.7,11.8,11.4,11.8,2626,0
SWD,D,20041112,000000,11.7,11.7,11.5,11.7,2512,0
SWD,D,20041115,000000,11.5,11.5,11.1,11.3,5076,0
SWD,D,20041116,000000,11.1,11.1,10.9,11.1,1857,0
SWD,D,20041117,000000,10.9,12.2,10.9,12.2,27134,0
SWD,D,20041118,000000,12.8,15.6,12.7,14.8,49915,0
SWD,D,20041119,000000,15.2,16.7,13.9,14.3,94775,0
SWD,D,20041122,000000,13.7,14.1,13.1,13.3,29180,0
SWD,D,20041123,000000,13.6,13.7,12.8,12.8,13040,0
SWD,D,20041124,000000,12.5,13,12.1,12.2,15946,0
SWD,D,20041125,000000,12.4,13.5,12.4,13.3,21612,0
SWD,D,20041126,000000,13.5,14.2,13.4,13.5,24648,0
SWD,D,20041129,000000,13.4,13.6,12.6,13.2,10791,0
SWD,D,20041130,000000,13.5,13.6,13.2,13.5,2101,0
SWD,D,20041201,000000,13.6,13.6,13,13.1,2681,0
SWD,D,20041202,000000,13.4,13.4,13.2,13.2,3331,0
SWD,D,20041203,000000,13.2,13.6,12.9,13,7431,0
SWD,D,20041206,000000,13.4,14.1,13.1,13.2,22570,0
SWD,D,20041207,000000,13.6,13.8,13.3,13.6,26653,0
SWD,D,20041208,000000,13.6,13.8,13.5,13.5,14803,0
SWD,D,20041209,000000,13.5,13.6,12.9,13.2,9361,0
SWD,D,20041210,000000,13.2,13.3,13,13.2,8295,0
SWD,D,20041213,000000,13.3,13.3,12.6,13,15964,0
SWD,D,20041214,000000,12.9,13,12.4,12.6,11616,0
SWD,D,20041215,000000,12.6,13.2,12.5,13.1,13178,0
SWD,D,20041216,000000,13.3,13.3,12.9,13.1,2901,0
SWD,D,20041217,000000,13,13,12.6,12.7,4749,0
SWD,D,20041220,000000,12.7,12.7,12.4,12.7,7795,0
SWD,D,20041221,000000,12.8,12.8,12.4,12.5,2785,0
SWD,D,20041222,000000,12.4,12.6,12.2,12.4,6800,0
SWD,D,20041223,000000,12.4,12.6,12.4,12.6,1532,0
SWD,D,20041224,000000,12.6,12.6,12.3,12.4,1183,0
SWD,D,20041227,000000,12.6,12.6,12.4,12.5,1961,0
SWD,D,20041228,000000,12.5,12.5,11.9,12.3,11415,0
SWD,D,20041229,000000,12.1,12.2,12,12.1,13205,0
SWD,D,20041230,000000,12.1,12.5,12.1,12.4,14716,0
SWD,D,20041231,000000,12.4,12.4,12.1,12.1,7698,0
SWD,D,20050103,000000,12.1,12.3,12.1,12.2,3010,0
SWD,D,20050104,000000,12.1,12.2,12,12.1,807,0
SWD,D,20050105,000000,12.1,12.2,11.7,11.9,5256,0
SWD,D,20050106,000000,11.7,11.9,11.7,11.8,3302,0
SWD,D,20050107,000000,12,12.1,11.9,12,7304,0
SWD,D,20050110,000000,11.9,12.1,11.9,11.9,4836,0
SWD,D,20050111,000000,11.9,11.9,11.7,11.7,3538,0
SWD,D,20050112,000000,11.5,11.6,11.4,11.6,5928,0
SWD,D,20050113,000000,11.7,11.8,11.5,11.8,6112,0
SWD,D,20050114,000000,11.7,11.7,11.5,11.7,3234,0
SWD,D,20050117,000000,11.7,11.7,11.5,11.5,1722,0
SWD,D,20050118,000000,11.5,11.5,11.2,11.4,3368,0
SWD,D,20050119,000000,11.3,11.4,11.3,11.3,1762,0
SWD,D,20050120,000000,11.3,11.6,11.3,11.5,2755,0
SWD,D,20050121,000000,11.5,11.5,11.1,11.3,2197,0
SWD,D,20050124,000000,11,11.5,11,11.5,6817,0
SWD,D,20050125,000000,11.5,11.9,11.5,11.8,7695,0
SWD,D,20050126,000000,11.8,11.8,11.5,11.5,3940,0
SWD,D,20050127,000000,11.3,11.6,11.3,11.6,3169,0
SWD,D,20050128,000000,11.6,11.8,11.6,11.8,6815,0
SWD,D,20050131,000000,11.8,11.8,11.2,11.4,18167,0
SWD,D,20050201,000000,11.6,11.6,11.3,11.4,8635,0
SWD,D,20050202,000000,11.5,11.6,11.3,11.5,6664,0
SWD,D,20050203,000000,11.5,11.5,11.2,11.5,8942,0
SWD,D,20050204,000000,11.3,11.5,11.2,11.3,7128,0
SWD,D,20050207,000000,11.3,11.3,10.4,10.9,101191,0
SWD,D,20050208,000000,11,11,10.4,10.6,45668,0
SWD,D,20050209,000000,10.7,10.7,10.6,10.6,24710,0
SWD,D,20050210,000000,10.6,10.9,10.5,10.6,35473,0
SWD,D,20050211,000000,10.7,10.7,10.6,10.6,5599,0
SWD,D,20050214,000000,10.7,10.7,10.5,10.6,5517,0
SWD,D,20050215,000000,10.6,10.6,10.5,10.6,5400,0
SWD,D,20050216,000000,10.6,10.7,10.6,10.6,6265,0
SWD,D,20050217,000000,10.6,10.6,10.4,10.6,12640,0
SWD,D,20050218,000000,10.6,11.4,10.6,10.7,66463,0
SWD,D,20050221,000000,11,11.5,11,11.2,47693,0
SWD,D,20050222,000000,11.3,11.5,10.9,11,28811,0
SWD,D,20050223,000000,11,11.4,10.9,11.2,10967,0
SWD,D,20050224,000000,11.3,11.4,11,11,6890,0
SWD,D,20050225,000000,11,11.2,10.9,11,8229,0
SWD,D,20050228,000000,10.9,11.1,10.6,11,12796,0
SWD,D,20050301,000000,11,11,10.8,10.9,1058,0
SWD,D,20050302,000000,11,11,10.6,10.6,3398,0
SWD,D,20050303,000000,10.6,10.7,10.6,10.7,3082,0
SWD,D,20050304,000000,10.6,10.8,10.6,10.6,2220,0
SWD,D,20050307,000000,10.6,10.7,10.6,10.6,4057,0
SWD,D,20050308,000000,10.6,10.7,10.4,10.6,3640,0
SWD,D,20050309,000000,10.6,10.6,10.4,10.6,4193,0
SWD,D,20050310,000000,10.6,10.6,10.4,10.4,4677,0
SWD,D,20050311,000000,10.4,10.6,10.4,10.6,2740,0
SWD,D,20050314,000000,10.4,10.5,10.4,10.4,853,0
SWD,D,20050315,000000,10.3,10.3,9.9,10,7174,0
SWD,D,20050316,000000,9.9,9.9,9.3,9.3,12705,0
SWD,D,20050317,000000,9.2,9.5,9.1,9.4,4943,0
SWD,D,20050318,000000,9.4,9.5,9.4,9.4,1122,0
SWD,D,20050321,000000,9.2,9.2,9,9.1,2344,0
SWD,D,20050322,000000,8.9,9,8.7,9,6009,0
SWD,D,20050323,000000,9,10.3,9,10.1,38142,0
SWD,D,20050324,000000,10.1,10.1,9.5,9.5,15656,0
SWD,D,20050329,000000,9.5,9.5,9.4,9.4,2339,0
SWD,D,20050330,000000,9.4,9.4,9.2,9.4,3215,0
