<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TOR,D,20140708,000000,7.1332,7.1332,6.7577,6.8411,884184,0
TOR,D,20140709,000000,6.8411,6.8411,6.641,6.7494,33409,0
TOR,D,20140710,000000,6.7494,6.7994,6.7078,6.7912,93578,0
TOR,D,20140711,000000,6.8162,6.8162,6.7244,6.7912,5827,0
TOR,D,20140714,000000,6.7577,7.0748,6.7577,7.0414,61429,0
TOR,D,20140715,000000,7.0914,7.0914,7.0164,7.0164,52949,0
TOR,D,20140716,000000,7.0665,7.0665,7.008,7.008,9132,0
TOR,D,20140717,000000,7.008,7.0247,6.8411,6.8829,85039,0
TOR,D,20140718,000000,6.9914,6.9914,6.8495,6.9412,6633,0
TOR,D,20140721,000000,6.9412,7.0748,6.9412,6.9914,113783,0
TOR,D,20140722,000000,6.9663,7.0748,6.9412,7.0748,140500,0
TOR,D,20140723,000000,7.0665,7.3751,7.0247,7.3751,31675,0
TOR,D,20140724,000000,7.3667,7.3751,7.2249,7.2334,19608,0
TOR,D,20140725,000000,7.2249,7.3417,7.1748,7.2833,37451,0
TOR,D,20140728,000000,7.2833,7.2833,7.1499,7.1748,7852,0
TOR,D,20140729,000000,7.1748,7.3417,7.1165,7.1666,5043,0
TOR,D,20140730,000000,7.3001,7.3001,7.0914,7.0914,6539,0
TOR,D,20140731,000000,7.008,7.3417,6.8078,7.2083,147392,0
TOR,D,20140801,000000,7.0914,7.0914,6.9246,7.0497,19856,0
TOR,D,20140804,000000,7.0497,7.0497,6.9579,6.9579,6027,0
TOR,D,20140806,000000,7.008,7.008,6.7328,6.8078,6633,0
TOR,D,20140807,000000,6.8078,6.8411,6.7494,6.7994,13662,0
TOR,D,20140808,000000,6.8245,6.8662,6.8245,6.8662,681,0
TOR,D,20140811,000000,6.8997,6.9663,6.766,6.9663,3248,0
TOR,D,20140812,000000,6.983,6.9996,6.9161,6.9161,6921,0
TOR,D,20140813,000000,6.8245,6.9161,6.8245,6.9161,746,0
