<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
U2K,D,20060913,000000,10.108,10.92,8.7359,8.7981,1337076,0
U2K,D,20060914,000000,9.1659,9.1659,8.5487,8.5487,187470,0
U2K,D,20060915,000000,8.5293,8.5293,8.1736,8.4236,120055,0
U2K,D,20060918,000000,8.5487,8.5487,8.2357,8.2861,45230,0
U2K,D,20060919,000000,8.2047,8.2047,7.9244,7.9866,88701,0
U2K,D,20060920,000000,8.0176,8.2047,7.9368,8.1736,60050,0
U2K,D,20060921,000000,8.0805,8.4857,7.9866,8.1426,52966,0
U2K,D,20060922,000000,8.1115,8.3859,8.0494,8.292,40223,0
U2K,D,20060925,000000,8.2357,8.5487,8.2357,8.4732,46679,0
U2K,D,20060926,000000,8.4236,8.4857,8.255,8.3733,27893,0
U2K,D,20060927,000000,8.1872,8.2357,8.0494,8.0621,38229,0
U2K,D,20060928,000000,8.1115,8.3481,8.1115,8.292,9592,0
U2K,D,20060929,000000,8.1494,8.1494,8.1115,8.1426,9019,0
U2K,D,20061002,000000,8.1426,8.1678,8.1115,8.1115,7337,0
U2K,D,20061003,000000,8.1115,8.1115,7.9244,8.068,26391,0
U2K,D,20061004,000000,7.9933,8.0428,7.8618,8.0428,7703,0
U2K,D,20061005,000000,8.1057,8.1426,7.943,7.9556,38276,0
U2K,D,20061006,000000,8.0805,8.1736,7.9618,8.1736,25203,0
U2K,D,20061009,000000,8.4111,8.4111,8.2483,8.2483,10889,0
U2K,D,20061010,000000,8.2483,8.2667,8.1426,8.2047,10734,0
U2K,D,20061011,000000,8.2047,8.2861,8.1736,8.2357,18321,0
U2K,D,20061012,000000,8.1308,8.255,8.1183,8.1426,11770,0
U2K,D,20061013,000000,8.1494,8.1736,8.0805,8.0805,12903,0
U2K,D,20061016,000000,8.0621,8.2357,8.0621,8.1115,12181,0
U2K,D,20061017,000000,8.0805,8.1736,8.0176,8.1678,14758,0
U2K,D,20061018,000000,8.1736,8.2299,8.099,8.2047,15797,0
U2K,D,20061019,000000,8.2231,8.4857,8.1611,8.4362,45545,0
U2K,D,20061020,000000,8.542,8.8541,8.542,8.7359,51027,0
U2K,D,20061023,000000,8.9786,8.9786,8.5487,8.7107,16958,0
U2K,D,20061024,000000,8.5671,8.8595,8.4236,8.6105,13379,0
U2K,D,20061025,000000,8.5545,8.7359,8.5234,8.5924,21348,0
U2K,D,20061026,000000,8.6736,8.8171,8.6736,8.7909,21894,0
U2K,D,20061027,000000,8.7981,8.9163,8.7792,8.7981,33841,0
U2K,D,20061030,000000,8.8658,8.8658,8.698,8.8288,17449,0
U2K,D,20061031,000000,8.91,8.91,8.7296,8.8288,12206,0
U2K,D,20061102,000000,8.8288,8.8847,8.7665,8.8288,11108,0
U2K,D,20061103,000000,8.8288,9.1535,8.8288,9.1031,39343,0
U2K,D,20061106,000000,9.2344,9.4838,9.2344,9.3287,84226,0
U2K,D,20061107,000000,9.4533,9.4533,8.891,9.085,35760,0
U2K,D,20061108,000000,9.0917,9.1107,8.9542,9.0469,13572,0
U2K,D,20061109,000000,9.0469,9.2725,8.9849,9.0155,14059,0
U2K,D,20061110,000000,9.0469,9.2658,8.9912,9.1964,9437,0
U2K,D,20061113,000000,9.1716,9.1716,8.9542,9.1107,18277,0
U2K,D,20061114,000000,9.0783,9.1031,8.8658,9.1031,19858,0
U2K,D,20061115,000000,9.0469,9.0469,8.5545,8.7909,16410,0
U2K,D,20061116,000000,8.68,8.7612,8.6736,8.7359,6739,0
U2K,D,20061117,000000,8.7413,8.8541,8.7107,8.7359,2823,0
U2K,D,20061120,000000,8.6736,8.8477,8.6232,8.8477,10885,0
U2K,D,20061121,000000,8.7612,8.9786,8.754,8.8658,7026,0
U2K,D,20061122,000000,8.8108,9.0469,8.8108,8.9722,17039,0
U2K,D,20061123,000000,9.0469,9.1107,8.9849,9.0783,22750,0
U2K,D,20061124,000000,9.1107,9.2915,8.9849,9.2915,42327,0
U2K,D,20061127,000000,9.322,9.559,9.1107,9.2973,33921,0
U2K,D,20061128,000000,9.2973,9.3401,9.1155,9.2973,18341,0
U2K,D,20061129,000000,9.2973,9.528,9.2344,9.521,25775,0
U2K,D,20061130,000000,9.609,10.233,9.609,10.17,96518,0
U2K,D,20061201,000000,10.42,11.138,10.42,10.982,119190,0
U2K,D,20061204,000000,11.107,11.511,10.67,10.7,42387,0
U2K,D,20061205,000000,10.583,10.826,10.296,10.308,26904,0
