<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VOT,D,20101220,000000,2.8415,3.0327,2.769,2.8679,312349,0
VOT,D,20101221,000000,2.881,2.9933,2.769,2.9537,107930,0
VOT,D,20101222,000000,2.9668,3.2635,2.9604,2.9999,280466,0
VOT,D,20101223,000000,3.0197,3.1515,2.9537,2.9668,42728,0
VOT,D,20101227,000000,3.0327,3.0327,2.7757,2.9668,33100,0
VOT,D,20101228,000000,2.9076,3.0129,2.8217,3.0063,22078,0
VOT,D,20101229,000000,2.9733,2.9733,2.9009,2.9009,21757,0
VOT,D,20101230,000000,2.881,2.9009,2.8217,2.9009,5708,0
VOT,D,20101231,000000,2.9076,3.0063,2.8415,3.0063,10386,0
VOT,D,20110103,000000,2.9339,2.9999,2.9009,2.9339,41251,0
VOT,D,20110104,000000,2.9405,2.9405,2.835,2.9274,14847,0
VOT,D,20110105,000000,2.8548,3.158,2.769,2.9471,67110,0
VOT,D,20110107,000000,2.9471,3.0197,2.835,2.9339,20893,0
VOT,D,20110110,000000,2.7888,2.9009,2.7492,2.8878,13172,0
VOT,D,20110111,000000,2.8679,2.9009,2.8679,2.8944,6336,0
VOT,D,20110112,000000,2.835,2.9274,2.756,2.8679,7552,0
VOT,D,20110113,000000,2.8746,2.8746,2.769,2.835,4076,0
VOT,D,20110114,000000,2.7954,2.7954,2.5845,2.6372,59920,0
VOT,D,20110117,000000,2.6372,2.769,2.5712,2.7164,18533,0
VOT,D,20110118,000000,2.7164,2.7361,2.5712,2.6965,15334,0
VOT,D,20110119,000000,2.6372,2.8021,2.5712,2.6372,43443,0
VOT,D,20110120,000000,2.6372,2.769,2.5712,2.6833,36409,0
VOT,D,20110121,000000,2.6768,2.6833,2.5646,2.6438,14884,0
VOT,D,20110124,000000,2.5712,2.6634,2.5712,2.6109,160846,0
VOT,D,20110125,000000,2.5382,2.6239,2.5382,2.5778,7024,0
VOT,D,20110126,000000,2.5712,2.6109,2.5054,2.5382,172374,0
VOT,D,20110127,000000,2.5581,2.6901,2.5054,2.5976,54509,0
VOT,D,20110128,000000,2.6042,2.6239,2.5581,2.6042,12452,0
VOT,D,20110131,000000,2.6634,2.769,2.6438,2.6901,15302,0
VOT,D,20110201,000000,2.6901,2.7624,2.6372,2.6965,19070,0
VOT,D,20110202,000000,2.6372,2.6965,2.5845,2.6965,16842,0
VOT,D,20110203,000000,2.6965,2.7164,2.6901,2.7164,3134,0
VOT,D,20110204,000000,2.6438,2.6438,2.5382,2.6306,36856,0
VOT,D,20110207,000000,2.6438,2.6438,2.5712,2.6176,29265,0
VOT,D,20110208,000000,2.6042,2.6372,2.5712,2.6372,5548,0
VOT,D,20110209,000000,2.7031,2.7031,2.5054,2.6239,6540,0
VOT,D,20110210,000000,2.5054,2.6372,2.5054,2.6306,3011,0
VOT,D,20110211,000000,2.6239,2.6901,2.5185,2.6372,6806,0
VOT,D,20110214,000000,2.6306,2.6306,2.5316,2.6042,7540,0
VOT,D,20110215,000000,2.5845,2.6042,2.5316,2.6042,2245,0
VOT,D,20110216,000000,2.5712,2.6042,2.5712,2.6042,3034,0
VOT,D,20110217,000000,2.5515,2.5712,2.545,2.5712,4945,0
VOT,D,20110218,000000,2.545,2.6176,2.545,2.6176,1518,0
VOT,D,20110221,000000,2.6042,2.6372,2.6042,2.6372,3878,0
VOT,D,20110222,000000,2.6372,2.6372,2.5515,2.6372,5385,0
VOT,D,20110223,000000,2.6176,2.6372,2.6176,2.6372,7867,0
VOT,D,20110224,000000,2.6042,2.6372,2.6042,2.6372,7814,0
VOT,D,20110225,000000,2.6634,2.881,2.6634,2.7823,35873,0
VOT,D,20110228,000000,2.8085,2.8085,2.7164,2.7624,14214,0
VOT,D,20110301,000000,2.7427,2.7757,2.7427,2.7757,11224,0
VOT,D,20110302,000000,2.7427,2.8615,2.7427,2.769,39119,0
VOT,D,20110303,000000,2.7492,2.8217,2.7427,2.7427,1940,0
VOT,D,20110304,000000,2.7229,2.769,2.6109,2.7295,16420,0
VOT,D,20110307,000000,2.5778,2.7031,2.5778,2.7031,879,0
VOT,D,20110308,000000,2.7361,2.8679,2.7031,2.8482,97554,0
VOT,D,20110309,000000,2.8679,2.8679,2.6634,2.8615,6690,0
VOT,D,20110310,000000,2.8746,2.9009,2.7757,2.9009,19638,0
VOT,D,20110311,000000,2.835,2.9009,2.835,2.8679,1448,0
VOT,D,20110314,000000,2.7757,2.8878,2.769,2.881,13648,0
VOT,D,20110315,000000,2.7295,2.881,2.7295,2.881,4932,0
VOT,D,20110316,000000,2.8548,2.8679,2.7361,2.7361,11546,0
VOT,D,20110317,000000,2.7492,2.8217,2.7164,2.8217,7681,0
VOT,D,20110318,000000,2.8615,2.8615,2.7229,2.7229,1731,0
VOT,D,20110321,000000,2.7888,2.7888,2.7031,2.7888,25402,0
VOT,D,20110322,000000,2.7757,2.7823,2.7098,2.7823,2895,0
VOT,D,20110323,000000,2.756,2.7823,2.7031,2.7098,45693,0
VOT,D,20110324,000000,2.7164,2.7823,2.7164,2.7823,2755,0
VOT,D,20110325,000000,2.7361,2.7823,2.7361,2.7823,1567,0
VOT,D,20110328,000000,2.769,2.8284,2.769,2.8284,2071,0
VOT,D,20110329,000000,2.8217,2.8284,2.8021,2.8021,10357,0
VOT,D,20110330,000000,2.835,2.9339,2.8217,2.9009,34772,0
VOT,D,20110331,000000,2.8944,2.9009,2.8878,2.9009,11240,0
VOT,D,20110401,000000,2.9009,2.9009,2.9009,2.9009,1814,0
VOT,D,20110404,000000,2.9009,2.9471,2.8944,2.9405,4732,0
VOT,D,20110405,000000,2.9339,2.9537,2.9009,2.9537,22460,0
VOT,D,20110406,000000,2.9009,2.9405,2.9009,2.9405,1841,0
VOT,D,20110407,000000,2.9009,2.9999,2.8944,2.9668,22246,0
VOT,D,20110408,000000,2.9076,2.9537,2.9009,2.9537,3658,0
VOT,D,20110411,000000,2.9668,2.9668,2.9537,2.9537,378,0
VOT,D,20110412,000000,2.8679,2.9471,2.835,2.9471,3716,0
VOT,D,20110414,000000,2.9339,2.9339,2.9339,2.9339,901,0
VOT,D,20110418,000000,2.835,2.914,2.8085,2.914,2047,0
VOT,D,20110419,000000,2.769,2.881,2.7098,2.7361,13714,0
VOT,D,20110420,000000,2.7361,2.7888,2.7361,2.7361,16622,0
VOT,D,20110421,000000,2.7361,2.7888,2.7361,2.7624,23101,0
VOT,D,20110426,000000,2.7757,2.7757,2.7757,2.7757,378,0
VOT,D,20110427,000000,2.8284,2.8284,2.8153,2.8153,2913,0
VOT,D,20110428,000000,2.7823,2.8021,2.756,2.8021,1865,0
VOT,D,20110429,000000,2.8021,2.8021,2.7229,2.7954,3266,0
VOT,D,20110502,000000,2.7954,2.7954,2.7031,2.7031,1518,0
VOT,D,20110504,000000,2.7031,2.7954,2.7031,2.7888,721,0
VOT,D,20110505,000000,2.7295,2.7757,2.7031,2.7757,2513,0
VOT,D,20110506,000000,2.7757,2.7757,2.7361,2.7361,1364,0
VOT,D,20110509,000000,2.7361,2.7757,2.7361,2.7361,17562,0
VOT,D,20110510,000000,2.7361,2.769,2.7361,2.7361,3767,0
VOT,D,20110511,000000,2.7361,2.7361,2.7361,2.7361,11878,0
VOT,D,20110512,000000,2.7361,2.769,2.7361,2.7492,153,0
VOT,D,20110513,000000,2.7295,2.769,2.7031,2.7164,3647,0
VOT,D,20110516,000000,2.7031,2.7624,2.7031,2.7361,931,0
VOT,D,20110517,000000,2.7031,2.7361,2.7031,2.7361,44779,0
VOT,D,20110518,000000,2.7031,2.7295,2.7031,2.7295,7128,0
VOT,D,20110519,000000,2.7031,2.7295,2.6372,2.6438,2768,0
VOT,D,20110520,000000,2.7361,2.7361,2.6634,2.6634,4052,0
VOT,D,20110523,000000,2.7361,2.7361,2.6372,2.6634,21384,0
VOT,D,20110524,000000,2.6372,2.7031,2.6372,2.7031,22628,0
VOT,D,20110525,000000,2.6965,2.7031,2.6965,2.7031,2276,0
VOT,D,20110526,000000,2.7031,2.7031,2.7031,2.7031,3824,0
VOT,D,20110527,000000,2.7031,2.7031,2.6042,2.6042,397,0
VOT,D,20110530,000000,2.6372,2.6372,2.6372,2.6372,966,0
VOT,D,20110531,000000,2.6372,2.6833,2.6372,2.6372,3201,0
VOT,D,20110601,000000,2.6372,2.6965,2.6306,2.6965,5599,0
VOT,D,20110603,000000,2.6833,2.6965,2.6702,2.6702,3793,0
VOT,D,20110606,000000,2.6965,2.6965,2.6702,2.6702,759,0
VOT,D,20110607,000000,2.6965,2.6965,2.6042,2.6901,155,0
VOT,D,20110608,000000,2.6372,2.6965,2.6042,2.6965,1493,0
VOT,D,20110609,000000,2.6042,2.6965,2.6042,2.6965,5463,0
VOT,D,20110610,000000,2.6306,2.6768,2.6306,2.6768,615,0
VOT,D,20110613,000000,2.6306,2.6965,2.5054,2.6372,5759,0
VOT,D,20110614,000000,2.5054,2.6634,2.5054,2.6372,216,0
VOT,D,20110615,000000,2.6109,2.6372,2.6042,2.6306,167,0
VOT,D,20110616,000000,2.6372,2.6901,2.5054,2.6372,51359,0
VOT,D,20110617,000000,2.5054,2.6372,2.5054,2.6372,48337,0
VOT,D,20110622,000000,2.6176,2.6176,2.6176,2.6176,183,0
VOT,D,20110624,000000,2.5054,2.5054,2.5054,2.5054,174,0
VOT,D,20110627,000000,2.5054,2.5054,2.5054,2.5054,7968,0
VOT,D,20110628,000000,2.5316,2.5382,2.4724,2.4724,11329,0
VOT,D,20110629,000000,2.3076,2.4394,2.3076,2.3867,60183,0
VOT,D,20110630,000000,2.4394,2.4394,2.4065,2.4065,14479,0
VOT,D,20110701,000000,2.4065,2.5054,2.4065,2.5054,2422,0
VOT,D,20110704,000000,2.4131,2.4328,2.4131,2.4131,4948,0
VOT,D,20110705,000000,2.4065,2.4065,2.4065,2.4065,8797,0
VOT,D,20110706,000000,2.3933,2.4065,2.3736,2.4065,3428,0
VOT,D,20110707,000000,2.4131,2.4131,2.3736,2.3736,844,0
VOT,D,20110708,000000,2.3867,2.3998,2.3736,2.3867,3018,0
VOT,D,20110711,000000,2.3867,2.3867,2.3011,2.3736,12895,0
VOT,D,20110712,000000,2.3076,2.4921,2.1429,2.4921,58324,0
VOT,D,20110713,000000,2.4328,2.4328,2.3736,2.4328,5429,0
VOT,D,20110714,000000,2.4065,2.4394,2.3405,2.4328,3277,0
VOT,D,20110715,000000,2.3076,2.3736,2.2417,2.3669,5683,0
VOT,D,20110718,000000,2.3076,2.3076,2.0109,2.0438,39936,0
VOT,D,20110719,000000,2.0966,2.1558,2.0373,2.0966,47969,0
VOT,D,20110720,000000,2.1098,2.2087,2.1098,2.2087,50073,0
VOT,D,20110721,000000,2.2087,2.2284,2.1493,2.1887,7236,0
VOT,D,20110722,000000,2.2152,2.2613,2.1887,2.2613,8682,0
VOT,D,20110725,000000,2.3602,2.3602,2.2746,2.2746,2884,0
VOT,D,20110726,000000,2.2746,2.3405,2.2417,2.2417,8465,0
VOT,D,20110727,000000,2.2417,2.2417,2.2087,2.2087,5727,0
VOT,D,20110728,000000,2.1757,2.2087,2.1429,2.1493,8507,0
VOT,D,20110729,000000,2.1493,2.2087,2.1493,2.2087,3118,0
VOT,D,20110801,000000,2.2087,2.2087,2.2087,2.2087,46,0
VOT,D,20110802,000000,2.2152,2.2351,2.2152,2.2351,172,0
VOT,D,20110803,000000,2.1757,2.1757,2.0768,2.0768,6189,0
VOT,D,20110804,000000,2.0768,2.1429,2.0768,2.0768,5285,0
VOT,D,20110805,000000,2.0835,2.1098,2.0505,2.0702,48129,0
VOT,D,20110808,000000,1.9185,2.0373,1.9185,1.9779,16421,0
VOT,D,20110809,000000,1.9449,1.9779,1.7866,1.9449,22729,0
VOT,D,20110810,000000,1.8131,2.0768,1.8131,1.879,13312,0
VOT,D,20110811,000000,1.846,1.9383,1.846,1.912,5401,0
VOT,D,20110812,000000,1.9449,1.9712,1.9449,1.9712,21208,0
VOT,D,20110816,000000,1.9844,2.0505,1.9779,2.0505,47745,0
VOT,D,20110817,000000,1.9779,2.0438,1.9779,2.0438,3168,0
VOT,D,20110818,000000,2.0505,2.0571,1.9252,1.9252,11859,0
VOT,D,20110819,000000,1.912,1.9712,1.912,1.912,2623,0
VOT,D,20110822,000000,1.912,1.9648,1.912,1.9648,4556,0
VOT,D,20110823,000000,1.9712,1.9712,1.9318,1.9712,2863,0
VOT,D,20110824,000000,1.9712,1.9712,1.912,1.9449,16012,0
VOT,D,20110825,000000,1.9449,2.0571,1.9449,2.0571,25559,0
VOT,D,20110826,000000,2.0702,2.1955,2.0702,2.169,25608,0
VOT,D,20110829,000000,2.1955,2.3669,2.1955,2.3669,42888,0
VOT,D,20110830,000000,2.2877,2.3736,2.2877,2.3405,14862,0
VOT,D,20110831,000000,2.3669,2.3669,2.3405,2.3669,19977,0
VOT,D,20110901,000000,2.3405,2.3405,2.3142,2.3142,1004,0
VOT,D,20110902,000000,2.3076,2.3076,2.2087,2.2087,6635,0
VOT,D,20110905,000000,2.3076,2.3076,2.1887,2.1887,1494,0
VOT,D,20110906,000000,2.2417,2.2417,2.2351,2.2351,167,0
VOT,D,20110907,000000,2.2417,2.3076,2.2087,2.2087,31156,0
VOT,D,20110908,000000,2.2417,2.2417,2.2087,2.2417,11011,0
VOT,D,20110909,000000,2.3207,2.3207,2.2417,2.2417,3462,0
VOT,D,20110912,000000,2.2417,2.2417,2.0768,2.1098,3997,0
VOT,D,20110913,000000,2.1098,2.1493,2.0505,2.1493,13488,0
VOT,D,20110914,000000,2.1429,2.1429,2.1429,2.1429,3792,0
VOT,D,20110915,000000,2.2351,2.2351,2.1164,2.1757,5952,0
VOT,D,20110916,000000,2.1757,2.1757,2.1626,2.1626,60,0
VOT,D,20110919,000000,2.1558,2.1558,2.1558,2.1558,250,0
VOT,D,20110920,000000,2.1098,2.1098,2.0768,2.0768,6112,0
VOT,D,20110921,000000,2.1098,2.136,2.0768,2.136,8661,0
VOT,D,20110922,000000,2.136,2.3076,2.136,2.1757,46138,0
VOT,D,20110923,000000,2.1757,2.1757,2.1757,2.1757,14,0
VOT,D,20110926,000000,2.169,2.1757,2.1429,2.169,12299,0
VOT,D,20110927,000000,2.2351,2.2351,2.1757,2.1757,4598,0
VOT,D,20110928,000000,2.1824,2.1824,2.1824,2.1824,269,0
VOT,D,20110929,000000,2.2351,2.2746,2.1887,2.2746,23115,0
VOT,D,20110930,000000,2.2681,2.2681,2.2681,2.2681,297,0
VOT,D,20111003,000000,2.2681,2.2681,2.2417,2.2417,7219,0
VOT,D,20111004,000000,2.2417,2.2812,2.1757,2.2087,30947,0
VOT,D,20111005,000000,2.2087,2.2681,2.2087,2.2681,19499,0
VOT,D,20111006,000000,2.2681,2.2681,2.2417,2.2417,46,0
