<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZMT,D,20111010,000000,1.2807,1.2807,0.8934,0.8934,161765,0
ZMT,D,20111011,000000,0.9013,0.9329,0.8221,0.8302,59331,0
ZMT,D,20111012,000000,0.8459,0.8459,0.7669,0.8302,243011,0
ZMT,D,20111013,000000,0.8221,0.8459,0.8221,0.8459,18629,0
ZMT,D,20111014,000000,0.8459,0.9091,0.838,0.8775,28821,0
ZMT,D,20111017,000000,0.9249,0.9249,0.8696,0.8934,23095,0
ZMT,D,20111018,000000,0.8617,0.8775,0.8143,0.8696,21067,0
ZMT,D,20111019,000000,0.8538,0.8775,0.8459,0.8696,16787,0
ZMT,D,20111020,000000,0.8459,0.8775,0.838,0.838,173316,0
ZMT,D,20111021,000000,0.838,0.8696,0.8302,0.8696,3062,0
ZMT,D,20111024,000000,0.8696,0.9171,0.7985,0.9171,21402,0
ZMT,D,20111025,000000,0.8855,0.9249,0.8855,0.9171,37496,0
ZMT,D,20111026,000000,0.9249,0.9566,0.9171,0.9249,215983,0
ZMT,D,20111027,000000,0.9566,1.004,0.9487,0.9724,97988,0
ZMT,D,20111028,000000,0.9882,0.9961,0.9249,0.9803,18412,0
ZMT,D,20111031,000000,1.004,1.004,0.9407,0.9724,5214,0
ZMT,D,20111102,000000,0.9091,0.9961,0.9091,0.9882,58358,0
ZMT,D,20111103,000000,0.9724,1.0199,0.9724,1.0119,59785,0
ZMT,D,20111104,000000,1.0119,1.0594,0.9961,1.0594,18635,0
ZMT,D,20111107,000000,1.0277,1.091,1.0277,1.0831,19750,0
ZMT,D,20111108,000000,1.0594,1.0988,1.0594,1.091,7149,0
ZMT,D,20111109,000000,1.0988,1.0988,1.0594,1.0673,17387,0
ZMT,D,20111110,000000,1.0277,1.0988,1.0277,1.0988,8104,0
ZMT,D,20111114,000000,1.0988,1.0988,1.0436,1.0988,4562,0
ZMT,D,20111115,000000,1.091,1.091,1.0436,1.0831,11335,0
ZMT,D,20111116,000000,1.0673,1.0831,1.0436,1.0436,2785,0
ZMT,D,20111117,000000,1.0436,1.0831,1.0436,1.0594,25913,0
ZMT,D,20111118,000000,1.0436,1.0752,1.0277,1.0594,2071,0
ZMT,D,20111121,000000,1.0277,1.0673,1.0119,1.0594,16455,0
ZMT,D,20111122,000000,1.0199,1.0673,1.0199,1.0594,54768,0
ZMT,D,20111123,000000,1.0277,1.0752,1.0277,1.0356,1642,0
ZMT,D,20111124,000000,0.9724,1.0752,0.9724,1.0594,18351,0
ZMT,D,20111125,000000,1.004,1.0673,1.004,1.0673,5429,0
ZMT,D,20111128,000000,1.0831,1.091,1.0514,1.091,21535,0
ZMT,D,20111129,000000,1.0673,1.0988,1.0594,1.0988,15598,0
ZMT,D,20111130,000000,1.0594,1.1068,1.0594,1.1068,276177,0
ZMT,D,20111201,000000,0.9961,1.1068,0.9961,1.0673,32871,0
ZMT,D,20111202,000000,1.1068,1.1068,1.0594,1.0594,15865,0
ZMT,D,20111205,000000,1.0988,1.0988,1.0436,1.0752,534997,0
ZMT,D,20111206,000000,1.091,1.091,1.091,1.091,2,0
ZMT,D,20111207,000000,1.0988,1.1858,1.0594,1.1858,16064,0
ZMT,D,20111208,000000,1.1147,1.1938,1.1147,1.1938,165134,0
ZMT,D,20111209,000000,1.1464,1.1858,1.1226,1.1858,3710,0
ZMT,D,20111212,000000,1.17,1.1858,1.1306,1.1779,25297,0
ZMT,D,20111213,000000,1.1306,1.1779,1.1306,1.1779,13032,0
ZMT,D,20111214,000000,1.1858,1.1858,1.1306,1.17,2143,0
ZMT,D,20111215,000000,1.17,1.1779,1.17,1.1779,64,0
ZMT,D,20111216,000000,1.1384,1.1779,1.1226,1.1779,4223,0
ZMT,D,20111219,000000,1.1621,1.1621,1.0988,1.1464,1344,0
ZMT,D,20111221,000000,1.1384,1.1779,1.1147,1.17,82920,0
ZMT,D,20111222,000000,1.1306,1.1938,1.1306,1.1938,420287,0
ZMT,D,20111223,000000,1.1938,1.257,1.1938,1.2411,154099,0
ZMT,D,20111227,000000,1.2411,1.3044,1.2411,1.2807,154999,0
ZMT,D,20111228,000000,1.2965,1.3757,1.2807,1.3439,109418,0
ZMT,D,20111229,000000,1.3361,1.3439,1.2807,1.3044,5346,0
ZMT,D,20111230,000000,1.301,1.3379,1.2733,1.3379,12847,0
ZMT,D,20120102,000000,1.3044,1.3598,1.2333,1.3281,26819,0
ZMT,D,20120103,000000,1.3203,1.3281,1.2807,1.2807,12228,0
ZMT,D,20120104,000000,1.3044,1.3044,1.2175,1.2887,12493,0
ZMT,D,20120105,000000,1.2333,1.2411,1.1621,1.2096,27481,0
ZMT,D,20120109,000000,1.2096,1.2096,1.1464,1.2096,20515,0
ZMT,D,20120110,000000,1.17,1.2411,1.17,1.1858,1424,0
ZMT,D,20120111,000000,1.2254,1.2728,1.2254,1.2728,268,0
ZMT,D,20120112,000000,1.2728,1.3044,1.1226,1.1226,12218,0
ZMT,D,20120113,000000,1.1542,1.1938,1.1464,1.1779,5814,0
ZMT,D,20120116,000000,1.1858,1.1858,1.1779,1.1779,2985,0
ZMT,D,20120117,000000,1.17,1.2175,1.17,1.2175,8475,0
ZMT,D,20120119,000000,1.2254,1.2254,1.1779,1.2096,3891,0
ZMT,D,20120120,000000,1.2096,1.2254,1.1858,1.2254,3822,0
ZMT,D,20120123,000000,1.1779,1.2254,1.1464,1.2017,15042,0
ZMT,D,20120124,000000,1.1621,1.17,1.1621,1.1621,1049,0
ZMT,D,20120125,000000,1.1621,1.1621,1.1621,1.1621,1566,0
ZMT,D,20120126,000000,1.1621,1.1938,1.1226,1.1938,7172,0
ZMT,D,20120127,000000,1.1938,1.1938,1.1464,1.1779,26094,0
ZMT,D,20120130,000000,1.1779,1.1779,1.1464,1.1464,694,0
ZMT,D,20120131,000000,1.1442,1.1626,1.0611,1.1534,50286,0
ZMT,D,20120201,000000,1.1147,1.1384,1.1147,1.1384,3050,0
ZMT,D,20120202,000000,1.1226,1.1226,1.1068,1.1147,7931,0
ZMT,D,20120203,000000,1.1306,1.1306,1.0988,1.1068,27818,0
ZMT,D,20120206,000000,1.0673,1.1147,1.0673,1.1147,715,0
ZMT,D,20120207,000000,1.1068,1.1068,1.091,1.091,1303,0
ZMT,D,20120208,000000,1.1068,1.1147,1.091,1.091,45148,0
ZMT,D,20120209,000000,1.091,1.1147,1.091,1.1068,69241,0
ZMT,D,20120213,000000,1.091,1.1068,1.0752,1.1068,15840,0
