<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
11B,D,20101028,000000,3.75,4.18,3.4,3.95,207981,0
11B,D,20101029,000000,4.25,5.35,3.8,5.14,275534,0
11B,D,20101102,000000,5.45,5.99,4.82,4.86,118863,0
11B,D,20101103,000000,4.74,5.02,4,4.36,86129,0
11B,D,20101104,000000,4.4,4.65,4.3,4.35,16078,0
11B,D,20101105,000000,4.41,4.5,4.09,4.09,25349,0
11B,D,20101108,000000,4.17,4.49,4.05,4.37,23155,0
11B,D,20101109,000000,4.4,4.63,4.22,4.57,12548,0
11B,D,20101110,000000,4.58,4.59,4.41,4.42,2648,0
11B,D,20101112,000000,4.43,5,4.35,5,44096,0
11B,D,20101115,000000,5.24,6.97,5.24,6.69,80929,0
11B,D,20101116,000000,7,8.29,6.4,7.42,99349,0
11B,D,20101117,000000,7.5,8.8,7.5,8.7,69654,0
11B,D,20101118,000000,9.17,11,9.13,11,107167,0
11B,D,20101119,000000,11.7,12.3,8.99,8.99,90947,0
11B,D,20101122,000000,8.62,9.89,7.2,8.55,52023,0
11B,D,20101123,000000,8.49,8.49,7.51,8.12,11800,0
11B,D,20101124,000000,8,9.5,7.65,8.43,21951,0
11B,D,20101125,000000,8.65,9.44,8.32,8.9,5395,0
11B,D,20101126,000000,8.9,9.2,8.55,8.74,1809,0
11B,D,20101129,000000,8.99,9.3,8.52,8.81,7616,0
11B,D,20101130,000000,8.9,8.9,8.33,8.68,6158,0
11B,D,20101201,000000,8.99,11.18,8.53,11.18,50352,0
11B,D,20101202,000000,11.8,12.3,10.2,11.5,68913,0
11B,D,20101203,000000,11.5,11.5,10,10.2,25847,0
11B,D,20101206,000000,10.4,10.78,9.4,10.5,15847,0
11B,D,20101207,000000,10.49,10.49,9.31,9.5,10508,0
11B,D,20101208,000000,9.55,10.05,9.05,9.72,8708,0
11B,D,20101209,000000,9.7,9.7,9.2,9.64,5172,0
11B,D,20101210,000000,9.32,9.45,9,9.35,2635,0
11B,D,20101213,000000,9.35,9.4,9,9,4046,0
11B,D,20101214,000000,9.05,9.29,8.7,8.8,5935,0
11B,D,20101215,000000,9.2,10.81,8.75,9.95,23949,0
11B,D,20101216,000000,10.05,10.05,8.95,9,17191,0
11B,D,20101217,000000,9.02,9.69,8.76,8.81,14978,0
11B,D,20101220,000000,8.81,8.81,8.11,8.49,18420,0
11B,D,20101221,000000,8.17,9.2,8.14,8.84,7046,0
11B,D,20101222,000000,8.84,8.84,8.13,8.3,3732,0
11B,D,20101223,000000,8.34,8.45,8.11,8.19,6773,0
11B,D,20101227,000000,8.12,8.12,7.6,7.78,3967,0
11B,D,20101228,000000,7.77,7.96,7.15,7.35,12903,0
11B,D,20101229,000000,7.29,7.35,7.2,7.35,3627,0
11B,D,20101230,000000,7.35,7.9,7.3,7.51,4373,0
11B,D,20101231,000000,7.51,7.78,7.51,7.58,1007,0
11B,D,20110103,000000,7.33,8.19,7.32,8.19,3395,0
11B,D,20110104,000000,8,9.5,7.56,8.98,6649,0
11B,D,20110105,000000,8.7,8.7,8.1,8.3,1580,0
11B,D,20110107,000000,8.21,8.5,8.21,8.45,2490,0
11B,D,20110110,000000,8.45,8.45,7.86,8.02,2013,0
11B,D,20110111,000000,8.02,8.02,7.7,7.9,1573,0
11B,D,20110112,000000,8.01,8.05,8,8.01,1435,0
11B,D,20110113,000000,7.9,8.25,7.9,8.1,802,0
11B,D,20110114,000000,8,8,7.65,7.95,2955,0
11B,D,20110117,000000,7.99,9.5,7.95,9.05,20156,0
11B,D,20110118,000000,9.05,9.05,8.31,8.72,4897,0
11B,D,20110119,000000,8.72,8.8,8,8.4,5476,0
11B,D,20110120,000000,8.4,9.3,8.1,9.15,7136,0
11B,D,20110121,000000,9.1,9.35,8.7,8.7,6655,0
11B,D,20110124,000000,8.75,9.5,8.75,9.38,11887,0
11B,D,20110125,000000,9.5,10,9.06,9.77,9532,0
11B,D,20110126,000000,9.6,11.14,9.4,10.9,24704,0
11B,D,20110127,000000,11.2,11.8,10.51,10.9,25037,0
11B,D,20110128,000000,10.79,10.8,10,10.69,5274,0
11B,D,20110131,000000,10.7,10.71,10.02,10.45,4960,0
11B,D,20110201,000000,10.21,10.8,10.2,10.35,4328,0
11B,D,20110202,000000,10.23,11,10.01,11,8400,0
11B,D,20110203,000000,11,11.52,10.8,11.4,3150,0
11B,D,20110204,000000,11.11,11.35,10.89,11.35,4233,0
11B,D,20110207,000000,11.27,11.27,10.62,11.23,3387,0
11B,D,20110208,000000,11.19,11.19,10.28,10.74,6153,0
11B,D,20110209,000000,10.6,10.99,10.45,10.75,2390,0
11B,D,20110210,000000,10.95,12,10.9,11.05,13582,0
11B,D,20110211,000000,11.21,11.3,10.8,11.25,6088,0
11B,D,20110214,000000,11.1,11.11,10.81,11.03,2450,0
11B,D,20110215,000000,11,11,10.5,10.85,5191,0
11B,D,20110216,000000,10.85,10.85,9.5,10.28,8158,0
11B,D,20110217,000000,10.28,10.5,9.9,10.2,5932,0
11B,D,20110218,000000,10.25,10.25,9.4,9.8,7803,0
11B,D,20110221,000000,9.5,9.59,9.05,9.31,7760,0
11B,D,20110222,000000,9.3,9.94,9,9.83,5305,0
11B,D,20110223,000000,9.8,10.5,9.61,9.8,4292,0
11B,D,20110224,000000,9.7,9.93,9.16,9.5,3242,0
11B,D,20110225,000000,9.65,10.5,9.65,10.2,3407,0
11B,D,20110228,000000,10.5,10.7,10.2,10.7,6419,0
11B,D,20110301,000000,10.78,10.8,10,10.1,3777,0
11B,D,20110302,000000,10.05,10.79,10,10.63,7146,0
11B,D,20110303,000000,10.63,10.65,10.1,10.65,3239,0
11B,D,20110304,000000,10.59,11.45,10.59,11.39,12648,0
11B,D,20110307,000000,11.56,11.56,11.05,11.41,3795,0
11B,D,20110308,000000,11.43,11.43,11.05,11.35,1996,0
11B,D,20110309,000000,11.43,11.43,10.9,11.33,2987,0
11B,D,20110310,000000,11.2,11.4,11,11.33,2880,0
11B,D,20110311,000000,11.33,11.33,11,11.3,800,0
11B,D,20110314,000000,11.3,11.8,11,11.79,7908,0
11B,D,20110315,000000,11.51,11.7,11.1,11.57,8414,0
11B,D,20110316,000000,11.58,16.65,11.58,16.6,44472,0
11B,D,20110317,000000,17.01,18.61,15.66,16.2,40242,0
11B,D,20110318,000000,17,18.2,16.5,17.5,8712,0
11B,D,20110321,000000,17.6,21.14,17.6,21.14,38104,0
11B,D,20110322,000000,20.99,24.85,19.65,23.8,42502,0
11B,D,20110323,000000,23.69,26,22.61,23.7,46439,0
11B,D,20110324,000000,23.7,24.7,22.25,24.25,20278,0
11B,D,20110325,000000,24.4,26.44,22.5,23.56,51087,0
11B,D,20110328,000000,24,26.19,24,25.15,19209,0
11B,D,20110329,000000,25.89,26.49,24.3,24.95,14668,0
11B,D,20110330,000000,25.26,25.69,20.36,21.4,23181,0
11B,D,20110331,000000,22,24.55,19.5,23.5,44019,0
11B,D,20110401,000000,24,25,23,24,8769,0
11B,D,20110404,000000,24.9,24.9,23.1,24,5008,0
11B,D,20110405,000000,23.99,25.29,22.8,25.15,13204,0
11B,D,20110406,000000,25.5,25.85,24.3,24.73,7626,0
11B,D,20110407,000000,24.73,24.95,23.1,24.49,8048,0
11B,D,20110408,000000,24.49,24.9,23.62,24,7780,0
11B,D,20110411,000000,24.5,24.5,22,22.87,7784,0
11B,D,20110412,000000,22.8,22.8,20.8,21.38,12157,0
11B,D,20110413,000000,21.99,21.99,19.57,20.5,15462,0
11B,D,20110414,000000,20.55,21.7,20.5,21,5250,0
11B,D,20110415,000000,21.97,22.98,21,22.5,12614,0
11B,D,20110418,000000,22.85,22.85,22,22.39,5837,0
11B,D,20110419,000000,22.2,22.2,20.9,21,5665,0
11B,D,20110420,000000,21,21,19.6,20,5173,0
11B,D,20110421,000000,19.94,19.94,18.55,18.85,11043,0
11B,D,20110426,000000,18.65,18.85,16.5,17.4,17382,0
11B,D,20110427,000000,17,18.95,16.5,18.19,12290,0
11B,D,20110428,000000,18.38,19.48,17.02,18.79,13672,0
11B,D,20110429,000000,18.75,19.2,18,18.3,3477,0
11B,D,20110502,000000,18.22,18.25,17,17.16,5519,0
11B,D,20110504,000000,17.05,17.92,15.52,17.05,9554,0
11B,D,20110505,000000,17.4,17.4,16,16.9,8799,0
11B,D,20110506,000000,16.52,16.52,16.01,16.44,2037,0
11B,D,20110509,000000,16.44,17.1,16.3,16.7,2029,0
11B,D,20110510,000000,16.66,16.66,16.1,16.18,2485,0
11B,D,20110511,000000,16.18,16.95,16.18,16.48,2610,0
