<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1AT,D,20150615,000000,16.573,16.573,16.271,16.271,57901,0
1AT,D,20150616,000000,16.256,16.271,15.97,16.15,53916,0
1AT,D,20150617,000000,16.121,16.498,15.819,16.339,34721,0
1AT,D,20150618,000000,16.271,16.339,16.196,16.309,36865,0
1AT,D,20150619,000000,16.339,16.339,16.045,16.121,11038,0
1AT,D,20150622,000000,16.241,16.241,16.136,16.144,3547,0
1AT,D,20150623,000000,16.144,16.234,15.932,16.196,34053,0
1AT,D,20150624,000000,16.196,16.196,15.126,16.098,21096,0
1AT,D,20150625,000000,16.092,16.188,15.819,16.188,4248,0
1AT,D,20150626,000000,15.819,16.15,15.451,16.106,29575,0
1AT,D,20150629,000000,15.481,15.819,15.481,15.819,281,0
1AT,D,20150630,000000,15.744,15.744,15.443,15.744,11044,0
1AT,D,20150701,000000,15.819,16.083,15.819,16.083,2655,0
1AT,D,20150702,000000,16.068,16.083,16.068,16.083,33321,0
1AT,D,20150703,000000,16.092,16.226,16.083,16.083,13463,0
1AT,D,20150706,000000,16.18,16.234,16.18,16.234,14706,0
1AT,D,20150707,000000,16.234,16.724,16.234,16.234,21662,0
1AT,D,20150708,000000,16.573,16.573,16.234,16.573,6013,0
1AT,D,20150709,000000,16.573,16.611,16.564,16.564,530,0
1AT,D,20150710,000000,16.573,16.573,16.271,16.564,1317,0
1AT,D,20150713,000000,16.611,16.611,16.423,16.564,793,0
1AT,D,20150714,000000,16.46,16.564,16.196,16.564,3584,0
1AT,D,20150715,000000,16.564,16.564,15.992,16.564,15807,0
1AT,D,20150716,000000,16.564,16.611,16.271,16.573,13432,0
1AT,D,20150717,000000,16.611,16.611,16.557,16.564,3752,0
1AT,D,20150720,000000,16.564,16.573,16.498,16.498,13328,0
1AT,D,20150721,000000,16.498,16.564,16.49,16.564,7814,0
1AT,D,20150722,000000,16.573,16.573,16.423,16.423,411,0
1AT,D,20150723,000000,16.55,16.573,16.55,16.573,3865,0
1AT,D,20150724,000000,16.196,16.784,16.196,16.784,233,0
