<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABE,D,20060921,000000,10.714,11.318,10.677,10.862,909722,0
ABE,D,20060922,000000,10.854,10.854,10.445,10.77,57119,0
ABE,D,20060925,000000,10.668,10.983,10.668,10.983,135284,0
ABE,D,20060926,000000,11.049,11.188,11.049,11.179,113044,0
ABE,D,20060927,000000,11.225,11.225,10.862,11.096,74383,0
ABE,D,20060928,000000,10.862,11.141,10.816,11.141,40353,0
ABE,D,20060929,000000,11.169,11.169,10.956,11.141,38537,0
ABE,D,20061002,000000,11.141,11.141,10.872,11.141,70489,0
ABE,D,20061003,000000,11.058,11.141,11.058,11.133,22838,0
ABE,D,20061004,000000,11.049,11.16,11.049,11.16,71488,0
ABE,D,20061005,000000,11.141,11.216,11.141,11.188,115613,0
ABE,D,20061006,000000,11.225,11.559,11.188,11.559,75634,0
ABE,D,20061009,000000,11.559,11.633,11.512,11.633,21779,0
ABE,D,20061010,000000,11.653,11.653,11.512,11.653,70571,0
ABE,D,20061011,000000,11.699,11.792,11.671,11.699,43011,0
ABE,D,20061012,000000,11.746,12.024,11.746,11.987,17728,0
ABE,D,20061013,000000,12.07,12.117,11.894,11.996,122170,0
ABE,D,20061016,000000,12.052,12.052,11.884,11.977,25152,0
ABE,D,20061017,000000,11.605,11.699,11.448,11.522,28794,0
ABE,D,20061018,000000,11.467,11.884,11.467,11.559,27208,0
ABE,D,20061019,000000,11.512,11.708,11.512,11.559,14432,0
ABE,D,20061020,000000,11.522,11.643,11.374,11.374,17540,0
ABE,D,20061023,000000,11.42,11.512,11.42,11.512,7072,0
ABE,D,20061024,000000,11.605,11.605,11.512,11.605,16658,0
ABE,D,20061025,000000,11.512,11.588,11.383,11.467,11717,0
ABE,D,20061026,000000,11.392,11.512,11.327,11.327,16266,0
ABE,D,20061027,000000,11.327,11.327,11.16,11.281,8639,0
ABE,D,20061030,000000,11.327,11.327,11.049,11.188,13760,0
ABE,D,20061031,000000,11.327,11.475,11.133,11.188,2162,0
ABE,D,20061102,000000,11.467,11.467,11.141,11.188,26172,0
ABE,D,20061103,000000,11.457,11.457,11.151,11.151,13150,0
ABE,D,20061106,000000,11.188,11.327,11.188,11.327,4776,0
ABE,D,20061107,000000,11.708,12.535,11.708,12.535,223864,0
ABE,D,20061108,000000,12.915,13.463,12.859,12.905,122468,0
ABE,D,20061109,000000,13.37,13.37,12.627,12.766,25965,0
ABE,D,20061110,000000,12.813,12.813,12.506,12.58,27002,0
ABE,D,20061113,000000,12.608,12.617,12.209,12.349,10748,0
ABE,D,20061114,000000,12.07,12.58,11.977,12.58,31333,0
ABE,D,20061115,000000,12.627,12.627,12.201,12.201,23669,0
ABE,D,20061116,000000,12.349,12.349,12.08,12.33,2279,0
ABE,D,20061117,000000,12.255,12.255,12.08,12.08,8274,0
ABE,D,20061120,000000,12.33,12.33,12.172,12.301,1296,0
ABE,D,20061121,000000,12.247,12.887,12.247,12.813,49891,0
ABE,D,20061122,000000,12.905,13.045,12.646,12.998,45763,0
ABE,D,20061123,000000,12.998,13.202,12.998,13.185,24968,0
ABE,D,20061124,000000,13.277,13.463,13.277,13.463,47406,0
ABE,D,20061127,000000,13.463,13.648,13.463,13.602,26627,0
ABE,D,20061128,000000,13.825,13.825,13.463,13.556,29949,0
ABE,D,20061129,000000,13.694,14.02,13.694,13.973,23320,0
ABE,D,20061130,000000,13.973,14.252,13.852,13.928,62925,0
ABE,D,20061201,000000,14.159,14.159,13.797,14.159,37733,0
ABE,D,20061204,000000,14.196,14.196,13.881,14.132,11893,0
ABE,D,20061205,000000,14.577,15.32,14.577,15.04,87613,0
ABE,D,20061206,000000,15.311,15.311,14.809,14.855,22614,0
ABE,D,20061207,000000,14.726,15.598,14.726,15.598,70385,0
ABE,D,20061208,000000,15.552,16.991,15.552,16.248,103011,0
ABE,D,20061211,000000,16.341,17.966,16.341,17.911,71163,0
ABE,D,20061212,000000,17.919,17.919,16.898,17.52,96237,0
ABE,D,20061213,000000,17.436,17.436,16.703,16.805,23006,0
ABE,D,20061214,000000,16.805,16.805,15.783,16.341,45521,0
ABE,D,20061215,000000,16.238,16.248,14.855,16.248,49601,0
ABE,D,20061218,000000,15.783,16.294,15.783,16.248,12929,0
ABE,D,20061219,000000,16.666,16.703,15.552,15.783,41319,0
ABE,D,20061220,000000,15.32,16.238,15.32,15.783,70990,0
ABE,D,20061221,000000,15.515,15.783,15.087,15.283,4692,0
ABE,D,20061222,000000,15.32,15.737,15.32,15.691,6659,0
ABE,D,20061227,000000,15.7,16.063,15.691,15.877,6439,0
ABE,D,20061228,000000,16.229,16.229,15.598,15.877,18064,0
ABE,D,20061229,000000,15.783,15.97,15.32,15.877,5240,0
ABE,D,20070102,000000,15.783,15.783,15.737,15.737,2071,0
ABE,D,20070103,000000,15.783,15.783,15.05,15.691,12952,0
ABE,D,20070104,000000,15.598,15.737,15.32,15.737,14097,0
ABE,D,20070105,000000,15.227,15.737,15.134,15.32,44283,0
ABE,D,20070108,000000,15.06,15.404,15.06,15.32,7645,0
ABE,D,20070109,000000,15.32,15.719,15.32,15.719,27369,0
ABE,D,20070110,000000,15.737,16.017,15.691,15.877,18142,0
ABE,D,20070111,000000,15.877,16.526,15.783,16.517,68381,0
ABE,D,20070112,000000,16.74,16.74,16.387,16.433,39802,0
ABE,D,20070115,000000,16.693,16.703,16.433,16.564,17982,0
ABE,D,20070116,000000,16.666,16.693,16.063,16.433,11475,0
ABE,D,20070117,000000,16.155,16.526,16.155,16.526,16409,0
ABE,D,20070118,000000,16.09,17.168,16.09,17.084,21983,0
ABE,D,20070119,000000,17.176,17.176,16.713,16.713,6458,0
ABE,D,20070122,000000,16.722,16.991,16.713,16.713,6434,0
ABE,D,20070123,000000,16.666,17.149,16.201,17.149,23696,0
ABE,D,20070124,000000,17.176,17.641,17.176,17.641,19491,0
ABE,D,20070125,000000,18.244,18.383,17.641,17.641,7720,0
