<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACT,D,20060724,000000,7.5383,7.5383,6.2919,6.4012,2232970,0
ACT,D,20060725,000000,6.4832,6.7785,6.2919,6.5597,543317,0
ACT,D,20060726,000000,6.6143,6.7511,6.538,6.6692,169048,0
ACT,D,20060727,000000,6.6417,6.8877,6.6143,6.8605,253723,0
ACT,D,20060728,000000,6.8877,6.8877,6.7237,6.8056,84313,0
ACT,D,20060731,000000,6.8056,6.9151,6.8056,6.8877,192042,0
ACT,D,20060801,000000,6.9424,6.9424,6.8331,6.8877,120263,0
ACT,D,20060802,000000,6.8877,6.8877,6.7237,6.7511,45763,0
ACT,D,20060803,000000,6.7785,6.8056,6.587,6.6143,92382,0
ACT,D,20060804,000000,6.7511,6.7511,6.5597,6.7237,23413,0
ACT,D,20060807,000000,6.7785,6.8877,6.6692,6.8877,110020,0
ACT,D,20060808,000000,6.8877,7.1883,6.8331,7.079,181724,0
ACT,D,20060809,000000,7.1065,7.3197,7.0519,7.2158,103743,0
ACT,D,20060810,000000,7.161,7.2158,7.0246,7.0246,94803,0
ACT,D,20060811,000000,7.079,7.2376,7.079,7.079,60422,0
ACT,D,20060814,000000,7.1338,7.2923,7.1065,7.2376,23227,0
ACT,D,20060816,000000,7.3197,7.347,7.2376,7.347,39604,0
ACT,D,20060817,000000,7.3742,7.7023,7.3197,7.5654,190628,0
ACT,D,20060818,000000,7.5932,7.5932,7.429,7.5654,78252,0
ACT,D,20060821,000000,7.5383,7.5932,7.4837,7.5654,44215,0
ACT,D,20060822,000000,7.5932,7.5932,7.3742,7.5654,54999,0
ACT,D,20060823,000000,7.5654,7.6203,7.5109,7.6203,50801,0
ACT,D,20060824,000000,7.6752,7.6752,7.2923,7.5654,36739,0
ACT,D,20060825,000000,7.429,7.5654,7.429,7.5109,24203,0
ACT,D,20060828,000000,7.4837,7.4837,7.3197,7.4016,24155,0
ACT,D,20060829,000000,7.347,7.5932,7.2923,7.4837,37956,0
ACT,D,20060830,000000,7.3197,7.4837,7.3197,7.3197,37224,0
ACT,D,20060831,000000,7.3197,7.3197,7.161,7.161,64717,0
ACT,D,20060901,000000,7.161,7.161,6.7511,7.0462,137719,0
ACT,D,20060904,000000,7.0462,7.0462,6.6692,6.9096,52904,0
ACT,D,20060905,000000,7.0519,7.2158,6.7785,6.9533,115562,0
ACT,D,20060906,000000,7.0519,7.101,6.9424,7.0246,84636,0
ACT,D,20060907,000000,7.0246,7.0847,6.9533,7.0298,8932,0
ACT,D,20060908,000000,7.1065,7.1065,7.0298,7.0519,32909,0
ACT,D,20060911,000000,7.079,7.101,6.9589,7.0519,15467,0
ACT,D,20060912,000000,6.9698,6.9971,6.8605,6.9589,142272,0
ACT,D,20060913,000000,6.9151,7.0409,6.773,6.9096,82754,0
ACT,D,20060914,000000,7.3742,7.429,7.2212,7.2376,116943,0
ACT,D,20060915,000000,7.2376,7.2376,7.0682,7.2376,23004,0
ACT,D,20060918,000000,7.0847,7.1883,7.0847,7.1829,27979,0
ACT,D,20060919,000000,7.161,7.2594,7.0954,7.2594,50613,0
ACT,D,20060920,000000,7.3032,7.3032,7.1065,7.2376,21505,0
ACT,D,20060921,000000,7.1119,7.2867,7.1119,7.2867,13782,0
ACT,D,20060922,000000,7.2158,7.265,7.1065,7.265,9394,0
ACT,D,20060925,000000,7.265,7.2867,7.161,7.2867,26332,0
ACT,D,20060926,000000,7.2923,7.4071,7.2212,7.3197,57841,0
ACT,D,20060927,000000,7.4837,7.4837,7.2376,7.2923,79669,0
ACT,D,20060928,000000,7.265,7.3634,7.2158,7.3579,55288,0
ACT,D,20060929,000000,7.4125,7.4125,7.3087,7.4016,13723,0
ACT,D,20061002,000000,7.5273,8.0801,7.5273,7.9645,149163,0
ACT,D,20061003,000000,8.1881,8.6204,7.9428,7.9695,98455,0
ACT,D,20061004,000000,8.1613,8.287,8.0801,8.2208,68645,0
ACT,D,20061005,000000,8.4076,8.7837,8.3749,8.7795,139518,0
ACT,D,20061006,000000,8.8399,9.1071,8.8223,8.8399,208463,0
ACT,D,20061009,000000,8.8884,8.9211,8.4076,8.7837,84183,0
ACT,D,20061010,000000,8.7837,10.304,8.5224,10.304,170341,0
ACT,D,20061011,000000,10.032,10.304,9.2218,9.2218,315452,0
ACT,D,20061012,000000,9.724,9.834,9.4899,9.763,73348,0
ACT,D,20061013,000000,10.032,10.085,9.709,9.735,85224,0
ACT,D,20061016,000000,9.873,10.032,9.654,9.763,65840,0
ACT,D,20061017,000000,9.763,9.763,9.595,9.595,24894,0
ACT,D,20061018,000000,9.599,9.599,8.8399,9.2109,82324,0
ACT,D,20061019,000000,9.2218,9.2218,8.8608,9.1674,50298,0
ACT,D,20061020,000000,9.2218,9.2721,9.1121,9.1615,31681,0
ACT,D,20061023,000000,9.544,9.648,9.2495,9.4631,73499,0
ACT,D,20061024,000000,9.4631,9.4631,9.2218,9.314,51062,0
ACT,D,20061025,000000,9.3257,9.3257,9.118,9.2109,42551,0
ACT,D,20061026,000000,9.2218,9.2218,9.0585,9.1615,67925,0
ACT,D,20061027,000000,9.1121,9.1615,9.0359,9.102,19850,0
ACT,D,20061030,000000,9.1615,9.1615,8.8943,8.8943,23084,0
ACT,D,20061031,000000,8.9152,9.0032,8.9152,8.9764,18999,0
ACT,D,20061102,000000,9.0032,9.3257,9.0032,9.2218,36233,0
ACT,D,20061103,000000,9.4187,9.654,9.3969,9.4304,45929,0
ACT,D,20061106,000000,9.4899,9.654,9.4304,9.4304,50124,0
ACT,D,20061107,000000,9.599,9.599,9.0685,9.293,54259,0
ACT,D,20061108,000000,9.3801,9.3801,9.1288,9.2218,26059,0
ACT,D,20061109,000000,9.2604,9.571,9.2218,9.2218,68469,0
ACT,D,20061110,000000,9.2327,9.2327,9.1674,9.1841,48139,0
ACT,D,20061113,000000,9.1841,9.3801,9.118,9.118,14360,0
ACT,D,20061114,000000,9.0635,9.2109,9.0585,9.1238,21109,0
ACT,D,20061115,000000,9.1121,9.1121,8.6757,8.7184,37703,0
ACT,D,20061116,000000,8.736,9.0585,8.736,9.0308,32357,0
ACT,D,20061117,000000,9.0526,9.0526,8.8608,8.8667,27494,0
ACT,D,20061120,000000,8.8725,9.0526,8.8667,8.9211,49783,0
ACT,D,20061121,000000,9.2168,9.4899,9.2168,9.4899,65723,0
ACT,D,20061122,000000,9.709,9.922,9.55,9.845,96723,0
ACT,D,20061123,000000,9.927,10.004,9.4899,9.627,49490,0
ACT,D,20061124,000000,9.627,9.627,9.3257,9.4899,25292,0
ACT,D,20061127,000000,9.785,9.785,9.2872,9.3257,25423,0
ACT,D,20061128,000000,9.517,9.873,9.3424,9.4187,124402,0
ACT,D,20061129,000000,9.4781,9.709,9.4781,9.589,71187,0
ACT,D,20061130,000000,10.08,10.085,9.817,9.927,104056,0
ACT,D,20061201,000000,10.026,10.277,9.801,10.065,90975,0
ACT,D,20061204,000000,10.195,10.31,10.085,10.293,52818,0
ACT,D,20061205,000000,10.55,10.572,10.364,10.375,67139,0
ACT,D,20061206,000000,10.468,10.572,10.364,10.392,81647,0
ACT,D,20061207,000000,10.304,10.567,10.304,10.495,59698,0
ACT,D,20061208,000000,10.31,10.518,10.31,10.462,29161,0
ACT,D,20061211,000000,10.425,11.119,10.425,10.916,131247,0
ACT,D,20061212,000000,11.168,11.195,10.916,11.174,67808,0
ACT,D,20061213,000000,11.354,11.933,11.332,11.851,95295,0
ACT,D,20061214,000000,11.927,11.927,10.982,11.119,77486,0
ACT,D,20061215,000000,10.846,11.119,9.4899,10.632,121908,0
ACT,D,20061218,000000,10.84,10.846,10.375,10.763,28465,0
ACT,D,20061219,000000,10.79,10.79,9.823,9.845,59777,0
ACT,D,20061220,000000,9.873,10.223,9.654,9.758,64232,0
ACT,D,20061221,000000,9.817,10.032,9.774,9.817,60058,0
ACT,D,20061222,000000,10.069,10.069,9.817,9.922,22016,0
ACT,D,20061227,000000,9.823,10.304,9.823,10.304,46549,0
ACT,D,20061228,000000,10.413,10.413,10.134,10.298,14201,0
ACT,D,20061229,000000,10.304,10.304,10.032,10.14,60147,0
ACT,D,20070102,000000,10.195,10.245,9.763,10.184,63133,0
ACT,D,20070103,000000,10.277,10.277,9.85,10.036,79157,0
ACT,D,20070104,000000,9.982,9.982,9.681,9.763,69017,0
ACT,D,20070105,000000,9.571,9.845,9.2269,9.544,52035,0
ACT,D,20070108,000000,9.3257,9.599,9.2218,9.544,30043,0
ACT,D,20070109,000000,9.571,9.627,9.523,9.544,42459,0
ACT,D,20070110,000000,9.627,9.654,9.2218,9.544,62982,0
ACT,D,20070111,000000,9.845,10.195,9.817,10.091,98983,0
ACT,D,20070112,000000,10.195,10.55,10.195,10.441,64471,0
ACT,D,20070115,000000,10.462,10.462,9.735,9.769,225673,0
ACT,D,20070116,000000,9.769,9.774,9.3801,9.544,290462,0
ACT,D,20070117,000000,9.753,9.982,9.4354,9.506,230585,0
ACT,D,20070118,000000,9.763,9.763,9.512,9.654,57794,0
ACT,D,20070119,000000,9.709,9.709,9.4631,9.571,21765,0
ACT,D,20070122,000000,9.4899,9.709,9.4899,9.636,53261,0
ACT,D,20070123,000000,9.709,9.758,9.599,9.724,40005,0
ACT,D,20070124,000000,9.873,9.9,9.763,9.845,104065,0
ACT,D,20070125,000000,9.955,9.955,9.9,9.938,81552,0
ACT,D,20070126,000000,9.927,10.277,9.709,10.152,96097,0
ACT,D,20070129,000000,10.25,10.632,10.25,10.632,121763,0
ACT,D,20070130,000000,10.709,10.709,10.364,10.632,67918,0
ACT,D,20070131,000000,10.627,10.627,10.452,10.512,52476,0
ACT,D,20070201,000000,10.462,10.577,10.441,10.577,47430,0
ACT,D,20070202,000000,10.577,10.577,10.392,10.413,63770,0
ACT,D,20070205,000000,10.386,10.654,10.386,10.539,72887,0
ACT,D,20070206,000000,10.55,10.55,10.446,10.491,19960,0
ACT,D,20070207,000000,10.446,10.462,10.392,10.462,30707,0
ACT,D,20070208,000000,10.441,10.441,10.124,10.195,68116,0
ACT,D,20070209,000000,10.195,10.468,10.184,10.293,31590,0
ACT,D,20070212,000000,10.113,10.25,9.927,10.25,19498,0
ACT,D,20070213,000000,10.304,10.331,10.195,10.331,17407,0
ACT,D,20070214,000000,10.413,10.539,10.331,10.413,35449,0
ACT,D,20070215,000000,10.409,10.468,9.839,10.113,19550,0
ACT,D,20070216,000000,10.409,10.413,9.976,10.178,95102,0
ACT,D,20070219,000000,10.381,10.381,10.119,10.223,55953,0
ACT,D,20070220,000000,10.381,10.381,10.134,10.331,27332,0
ACT,D,20070221,000000,10.381,10.381,10.097,10.101,88471,0
ACT,D,20070222,000000,10.223,10.223,10.059,10.195,12043,0
ACT,D,20070223,000000,10.14,10.413,10.113,10.195,93849,0
ACT,D,20070226,000000,10.167,10.167,10.069,10.085,26225,0
ACT,D,20070227,000000,10.059,10.059,8.8013,8.8013,61180,0
ACT,D,20070228,000000,8.8499,9.4028,8.7511,8.9923,118026,0
ACT,D,20070301,000000,9.2386,9.621,8.8558,9.0744,54450,0
ACT,D,20070302,000000,9.2109,9.3751,8.8558,9.2662,50893,0
ACT,D,20070305,000000,8.8725,9.1406,8.6916,8.8826,43874,0
ACT,D,20070306,000000,8.9864,9.0744,8.9152,9.0091,30943,0
ACT,D,20070307,000000,9.0258,9.2662,9.0258,9.2386,33263,0
ACT,D,20070308,000000,9.3475,9.566,9.293,9.512,229225,0
ACT,D,20070309,000000,9.665,9.665,9.3475,9.4731,15199,0
ACT,D,20070312,000000,9.4572,9.561,9.3475,9.4128,153650,0
ACT,D,20070313,000000,9.4028,9.4128,9.3475,9.3751,213844,0
ACT,D,20070314,000000,9.293,9.4028,9.293,9.3969,77808,0
ACT,D,20070315,000000,9.3475,9.538,9.3475,9.4572,13939,0
ACT,D,20070316,000000,9.4572,9.484,9.1841,9.3969,55890,0
ACT,D,20070319,000000,9.3969,9.4572,9.1841,9.3751,138114,0
ACT,D,20070320,000000,9.538,9.538,9.3475,9.4304,32562,0
ACT,D,20070321,000000,9.4513,9.533,9.2821,9.4572,43441,0
ACT,D,20070322,000000,9.538,9.648,9.4572,9.512,28660,0
ACT,D,20070323,000000,9.512,9.512,9.2662,9.4513,58019,0
ACT,D,20070326,000000,9.4028,9.4028,9.1841,9.1841,43133,0
ACT,D,20070327,000000,9.0794,9.3701,9.0794,9.293,43118,0
ACT,D,20070328,000000,9.314,9.3198,9.1288,9.3098,54363,0
ACT,D,20070329,000000,9.293,9.3475,9.293,9.2989,76745,0
ACT,D,20070330,000000,9.4304,9.512,9.4028,9.484,61876,0
ACT,D,20070402,000000,9.621,9.949,9.512,9.943,105699,0
ACT,D,20070403,000000,9.982,10.184,9.943,9.943,33796,0
ACT,D,20070404,000000,9.943,9.961,9.632,9.698,37381,0
ACT,D,20070405,000000,9.681,9.681,9.4631,9.67,7850,0
ACT,D,20070410,000000,9.676,9.868,9.555,9.812,161126,0
ACT,D,20070411,000000,9.812,9.812,9.714,9.791,37348,0
ACT,D,20070412,000000,9.73,9.78,9.3424,9.3751,35188,0
ACT,D,20070413,000000,9.4354,9.73,9.4354,9.703,28775,0
ACT,D,20070416,000000,9.785,9.868,9.566,9.774,73409,0
ACT,D,20070417,000000,9.758,9.785,9.595,9.692,72105,0
ACT,D,20070418,000000,9.676,9.692,9.577,9.627,57660,0
ACT,D,20070419,000000,9.4572,9.719,9.4304,9.627,85704,0
ACT,D,20070420,000000,9.566,9.949,9.566,9.845,83850,0
ACT,D,20070423,000000,9.839,9.894,9.839,9.839,54872,0
ACT,D,20070424,000000,9.785,9.85,9.785,9.839,40298,0
ACT,D,20070425,000000,9.839,10.032,9.839,10.004,37794,0
ACT,D,20070426,000000,9.955,10.223,9.943,10.113,41956,0
ACT,D,20070427,000000,10.113,10.167,9.862,10.047,38856,0
ACT,D,20070430,000000,9.949,10.113,9.949,10.113,4821,0
ACT,D,20070502,000000,10.271,10.479,10.223,10.457,43811,0
