<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGO,D,19990420,000000,34.48,34.48,31.855,32.544,310176,0
AGO,D,19990421,000000,32.478,32.617,32.13,32.269,232414,0
AGO,D,19990422,000000,32.478,34.48,32.478,33.929,225231,0
AGO,D,19990423,000000,34.138,35.24,33.929,34.342,237958,0
AGO,D,19990426,000000,34.204,34.415,33.863,33.863,130709,0
AGO,D,19990427,000000,33.515,33.515,32.828,33.03,122750,0
AGO,D,19990428,000000,32.828,32.828,31.789,31.928,73888,0
AGO,D,19990429,000000,31.717,32.341,31.442,31.789,90909,0
AGO,D,19990430,000000,31.717,32.269,31.717,32.064,74230,0
AGO,D,19990504,000000,32.617,32.828,32.064,32.405,25322,0
AGO,D,19990505,000000,32.203,32.203,31.579,31.789,73179,0
AGO,D,19990506,000000,31.789,31.789,31.442,31.442,94300,0
AGO,D,19990507,000000,31.442,31.789,31.093,31.37,101350,0
AGO,D,19990510,000000,31.166,31.166,30.404,30.753,31273,0
AGO,D,19990511,000000,30.267,30.267,29.643,29.991,136436,0
AGO,D,19990512,000000,30.057,30.129,29.505,29.716,87591,0
AGO,D,19990513,000000,29.782,30.404,29.782,30.404,43289,0
AGO,D,19990514,000000,31.093,31.093,29.991,30.129,38906,0
AGO,D,19990517,000000,29.918,29.991,29.643,29.854,97871,0
AGO,D,19990518,000000,30.267,30.404,29.854,30.195,24520,0
AGO,D,19990519,000000,30.195,30.195,29.918,30.129,51783,0
AGO,D,19990520,000000,30.129,30.34,30.057,30.057,98063,0
AGO,D,19990521,000000,30.477,31.166,30.477,30.956,82408,0
AGO,D,19990524,000000,31.166,31.166,30.68,30.89,39812,0
AGO,D,19990525,000000,30.34,30.542,30.057,30.404,50781,0
AGO,D,19990526,000000,30.404,30.615,30.267,30.404,32357,0
AGO,D,19990527,000000,30.34,30.34,30.057,30.057,27088,0
AGO,D,19990528,000000,29.782,30.057,29.782,29.991,26747,0
AGO,D,19990531,000000,29.782,29.854,29.643,29.782,16208,0
AGO,D,19990601,000000,30.057,30.68,30.057,30.195,31195,0
AGO,D,19990602,000000,30.404,30.89,30.404,30.542,20450,0
AGO,D,19990607,000000,30.956,31.442,30.956,31.442,33671,0
AGO,D,19990608,000000,31.514,31.514,31.231,31.304,53601,0
AGO,D,19990609,000000,31.304,32.617,31.304,32.405,78621,0
AGO,D,19990610,000000,32.203,32.689,31.992,31.992,43161,0
AGO,D,19990611,000000,32.478,32.689,32.13,32.617,48835,0
AGO,D,19990614,000000,32.478,32.478,31.928,32.13,18624,0
AGO,D,19990615,000000,31.928,32.203,31.928,32.064,20778,0
AGO,D,19990616,000000,31.928,31.928,31.789,31.789,17074,0
AGO,D,19990617,000000,32.269,32.755,31.992,31.992,23152,0
AGO,D,19990618,000000,32.478,32.478,31.928,31.928,23951,0
AGO,D,19990621,000000,32.405,32.405,31.992,32.13,25785,0
AGO,D,19990622,000000,32.405,33.515,32.405,33.167,151311,0
AGO,D,19990623,000000,32.828,33.167,32.755,32.964,50554,0
AGO,D,19990624,000000,33.167,33.167,32.828,33.03,43662,0
AGO,D,19990625,000000,32.828,32.828,32.064,32.341,22738,0
AGO,D,19990628,000000,32.341,32.341,31.37,32.269,27365,0
AGO,D,19990629,000000,32.13,32.13,31.093,31.579,7673,0
AGO,D,19990630,000000,31.855,31.855,31.166,31.304,11187,0
AGO,D,19990701,000000,31.717,32.478,31.514,32.064,9411,0
AGO,D,19990702,000000,33.377,33.515,32.544,32.617,73287,0
AGO,D,19990705,000000,32.478,32.478,32.269,32.341,11864,0
AGO,D,19990706,000000,32.478,32.544,32.341,32.405,22330,0
AGO,D,19990707,000000,32.13,32.478,32.13,32.478,4078,0
AGO,D,19990708,000000,32.203,32.478,32.13,32.13,7066,0
AGO,D,19990709,000000,32.478,32.478,31.992,32.13,18597,0
AGO,D,19990712,000000,32.405,32.405,31.928,32.341,18653,0
AGO,D,19990713,000000,31.442,31.855,31.442,31.442,16549,0
AGO,D,19990714,000000,31.789,31.992,31.789,31.992,19708,0
AGO,D,19990715,000000,32.341,32.892,32.341,32.892,60529,0
AGO,D,19990716,000000,32.828,33.167,32.478,32.828,124126,0
AGO,D,19990719,000000,32.892,32.892,31.304,32.828,13822,0
AGO,D,19990720,000000,32.828,32.828,31.789,31.855,8268,0
AGO,D,19990721,000000,32.405,32.405,31.579,32.405,13190,0
AGO,D,19990722,000000,32.405,32.405,31.855,31.855,3969,0
AGO,D,19990723,000000,31.789,31.992,31.514,31.992,3857,0
AGO,D,19990726,000000,31.442,31.442,30.753,30.956,9524,0
