<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALL,D,20111012,000000,3.255,3.255,2.7702,3.0472,136204,0
ALL,D,20111013,000000,3.0868,3.0868,2.9186,3.0571,8120,0
ALL,D,20111014,000000,2.9978,3.0176,2.8691,3.0176,6766,0
ALL,D,20111017,000000,2.9186,2.9978,2.7702,2.7702,9496,0
ALL,D,20111018,000000,2.7504,2.8691,2.6614,2.8197,3402,0
ALL,D,20111019,000000,2.9681,2.9681,2.8197,2.8691,4306,0
ALL,D,20111020,000000,2.7603,2.9582,2.7603,2.9582,4448,0
ALL,D,20111021,000000,2.8197,2.9582,2.8098,2.9186,1745,0
ALL,D,20111024,000000,2.9582,3.2649,2.9582,3.2649,6804,0
ALL,D,20111025,000000,3.1165,3.4133,2.9681,3.4133,16469,0
ALL,D,20111026,000000,3.2253,3.7596,3.2154,3.7101,5491,0
ALL,D,20111027,000000,3.5815,3.7794,3.5716,3.7794,10934,0
ALL,D,20111028,000000,3.7991,4.1256,3.6606,4.0861,26547,0
ALL,D,20111031,000000,4.0564,4.0564,3.908,3.9871,593,0
ALL,D,20111102,000000,3.8585,3.9377,3.8585,3.9377,606,0
ALL,D,20111103,000000,3.9377,3.9377,3.9377,3.9377,557,0
ALL,D,20111104,000000,3.9476,3.9476,3.908,3.9179,684,0
ALL,D,20111107,000000,3.9278,3.9278,3.908,3.908,5461,0
ALL,D,20111108,000000,3.9179,3.9871,3.8585,3.8585,1942,0
ALL,D,20111109,000000,3.7596,3.908,3.6606,3.8486,2173,0
ALL,D,20111110,000000,3.8486,3.8585,3.7893,3.7893,9036,0
ALL,D,20111114,000000,3.8981,4.0663,3.2649,3.8783,8418,0
ALL,D,20111115,000000,3.8783,3.8783,3.809,3.8783,1124,0
ALL,D,20111117,000000,3.8783,3.8783,3.72,3.8783,6092,0
ALL,D,20111118,000000,3.8783,3.8783,3.8783,3.8783,10,0
ALL,D,20111121,000000,3.8783,3.8783,3.6606,3.6606,1617,0
ALL,D,20111122,000000,3.6903,3.8189,3.6903,3.8189,915,0
ALL,D,20111123,000000,3.7002,3.7794,3.6606,3.7596,1435,0
ALL,D,20111124,000000,3.7101,3.7101,3.7101,3.7101,1011,0
ALL,D,20111125,000000,3.6112,3.7002,3.2649,3.7002,5926,0
ALL,D,20111128,000000,3.5419,3.7002,3.5419,3.7002,2325,0
ALL,D,20111129,000000,3.7002,3.7002,3.6112,3.6705,1309,0
ALL,D,20111130,000000,3.7002,3.7002,3.5617,3.5617,1719,0
ALL,D,20111201,000000,3.5419,3.5419,3.5419,3.5419,10,0
ALL,D,20111202,000000,3.7002,3.7002,3.4628,3.5221,1324,0
ALL,D,20111205,000000,3.7002,3.7002,3.5419,3.5419,747,0
ALL,D,20111206,000000,3.5617,3.7002,3.5617,3.7002,7075,0
ALL,D,20111207,000000,3.7002,3.7497,3.5617,3.7497,10994,0
ALL,D,20111208,000000,3.8189,3.8189,3.8189,3.8189,5,0
ALL,D,20111209,000000,3.7596,3.7596,3.7596,3.7596,2,0
ALL,D,20111212,000000,3.7991,3.7991,3.7101,3.7101,1619,0
ALL,D,20111213,000000,3.7596,3.7596,3.6705,3.7299,2629,0
