<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALR,D,20121214,000000,48.521,50.396,48.521,49.662,3722524,0
ALR,D,20121217,000000,48.969,50.152,48.969,49.948,253690,0
ALR,D,20121218,000000,50.396,50.886,50.152,50.763,478372,0
ALR,D,20121219,000000,50.886,51.008,50.763,50.926,192914,0
ALR,D,20121220,000000,50.56,51.049,50.478,50.763,92960,0
ALR,D,20121221,000000,50.804,50.886,50.56,50.763,152735,0
ALR,D,20121227,000000,50.723,51.824,50.6,51.579,107912,0
ALR,D,20121228,000000,51.538,51.783,50.763,51.09,30127,0
ALR,D,20130102,000000,51.09,52.19,51.09,52.19,59228,0
ALR,D,20130103,000000,51.783,53.006,51.62,52.924,113051,0
ALR,D,20130104,000000,52.924,53.495,52.924,53.454,38521,0
ALR,D,20130107,000000,53.454,53.821,53.454,53.74,94307,0
ALR,D,20130108,000000,53.74,53.862,49.744,52.19,98220,0
ALR,D,20130109,000000,52.19,52.598,51.09,52.598,44905,0
ALR,D,20130110,000000,52.68,53.006,51.62,52.557,76608,0
ALR,D,20130111,000000,52.19,52.272,51.416,52.272,27618,0
ALR,D,20130114,000000,52.476,52.476,51.416,51.457,197486,0
ALR,D,20130115,000000,51.375,51.375,50.56,50.967,184807,0
ALR,D,20130116,000000,50.56,51.783,49.907,51.375,190895,0
ALR,D,20130117,000000,51.049,52.557,51.049,52.354,129071,0
ALR,D,20130118,000000,52.354,53.618,52.354,53.332,87648,0
ALR,D,20130121,000000,54.311,56.676,54.311,56.676,269352,0
ALR,D,20130122,000000,57.491,63.199,57.41,59.367,500023,0
ALR,D,20130123,000000,61.161,61.976,59.937,61.038,913014,0
ALR,D,20130124,000000,60.998,60.998,59.693,60.345,161419,0
ALR,D,20130125,000000,60.345,61.568,59.937,60.753,102110,0
ALR,D,20130128,000000,60.753,61.895,60.753,61.568,286398,0
ALR,D,20130129,000000,61.732,61.813,61.242,61.487,120613,0
ALR,D,20130130,000000,61.201,61.65,59.937,60.06,169654,0
ALR,D,20130131,000000,59.937,60.223,57.491,58.47,336189,0
ALR,D,20130201,000000,58.633,59.367,58.062,58.918,238472,0
ALR,D,20130204,000000,60.549,60.549,59.163,59.611,135575,0
ALR,D,20130205,000000,60.345,60.549,59.815,59.937,240889,0
ALR,D,20130206,000000,60.182,60.304,59.122,59.326,224894,0
ALR,D,20130207,000000,59.326,59.489,58.266,59.04,104143,0
ALR,D,20130208,000000,58.714,59.53,58.714,59.489,35517,0
ALR,D,20130211,000000,59.448,59.774,59.204,59.53,32495,0
ALR,D,20130212,000000,59.937,59.937,59.204,59.367,42288,0
ALR,D,20130213,000000,59.407,59.856,59.122,59.285,59906,0
ALR,D,20130214,000000,59.122,59.937,59.04,59.937,9090,0
ALR,D,20130215,000000,59.53,59.652,57.165,59.53,18650,0
ALR,D,20130218,000000,59.367,59.367,57.654,57.736,152821,0
ALR,D,20130219,000000,57.491,58.143,56.023,57.083,316036,0
ALR,D,20130220,000000,57.165,58.225,57.165,58.021,31221,0
ALR,D,20130221,000000,57.736,57.736,56.716,57.083,16704,0
ALR,D,20130222,000000,57.083,57.491,56.349,57.083,19161,0
ALR,D,20130225,000000,57.165,58.307,57.083,57.899,30556,0
ALR,D,20130226,000000,57.083,57.858,56.798,57.491,63623,0
ALR,D,20130227,000000,57.573,58.307,57.083,57.083,92772,0
ALR,D,20130228,000000,58.184,58.184,57.165,57.654,40307,0
ALR,D,20130301,000000,57.491,57.654,56.961,57.083,86083,0
ALR,D,20130304,000000,57.899,57.94,56.716,57.246,54352,0
