<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB,D,20050622,000000,5.2739,5.2739,5.0808,5.1661,79339,0
AMB,D,20050623,000000,5.0808,5.1092,4.9163,4.9958,37948,0
AMB,D,20050624,000000,4.9447,4.9674,4.8878,4.9674,5016,0
AMB,D,20050627,000000,4.9447,4.9958,4.9447,4.9958,36334,0
AMB,D,20050628,000000,5.0525,5.0525,5.0525,5.0525,24232,0
AMB,D,20050629,000000,5.0808,5.1092,5.0808,5.0808,8042,0
AMB,D,20050630,000000,5.0242,5.1378,5.0242,5.0525,10797,0
AMB,D,20050701,000000,5.0525,5.2173,5.0525,5.2173,15119,0
AMB,D,20050704,000000,5.1945,5.2173,5.1945,5.2173,8590,0
AMB,D,20050705,000000,5.2173,5.3592,5.2173,5.3023,92399,0
AMB,D,20050706,000000,5.2739,5.3307,5.2739,5.3023,62147,0
AMB,D,20050707,000000,5.2173,5.3023,5.2173,5.3023,20600,0
AMB,D,20050708,000000,5.3023,5.3307,5.3023,5.3023,82071,0
AMB,D,20050711,000000,5.2173,5.2173,5.2173,5.2173,6063,0
AMB,D,20050712,000000,5.2173,5.2739,5.2173,5.2173,7583,0
AMB,D,20050713,000000,5.2739,5.2739,5.2173,5.2456,5886,0
AMB,D,20050714,000000,5.2739,5.2739,5.2456,5.2739,52052,0
AMB,D,20050715,000000,5.2739,5.3023,5.2739,5.3023,9459,0
AMB,D,20050718,000000,5.3023,5.3023,5.2456,5.3023,66887,0
AMB,D,20050719,000000,5.2456,5.3023,5.2173,5.2739,10305,0
AMB,D,20050720,000000,5.3023,5.3307,5.2739,5.3023,14526,0
AMB,D,20050721,000000,5.3023,5.3592,5.2173,5.3592,136829,0
AMB,D,20050722,000000,5.3592,5.3875,5.3023,5.3023,22446,0
AMB,D,20050725,000000,5.3307,5.3307,5.3307,5.3307,6315,0
AMB,D,20050726,000000,5.3307,5.3307,5.3023,5.3023,66177,0
AMB,D,20050727,000000,5.3023,5.3875,5.3023,5.3875,98057,0
AMB,D,20050728,000000,5.3307,5.3307,5.3023,5.3023,23303,0
AMB,D,20050729,000000,5.3592,5.3592,5.3307,5.3307,475,0
AMB,D,20050801,000000,5.3592,5.3592,5.2456,5.3023,3371,0
AMB,D,20050802,000000,5.2739,5.3307,5.2739,5.3307,990,0
AMB,D,20050803,000000,5.3307,5.3592,5.2456,5.3592,2367,0
AMB,D,20050804,000000,5.2456,5.3307,5.2456,5.3307,762,0
AMB,D,20050805,000000,5.3023,5.3592,5.3023,5.3592,18922,0
AMB,D,20050808,000000,5.3592,5.3592,5.3023,5.3592,2131,0
AMB,D,20050809,000000,5.3023,5.3023,5.3023,5.3023,1515,0
AMB,D,20050810,000000,5.3023,5.3023,5.3023,5.3023,1603,0
AMB,D,20050811,000000,5.3023,5.3023,5.3023,5.3023,7559,0
AMB,D,20050812,000000,5.3023,5.3023,5.3023,5.3023,60042,0
AMB,D,20050816,000000,5.3023,5.3307,5.3023,5.3307,7342,0
AMB,D,20050817,000000,5.3307,5.4669,5.3307,5.4669,133333,0
AMB,D,20050818,000000,5.4953,5.7451,5.4953,5.5522,89386,0
AMB,D,20050819,000000,5.6655,5.7168,5.5804,5.6941,12674,0
AMB,D,20050822,000000,5.6941,6.2219,5.6941,6.2219,129606,0
AMB,D,20050823,000000,6.2219,6.2219,5.9439,5.9665,31022,0
AMB,D,20050824,000000,5.887,5.9665,5.8587,5.887,21554,0
AMB,D,20050825,000000,5.8587,5.9665,5.8303,5.9154,9982,0
AMB,D,20050826,000000,5.8303,5.9439,5.8303,5.8587,6884,0
AMB,D,20050829,000000,5.609,5.887,5.609,5.8303,28547,0
AMB,D,20050830,000000,5.8587,5.9154,5.8303,5.887,17300,0
AMB,D,20050831,000000,5.887,5.9154,5.8303,5.8303,60152,0
AMB,D,20050901,000000,5.8303,5.8587,5.6372,5.8587,82932,0
AMB,D,20050902,000000,5.7451,5.8587,5.7168,5.7168,21510,0
AMB,D,20050905,000000,5.7168,5.9439,5.7168,5.887,107940,0
AMB,D,20050906,000000,5.887,5.887,5.6941,5.6941,64197,0
AMB,D,20050907,000000,5.8303,5.887,5.6372,5.8587,42148,0
AMB,D,20050908,000000,5.887,5.9439,5.8303,5.8303,25964,0
AMB,D,20050909,000000,5.8303,5.887,5.8019,5.8019,5736,0
AMB,D,20050912,000000,5.8303,5.9439,5.7451,5.887,5310,0
AMB,D,20050913,000000,5.887,5.887,5.8303,5.8587,9726,0
AMB,D,20050914,000000,5.8303,5.887,5.8303,5.887,3097,0
AMB,D,20050915,000000,5.7451,5.887,5.7451,5.887,13753,0
AMB,D,20050916,000000,5.887,5.887,5.8587,5.887,3982,0
AMB,D,20050919,000000,5.8303,5.9949,5.8303,5.9949,91155,0
AMB,D,20050920,000000,5.9665,5.9665,5.9439,5.9439,2539,0
AMB,D,20050921,000000,5.8303,5.9154,5.8303,5.9154,3811,0
AMB,D,20050922,000000,5.8303,5.887,5.8303,5.887,3728,0
AMB,D,20050923,000000,5.8303,5.887,5.7168,5.8303,244699,0
AMB,D,20050926,000000,5.7735,5.887,5.7735,5.887,85574,0
AMB,D,20050927,000000,5.8303,5.8303,5.6372,5.6941,117164,0
AMB,D,20050928,000000,5.7168,5.7168,5.6655,5.6655,37147,0
AMB,D,20050929,000000,5.6655,5.6655,5.609,5.609,1281,0
AMB,D,20050930,000000,5.609,5.6372,5.5804,5.6372,2889,0
AMB,D,20051003,000000,5.609,5.609,5.4443,5.609,188772,0
AMB,D,20051004,000000,5.5522,5.5804,5.4953,5.5522,15430,0
AMB,D,20051005,000000,5.5238,5.5522,5.5238,5.5522,10187,0
AMB,D,20051006,000000,5.4953,5.4953,5.4953,5.4953,1292,0
AMB,D,20051007,000000,5.4443,5.4669,5.4443,5.4443,21244,0
AMB,D,20051010,000000,5.4443,5.4953,5.4443,5.4953,20000,0
AMB,D,20051011,000000,5.4158,5.4953,5.4158,5.4953,4657,0
AMB,D,20051012,000000,5.4953,5.4953,5.3875,5.3875,475,0
AMB,D,20051013,000000,5.4158,5.4158,5.4158,5.4158,652,0
AMB,D,20051014,000000,5.3875,5.4443,5.3875,5.4443,1084,0
AMB,D,20051017,000000,5.2173,5.4669,5.2173,5.4669,898,0
AMB,D,20051019,000000,5.0808,5.4669,5.0808,5.4669,4100,0
AMB,D,20051020,000000,5.3023,5.4669,5.3023,5.4669,2807,0
AMB,D,20051021,000000,5.2739,5.4669,5.2739,5.4669,2763,0
AMB,D,20051024,000000,5.4443,5.4669,5.4443,5.4669,3565,0
AMB,D,20051025,000000,5.4158,5.4953,5.4158,5.4953,8988,0
AMB,D,20051026,000000,5.4443,5.5238,5.4158,5.5238,15527,0
AMB,D,20051028,000000,5.3875,5.5522,5.3875,5.5522,2781,0
AMB,D,20051031,000000,5.5522,5.8303,5.5522,5.5804,11519,0
AMB,D,20051102,000000,5.5522,5.5804,5.5522,5.5804,771,0
AMB,D,20051103,000000,5.609,5.609,5.609,5.609,1835,0
AMB,D,20051104,000000,5.609,5.609,5.4669,5.609,1576,0
AMB,D,20051107,000000,5.4443,5.5522,5.4443,5.5522,1514,0
AMB,D,20051108,000000,5.5522,5.5522,5.3875,5.5522,729,0
AMB,D,20051109,000000,5.5522,5.609,5.5522,5.609,1027,0
AMB,D,20051110,000000,5.5522,5.609,5.4953,5.609,1263,0
AMB,D,20051114,000000,5.5522,5.609,5.5522,5.609,10994,0
AMB,D,20051115,000000,5.5522,5.5522,5.5522,5.5522,548,0
AMB,D,20051116,000000,5.609,5.6655,5.5522,5.5522,23989,0
AMB,D,20051117,000000,5.5522,5.8019,5.5522,5.8019,15721,0
AMB,D,20051118,000000,5.7735,5.8303,5.7168,5.7735,87785,0
AMB,D,20051121,000000,5.7451,5.7451,5.7451,5.7451,830,0
